sentence,count
ใช่,30696
อะไรนะ?,22928
ไม่,21937
ครับ,21127
โอเค,15385
ค่ะ,14047
เฮ้,13988
อะไร?,13684
นี่,11196
ขอบคุณ,11044
อืม,10622
โอ้,9816
ทำไม?,9026
เกิดอะไรขึ้น?,7833
แต่...,7351
เอ่อ...,6843
ฉัน...,6712
จริงเหรอ?,6546
แน่นอน,5606
แม่,5566
พ่อ,5159
ฮัลโหล,5021
ไปกันเถอะ,4848
ไม่เป็นไร,4632
ใช่แล้ว,4620
หา?,4607
เอ๋?,4428
ได้,4343
ดี,4316
สวัสดี,4221
ทำไมล่ะ?,4085
แล้ว...,3878
อ่า...,3790
เอ๊ะ?,3707
ขอบคุณค่ะ,3682
ไป!,3624
ว้าว,3564
ฉันขอโทษ,3558
ขอบคุณครับ,3552
ได้โปรด,3529
ตกลง,3483
พระเจ้า,3464
ก็ได้,3382
แต่ว่า...,3368
คุณ...,3344
พี่,3289
อา...,3253
คะ,3089
ฝ่าบาท,3084
ฉันรู้,3067
หวัดดี,3006
เอาล่ะ,2927
ผม...,2913
เดี๋ยว,2912
หยุด!,2911
ไม่นะ,2810
เร็วเข้า,2804
เปล่า,2792
งั้น...,2785
สวัสดีค่ะ,2749
งั้นเหรอ,2722
ขอโทษนะ,2707
ฉันไม่รู้,2706
เดี๋ยวก่อน,2665
สวัสดีครับ,2621
ขอโทษ,2597
ขอโทษครับ,2594
ถูกต้อง,2588
หือ?,2585
โอ...,2479
ขอบใจ,2469
อะไรน่ะ?,2468
หยุดนะ!,2467
ว่าไงนะ,2433
ไม่มีทาง,2420
อ้า!,2391
เยี่ยม,2369
เธอ...,2355
และ...,2336
โอ้ พระเจ้า,2188
ดีมาก,2136
ออกไป,2133
อะไรเหรอ?,2125
ที่รัก,2100
ไปเถอะ,2085
ว่าไง,2083
ช่วยด้วย!,2064
ใคร?,2012
นั่น...,2006
อรุณสวัสดิ์,1976
มีอะไร?,1974
ขอโทษค่ะ,1956
ไม่รู้สิ,1944
หืม?,1913
ผมขอโทษ,1904
ได้เลย,1890
ดังนั้น...,1887
แล้วไง?,1865
ไม่ใช่,1864
เออ...,1857
คือว่า...,1792
จริงหรอ?,1783
ฟังนะ,1768
เฮ้ย!,1762
ได้สิ,1750
บาย,1750
มานี่,1704
ไม่มีอะไร,1676
คือ...,1662
อะไรกัน?,1644
มีอะไรเหรอ?,1630
อ้อ,1621
ขอบคุณนะ,1581
ตอนนี้,1581
เย้!,1559
อะไรเนี่ย?,1555
ไง,1554
เหรอ,1549
ใช่ครับ,1546
อ๊ะ!,1516
เข้าใจแล้ว,1505
หุบปาก,1500
อืมม,1498
อย่า,1452
ไม่มี,1449
ลาก่อน,1449
ใช่ค่ะ,1387
อื้ม,1385
นี่อะไร?,1370
ก็...,1356
หมายความว่าไง,1352
เป็นไปไม่ได้,1349
ทางนี้,1321
ที่ไหน?,1293
โอ๊ย!,1291
คุณเป็นใคร?,1286
ครับผม,1284
ขอบใจนะ,1283
นาย...,1282
ขอบคุณมาก,1257
ห๊ะ?,1244
หัวหน้า,1242
โอ้ว,1209
ใช่มั้ย?,1209
ไม่เอาน่า,1202
ได้ครับ,1197
ผมรู้,1196
โอ๊ะ!,1195
มันคืออะไร?,1193
ใช่เลย,1189
ไม่หรอก,1185
ไม่ได้,1183
โอ้พระเจ้า,1179
จริงหรือ?,1172
อ๋อ,1167
ผมไม่รู้,1154
ยังไง?,1134
แล้วก็...,1129
ฮะ?,1129
อ๊า!,1123
