sentence,count
Oo.,95
Hindi.,87
Diyos ko!,74
Ano?,64
O sige.,55
Oo nga.,50
Bilis!,48
Hoy!,47
Salamat.,41
Bakit?,36
Teka.,33
Wow.,28
Hello?,27
Ayos lang ang lahat...,22
Talaga?,22
Sige na!,22
Takbo!,21
Sige.,20
Papa!,18
Yeah!,17
Dito!,17
O Diyos ko!,15
Bilisan nyo!,15
Pabilis ng pabilis.,14
Sandali lang.,14
Teka lang!,14
Tigil!,14
Huy!,13
Max!,13
Alam ko.,13
Okay.,13
Sino ka?,13
Wala.,12
Oh!,12
Ano yun?,12
Anong nangyayari?,11
Tulong!,11
Anong ibig mong sabihin?,11
Excuse me.,11
Magandang umaga.,10
Baby?,10
Hindi ko alam.,10
Jin-hee!,10
Dali!,10
Sino?,10
"Hindi, hindi, hindi.",10
Inay!,10
Anong nangyari?,10
Huwag kang umalis.,10
Ah!,10
Itay!,9
Iori!,9
Tayo na.,9
Sir?,9
Pero...,9
Whoa!,9
Wood!,9
Tahimik!,8
Anong sabi mo?,8
Paano?,8
Sige na nga.,8
Bilisan mo!,8
Okay ka lang ba?,8
Okay lang.,8
Kenshin!,8
Kamusta.,8
Tumahimik ka!,8
Opo.,8
Alis!,8
Siguro.,7
Saklolo!,7
Po?,7
"'Zoobi doobi zoobi doobi',sabi ng pilyong puso habang umiindak, sumasayaw...",7
Hot Toddy!,7
Yes?,7
Ano ito?,7
Wag!,7
Uh...,7
Tumabi kayo!,7
Hindi ka namin bibitawan...,7
Tara!,7
Hoy pare,7
Huh?,7
Tama.,7
KILI!,7
Kalokohan!,7
Kuya!,7
Magaling.,7
Puwede ba?,6
THORIN.,6
Tara na.,6
Tumayo kayo!,6
Umalis na kayo!,6
Saan?,6
Miss?,6
Young-guk!,6
Patay na lahat.,6
Anong ginagawa mo?,6
Hindi ko maintindihan.,6
Hindi na.,6
Halika dito.,6
Ha?,6
Kuha ko na.,6
Bakit hindi?,6
Miss Kaoru!,6
Anong sinasabi mo?,6
Nelson!,6
O!,6
Oo naman!,6
Ano yan?,6
Ano ba ito?,6
Ow!,6
Anong ginagawa mo dito?,5
Hey.,5
Ano yon?,5
Um...,5
Detective Winters!,5
"Tweet,Tweet,Tweeet!",5
Di ba?,5
Ahas kumagat!,5
Halika na!,5
Hindi pa tayo tapos...,5
Hila!,5
Sabihin pumunta!,5
"Hindi, hindi.",5
Ikaw!,5
Kamusta kayong lahat.,5
Kumusta.,5
Mga pare.,5
Sorry.,5
Sino yan?,5
Nasaan?,5
Nasaan siya?,5
O sige na.,5
Ooh!,5
Salamat sa inyong lahat.,5
Paalam!,5
'Zoobi doobi zoobi doobi pum paara Zoobi doobi param pum',5
