sentence,count
Evet.,1935121
Hayır.,1243311
Ne?,747228
Teşekkürler.,341359
Merhaba.,310949
Hadi.,295454
Neden?,255261
Teşekkür ederim.,242838
Tanrım.,237896
Öyle mi?,208686
Güzel.,197042
Ne oldu?,194418
Biliyorum.,191008
Selam.,187858
Lütfen.,178015
Üzgünüm.,177511
Harika.,163062
Peki.,162834
Haydi.,155213
Özür dilerim.,152675
Aman Tanrım.,152463
İyi misin?,146976
Ne yapıyorsun?,139696
Gerçekten mi?,136205
Dur!,134269
Tamam mı?,132647
Lanet olsun!,129786
Alo?,129767
Ben...,128522
Gidelim.,122542
Doğru.,121430
Bekle.,117036
Elbette.,116693
Baba!,116097
Anne!,111430
"Hayır, hayır.",105900
Neler oluyor?,99837
Efendim?,99092
Pekâlâ.,95639
Hey.,94401
İyi.,89796
Tabii.,89464
Kesinlikle.,80831
Anlıyorum.,79395
Sorun değil.,78904
Olamaz.,74862
Tamam!,73445
Kahretsin.,73097
Sen...,69691
Seni seviyorum.,68151
Affedersiniz.,66607
İşte.,66083
Nasılsın?,66018
Sakin ol.,65569
Görüşürüz.,64505
Sağ ol.,64348
Oh.,64273
Anladım.,63077
Günaydın.,62437
Ne var?,62152
Çok güzel.,61236
Kim?,61209
Yapma.,61207
Nerede?,60825
Siktir!,60751
İyi geceler.,60646
Haklısın.,60189
Nasıl?,59996
Ben de.,59439
Kapa çeneni!,59346
Bak.,58520
Pardon.,57950
Yani...,56721
Emin misin?,56546
Nereye gidiyorsun?,56256
Ne demek istiyorsun?,55476
İyiyim.,54795
Anladın mı?,54455
Durun!,54088
Olmaz.,53722
Anlaşıldı.,53481
Önemli değil.,52847
Hiçbir şey.,52350
Hadi ama.,51898
Bir dakika.,51549
Değil mi?,50231
Şimdi!,50189
Tamamdır.,49714
Gördün mü?,49655
Bu da ne?,49509
Devam et.,49132
Buraya gel.,48359
Git.,47716
Sahi mi?,47045
"Evet, efendim.",46227
Vay canına.,45278
Kes şunu!,45034
Tabii ki.,44865
Dinle.,44801
Çabuk!,44458
