sentence,count
Да.,5698
Ні.,5492
Нет.,4175
Що?,3067
Что?,2521
Хорошо.,2413
Дякую.,2161
Так?,2139
Спасибо.,1841
Давай.,1515
Ага.,1439
Я...,1428
Привет.,1410
Ладно.,1321
Не знаю.,1119
Правда?,1100
Эй!,964
Я не знаю.,938
Я знаю.,857
Алло?,752
Ну...,741
Чому?,732
Конечно.,712
Точно.,692
О!,689
Справді?,685
Чудово.,679
А?,677
Вибачте.,647
Ходімо.,631
Ясно.,609
Боже.,586
Почему?,561
Вибач.,545
Звичайно.,535
Прости.,533
Отлично.,523
Гей!,510
Будь ласка.,505
Добре?,496
Знаю.,487
Господи!,481
Вперед!,466
Що це?,462
Чорт!,446
Нічого.,445
Что случилось?,426
Простите.,421
Пожалуйста.,415
так.,409
"О, Боже.",405
Что это?,396
Пошли.,384
Ничего.,383
Мамо!,382
Ох.,373
Ого.,372
Прошу.,368
Швидше!,362
Що ти робиш?,357
Мама!,356
Пока.,354
"Ні, ні.",345
Ты в порядке?,342
Стій!,338
Бувай.,337
Привіт!,324
Что ты делаешь?,318
Пішли.,317
Звісно.,311
Агов!,311
Все гаразд.,307
Извини.,302
— Да.,302
Ось так.,301
Зрозуміло.,295
Гаразд?,294
Що таке?,290
ні.,287
Ти!,282
Ось.,275
Добрий день.,274
Вітаю.,274
Подожди.,273
До побачення.,269
Спасибі.,268
Досить!,263
Извините.,263
Черт!,260
Тату!,258
Що сталося?,255
Навіщо?,252
Що відбувається?,252
Ой!,251
Верно.,250
Саме так.,249
Це...,246
Сюди.,244
Хто?,242
Вот.,241
Тихо!,236
Круто.,232
"Так, сер.",227
Хм.,223
Правильно.,222
Ей!,222
Зачем?,220
Перепрошую.,218
Что такое?,218
да?,218
"Нет, нет.",216
Что происходит?,216
Давайте.,214
Здравствуйте.,213
Все в порядке.,212
Зрозумів.,212
О Боже.,210
— Нет.,210
Все нормально.,209
Прекрасно.,208
Вставай.,207
Ну ж бо.,207
Ты...,207
Зараз.,207
Все добре.,203
що?,201
Обережно!,201
Просто...,200
Стоп!,197
Бачиш?,197
Допоможіть!,193
Заткнись!,193
Чёрт!,193
Все.,192
Хватит!,191
Дуже добре.,190
Угу.,190
Мне жаль.,186
Як?,186
Ура!,186
"Ні, ні, ні.",185
Назад!,184
Вот так.,183
Серьезно?,183
Стой!,183
Хто це?,183
Чего?,181
Боже мой.,179
Зачекай.,178
Это...,178
Як справи?,178
Боже мій.,177
Припини!,177
Понятно.,176
Доброго дня.,176
Можливо.,174
Я просто...,174
Как?,173
Є.,172
Пробач.,171
дякую.,171
Не треба.,170
Поїхали.,170
Папа!,169
Дивись.,169
Я тоже.,169
Всё хорошо.,167
І?,165
Но...,165
Де?,165
Доброго ранку.,164
"О, так.",162
И?,159
Я в порядке.,159
Чекай.,158
Все хорошо.,156
Знаєш що?,156
Иди сюда.,156
Понял.,155
Я теж.,155
Курва!,154
Ніколи.,153
Але...,153
Пробачте.,153
