sentence,count
Không.,37007
Được rồi.,18421
Vâng.,11850
Phải.,11128
Ừ.,10352
Này!,7687
Cái gì?,7665
Xin lỗi.,7027
Cảm ơn.,6989
Chào.,6108
Đi thôi.,5902
Cám ơn.,5899
Yeah.,5868
Sao?,5653
Được.,5265
Xin chào.,5145
Chúa ơi.,5143
Đi nào.,5094
Tại sao?,4890
Tốt.,4691
Nhanh lên!,4432
Oh.,4432
Đúng vậy.,4397
Chết tiệt.,4221
Okay.,3854
Tôi không biết.,3792
Tôi xin lỗi.,3505
Dừng lại!,3478
Hey.,3381
Có.,3362
Đúng.,3261
Đi đi.,2961
Hả?,2945
Đi!,2921
Tạm biệt.,2859
Thôi nào.,2799
Làm ơn.,2590
Tuyệt.,2544
Rồi.,2521
Đúng thế.,2509
Được thôi.,2500
Tôi biết.,2453
"Không, không.",2408
Đây.,2407
Gì cơ?,2385
Đúng rồi.,2383
Mẹ!,2301
Gì?,2212
Thật sao?,2201
Không có gì.,2144
Tôi...,2118
Không sao.,2095
Được chứ?,1986
Ồ.,1938
Không sao đâu.,1889
Mẹ kiếp!,1861
Bố!,1813
Lại đây.,1800
Đừng!,1791
Tốt lắm.,1775
Chờ đã.,1753
Whoa!,1694
Wow.,1689
Vậy sao?,1656
Nào.,1648
Đợi đã.,1579
Tất nhiên.,1577
Chuyện gì vậy?,1557
Hmm.,1528
Ah!,1526
Có chuyện gì vậy?,1518
Phải rồi.,1500
Nghe này.,1499
Khoan đã.,1480
Coi nào.,1478
Sao cơ?,1466
Gì vậy?,1462
Không đâu.,1411
Chính xác.,1389
Khoan.,1381
Gì thế?,1378
Đừng lo.,1370
Cha!,1365
Ai?,1341
Làm đi.,1332
Chưa.,1326
Cái gì vậy?,1321
Uh...,1317
Thôi đi.,1292
Ôi!,1290
À...,1288
OK.,1274
Tránh ra!,1270
Sao vậy?,1244
Mau lên!,1244
Chạy đi!,1240
Đủ rồi.,1228
"Không, không, không.",1225
Tuyệt vời.,1207
Ok.,1206
Huh?,1196
Khỉ thật.,1193
Ôi Chúa ơi.,1177
Cái gì thế?,1163
Sao thế?,1144
Bắn!,1139
Nói đi.,1139
Lùi lại!,1135
Tất nhiên rồi.,1132
Không được.,1113
Bình tĩnh.,1112
Im đi!,1103
Rõ.,1100
Cẩn thận.,1080
Cứu!,1074
Mẹ ơi!,1071
không.,1062
Cảm ơn anh.,1054
Ê!,1053
Nhìn kìa!,1041
Thật à?,1039
Cố lên!,1035
Nhanh!,1026
Nhưng...,1000
Đây rồi.,994
Tôi hiểu.,994
Thấy chưa?,978
Tôi cũng vậy.,953
Hi.,947
Ở đâu?,942
Không phải.,940
Vào đi.,939
Chào anh.,937
Và...,930
Aah!,927
Anh...,926
Ôi trời.,924
Vậy à?,920
Không thể nào.,917
Nằm xuống!,912
Sam!,902
Jack!,902
Chắc rồi.,890
Có thể.,885
Sẵn sàng chưa?,874
Nhanh nào.,871
Phải không?,868
A lô?,868
Chắc chắn rồi.,865
Chuyện gì thế?,865
Coi chừng!,858
Ừm.,851
Ôi không.,850
Vậy...,848
Bố ơi!,837
Alô?,828
Khốn kiếp!,828
Dạ.,825
Cái gì đây?,824
Lối này.,817
Chờ chút.,806
Tôi không thể.,805
Thế à?,805
Trời ơi!,786
Có chuyện gì thế?,781
Nhìn này.,780
Tôi rất tiếc.,780
Anh xin lỗi.,776
Chào buổi sáng.,775
Ờ.,773
Mmm.,771
John.,768
Em xin lỗi.,767
Thưa ngài.,766
Đúng không?,765
Chà.,760
"Vâng, thưa ngài.",754
Chúc may mắn.,751
Hay lắm.,734
Hiểu rồi.,722
Làm ơn đi.,715
Anh là ai?,713
Ngay bây giờ.,713
Thì sao?,709
Thật chứ?,708
Tôi không hiểu.,705
No.,683
Sẵn sàng.,681
Um...,680
Không bao giờ.,678
Đồng ý.,678
Ai vậy?,677
Đứng yên!,675
Anh ổn chứ?,668
Ổn rồi.,660
Để làm gì?,650
Có chứ.,647
Vâng ạ.,646
Ngồi xuống.,643
Tiến lên!,640
Ra ngoài!,639
Ow!,639
Quay lại.,637
Thôi được.,631
Không hề.,629
Xong rồi.,621
Tại sao không?,619
Rất tốt.,615
"Được rồi, được rồi.",614
Em không biết.,612
Được không?,611
Đến đây.,611
Không có.,610
Hết.,609
"Ôi, Chúa ơi.",609
Ai đó?,608
Anh biết.,606
Ko.,604
Thật không?,604
Dừng lại đi!,603
Chạy!,598
Được chưa?,597
Dĩ nhiên rồi.,597
Tôi hiểu rồi.,597
Chuyện gì?,596
Chúc mừng.,588
Anh yêu em.,588
Em biết.,587
Amen.,586
Shh.,584
Ba.,583
Không đời nào.,578
Cám ơn anh.,573
Lạy Chúa.,571
Tốt thôi.,571
Ở đây.,569
Đứng dậy!,569
Anh không biết.,565
Gì chứ?,565
Hiểu chưa?,562
Ôi chúa ơi.,555
Không thể tin được.,551
Bằng cách nào?,550
Chào em.,549
Nè.,547
Cái quái gì thế?,543
Mm-hmm.,543
Cảm ơn cô.,542
Whoo!,542
Tuyệt lắm.,541
Mẹ nó!,541
Harry!,538
Yes.,537
Có chuyện gì?,536
Chúc ngủ ngon.,533
"Ôi, không.",528
Đứng lại!,528
Tôi ổn.,526
phải không?,526
Em...,525
"Oh, my God!",525
Ý anh là sao?,524
Hello?,523
Frank.,522
