sentence,count
No.,50278
Okay.,27379
Yes.,26594
Come on.,22090
All right.,13716
Hey.,12994
Oh.,11976
I don't know.,10501
Hello?,10377
Yeah?,9228
I'm sorry.,8929
Why?,8355
Right.,8291
Hi.,7411
Let's go.,7001
I know.,7001
Please.,6835
Good.,6727
Go!,6044
Sorry.,5876
Excuse me.,5527
Wait.,5483
What are you doing?,4771
Shit.,4727
I...,4656
"Oh, my God.",4431
OK.,4387
Sure.,4264
Stop!,4209
Here.,3858
Bye.,3766
Well...,3542
Huh?,3528
Nothing.,3512
Of course.,3493
So...,3422
Now!,3353
Look.,3312
Fuck!,3289
What is it?,3123
"Yes, sir.",3073
Great.,3023
That's it.,3013
Fine.,3005
You?,3003
That's right.,2962
Wow.,2946
Shut up!,2932
It's okay.,2876
"Oh, yeah.",2755
Come here.,2743
"No, no.",2738
What happened?,2727
"Oh, no.",2689
Ah!,2650
Hmm.,2578
What do you mean?,2466
Dad!,2462
Whoa!,2413
Who?,2403
Sir.,2317
Why not?,2313
You know what?,2296
I can't.,2276
"No, no, no.",2262
What's going on?,2211
"Oh, God.",2184
I love you.,2170
Jesus.,2162
Stop it!,2161
Help!,2093
What are you talking about?,1971
I do.,1958
Where?,1951
Good night.,1937
Go on.,1912
Hold on.,1909
How are you?,1881
You know?,1843
Move!,1827
Me?,1827
Who are you?,1825
Ok.,1786
Yep.,1765
What's that?,1756
Mom!,1752
Uh...,1729
Don't worry.,1667
What are you doing here?,1665
Are you okay?,1627
And...,1608
"Oh, shit.",1593
Listen.,1581
See?,1578
But...,1572
Wait a minute.,1569
Got it.,1568
Exactly.,1565
Here we go.,1549
God.,1541
Um...,1531
How?,1526
Don't.,1525
I got it.,1509
Get out!,1487
You okay?,1462
I'm fine.,1436
Where are you going?,1435
There you go.,1433
What's wrong?,1390
What do you think?,1370
There.,1368
It's all right.,1352
What do you want?,1349
I just...,1330
Mm-hmm.,1327
Go ahead.,1316
Shh.,1308
Maybe.,1268
Ow!,1263
Sit down.,1262
Ready?,1258
Mmm.,1256
What's up?,1237
I'm so sorry.,1232
Fuck you!,1217
I don't.,1211
Aah!,1209
You're right.,1197
I am.,1175
No way.,1160
Are you sure?,1159
Help me!,1158
Ooh!,1155
I see.,1144
Absolutely.,1140
Are you all right?,1123
Listen to me.,1114
You all right?,1109
What is that?,1108
I did.,1104
Where is he?,1096
Run!,1086
Where are you?,1086
What is this?,1083
What's the matter?,1082
Good morning.,1079
Get up!,1068
Come in.,1067
Come.,1061
Alright.,1058
Cool.,1055
Congratulations.,1054
Hurry!,1050
That's good.,1048
Thank you!,1047
I will.,1044
Nice.,1040
I promise.,1033
Look at me.,1032
I'm...,1025
Thank you very much.,1018
Nope.,1008
"Oh, yes.",1003
I don't think so.,999
Here you go.,996
Do it.,990
What's your name?,968
Damn.,968
Uh-huh.,962
What the fuck?,947
Get down!,946
Good luck.,945
Daddy!,944
Mm.,941
I mean...,939
Jesus Christ.,933
I don't understand.,933
Never.,930
Damn it!,926
This way.,921
What...,918
Nice to meet you.,914
You're welcome.,909
It's...,906
Tell me.,906
When?,904
I understand.,903
Whoo!,899
Holy shit.,892
Hurry up!,891
Goodbye.,891
You got it.,889
Not yet.,883
Really.,879
Amen.,870
Cheers.,857
I'm not.,841
What was that?,824
No problem.,824
Whatever.,814
Calm down.,807
For what?,803
What's this?,801
It's me.,799
Seriously?,796
John.,782
Hang on.,777
It's fine.,775
Look at this.,769
"Yeah, yeah.",768
Don't move.,763
Me too.,763
It is.,761
Enough!,760
Move it!,756
Over.,755
I don't care.,755
I'll be right back.,754
That's all.,751
Get out of here.,744
Very good.,744
Relax.,744
Morning.,744
How you doing?,742
Fire!,737
Just...,735
Forget it.,731
Look at that.,728
"No, sir.",714
That's great.,711
Come on in.,710
Two.,707
Jack.,705
This...,704
What the hell?,697
You sure?,696
Again.,695
Perfect.,692
"Oh, my god.",685
Of course not.,684
Do you?,684
no.,674
"Oh, come on.",673
Ugh!,670
My God.,670
Thank you so much.,670
Three.,669
Easy.,661
Excellent.,654
You know that.,654
And you?,650
I told you.,648
Over here.,645
Guys!,642
I didn't.,636
Not at all.,635
Aye.,634
Trust me.,634
What does that mean?,630
Who is it?,628
Wake up.,626
Not really.,624
Do you understand?,621
What's happening?,618
You see?,618
One.,618
Follow me.,616
I gotta go.,610
I get it.,609
You do?,607
Michael!,607
You did?,606
Oui.,606
"Oh, man.",605
Frank!,605
Look at you.,604
Mommy!,603
Where is she?,600
Hold it.,598
yeah.,598
There you are.,596
Ha!,592
Father!,592
Right here.,591
David.,588
How do you do?,586
Look out!,586
Harry.,586
Honey?,585
Out.,585
"Yeah, I know.",584
What for?,583
Where is it?,581
Remember?,579
There he is.,578
So what?,577
Anything.,575
Like what?,574
"Okay, okay.",572
You are.,572
Careful.,571
"No, no, no, no.",571
Bullshit.,570
It's over.,570
"Thank you, sir.",567
Get in.,564
Be careful.,562
I'm here.,560
Quick!,559
Come with me.,556
Let me go!,555
Mmm-hmm.,555
I'm okay.,554
I knew it.,551
You understand?,548
What did you say?,548
I love it.,546
"Yeah, sure.",544
That's enough.,544
Are you serious?,543
Man.,543
Take it easy.,542
"Go, go, go!",539
"Come on, come on.",538
Get off me!,538
Are you kidding me?,537
Go away.,534
I'm good.,533
Quiet.,529
Clear.,529
"Yes, ma'am.",528
Hm?,524
What about you?,524
Non.,524
Son of a bitch.,524
Welcome.,523
Take it.,522
It's true.,522
Right now.,520
Bye-bye.,520
Ohh!,518
Mama!,517
Good evening.,514
How much?,513
That's okay.,512
This is it.,511
It's just...,510
Are you?,510
Everything.,506
是的,502
Open the door!,502
Can I help you?,502
Who's that?,502
You ready?,501
George.,500
Peter.,499
Let me see.,497
Very well.,494
Never mind.,494
I think.,492
How do you know?,484
Get back!,481
Right there.,479
It's OK.,478
That's...,476
Watch out!,473
I have to go.,471
Get off!,471
"Come on, let's go.",469
You know what I mean?,464
Mr.,463
I won't.,462
"Oh, really?",455
There it is.,455
"Oh, my.",454
What the...,454
"One, two, three.",453
Captain.,453
I was...,452
Charlie!,448
Well done.,448
"Yes, of course.",448
"Come on, man.",448
Sam!,448
Is it?,447
Good to see you.,446
Are you crazy?,445
Beautiful.,445
Let's do it.,444
Mother!,443
Awesome.,441
"No, thank you.",441
Is that right?,440
Turn around.,439
Eh?,438
Papa!,437
Mm-hm.,436
Fuck off.,436
Let go!,435
Where are we going?,432
I think so.,431
Come back!,431
How's it going?,430
"No, thanks.",429
Where have you been?,429
Give it to me.,429
God damn it!,427
Don't worry about it.,427
It doesn't matter.,426
"Me, too.",426
Nah.,424
He's dead.,424
I got you.,423
"Oh, fuck.",422
Get him!,422
Master!,421
Next.,421
Freeze!,417
What are you?,417
Tom.,416
what?,416
Ma'am.,414
Yup.,413
Heh.,413
What do you say?,412
Where you going?,412
"Hey, guys.",412
Paul.,410
That...,409
There we go.,408
See you.,407
It's good.,404
Dude.,403
Merci.,402
Joe!,402
Who is this?,401
You too.,401
See you later.,400
Tomorrow.,400
Keep going.,398
I like it.,397
Say it.,397
Are you kidding?,396
Copy that.,396
Max!,396
You hear me?,395
Oh my God.,393
"Yes, I do.",393
I know that.,389
Alex.,388
Mike.,386
"Oh, dear.",385
Are you ready?,385
I guess.,384
"All right, all right.",384
It's beautiful.,383
Understand?,383
What did you do?,383
About what?,383
Don't do that.,382
Bravo!,381
Ahh!,381
"Hey, hey.",381
I swear.,380
Done.,380
You can't.,379
"Oh, boy.",378
He's gone.,377
I'm coming.,375
Down!,375
"Oh, thank you.",374
Chris.,373
Give me that.,373
Not anymore.,372
Four.,372
Did you?,372
Wonderful.,370
Not now.,370
"Yeah, right.",369
Roger.,369
Jim.,368
Wait a second.,368
Is that it?,368
"No, I'm not.",368
Nobody.,367
Không.,366
Let's get out of here.,365
Let's see.,363
We?,363
Stay.,363
Are you OK?,363
I'm serious.,360
I have no idea.,360
Thanks!,359
Ben.,357
Leave me alone.,357
Jimmy!,356
Doctor.,356
Goddamn it!,354
"Wait, wait.",354
Thank God.,354
Yo.,354
Nick!,352
Open up!,352
"Yes, yes.",351
It's not.,351
Baby.,350
Can you hear me?,350
Sit.,349
"Yes, it is.",349
Home.,348
Indeed.,348
Police!,348
What are you gonna do?,347
I can't believe it.,346
That's fine.,345
Five.,344
Shut the fuck up!,342
What else?,342
Andy!,341
Quickly!,341
Walter.,340
Who cares?,340
You don't understand.,339
Bob.,339
We did it!,338
Deal.,338
That's nice.,338
Have a seat.,334
Christ.,333
Take care.,333
I don't get it.,332
Sarah.,332
What did he say?,332
Anything else?,332
I like that.,331
Where are they?,331
Unbelievable.,331
You don't.,330
It was...,330
You'll see.,329
Stay here.,328
"Wait, wait, wait.",328
I'll do it.,328
This is...,327
Tonight.,327
What's wrong with you?,327
Gentlemen.,326
Eddie.,326
Where are we?,326
That's not true.,324
Let him go.,324
What are you saying?,323
Good-bye.,323
Merry Christmas.,323
Ja.,322
Absolutely not.,322
"No, I don't.",322
Over there.,322
"Oh, great.",322
Ray.,321
Watch it!,320
You can do it.,320
Certainly.,319
Shoot.,319
"Oh, Jesus.",318
I got him.,318
Slow down.,316
Dead.,316
Understood?,315
It's nothing.,314
That's all right.,314
I'm not sure.,313
May I?,313
What the hell are you doing?,313
yes.,312
And then...,312
"Oh, good.",311
"Hey, man.",311
Not bad.,310
Now what?,310
"Go, go!",310
Check it out.,310
Kill!,309
I'm all right.,309
You don't know?,308
What's the matter with you?,308
Open it.,307
Ever.,307
Get out of the way!,305
Think about it.,304
Thanks a lot.,304
"No, it's not.",303
Promise?,301
Up!,299
Gotcha.,299
Because...,298
Kill him!,298
"Hey, hey, hey.",296
Not me.,296
Which one?,296
You were right.,296
Good job.,296
There she is.,295
Back up!,295
Rachel.,295
Here we are.,294
I don't believe it.,294
You think?,293
I'm done.,293
Who is he?,293
Who is that?,293
Jump!,293
什么？,292
Jane!,292
You're kidding.,292
Very nice.,291
Jake!,289
He's right.,289
Talk to me.,288
Pull!,288
Who's this?,288
Alice.,288
Pardon me.,287
"Yes, I am.",286
How about you?,286
Keep moving.,286
Here it is.,286
Good boy.,285
Boom!,284
"I know, I know.",284
Just go.,283
He...,283
Get it?,283
How's that?,282
Happy birthday.,282
Oliver.,282
Cut!,281
Always.,279
Do you hear me?,279
"Oh, my gosh.",278
Surprise!,278
Annie!,277
Roger that.,277
What time is it?,277
Faster!,277
You know why?,276
I have.,276
Later.,275
不,275
I need your help.,274
We gotta go.,274
Alone.,273
Nonsense.,273
How many?,273
"No, no, no, no, no.",273
Will.,273
Bitch.,273
"No, you're not.",273
How are you doing?,272
Tommy.,271
"Ha, ha.",271
Fuck me.,271
I'm just...,271
He's here.,270
Definitely.,269
Sí.,269
Go home.,269
We are.,268
Oh yeah.,268
That's him.,268
I beg your pardon?,268
Stay down!,268
"Oh, please.",268
Where were you?,267
No shit.,267
Don't touch me.,267
"No, you don't.",267
Breathe.,267
Roy!,266
Don't go.,266
Forgive me.,266
"Yeah, yeah, yeah.",266
Aw.,265
I agree.,264
Anyway...,264
Bonjour.,264
I'm in.,264
Halt!,263
Better.,263
I know it.,263
You're okay.,263
Look at him.,263
See ya.,262
"Oh, god.",262
That's true.,262
Fantastic.,262
What's his name?,262
She...,261
"One, two...",260
What's going on here?,260
That's funny.,260
Water.,259
Let me out!,259
"Oh, I'm sorry.",259
No one.,259
okay?,258
