sentence,count
不,15682
什么,15057
好的,14416
好吧,14206
谢谢,13542
好,10840
嗯,8572
是啊,8422
怎么了,7868
我...,6559
我不知道,6536
謝謝,6262
很好,6228
我知道,5837
对,5647
没有,5489
没错,5478
嘿,5266
为什么,5108
喂,5060
对不起,4701
哦,4441
是吗,4287
好了,4233
是,4158
抱歉,4101
真的,4071
等等,3964
当然,3800
啊,3583
天啊,3514
再见,3428
什么？,3413
不是,3333
走吧,2945
爸爸,2917
你...,2871
不知道,2772
噢,2760
對,2751
不行,2696
真的吗,2669
不要,2646
沒有,2568
沒錯,2555
太好了,2537
晚安,2533
什么事,2435
来吧,2398
快点,2347
谢谢你,2330
我也是,2258
是嗎,2257
等一下,2233
什么意思,2198
怎么回事,2171
對不起,2071
呃...,2050
為什么,1994
好啊,1985
天哪,1960
那是什么,1921
太棒了,1903
该死,1879
没事,1877
哇,1818
操,1786
妈妈,1762
當然,1738
再見,1733
我爱你,1676
快,1672
你没事吧,1658
妈的,1640
闭嘴,1623
过来,1615
拜托,1615
不好意思,1612
你说什么,1596
你还好吗,1589
没问题,1551
那么,1530
这是什么,1520
但是,1509
走,1484
快走,1446
谁,1413
早上好,1362
小心,1349
什麼?,1347
我很抱歉,1342
所以...,1329
没关系,1316
不！,1285
真的嗎,1269
先生,1258
你在干什么,1246
没什么,1243
怎么,1243
求你了,1222
喔,1213
來吧,1203
不 不,1177
你是谁,1155
救命,1122
是我,1101
看,1088
謝謝你,1074
靠,1064
然后呢,1064
听着,1057
該死,1051
沒事,1034
有,1033
好吗,1029
住手,1014
现在,1014
恩,1011
快點,999
干杯,997
是吗？,987
收到,986
为什么？,985
混蛋,982
怎么了？,972
明白,967
你呢,953
媽媽,951
不可能,937
我也不知道,935
怎么样,919
可以,917
老天,909
我们走,903
来,891
你知道吗,884
爸,876
没事的,876
我得走了,874
好极了,874
耶,868
我只是...,867
我很好,861
去吧,860
知道了,858
你好吗,856
我明白,856
亲爱的,854
我不明白,851
