sentence,count
是的,65105
谢谢,56145
好,43531
好的,40808
嗯,37497
好吧,34903
对,28387
对不起,25990
是,25282
没有,23488
你好,22441
什么,21846
我不知道,21083
没错,20605
嘿,18868
很好,18694
喂,18050
我知道,17523
怎么了,17111
为什么?,16522
嗨,16017
再见,15427
当然,15059
啊,14865
等等,14815
哦,14694
是吗,14255
好了,12842
走吧,11832
真的,11802
不!,11743
快点,11522
不是,11351
谢谢你,11138
天啊,10764
来吧,10631
抱歉,10579
不要,9815
不知道,9695
我,9458
等一下,9167
爸爸,9120
不行,8921
呃...,8471
是啊。,8322
噢,8218
没事,8149
是的。,8114
太好了,8085
该死,7800
晚安,7770
我也是,7649
妈妈,7266
过来,7214
快,7212
谢谢。,7067
我爱你,7019
走,6907
闭嘴,6718
妈的,6701
真的吗,6589
謝謝,6501
没问题,6458
好吧。,6447
没关系,6020
好啊,6000
哇,5964
嗯？,5887
没什么,5782
来,5700
所以...,5676
好。,5640
啊！,5563
不好意思,5539
你,5482
快走,5228
那么...,5201
这是什么,5132
什么事?,5127
你说什么,5107
来吧。,4992
你没事吧,4957
怎么回事?,4914
哦！,4861
天哪,4857
拜托,4766
谁?,4763
听着,4756
那个...,4749
现在,4719
太棒了,4647
早上好,4500
喔,4486
什麼?,4477
我们走,4476
你知道吗？,4453
我不知道。,4439
小心,4347
有,4332
那是什么?,4317
知道了,4306
那...,4178
什么意思?,4148
先生,4060
恩,4020
住手,4015
我很抱歉,3990
是我,3952
对不起。,3916
看,3879
你还好吗?,3837
你是谁?,3778
喂！,3768
混蛋,3703
妈,3687
够了,3642
这个...,3608
没事的,3602
我没事,3551
操,3530
救命,3509
明白,3474
来吧！,3460
别动,3443
放开我,3409
这...,3381
听我说,3368
可是...,3361
亲爱的,3361
嗯。,3343
是。,3308
不可能,3282
怎么样,3276
好极了,3271
我只是...,3265
可恶,3249
你知道吗?,3240
我的天,3230
可以,3221
好的。,3209
他...,3201
怎么?,3173
你看,3172
坐下,3170
哇！,3160
爸,3137
收到,3130
谢了,3115
求你了,3114
干杯,3076
不错,3069
这是...,3049
别这样,3044
對,3040
跟我来,3026
但是,3019
不客气,3013
长官,3004
走开,3001
不要！,2977
片名：,2962
去吧,2962
对啊,2946
我知道了,2937
好吗?,2935
主演：,2916
给你,2909
噢！,2904
这里,2886
耶,2878
妈的！,2873
你知道,2862
告诉我,2862
停,2852
来了,2846
我们...,2828
别担心,2743
對不起,2735
嘿。,2735
你在干什么?,2725
加油,2722
走！,2720
你呢?,2718
进来,2698
我们走吧,2695
起来,2675
我没有,2675
号,2665
就这样,2656
我明白,2651
住手！,2651
嘘,2630
对了,2612
老天,2585
当然了,2578
哈,2564
我想...,2563
我很好,2560
因为...,2558
只是...,2556
然后...,2554
我不明白,2540
杰克,2532
沒有,2523
出去,2492
你好吗?,2488
救命！,2480
我的天啊,2462
他妈的,2459
没,2453
我也不知道,2446
该死的,2446
早安,2425
靠,2419
快跑,2419
你好。,2395
见鬼,2393
知道,2389
不用了,2364
不会,2364
很高兴见到你,2361
沒錯,2352
我得走了,2316
非常感谢,2313
给,2298
是呀,2276
多谢,2276
我会的,2268
行,2263
该死！,2255
继续,2226
算了,2210
请进,2205
晚上好,2200
真是的,2191
请坐,2185
祝你好运,2183
就是这样,2179
不会吧,2176
我明白了,2167
是啊...,2160
我要走了,2156
你还好吧?,2156
你在说什么?,2144
没事了,2130
站住,2129
这边,2126
开始,2094
我不能,2092
一,2073
哦。,2071
然后呢,2057
请,2050
当然可以,2019
不是吧,2018
再见。,2017
拜拜,2007
求求你,2004
让开,1998
那是...,1995
我是,1993
我是说...,1986
相信我,1983
不。,1977
小心点,1976
安静,1975
约翰,1969
宝贝,1966
不 不,1961
当然。,1947
看着我,1943
为什么呢？,1918
别,1907
不是的,1899
喔！,1896
没有。,1891
她...,1891
停下,1890
开门,1884
阿门,1881
在,1880
不过...,1880
你怎么了,1879
还好,1879
给我,1878
是，长官,1877
去你的,1869
不用,1858
咦？,1858
我知道。,1831
二,1828
趴下,1820
那就好,1814
怎麼了,1814
干嘛,1808
滚开,1793
别说了,1788
行了,1786
就是,1779
非常好,1772
我保证,1767
很抱歉,1765
是谁?,1765
来啊,1762
妈妈！,1753
退后,1752
谢谢！,1738
是嗎,1704
明白了,1696
我也爱你,1692
你确定?,1690
但...,1685
是吧,1678
对！,1676
嗨。,1666
说吧,1666
是啊！,1663
让我看看,1661
耶！,1661
你也是,1658
好啦,1638
上帝啊,1635
他死了,1629
你是...,1626
有人吗,1621
天呐,1615
當然,1615
是什么?,1614
拿着,1612
这样啊,1610
快跑！,1605
啥?,1598
他妈的！,1594
三,1587
你怎么知道?,1581
是！,1578
為什麼？,1576
上帝,1574
糟了,1570
你知道的,1569
也许吧,1568
為什麼,1567
恭喜,1566
发生了什么事？,1552
也许,1534
我回来了,1523
小姐,1521
没事吧,1515
您好,1512
而且...,1511
哎,1507
我喜欢,1504
你疯了,1504
你在干嘛?,1502
准备好了吗,1500
找到了,1497
你什么意思?,1494
是真的,1492
我走了,1492
我来了,1485
再見,1484
是你,1483
你在做什么?,1478
不对,1476
你疯了吗？,1475
抱歉。,1461
你要去哪里？,1455
进来吧,1453
那好吧,1450
原来如此,1448
停！,1443
对吧,1441
救命啊,1437
知道吗?,1430
哇。,1417
干得好,1416
知道吗？,1415
唔,1413
你叫什么名字?,1404
大哥,1403
混蛋！,1392
明白吗?,1390
还有,1380
等一等,1361
哥哥,1361
你疯了吗?,1356
怎麼了？,1347
没错！,1346
走开！,1343
我不...,1336
糟糕,1334
不，不,1326
呵呵。,1325
好吧！,1324
发生什么事了?,1324
加油！,1324
天哪！,1321
在这里,1318
上车,1310
什么时候?,1309
陛下,1309
好主意,1306
是 长官,1305
去死吧,1298
快去,1296
怎样?,1289
够了！,1287
没事吧？,1284
幸会,1284
遵命,1283
还没有,1283
警察,1283
冷静点,1280
有人吗？,1275
怎么啦?,1268
操！,1266
翻译：,1261
各位,1258
夫人,1258
我做不到,1257
不是吗,1251
早,1246
走吧！,1236
算了吧,1234
我就知道,1234
没关系。,1234
辛苦了,1233
谢谢你。,1230
冷静,1229
我想是的,1225
出去！,1224
他来了,1224
欢迎,1224
快點,1223
嗯哼,1222
天,1219
查理,1218
医生,1213
你说得对,1212
我的意思是...,1205
不是吗？,1204
准备好了,1204
不能,1204
你好？,1203
开火,1198
那好,1196
快来,1189
笨蛋,1189
不会的,1187
父亲,1187
哇哦,1186
别动！,1181
你们好,1172
生日快乐,1166
该死的！,1164
等一下！,1163
去,1163
我说,1162
哦，我的上帝。,1155
你干什么?,1153
不 不 不,1151
没有！,1148
欢迎光临,1147
爸爸？,1145
发生什么事了？,1144
太好了！,1144
放手,1144
哈哈,1144
謝謝你,1143
去！,1136
我发誓,1135
你是什么意思？,1132
对不起！,1130
回来,1130
停车,1127
放松,1122
哪里,1120
对吗？,1117
拜,1113
你确定吗,1106
他是谁?,1105
姐姐,1105
拿去,1102
可以吗,1102
我的...,1098
是的，长官,1098
大家好,1097
看！,1095
救救我,1092
孩子,1091
很高兴认识你,1091
不行！,1090
拜托了,1089
出什么事了?,1089
你什么意思？,1085
难以置信,1084
他们来了,1082
请。,1081
干什么,1081
好耶,1081
说,1080
保重,1077
啥？,1075
不不不,1073
趴下！,1071
哈罗,1068
大卫,1068
走了,1065
别碰我,1065
马上,1064
很好。,1063
站住！,1062
上,1053
抓住他,1052
滚,1051
來吧,1045
好痛,1038
哎呀,1038
明天见,1037
我马上回来,1033
其实...,1032
我去,1032
我操,1030
死了,1030
彼得,1028
准备,1022
明天,1021
我爱你。,1020
真好,1016
那是谁?,1014
我觉得...,1014
怎么会,1013
我不是,1013
哈啰,1011
