sentence,count
對,12024
是,9772
對不起,9593
沒有,9109
什么,8618
你好,8158
我不知道,7068
嘿,6721
我知道,6412
嗨,6365
是嗎,6226
喂,6147
什麼?,5704
當然,5645
再見,5575
不!,5376
好了,5002
等等,4982
啊,4885
天啊,4632
抱歉,4437
哦,4427
快點,4408
怎麼了,4290
謝謝你,4218
走吧,4194
真的,4182
不是,4057
來吧,4015
你...,3877
不要,3818
不！,3790
嗯...,3722
沒事,3500
爸爸,3440
為什麼?,3421
怎么了,3420
該死,3406
等一下,3378
不知道,3376
不行,3306
太好了,3132
為什么,3066
真的嗎,3016
媽媽,3012
晚安,2917
噢,2826
我,2818
我也是,2741
過來,2695
媽的,2646
沒問題,2577
我愛你,2574
閉嘴,2572
呃...,2459
谅谅,2415
琌,2404
好啊,2269
哇,2250
快,2203
不好意思,2154
走,2120
快走,2040
嘿！,2032
那個...,2027
來,2014
你沒事吧,1996
所以...,1921
天哪,1853
太棒了,1852
誰,1839
ぃ,1816
喔,1805
你還好嗎,1756
是的.,1743
我們走,1722
現在,1688
聽著,1668
沒關係,1653
嗯？,1607
有,1588
沒事的,1574
知道了,1570
小心,1569
我沒事,1549
好...,1520
你是誰,1520
ぐ或,1520
早上好,1519
媽,1480
夠了,1468
我很抱歉,1456
拜託,1428
癸,1407
住手,1403
收到,1360
操,1358
那麼...,1353
混蛋,1341
聽我說,1329
好嗎,1324
爸,1323
親愛的,1315
沒什麼,1314
這個,1294
是我,1291
對啊,1284
啊！,1263
謝了,1260
別這樣,1257
先生,1254
是的。,1254
放開我,1243
那...,1240
這是什麼,1235
明白,1224
跟我來,1208
ぐ或?,1206
還有...,1205
好極了,1198
別動,1194
你說什麼,1192
不客氣,1180
垛,1178
我的天,1171
我的天啊,1169
可以,1168
什么？,1165
可惡,1164
恩,1156
你是誰？,1155
好吧...,1155
你看,1155
可是...,1154
怎麼回事?,1151
不可能,1148
來了,1137
早安,1134
快！,1134
求你了,1130
救命,1126
但是,1125
你知道嗎,1125
別擔心,1123
看,1101
不錯,1098
走開,1088
是啊。,1084
這...,1081
當然了,1076
癸ぃ癬,1075
給你,1074
我們走吧,1060
喂！,1060
老天,1053
不會吧,1052
靠,1048
什麼事,1048
我沒有,1043
你好嗎,1037
就這樣,1030
坐下,1029
我知道了,1023
去吧,1021
你知道嗎？,1005
告訴我,1005
什么事,1003
對了,1002
耶,997
長官,996
加油,988
琌摆,987
起來,986
我只是...,979
怎么回事,976
噓,970
乾杯,967
停,965
⊿岿,965
請進,965
我們...,958
那是什麼?,955
他...,953
什么意思,951
哦！,948
不會,943
不用了,937
我很好,928
片名：,927
這是...,926
進來,926
謝謝.,922
該死的,919
⊿Τ,919
你說什么,909
顿,904
好的.,902
沒,900
快跑,899
不要！,897
這是什么,893
見鬼,893
這樣啊,893
不 不,892
怎麼樣？,889
很高興見到你,883
謝謝。,881
沒事了,879
天啊！,876
我也不知道,876
就是這樣,874
我明白,865
你呢,858
你知道,851
你還好吧,851
請坐,846
什麼意思?,845
哈,843
糑,842
我會的,840
非常感謝,840
這邊,838
那是什么,838
給,838
因為...,834
怎樣？,833
寶貝,832
約翰,831
好！,824
有人嗎,824
иぃ笵,822
讓開,821
出去,820
祝你好運,819
我得走了,813
真是的,811
不是吧,807
啊？,804
我不明白,800
別說了,795
開始,793
我想...,789
他媽的,789
還好,785
沒關系,782
在,779
嗨！,773
媽的！,765
繼續,761
只是...,759
我？,753
好。,750
不是的,746
怎麼樣?,745
去你的,742
小心點,742
當然可以,740
知道,740
算了,740
站住,738
安靜,733
и笵,733
看著我,732
閉嘴！,731
別,730
我要走了,729
沒什么,728
不過...,724
我回來了,724
拜托,722
阿門,720
給我,717
求求你,714
那就好,708
好吧。,705
您好,701
不用,701
行,700
多謝,700
趴下,699
怎麼?,698
我保證,694
很抱歉,693
哇！,692
我是說...,691
拜拜,690
主演：,688
等等！,686
晚上好,685
一,683
住手！,682
我明白了,681
來啊,680
我也愛你,679
相信我,674
走！,671
你確定?,669
然後...,669
你在說什麼？,666
來吧！,666
ǎ,662
滾開,662
你在幹嘛？,660
說吧,659
辛苦了,658
讽礛,656
該死！,654
我不能,654
沒事吧,648
開門,648
停下,647
是啊...,645
對吧,642
好啦,642
二,641
非常好,640
就是,638
是誰,638
天吶,635
是吧,633
我是,633
也許吧,632
歡迎光臨,630
е翴,628
琌,627
陛下,624
是 長官,616
噢！,614
救命！,614
三,614
這裡,611
讓我看看,608
他死了,606
原來如此,604
怎么樣,604
準備好了嗎,601
摆,597
那是...,597
請,595
侈,593
不對,592
你在幹什麼？,592
拿著,590
糟了,589
上帝啊,588
是，長官,585
明白了,582
你也是,579
找到了,578
傑克,577
她...,575
怎樣?,573
行了,569
生日快樂,569
ぱ摆,568
是呀,564
翻譯：,563
我喜歡,563
你還好吧？,561
瓳,560
不 不 不,556
单单,555
那好吧,552
那么,548
來吧。,547
我來了,545
明白嗎,542
怎麼？,537
知道嗎?,536
你瘋了嗎,536
爸爸！,536
и...,535
我不知道。,534
你知道的,532
恭喜,530
好的。,528
哈囉,528
是真的,528
你在干什么,522
幹嘛,521
糟糕,519
啥,519
ㄓ,518
進來吧,517
但...,517
幸會,515
怎么,510
冷靜點,509
是你,509
這個嘛...,508
可以嗎,508
救命啊,508
冷靜,508
上帝,507
快走！,506
你瘋了,505
退後,504
然后呢,502
你是...,502
你確定嗎,501
不是嗎,498
遵命,498
是誰？,497
你說得對,495
上車,495
而且...,490
各位,490
哇哦,489
老師,487
查理,486
不。,486
大衛,483
醫生,483
歡迎,482
父親,480
哈利,480
我說,479
你在幹什麼?,478
琌盾?,475
谅谅,475
也許,474
別碰我,473
赣,470
我就知道,470
對吧？,465
小姐,465
然後呢？,464
去死吧,463
對不起。,462
喔！,461
ぐ,461
我走了,459
干杯,458
嗯哼,457
你們好,456
他來了,454
拜,453
我做不到,452
然後呢,452
打擾了,451
對！,450
不會的,450
停車,449
那是誰,449
痷,447
很好.,445
揪,445
大哥,445
你確定？,444
快去,444
天,444
好耶,443
很高興認識你,443
╆簆,443
所以呢,442
沒事吧？,438
還沒有,438
早,436
或,436
夫人,436
ǐ,435
好主意,432
我發誓,432
準備好了,431
拜託了,428
ぐ或,428
我馬上回來,427
有人嗎？,427
莎拉,426
是的！,424
你在說什麼?,424
快來,423
沒錯.,423
回來,423
不不不,423
快跑！,421
你瘋了嗎？,415
大家好,414
ぃ琌,413
孩子,413
謝謝！,412
明天見,411
開始吧,408
那好,408
安全,407
琌盾,406
明白嗎？,405
你怎麼知道？,405
謝天謝地,404
他們來了,403
咦？,402
包龙星：,401
知道嗎？,401
他是誰,401
我想是的,400
好樣的,400
好痛,400
天哪！,399
什麼啊,398
滾,398
或?,398
抓住他,395
殿下,394
混蛋！,394
真好,393
小心！,393
這是怎麼回事？,392
誰啊,390
其實...,390
救救我,390
你好啊,389
是啊！,389
開火,389
不能,387
不好,387
你叫什麼名字？,387
你在幹嘛?,386
ぐ或?,384
搞什麼？,384
单,384
彼得,384
準備好了嗎？,383
我覺得...,382
