word,count
لا,6716612
من,6419003
أن,5083291
في,5033895
هذا,4828402
على,3418362
ما,3274071
أنا,2848848
هل,2790969
يا,2678480
و,2498912
لقد,2473350
ذلك,2359935
لم,2068382
ماذا,2011260
هنا,1846978
كان,1765145
أنت,1723252
إلى,1719683
هو,1495883
هذه,1472955
عن,1427514
نعم,1283395
هناك,1254251
ان,1226412
كل,1221094
ليس,1158192
كنت,1111517
حسناً,1101343
الآن,1074909
شيء,1046586
فقط,1003408
الذي,999613
مع,976148
أجل,971064
لكن,935401
لن,898775
لك,888038
يجب,887510
كيف,827361
إنه,756494
فى,708854
انا,706410
سوف,704257
نحن,691403
لي,689659
حسنا,687468
ـ,666826
إذا,661143
الأمر,659316
كانت,652491
عندما,650043
قد,643969
لماذا,640387
أي,631813
أنه,627202
هي,616821
بعد,612114
حتى,598730
كذلك,588397
هيا,552452
أو,552324
أين,551711
قبل,544319
إنها,535545
ولكن,523353
إن,518341
لو,518116
أعرف,516522
التي,512838
انه,501727
تلك,500529
ربما,484974
أريد,474137
الى,471507
يكون,467567
بعض,457433
عليك,448190
أعتقد,434849
انت,428595
به,420182
صحيح,418941
أنك,418623
بخير,416134
أحد,404517
الوقت,400239
مثل,395932
رجل,393601
كلا,378552
شخص,375727
أعلم,369770
كما,365371
شكراً,363723
يمكن,362192
أكثر,361906
تكون,353696
أيها,353452
لذا,352429
يبدو,351004
جيد,347857
اليوم,342851
علي,340228
يمكنك,338641
أليس,337468
آخر,326135
جداً,325596
منذ,324774
لست,322090
عليه,320395
غير,314630
مرحباً,313413
لديك,311812
لدي,310566
تعرف,309016
تريد,307120
انها,306061
الرجل,304690
أستطيع,295521
لدينا,294200
له,290711
أنتِ,289517
يمكنني,286672
حقاً,283973
واحد,282675
سيدي,280033
مرة,278313
حدث,274756
سيكون,274535
تفعل,270762
علينا,268667
أنني,268540
بها,267718
الناس,267243
أنها,266778
ليست,266047
بأن,265459
بهذا,264776
مكان,261167
أفضل,260047
الكثير,251077
وقت,250447
شئ,250271
آسف,249374
يكن,248462
بك,245870
بي,239725
يوجد,237020
أيضاً,236338
أخرى,235894
كم,233280
وأنا,230834
اذا,230693
إذاً,226417
رائع,226130
بذلك,226106
جدا,224904
ولا,224378
شيئاً,223818
أوه,221327
يحدث,219969
قلت,218714
سيد,216594
أبي,215139
ثم,214667
واحدة,214033
معك,209441
بالطبع,208175
المكان,205902
يوم,204567
معي,204346
لهذا,201098
هكذا,198678
شكرا,198406
تم,198400
فعل,196936
مرحبا,195143
إذن,194467
لها,193521
تعلم,193129
ألا,192420
إلهي,190280
العمل,189695
الليلة,184675
أمي,178034
بما,177845
العالم,177814
الجميع,176501
الان,174683
يمكننا,174105
اللعنة,173008
لذلك,172705
فحسب,169144
لنا,168528
الحقيقة,167450
لديه,166733
خلال,165454
بالتأكيد,164532
لأن,160654
فعلت,159666
ها,158691
حول,158356
حال,158335
قال,157075
عليها,156690
الذهاب,156550
للغاية,156135
هم,155956
أفعل,155208
حقا,154865
عنه,154591
منك,154445
بشكل,154160
أكون,151281
أننا,150761
بين,150354
أنّ,150017
فيه,149613
بشأن,147270
المنزل,147141
أظن,146338
أيّ,145720
هؤلاء,145202
أم,144816
ستكون,143686
الأمور,143536
أعني,143187
توقف,142590
مجرد,142572
يعني,141905
الطريق,141527
انك,141297
متى,141167
وهذا,140849
مني,140322
جيدة,139625
عليّ,139606
أمر,139421
الشيء,137835
عمل,137741
تقول,136569
فكرة,136556
منه,136510
انظر,135769
المال,135703
كنا,135374
بالنسبة,135081
الجحيم,134468
تستطيع,134397
الحياة,133947
لما,133567
أقول,133243
لكِ,133120
بل,133009
السيد,132694
أبداً,131408
أرى,130858
عند,130574
بأس,130548
معه,129564
الذين,129469
إنهم,129213
أرجوك,129189
بدون,129081
بحاجة,128998
أني,128365
الذى,127847
نفس,127771
تعال,127518
بحق,127469
أشعر,126661
تبدو,125747
وأنت,125593
تكن,125558
تحت,125332
بسبب,125239
بنا,124981
كلّ,124475
نفسك,124142
لكم,123490
فضلك,123020
بالفعل,122298
حيث,122154
لكي,121010
حصلت,120751
مشكلة,120564
الوحيد,120171
قتل,119506
تعتقد,119475
الأن,119228
النار,118645
اي,118495
آسفة,118459
الأشياء,118028
يريد,117888
دائماً,117746
رأيت,117053
بهذه,116308
أذهب,116025
اعتقد,115728
الشخص,115418
عزيزتي,114889
ليلة,114287
الشرطة,113664
شيئا,113333
انتظر,112846
وهو,112412
الرجال,112008
يعرف,111230
طوال,110973
سمعت,110785
الباب,110387
إلي,110250
والآن,108929
حسنًا,108504
لابد,108457
أردت,108433
تماماً,108275
اذهب,107623
أحب,107596
ثلاثة,107588
أكن,106858
إنّه,106631
نذهب,105779
جميع,105428
سنوات,104825
فعله,104750
فيها,104738
أيضا,104375
جون,104361
دون,104317
السيارة,103845
اريد,103452
اجل,103152
هيّا,103111
كانوا,102901
حياتي,102806
كبير,102675
تذهب,102433
السبب,102389
فتاة,100874
أنهم,100754
أحتاج,100734
لأنه,100434
يقول,100290
سبب,99946
مما,99323
ثانية,98971
او,98730
حسنٌ,98533
بأنه,97924
أنظر,97567
الأرض,97492
ومن,97380
كنتُ,97329
خارج,97039
تريدين,96997
مالذي,96833
دولار,96774
قليلاً,96607
بسرعة,96553
جاك,96431
اعرف,96394
منها,96172
بكل,96071
كبيرة,96054
لمَ,95716
قمت,95502
اين,94938
الأفضل,94808
المدينة,94323
إليه,93875
دعني,93722
جديد,93353
كثيراً,93169
هنالك,92901
جميلة,92682
أنتم,92441
استطيع,92163
دعنا,92003
الواقع,91791
سعيد,91461
دقيقة,91409
بالضبط,90988
لديّ,90835
الحصول,90738
تعرفين,90450
الموت,90404
لـ,90327
جميل,90265
طريقة,90137
إليك,90048
نوع,89720
للتو,89622
لحظة,89384
بأنك,88704
دائما,88155
عام,88102
ولم,87750
بـ,87588
الفتاة,87476
لكنه,87396
الطريقة,87269
أنتَ,87216
ترى,86986
الامر,86892
لأنني,86851
لهم,86667
ألم,86591
الرئيس,86578
انهم,86386
عظيم,86269
غرفة,86121
رائعة,85791
منهم,85730
تتحدث,85624
التحدث,85604
يعمل,85470
أَنْ,85319
تعمل,85242
ساعة,85205
سأكون,85123
رفاق,85053
قام,84750
لى,84583
جيداً,84456
مات,84147
الخير,83913
بينما,83767
فقد,83151
لدى,83114
نفسي,83047
الخاص,82975
ايها,82915
شىء,82849
أى,82832
تباً,82173
لكنني,82108
المرة,81970
رقم,81782
يفعل,81480
عنك,81462
أحاول,81194
جميعاً,81112
الله,81018
شيئ,80919
هى,80917
المزيد,80904
طريق,80825
لنذهب,80272
عيد,80245
صديقي,80125
مهلاً,80111
القيام,79721
لكني,79338
يتم,79065
اعلم,78736
لديها,78638
أخبرني,78611
إلا,78608
أتمنى,78506
متأكد,78322
أول,78201
تعلمين,78151
يكفي,78081
يرام,77843
التى,77662
يستطيع,77459
فرصة,77024
وقد,76936
صباح,76600
سيارة,76340
أنّه,76326
أفهم,76098
رجال,76012
الـ,75824
عشر,75822
حين,75707
ــ,75538
الأولى,75317
دقائق,75242
احد,74734
صغيرة,74691
وجدت,74649
نستطيع,74268
ذهبت,74247
لأنك,74039
سأذهب,73446
نفسه,73299
الصباح,72949
نفعل,72932
الأقل,72814
غريب,72802
أقصد,72638
تقوم,72582
مجدداً,72400
حالك,72353
يجري,71875
معها,71709
حالة,71681
أريدك,71569
تأتي,71501
إنّها,71366
سعيدة,71361
علاقة,71246
اوه,71225
عليكِ,71008
أخي,70915
أتعلم,70516
نهاية,70497
أقوم,70448
معنا,70311
الأطفال,70266
عزيزي,70004
لديهم,69962
سنة,69809
كي,69661
أود,69378
نعرف,69333
هُنا,69186
يعلم,69155
وماذا,69140
عني,69028
الخاصة,69023
رؤية,68696
أفكر,68557
جديدة,68227
أنكِ,67972
تفعله,67708
الي,67683
حياة,67590
بدأت,67571
الأول,67179
الصغير,67038
المدرسة,67016
رأيك,66623
إنني,66532
اسمع,66497
كنتِ,66442
أكبر,66385
وما,66376
حان,66284
الحب,66127
فهمت,66043
تحتاج,65772
وليس,65626
تعني,65570
الساعة,65530
سيدة,65229
السجن,65069
سيدتي,64973
عنها,64810
والدك,64646
قالت,64531
أيتها,64326
اليس,64314
نحتاج,64217
العودة,64024
مهما,63965
ينبغي,63933
أحدهم,63890
معاً,63798
البيت,63515
اللعين,63199
ظننت,63164
الليل,63050
عبر,63016
حصل,62880
انني,62304
يقوم,62030
سيدى,62029
طويلة,61840
أقل,61790
حياتك,61585
أنّك,61568
الحرب,61212
أيام,61189
عليهم,61065
البعض,61059
خذ,61058
الهاتف,61036
الطفل,61017
معرفة,60823
والدي,60802
لكنك,60768
إنك,60643
أصبح,60548
أتحدث,60504
أحبك,60292
الجنس,60189
رجاءً,60101
ذات,59901
داخل,59733
أية,59643
الطعام,59430
لطيف,59407
لستُ,59367
البقاء,59087
قليلا,58888
تكوني,58761
سام,58570
نصف,58521
الماء,58505
فوق,58169
أخبرك,58094
منا,58087
خطأ,58079
نكون,58024
يمكنه,57954
السيدة,57937
الجديد,57754
تظن,57705
الآخر,57605
العام,57488
سأفعل,57455
اكثر,57436
طويل,57340
تقلق,57297
تماما,57235
الحال,57215
نريد,57004
وضع,56955
تشعر,56855
أدري,56630
عرفت,56617
الماضي,56530
مايكل,56506
بأنني,56437
أبدا,56406
بلا,56323
الملك,56310
أولاً,56108
هلا,56078
فريق,56016
وهي,56006
بد,55960
أخذ,55868
صغير,55832
الصغيرة,55619
أشياء,55404
وجود,55377
تحاول,55285
يأتي,55255
أعمل,55234
سيئة,55062
لأجل,55021
صديق,54986
منزل,54977
كلمة,54940
أخبرتك,54847
دكتور,54839
المفترض,54835
بأي,54621
الوحيدة,54493
حق,54325
فتى,54313
ذا,54300
فأنا,54178
جزء,54165
تفعلين,54115
نتحدث,53851
طفل,53808
ذهب,53594
حسناً.,53441
النوم,53406
الخروج,53392
افعل,53341
أعطني,53302
للمنزل,53137
ثلاث,53073
ونحن,53018
وحسب,52995
خمسة,52994
بخصوص,52980
الفتى,52963
ترجمة,52954
أتعرف,52741
أهذا,52619
وكان,52619
الا,52579
ايضا,52515
المشكلة,52490
غداً,52384
تعالي,52368
وانا,52155
كلاّ,52064
حاولت,51977
نظرة,51924
كله,51693
لكنها,51533
وشك,51410
المساعدة,51400
المرأة,51355
الغرفة,51311
رئيس,51287
أصبحت,51167
بهم,51020
جو,50950
لمدة,50901
عائلة,50800
مِنْ,50724
انظري,50724
عدم,50470
فرانك,50454
