word,count
да,20834730
е,13661822
не,13078699
се,10527738
и,8577067
на,8491907
си,7269691
ще,6863518
за,6648910
ли,5880837
това,5807856
че,5722178
в,5619549
ти,5062233
от,4648091
ми,4319595
с,4136608
какво,4035386
го,3785131
съм,2901491
по,2725305
но,2717843
аз,2622248
те,2481851
добре,2410671
трябва,2244083
ме,2173075
са,2076262
няма,2012779
ако,1844712
тук,1817325
може,1793611
а,1682769
ви,1682612
така,1647487
много,1565247
като,1555061
той,1507081
има,1433849
му,1394848
нещо,1381364
беше,1375509
ни,1318648
как,1317380
защо,1284227
я,1251275
само,1170331
всичко,1146011
мен,1143894
знам,1137029
сега,1133413
теб,1036017
искам,961097
още,956702
мога,946306
ги,943401
тя,934059
което,923415
до,903519
когато,893018
този,891766
сте,865490
къде,861249
просто,841469
всички,819841
или,811745
тази,801882
нали,790560
би,790518
благодаря,788782
сме,788700
нищо,765890
един,742801
толкова,729536
знаеш,715085
най,714754
там,703208
малко,701730
след,686533
време,678590
искаш,673787
защото,673746
кой,664838
хайде,661325
който,658214
мисля,639233
вече,625867
имам,618371
преди,606417
моля,604631
тези,591209
някой,577790
него,567166
каза,559459
наистина,546427
ние,543285
вие,542119
О,540892
които,506531
точно,499208
повече,492511
съжалявам,490552
става,488093
тогава,484962
можеш,481258
й,477836
една,468751
все,460197
към,454206
човек,452832
имаш,452828
колко,451329
при,450357
без,449638
никога,442728
им,437386
кажа,430774
едно,430637
работа,429787
ето,422543
ден,422000
бъде,411890
бях,404711
през,402425
значи,398714
път,394380
хора,394312
нас,393185
със,392202
дори,390748
както,381447
правиш,380323
години,378657
баща,374828
вас,363065
бил,362686
мислиш,358794
разбира,354576
г,353438
също,350975
която,348342
направи,348190
Ами,344184
нея,341270
имаме,341114
винаги,340042
докато,332996
всеки,331921
виж,329219
иска,325901
казах,319668
дяволите,316332
нека,315072
видя,313497
сър,313127
хората,311484
никой,308656
майка,306416
жена,305467
във,301611
пак,301023
тях,300368
кажи,299393
Хей,298385
дали,293877
направя,291287
място,289215
неща,283832
можем,281008
прави,280944
заради,278717
днес,269410
кажеш,268928
живота,266645
татко,263990
трябваше,263160
изглежда,261629
наред,260455
отново,256224
добър,253778
друг,251522
боже,248811
няколко,247973
г-н,245046
Здравей,244160
затова,242400
бих,239519
сам,234671
бързо,234406
обичам,234024
доста,233121
пари,232686
знае,231788
моя,230635
две,229931
ела,223302
нужда,222932
начин,222175
мислех,220717
дойде,219484
после,219134
заедно,215502
приятел,212062
ей,210469
нямам,207320
добро,206290
дай,203990
веднага,202840
сигурно,202113
видим,202108
достатъчно,199737
чакай,198166
правя,197979
три,196939
живот,196061
вечер,195647
скоро,194829
под,194759
каквото,194625
говори,193416
какъв,192867
бе,192825
проблем,192191
разбирам,190720
стана,190711
исках,188304
н,186043
нещата,185059
казва,184560
всъщност,184267
утре,183746
говоря,180974
знаете,179947
стане,176811
имате,176555
казвам,176341
колата,175763
късно,175051
каква,173874
говориш,173064
нощ,172617
харесва,172317
себе,172030
сигурен,170458
искате,169857
пред,169732
мамо,168982
стига,168811
момиче,168332
работата,167523
момчета,166931
скъпа,166712
случи,166549
у,164547
предвид,164318
Извинете,163710
била,162905
виждам,162457
добра,162088
името,161723
върна,161231
моята,160831
бяха,160586
мой,160585
направим,159878
било,159745
друго,159531
между,159287
били,158354
парите,157933
кога,157676
остави,157400
двамата,156530
част,156529
хубаво,156401
имаше,156219
такъв,155943
освен,155266
видях,155074
Господи,154214
където,153947
мъж,153732
някои,152114
дни,152030
два,151705
помогна,151483
направиш,151438
поне,151434
бъда,150897
то,150866
часа,148792
брат,147975
Здрасти,146791
ясно,146318
минути,146133
що,145243
момче,143710
щом,142697
знаех,140422
помощ,139251
радвам,138879
спри,138505
времето,138364
върви,138340
мамка,137813
нямаше,137775
правим,136600
приятели,136570
деца,136187
взема,136043
страна,135989
нито,135925
първо,134644
около,134299
колкото,133609
голяма,133326
могат,133002
твоя,132395
работи,132227
главата,132194
други,132049
срещу,131168
момент,131000
давай,130781
вътре,130013
чудесно,129733
можете,128343
кажете,127681
направил,127538
Здравейте,127209
трудно,127207
човече,126355
година,125324
света,124676
лошо,123747
знаем,123698
имат,123147
случай,122530
име,122188
такива,121841
предполагам,121699
твърде,121695
какви,121244
откъде,120939
дома,120853
вървим,120746
голям,120688
вероятно,120632
май,120543
значение,120327
пъти,120318
къщата,119509
дете,119497
почти,117999
децата,117205
казваш,117179
дъщеря,116984
прав,116767
въпрос,116506
момента,116502
виждаш,116478
кого,116301
вземи,116130
веднъж,115782
означава,115046
идва,114050
страхотно,113833
идея,113472
сериозно,112942
такова,112617
всяка,112411
истината,112341
вкъщи,111988
щеше,111315
мъртъв,111126
върху,110623
де,109923
свят,109769
надявам,109736
тръгваме,109530
над,109462
обади,108645
лесно,108037
Джон,108025
мама,107810
отида,107728
говорим,107627
земята,107153
мисли,106557
слушай,106468
семейството,106220
възможно,105784
току,105441
намери,105271
сестра,105222
пък,105094
моят,104978
готов,104740
понякога,104668
извинявай,104406
видиш,104138
искаше,103938
оттук,103377
свърши,102985
направих,102948
вратата,102323
чувствам,102076
каже,101982
вярно,101721
чух,101652
полицията,101588
дам,101387
бог,101310
син,101264
града,100749
разбираш,100477
всичките,100300
искал,99741
ръцете,99473
даде,99413
Джак,99141
напълно,99121
очите,98674
час,98569
твоята,98540
някога,98354
коя,98194
седмица,97954
среща,97865
погледни,97489
дълго,97478
казал,97419
спокойно,97257
цялата,97022
такава,96640
смъртта,96626
вярвам,96432
нямаш,96428
искат,96324
странно,95530
зад,95446
скъпи,95370
сама,95302
моето,94873
другите,94655
край,94362
долу,94276
пет,94121
сърцето,93965
моите,93797
мястото,93571
поговорим,93484
бъдеш,93287
семейство,93203
кола,92799
двама,92670
бяхме,92484
телефона,92422
вижте,92375
виждал,92124
прекалено,91994
проблеми,91838
разбрах,91516
сякаш,91308
имах,91195
сигурна,91165
онзи,90502
намеря,90437
някакъв,90380
мислите,90139
щях,90105
някъде,89873
училище,89655
пътя,89030
според,88735
месеца,88245
познавам,88145
чао,88085
добри,87668
дума,87622
струва,87536
кое,87477
зле,87388
рано,87319
долара,86806
правят,86702
обратно,86517
любов,86111
шанс,85567
цялото,85548
вода,85440
стой,84979
важно,84760
Ало,83593
отколкото,83391
правите,83243
глупости,82761
нашата,82087
звучи,81759
друга,81728
някого,81677
жив,81659
право,81590
история,81471
готови,80908
дръж,80728
същото,80637
бъдат,80490
номер,80354
нашите,80236
нямаме,80225
остана,80113
отиде,80010
приятно,79937
получи,79788
случило,79732
бъди,79516
съвсем,79469
далеч,79394
стая,79331
супер,79269
цял,78975
идвам,78901
помогне,78875
убие,78791
помниш,78663
края,78377
недей,78267
разбра,78222
изглеждаш,78145
намерим,78124
близо,77967
стаята,77923
горе,77730
насам,77662
ужасно,77595
тялото,77553
отидем,77302
отивам,77236
връзка,77213
тръгвам,77177
затвора,76892
накрая,76802
казват,76517
някаква,76165
започна,76001
живее,75863
къща,75612
лицето,75574
причина,75556
пусни,74798
целия,74581
искаме,74556
страх,74509
първи,74477
изобщо,74444
кръв,74420
нов,74238
превод,73833
дойда,73539
повярвам,73441
види,73314
убия,73109
малка,72837
работя,72731
господа,72720
въпреки,72682
лека,72614
късмет,72306
истински,72211
трябвало,72084
мъже,72038
явно,72019
дойдеш,71873
пука,71457
седмици,70887
малък,70859
против,70708
обичаш,70538
четири,70530
Ню,70385
жени,69982
опитвам,69868
навън,69795
ръката,69736
почакай,69659
върне,69604
знаят,69601
човека,69405
сигурност,69368
обадя,69117
утро,69083
мина,68908
обича,68736
агент,68597
когото,68543
информация,68344
иначе,68327
станало,68018
гледай,68002
направо,67977
можеше,67959
снощи,67930
сина,67906
избор,67895
жо,67803
правилно,67740
град,67737
момичета,67565
г.,67559
права,67539
сутринта,67487
р,67302
дошъл,67024
двете,66916
нова,66809
отвори,66672
грешка,66480
сутрин,66398
ваше,66272
д-р,65978
общо,65856
никого,65705
оставя,65182
Д,65109
чичо,64928
храна,64852
война,64494
забрави,64412
Браво,64375
голямо,64348
нужно,64342
дом,64337
едва,64305
внимавай,64269
спрете,63929
случва,63897
хареса,63473
родителите,63213
намерих,63170
харесвам,63088
разбера,62788
познаваш,62750
назад,62479
цяла,62391
детето,62363
отиваш,62184
дошли,62038
можех,62004
онази,61517
план,61427
Чарли,61386
вчера,61305
истина,61232
момичето,61212
напред,61126
тръгна,61109
гледам,61069
твоите,61022
имал,60940
определено,60885
игра,60730
убил,60403
историята,60384
любовта,60183
ръка,60125
върнем,59872
господине,59864
върни,59792
дойдох,59766
та,59647
вместо,59608
умре,59603
взе,59471
представа,59380
смърт,59343
бива,59325
първата,59232
секс,59196
особено,59189
онова,59082
Джо,58938
някакви,58868
очевидно,58844
бога,58839
госпожо,58722
твоето,58550
трябват,58501
красива,58363
господин,58236
вечеря,58209
ръце,58183
шест,58144
спаси,57958
навсякъде,57899
върнеш,57861
хиляди,57838
капитане,57824
луд,57723
Майкъл,57599
врата,57556
смисъл,57416
готова,57385
забавно,57375
излезе,57163
големи,57152
животът,56857
ок,56854
ама,56786
често,56741
кафе,56700
въпроса,56693
успокой,56668
покажа,56577
казаха,56456
онези,56197
досега,55936
невероятно,55927
чу,55926
мразя,55861
Франк,55845
живея,55787
даже,55781
промени,55730
дядо,55713
оръжие,55686
нашия,55623
честно,55607
отдавна,55470
лично,55458
ред,55397
очи,55372
довиждане,55330
момчето,55184
вид,55072
пич,55056
пази,54856
казвай,54744
последните,54658
зная,54643
Йорк,54619
другата,54445
тъй,54370
прекрасно,54076
тип,54015
вашата,53902
месец,53797
възможност,53729
внимание,53719
интересува,53625
задник,53614
отиваме,53568
тате,53543
твой,53498
обещавам,53355
наоколо,53280
съпруга,53275
престани,53246
сила,53201
бъдем,53185
думи,53136
никакви,53056
чуй,53039
вземем,52938
уби,52861
помогнеш,52829
чакам,52798
помня,52743
въпроси,52716
кои,52644
тревожи,52590
помислих,52558
чувстваш,52522
Майк,52513
вземеш,52399
тоя,52232
знаеше,52221
довечера,52123
отидеш,51988
кара,51952
извън,51944
чака,51927
започва,51786
мили,51686
човекът,51622
твоят,51602
боли,51593
нощта,51564
копеле,51503
задника,51245
елате,51209
опита,51164
хубава,51042
дами,50987
капитан,50923
бизнес,50821
щастлив,50803
грижа,50798
идват,50791
останалите,50771
води,50733
Том,50584
някоя,50458
остане,50224
приятелите,50210
повечето,50191
вземе,50066
бъдете,50009
следващия,49881
пише,49843
водата,49801
приятелка,49746
питам,49733
кораб,49624
чест,49566
тръгвай,49337
синът,49275
сложи,49260
държи,49172
прилича,49157
работиш,49143
откакто,48962
силно,48949
разбереш,48909
вашите,48888
всяко,48770
търся,48761
имало,48747
разбере,48736
леглото,48640
връщам,48619
сами,48583
слушам,48546
вярваш,48491
убийство,48489
шефе,48468
намериш,48441
млъкни,48432
доброто,48431
случая,48427
помогни,48400
деня,48371
тъкмо,48363
чуваш,48259
махни,48202
удоволствие,48089
разберем,48045
майната,47900
идиот,47844
нови,47831
Коледа,47756
жените,47617
гледаш,47563
играта,47380
Дейвид,47371
тихо,47336
търси,47325
милиона,47273
жената,47195
малки,47148
мое,46961
новини,46952
ново,46871
болницата,46814
различни,46804
единственият,46699
войната,46647
Сара,46583
постоянно,46516
обикновено,46459
вземете,46301
помогнете,46301
ох,46256
полицай,46217
къщи,46157
използва,46104
живееш,45998
докторе,45752
седни,45710
ваша,45646
доктор,45591
секунди,45562
внимателно,45521
готово,45419
взех,45370
махай,45215
носи,45199
кажем,45150
реших,45146
дайте,45115
лош,45106
оправи,45015
спре,44978
куче,44964
държа,44903
решение,44840
остава,44830
говорите,44751
глупак,44724
оставете,44679
чакайте,44659
десет,44654
нашият,44619
оправя,44615
страната,44614
съобщение,44456
убиеш,44342
своя,44311
миналата,44286
краката,44259
Джордж,44181
филм,44163
офиса,43758
бебето,43715
удари,43684
души,43665
кораба,43653
могъл,43634
це,43631
добрите,43605
помисли,43520
убиец,43473
Бен,43472
видял,43386
хлапе,43377
стар,43326
другото,43217
интересно,43202
видите,43173
отива,43161
държиш,43105
устата,43105
искала,43024
липсва,42882
дано,42853
бихте,42822
Хари,42770
първия,42698
смешно,42637
мила,42606
направила,42583
обаче,42555
кръвта,42476
мерси,42473
завинаги,42461
отговори,42409
чувства,42348
Джеймс,42337
последната,42114
идваш,41968
оръжието,41900
ъ,41835
Питър,41712
проблемът,41675
умра,41671
накара,41669
опитай,41628
подобно,41579
появи,41576
чак,41564
убият,41492
останеш,41472
Америка,41459
невъзможно,41410
адвокат,41381
контрол,41305
мъртви,41299
Хенри,41293
секунда,41277
заповед,41277
нима,41149
мърдай,41144
бяхте,41046
дава,41039
виновен,40955
група,40934
чувам,40908
изпрати,40901
виждате,40767
величество,40695
места,40680
компания,40663
първият,40654
бъдещето,40647
тая,40622
лице,40617
например,40524
сред,40514
минута,40504
ФБР,40417
детектив,40406
ходя,40273
номера,40177
вижда,40118
чрез,40111
притеснявай,40043
началото,40032
Господ,39985
снимки,39904
безопасност,39876
огън,39843
влезе,39783
абсолютно,39772
тайна,39757
отзад,39713
баба,39702
събуди,39664
мислят,39649
мъртва,39647
система,39590
лъжа,39527
крака,39517
нашето,39516
казала,39455
подарък,39401
научи,39309
последния,39304
Мери,39284
чувал,39273
справя,39268
никакъв,39177
Макс,39159
опитва,39150
синко,39076
братко,39004
единственото,38995
нося,38956
добрият,38900
неговата,38878
следващата,38853
смятам,38852
успех,38834
чуя,38770
продължавай,38738
почивка,38713
представя,38632
щастлива,38481
снимка,38472
разкарай,38445
проблема,38430
покажи,38429
момчетата,38426
лейтенант,38416
парти,38410
пуснете,38382
опит,38351
помощта,38317
Джей,38253
голямата,38149
вината,38135
опитам,38088
опитах,38062
услуга,38002
Пол,37993
лекар,37987
екип,37985
нямах,37976
Дани,37942
пълна,37915
пълен,37898
приятелю,37867
отвън,37818
харесваш,37813
сърце,37674
из,37644
музика,37621
спомням,37475
кълна,37428
умреш,37425
ставай,37361
умря,37307
различно,37271
силата,37271
убийството,37256
президент,37253
удар,37235
състояние,37218
лоши,37155
крал,37133
книга,37052
седем,37027
Джими,36975
субтитри,36939
мило,36841
спра,36829
бебе,36805
мира,36805
дадеш,36802
реши,36788
следи,36723
пръв,36720
целта,36703
хвана,36688
виждала,36641
Алекс,36484
поздравления,36418
улицата,36417
започваме,36410
започнем,36405
полиция,36404
първа,36392
сделка,36358
влизай,36249
известно,36235
миналото,36230
тия,36185
твое,36175
последно,36172
направите,36169
силен,36158
избяга,36141
изненада,36039
чисто,36025
добрата,36012
гърба,36007
карта,35993
идеята,35841
побързай,35834
надолу,35815
целият,35787
говорят,35654
грижи,35643
съгласен,35574
хубав,35555
позволя,35548
нямате,35532
окей,35507
успя,35461
ходи,35427
открих,35424
разбирате,35414
книгата,35379
страхотна,35321
боб,35227
караш,35068
нормално,34972
бягай,34880
затвори,34795
казваше,34764
взел,34742
мъжете,34736
никъде,34734
правила,34688
спреш,34657
приключи,34621
гледа,34603
Тони,34582
спрем,34495
върнете,34488
причината,34473
зависи,34466
жалко,34456
сватбата,34434
нямат,34408
земя,34397
търсиш,34394
Ник,34389
казахте,34373
бавно,34342
глава,34330
срещнем,34296
шегуваш,34119
попитам,33964
сержант,33947
телефон,33926
смяташ,33862
спи,33858
леко,33841
истинска,33824
единствената,33681
същата,33675
глупаво,33626
прости,33581
ходиш,33567
Рей,33478
бира,33462
пистолет,33450
кучка,33338
половин,33335
вървя,33332
давам,33267
намира,33212
слава,33208
г-жа,33181
песен,33075
герой,33069
шоу,32990
въобще,32966
относно,32930
правил,32907
кучи,32893
свали,32888
дрехи,32858
опасност,32817
напротив,32813
получих,32797
някакво,32762
приема,32690
жива,32656
търсим,32641
млъквай,32620
напусна,32556
думата,32552
страхотен,32539
ха,32522
вашето,32284
позволи,32270
сметка,32266
сън,32259
носиш,32253
нататък,32219
биха,32165
начало,32159
сили,32078
отнеме,32067
имахме,32059
момичетата,32033
опасно,32031
наложи,32023
направят,31982
обясня,31941
вашия,31931
излиза,31900
убит,31849
естествено,31834
втори,31832
оръжия,31792
другия,31714
направили,31669
оставиш,31643
господарю,31590
цел,31554
никаква,31535
осем,31508
последният,31499
ченге,31497
променя,31472
дадох,31468
погрижа,31445
играе,31422
светлина,31404
красиво,31355
високо,31341
мъжът,31322
пусна,31299
точка,31298
връзката,31280
половината,31186
майко,31169
продължи,31158
чакаме,31153
полковник,31151
тяло,31084
линия,31042
помага,31030
погледна,31013
можах,30997
стои,30954
махаме,30945
обяд,30936
казано,30924
заповядай,30916
лоша,30916
приятелката,30837
забравих,30817
Джейн,30806
първото,30792
съпруг,30701
думите,30678
отговор,30637
същия,30630
доказателства,30624
дойдат,30558
зает,30512
съдбата,30464
вашият,30441
сан,30354
повярвай,30331
станеш,30269
работим,30254
пистолета,30207
слънцето,30082
нуждае,30055
бой,30055
Джони,30031
открием,30016
компанията,29996
Разбрано,29949
говорих,29917
отивай,29894
Лондон,29868
провери,29859
спечели,29848
Джейк,29818
доведе,29745
чай,29734
мадам,29732
срещата,29720
армията,29715
купи,29711
остани,29683
боклук,29636
страшно,29608
болница,29573
Еди,29556
получиш,29550
оставим,29516
дълбоко,29500
погледнете,29468
търсят,29425
живеем,29406
следващият,29394
опитваш,29212
нарича,29183
разговор,29171
важното,29156
проверя,29104
причини,29082
