word,count
ar,2815
eo,2607
ket,2603
h,2406
a,2386
c,2221
da,2099
an,1939
e,1848
ur,1450
n,1407
eus,1279
ma,1277
o,1193
se,1145
ha,1106
zo,1075
petra,908
gant,867
en,850
d,812
un,787
ne,782
oa,744
din,732
war,671
mat,644
ya,634
bet,629
on,541
vo,528
ac,523
m,517
teus,502
mañ,468
deus,461
mont,457
amañ,454
hag,441
ho,440
out,425
evit,417
ra,413
ober,410
dit,403
met,401
er,399
bezañ,393
ran,373
ken,340
meus,336
hoant,331
hon,324
neus,316
na,305
me,303
rez,293
graet,290
deomp,290
gwir,289
neuze,288
unan,285
perak,282
te,279
all,279
re,278
oc,272
hanon,264
ebet,259
piv,258
em,258
vit,256
ret,254
gwelet,251
lâret,240
ta,239
tu,232
chom,232
tra,229
pezh,229
pa,228
vez,224
vont,223
al,220
lâr,217
omp,213
pep,211
hini,210
anezhañ,209
soñj,206
traoù,205
pelec,199
penaos,199
kuit,197
holl,197
pe,194
setu,193
paotr,192
goût,192
he,190
netra,187
deoc,186
peus,186
dra,185
dro,185
anezho,184
ouzh,184
benn,182
vefe,182
oan,179
hoazh,178
raok,175
ni,172
rin,172
ganit,169
digarez,162
penn,162
ganin,153
letanant,150
hanout,148
ivez,147
maon,144
den,144
kaoc,142
du,140
dav,138
hor,137
dezhi,136
fell,135
maout,132
dre,131
bremañ,131
dezhañ,130
deuet,129
nemet,127
marteze,127
bennak,125
vezañ,124
maez,124
sav,123
ez,122
lec,121
kaout,120
lazhet,120
tamm,120
sell,120
ouzon,120
tre,119
vat,119
amzer,115
vel,115
gwelloc,114
kae,114
gast,114
rit,113
dont,113
buan,113
trugarez,113
fall,112
moa,112
hast,109
tout,108
gantañ,107
aet,106
ul,106
ezhomm,105
raio,104
komz,103
sur,102
int,102
kit,101
nann,101
paotred,101
sikour,101
evel,101
Ale,101
ok,99
hep,98
daou,98
prest,98
laouen,98
oar,97
echu,96
Doue,95
welet,95
am,95
tud,93
dezho,92
ri,91
betek,90
revr,90
hed,89
ro,88
klask,86
oas,86
anv,86
Easy,85
hoari,84
mamm,84
arc,84
kaset,84
marv,82
anezhi,81
lakaat,81
az,81
dud,81
arabat,79
brav,79
hanomp,79
zoken,78
stourm,78
klevet,78
sot,77
ouzhin,77
pad,77
peseurt,77
paouez,77
brezel,77
labour,77
forzh,77
dreist,75
i,75
hwi,75
eil,74
faot,74
aon,74
kas,73
aze,73
atav,73
eñ,72
toa,71
dija,71
aotrou,71
soudarded,71
just,70
giz,70
kabiten,69
lakaet,69
goude,69
hoarvezet,69
banne,68
gortoz,68
Salud,68
bras,67
hant,67
soudard,67
abaoe,67
skarzh,67
hanoc,67
het,66
peogwir,66
tan,66
z,66
iskis,65
veg,65
tont,64
wech,64
kompren,64
sellet,64
ganeoc,64
reomp,64
brein,63
serjant,63
doa,63
deiz,63
lez,63
gloazet,62
gouzout,62
distreiñ,62
plijet,62
kemer,62
deuit,61
lazhañ,61
fouzhañ,60
kavet,60
serr,60
toull,60
Company,60
chomit,60
merc,59
marplij,59
harr,59
barzh,58
buhez,58
gentañ,58
bez,57
ganeomp,57
hañ,56
lerc,56
kentañ,56
roet,56
kevrenn,56
baotred,56
hoc,55
ti,55
arme,55
soñjal,54
ganti,54
selaou,54
emañ,54
plac,54
kollet,54
dispar,54
blam,53
nevez,53
saoz,53
hellan,53
pich,53
hi,53
reiñ,53
eno,53
enep,53
diwar,52
noz,52
tapet,52
hell,52
cheñchet,52
bro,52
paourkaezh,52
kalz,52
krediñ,51
Lol,51
cheñch,51
dalc,51
harz,51
vamm,51
devezh,51
bloaz,51
keta,50
de,50
fin,50
gudenn,50
chef,50
dirak,50
mod,50
pell,49
jeu,49
dreñv,49
Pebezh,49
to,49
asambles,49
gêr,48
poent,48
sioul,48
belec,48
walc,47
bed,47
lak,47
gra,47
geo,47
vloaz,46
morse,46
goulenn,46
reont,46
oamp,45
bev,45
voc,45
Shaun,45
rae,44
seurt,44
mignon,44
di,43
maomp,43
vi,43
hent,43
goap,43
putenn,43
diouzhtu,43
fenoz,43
mab,42
vuhez,42
Oh,42
peoc,42
vimp,42
plij,42
Malarkey,42
tro,42
hel,41
tenn,41
kozh,41
doare,41
nebeut,41
Woody,41
plijout,41
vidout,41
sañset,41
plijadur,41
ganto,41
edukatour,41
plijus,40
skuizh,40
gouest,40
kendalc,40
jentil,40
chañs,40
klasket,40
mare,39
kerzh,39
kavout,39
hortoz,39
rank,39
blij,39
Winters,39
Demat,39
kaer,38
nor,38
seblant,38
hit,38
glask,38
hoarvez,38
añ,38
po,38
div,38
dindan,37
Joe,37
mignoned,37
Sellit,37
Jezuz,37
tapit,37
mar,37
rimp,37
azen,37
galloud,37
mervel,37
ofiser,37
bevañ,36
nij,36
memes,36
gav,36
dilhad,36
marvet,36
hiziv,36
anavezout,36
tri,36
vro,36
sapre,36
kont,35
ouzhit,35
taol,35
trawalc,35
digarezit,35
halloud,35
gil,35
blev,35
dad,35
vin,35
dok,35
kac,35
t,35
kudenn,35
noa,35
hellez,34
dare,34
lous,34
koant,34
poan,34
gwellañ,34
tennañ,34
boued,33
sac,33
goudor,33
gomz,33
pennoù,33
batailhon,33
bihan,33
zad,33
maoc,33
soñjet,33
tad,33
spontus,33
grit,32
maint,32
Kelly,32
Dike,32
sirius,32
tadig,32
paket,32
Webster,32
laeret,32
debriñ,32
koronal,31
kastiz,31
nozvezh,31
dec,31
istor,31
sevel,31
munisionoù,31
ouzhpenn,31
mo,31
ger,31
emaomp,31
hepken,31
kement,30
outañ,30
selaouit,30
lâran,30
eur,30
kroget,30
adarre,30
labourioù,30
sutal,30
vidon,29
komzet,29
veze,29
muioc,29
Blithe,29
Istitloù,29
bern,29
lârez,29
raen,29
Luz,29
marc,29
komprenet,29
linenn,29
ranket,29
distroet,29
Team,29
dremenet,29
pegoulz,28
start,28
plas,28
lezit,28
gourc,28
distro,28
Lipton,28
viz,28
Speirs,28
hemennoù,28
rafe,28
soñje,28
tomm,28
Kasit,27
douar,27
tremen,27
kleiz,27
fazi,27
bouez,27
mersi,27
disoñjet,27
Istits,27
yec,27
takad,27
mui,27
Guarnere,27
polis,27
warc,27
aes,27
vije,26
bep,26
gevier,26
warnon,26
dres,26
raimp,26
Curtis,26
breur,26
oant,26
babig,26
eget,26
strollad,26
lod,26
chalet,26
labourat,26
teu,26
trec,26
hoarvezout,25
gozh,25
bugel,25
Voched,25
emaon,25
dazont,25
gorventenn,25
fiziañs,25
mije,25
diwall,25
talbenn,25
memestra,25
welan,25
galloudoù,25
pellgomz,25
dour,25
digor,24
kuzhet,24
Combo,24
etre,24
mezeg,24
Nathan,24
prenet,24
felle,24
armoù,24
afo,24
klevout,24
lârit,24
gwisket,24
tost,24
goulennet,24
emaint,24
K,24
miz,24
greizenn,24
moarvat,23
kontañ,23
Dal,23
biskoazh,23
respont,23
lezel,23
Sobel,23
skarzhet,23
Osterlich,23
medisin,23
diwezhañ,23
dispac,23
neuz,23
Skarzhit,23
hwec,23
santout,23
dieub,23
dehoù,23
munutenn,23
kentoc,23
emaoc,23
diouzh,22
chomet,22
familh,22
gas,22
Tony,22
politikel,22
Toye,22
evidon,22
afer,22
vervel,22
nac,22
rak,22
hwitet,22
touchañ,22
Meggy,22
rafen,22
spered,22
pegen,22
redek,22
Perconte,22
Hitler,22
pet,22
hanter,22
saveteiñ,22
Schultz,22
ouiez,22
bezh,22
pemp,22
diaes,22
Gortozit,21
Sink,21
louskenn,21
kousket,21
horfoù,21
kemeret,21
Nedeleg,21
kalon,21
Alamaned,21
Alisha,21
oac,21
horonal,21
hol,21
Bill,21
rann,21
hellfe,21
lavaret,21
hat,21
dramm,21
pevar,21
hall,21
skoet,21
Bezit,21
Buck,21
laerezh,21
sizhun,21
sklaer,21
galon,21
van,21
krog,21
pal,20
sizhunvezh,20
tremenet,20
vefen,20
servij,20
drol,20
farsal,20
vefes,20
frankiz,20
poa,20
diskouezh,20
Jackson,20
emzalc,20
alemañ,20
stal,20
urzhioù,20
bugale,20
Liebgott,20
vint,20
gellet,20
santan,20
arm,20
Heffron,20
homandant,20
Roit,20
Gadget,20
Bull,20
do,20
Tomania,20
foutre,20
spi,20
warnañ,20
Hynkel,20
lamm,20
fas,20
naon,20
kichen,20
evañ,20
kredet,20
evezh,20
skol,20
post,19
voe,19
skeiñ,19
karout,19
bil,19
beleg,19
ospital,19
enebourien,19
azezañ,19
farsus,19
droch,19
loen,19
hir,19
milis,19
krakoù,19
hwezh,19
tennet,19
bec,19
diwelus,19
koulskoude,19
emgann,19
gompagnunezh,19
tec,19
batrouilhenn,19
eured,19
hennezh,19
Nixon,19
Smell,19
kuzh,19
nemetañ,19
dorn,19
fouzhet,19
ruz,19
gwaz,19
Hey,18
sed,18
aotrounez,18
betra,18
hervez,18
PC,18
diwezhatoc,18
wel,18
eurvezh,18
leur,18
Bastogne,18
Belfast,18
wechoù,18
kenañ,18
derc,18
divarvel,18
fentus,18
Shifty,18
gwall,18
troet,18
kudennoù,18
yaouank,18
posubl,18
bobl,18
nemetken,18
mammig,18
reoù,18
erru,18
Izelvroioù,18
nebeutañ,18
lenn,17
gwech,17
jeneral,17
fliked,17
kreiz,17
el,17
vunutenn,17
Gadge,17
lezet,17
paotrig,17
Rankout,17
foll,17
mezh,17
gwashañ,17
Alamagn,17
pegement,17
mell,17
lorc,17
echuiñ,17
vras,17
tennoù,17
bagad,17
bewech,17
Normandi,17
nefe,17
houlenn,17
egile,17
get,17
tizhet,17
varv,17
neañ,17
mignonez,17
tennit,17
faskourien,17
Milk,17
Simon,17
droad,17
haroz,17
Seblantout,17
meur,17
su,17
fiñv,17
ouien,17
harzet,17
nullet,17
biken,17
Napaloni,17
noazh,16
Dick,16
Airborne,16
Ao,16
major,16
troc,16
taget,16
unanet,16
estreget,16
alaman,16
abeg,16
komandant,16
