word,count
da,6426976
je,6329548
ne,3158673
se,3102283
i,2830329
u,2822017
to,2330105
sam,2199603
na,1572762
ti,1512599
mi,1324715
si,1320231
za,1300428
li,1204668
što,1108337
ja,1040021
su,927826
šta,908059
ali,874395
sa,874249
nije,797949
ovo,734026
te,726858
a,716101
me,712271
samo,706735
od,684068
ga,670368
bi,638845
kako,628301
o,610323
dobro,576926
ako,559697
smo,546655
sve,544423
kao,522415
će,489260
tako,472990
znam,460973
s,449959
mogu,428586
nisam,424726
pa,405615
ste,400765
redu,392767
biti,388273
bio,386028
on,371142
zašto,356748
još,353306
koji,350734
ću,343356
bilo,342217
nešto,339047
vas,327660
hvala,315509
kad,312036
iz,309721
mislim,304373
ima,298168
ovdje,296519
ih,295061
ili,285985
sada,282353
znaš,281879
moj,266404
onda,265664
do,264492
vam,260397
više,251525
možda,248937
rekao,247893
nas,247891
zar,245812
kada,242745
mu,241764
bih,239534
nema,239298
bila,235151
malo,232737
ovde,232600
mene,232148
ona,231890
treba,229758
molim,228086
hajde,222897
tebe,221515
ništa,220956
imam,214059
Hej,212093
tamo,208493
sad,207666
ni,199660
ko,199303
jesi,198251
nam,197982
gdje,197851
možeš,196035
tu,195864
želim,192678
zbog,190477
može,186970
jer,186588
vi,185231
nisi,180440
svi,180156
ljudi,179173
idemo,175061
stvarno,173148
ćemo,171591
po,171508
moram,169387
koliko,165914
jedan,163605
zato,162077
Oh,155717
moja,154535
ćeš,153828
stvari,151387
misliš,151354
gde,148565
baš,148029
koje,147303
nego,143849
bez,142542
dok,142350
ono,140439
već,136877
ovaj,135386
oni,135290
imaš,135171
ok,134750
reći,134144
joj,133332
naravno,131337
gospodine,131316
neće,130794
toga,129903
tvoj,129387
možemo,128000
imamo,127269
taj,126711
koja,126633
posao,126592
moje,124075
sto,123424
reci,123246
dana,123197
prije,122699
Zdravo,120282
g,119813
moramo,119546
radi,119336
nikad,119146
žao,118524
tome,117624
dan,117071
nemoj,116047
kod,115937
želiš,115666
godina,114813
rekla,114152
put,113771
mama,113558
daj,113379
bolje,112801
neko,112164
sta,109906
mora,109640
mogao,109414
bože,108312
vidim,107571
jeste,107173
znači,105957
radiš,105481
hoćeš,105043
izgleda,104722
mnogo,104525
im,103922
meni,102436
uvijek,102371
moraš,102240
dobar,102187
volim,101628
bili,101026
tata,100345
dva,100330
svoje,99564
neću,99289
tko,99120
ce,98911
idem,98614
stvar,97256
evo,93736
vremena,93475
nisu,93024
mislio,92980
vidi,92270
bude,92163
vrijeme,92111
njega,91691
danas,90997
kažem,90488
odmah,90388
znate,89930
imao,89499
život,89488
nikada,89327
tvoja,87644
kući,87550
ime,86719
zna,86486
neka,84772
puno,84765
tri,84639
sranje,82487
tobom,81817
tim,81724
upravo,80739
koju,79812
možete,79629
pre,79191
uvek,78120
svoj,78082
toliko,77854
idi,77521
svoju,77015
neki,76016
mnom,75927
tvoje,75733
jesam,75578
kaže,74535
ide,73920
oko,73708
god,73623
ove,73513
opet,73149
čemu,72171
radim,71957
jednom,71894
nismo,70455
čak,69975
vidimo,69946
sigurno,69620
žena,69322
hoću,69201
ta,69107
novac,69076
tebi,69022
trebalo,68467
nemam,68041
jako,67688
postoji,67160
vreme,67152
godine,67108
ovamo,66916
otac,66900
cu,66743
znao,66681
trebao,66259
puta,65359
veoma,64988
prvi,64986
dovoljno,64967
želi,64806
pomoći,64610
vidiš,64569
njih,64422
imate,64021
prema,63970
dušo,63919
pravu,63903
čekaj,63705
drugi,63230
odavde,63106
problem,62968
niko,62794
slušaj,62568
sutra,62555
jedna,61429
ova,61195
zajedno,61032
vrlo,60981
dosta,60911
sebe,60707
pogledaj,60586
dalje,60413
drago,59749
koga,59416
vrata,59325
ma,58944
dobra,58916
nakon,58821
kroz,58306
vidio,57056
brzo,56783
došao,56725
kažeš,56637
siguran,56498
moju,56464
pod,56169
njim,55098
nekoliko,54781
jednu,54514
dođi,54349
vidjeti,54268
način,54075
mogla,54009
gore,53973
svaki,53959
unutra,53887
ići,53429
uradio,53380
zaista,53031
neke,52774
izvini,52556
ovu,52540
super,52508
par,52342
mali,52222
minuta,52008
dugo,51899
nama,51241
nećeš,50993
desilo,50831
protiv,50502
ćete,50416
mislila,50340
ovog,50179
naš,50121
ponovo,49944
pravo,49913
mog,49846
e,49752
isto,49743
momci,49534
noć,49481
ovako,49263
previše,49210
imaju,49039
mogli,48969
pusti,48937
prvo,48762
jedno,48694
naći,48480
vama,48257
vaš,48083
dogodilo,47971
loše,47838
znamo,47730
večeras,47665
preko,47644
osim,47208
mjesto,47198
kasnije,47126
ubio,46971
auto,46890
video,46866
ovom,46845
nadam,46813
imala,46421
majka,46253
pravi,46203
imati,46132
jednog,46084
budem,46012
čuo,45865
doći,45695
ljude,45531
čovjek,45445
tom,45218
niste,44521
broj,44439
teško,44416
vratiti,44083
one,44033
pomoć,44027
dolazi,43908
stani,43501
želite,43420
sviđa,43363
zove,43244
radio,43128
ruke,43091
budi,43066
Dakle,42977
istina,42817
l,42633
dr,42601
znati,42592
jel,42454
naše,42267
veliki,42201
mislite,41962
imali,41605
ideš,41406
njegov,41372
tip,41289
misli,41224
kakav,41197
mrtav,40932
htio,40880
ubiti,40786
uz,40761
oprosti,40607
izvinite,40533
onaj,40441
pet,40406
vaše,40400
dešava,40230
netko,40025
ju,39763
rekli,39752
nju,39727
kuće,39616
prijatelj,39460
raditi,39316
lepo,39274
dolara,39226
čini,39196
zapravo,39124
vezi,39060
tog,39023
iza,39009
čovječe,38974
bit,38866
dao,38862
novi,38716
hoće,38517
prestani,38443
dobiti,38364
trebali,38354
ovim,38318
vrati,37902
otići,37825
uzmi,37762
lijepo,37758
zasto,37408
jos,37406
no,37354
svojim,37346
svog,37284
oprostite,37063
sebi,36726
trebala,36693
nekoga,36640
sin,36631
tvoju,36617
trebam,36469
veze,36365
posla,36322
drugo,36228
nesto,35961
nazad,35923
života,35866
njima,35796
uh,35776
jednostavno,35557
dobio,35322
govori,35149
morate,35091
poput,35012
budeš,34996
otišao,34992
uraditi,34944
znala,34840
vaša,34737
priča,34700
srce,34672
pitanje,34511
nekog,34424
sama,34393
ipak,34387
Halo,34377
bismo,34298
problema,34161
voli,34138
briga,34032
ćao,33963
gotovo,33889
spreman,33841
njom,33800
van,33790
učiniti,33680
događa,33653
biće,33599
radimo,33569
skoro,33532
drži,33473
gledaj,33397
sati,33385
dati,33006
cemo,32969
mesto,32958
vidite,32933
brini,32909
mom,32903
dole,32893
ovoga,32863
žene,32829
strane,32754
nitko,32682
sjajno,32545
bog,32482
jutro,32476
došli,32469
sigurna,32398
tačno,32332
uskoro,32326
njemu,32288
bar,32225
dio,32123
najbolje,32090
jedini,31962
mala,31766
dvije,31686
čovek,31682
znas,31535
oca,31498
posle,31382
pazi,31222
grad,31027
prijatelji,30931
razgovarati,30928
njegova,30877
dijete,30836
trenutak,30640
glavu,30505
sat,30485
potpuno,30428
važno,30348
stari,30239
rade,30180
nemaš,30167
ozbiljno,30120
pitam,30116
vjerujem,30008
odlično,29914
ljubav,29867
ostati,29772
tek,29756
stalno,29752
morao,29751
pola,29721
Bok,29675
verujem,29519
hteo,29505
naša,29478
tada,29440
druge,29270
uredu,29255
kakva,29209
radite,29168
napraviti,28955
ideja,28945
ranije,28914
velika,28897
nemamo,28784
sata,28782
polako,28750
ponekad,28733
našao,28682
ženu,28658
došla,28642
jasno,28626
čega,28602
kuću,28534
blizu,28494
najbolji,28486
pred,28476
ovoj,28474
lako,28473
napravio,28461
ha,28443
ruku,28347
znaju,28331
brat,28262
između,28216
svih,28138
prava,28106
ljudima,27983
pretpostavljam,27934
osoba,27921
kraj,27920
plan,27747
mojoj,27719
ikada,27680
policija,27649
pričaš,27555
brod,27548
moći,27466
životu,27453
tvog,27425
valjda,27355
vise,27254
dvoje,27232
oči,26999
vec,26972
lice,26942
kažu,26879
nećemo,26861
moji,26757
novca,26756
oružje,26731
dve,26721
pored,26686
draga,26565
odakle,26518
živi,26481
nece,26334
pojma,26316
vidjela,26311
noći,26310
vodi,26307
razumijem,26292
kraju,26213
gospodo,26173
voliš,26165
izgledaš,26004
zvuči,25687
manje,25493
svom,25487
žele,25465
sina,25350
slučaj,25334
laku,25153
vratio,25151
čudno,25114
čoveče,25088
trebaš,24983
slučaju,24943
pištolj,24936
svega,24876
biste,24836
znaci,24803
dolje,24783
mozda,24746
četiri,24733
Isuse,24723
poslije,24700
vjerovati,24522
sobu,24492
čujem,24424
momak,24420
ostani,24284
nje,24197
smrt,24161
jesu,24093
prijatelja,24037
gospođo,23970
uradi,23879
k,23876
takođe,23851
daleko,23831
svima,23800
pitanja,23706
spremni,23651
hoćete,23624
vode,23597
uzeti,23574
dajte,23553
zovem,23503
prilično,23436
ikad,23419
trebamo,23384
sobi,23366
šanse,23363
razlog,23273
Aha,23168
smrti,23150
ispod,23139
uradim,23109
izgubio,23103
mojim,23005
telefon,23004
htjela,22928
nista,22907
rat,22895
ovi,22860
istinu,22826
jebeni,22755
govorim,22749
nemojte,22743
kola,22664
neku,22626
drugog,22465
dečko,22456
našli,22455
gradu,22417
kojeg,22401
šest,22391
razumem,22308
bile,22168
moguće,22055
sine,22041
poruku,22002
jebi,21985
njen,21947
potrebno,21920
ovome,21810
jebeno,21747
sestra,21713
sinoć,21680
učinio,21664
zaboravi,21617
ispred,21551
cijeli,21547
dete,21527
njoj,21518
sastanak,21497
san,21486
d,21469
kapetane,21387
verovatno,21321
uopšte,21302
mozes,21288
čula,21260
želio,21254
volio,21249
deo,21229
umro,21223
dragi,21196
nekako,21185
jedina,21170
svijet,21170
dame,21099
igra,21093
jedino,21064
moglo,21046
uzeo,21027
njegove,21020
zvao,20939
ovih,20935
dođe,20873
krv,20844
mrzim,20826
tražim,20755
nekim,20695
pokušavam,20674
recite,20667
otvori,20600
putu,20511
otišla,20507
dali,20481
necu,20391
čim,20348
govoriš,20341
točno,20285
svim,20255
sva,20232
zemlji,20226
ostavi,20214
oboje,20198
pogledajte,20197
uradila,20152
divno,20149
smiri,20079
kome,20073
zemlju,20037
ljubavi,20020
želimo,19887
Jack,19876
iako,19850
boli,19806
brate,19773
tvom,19766
zelim,19756
bojim,19725
prva,19618
pronaći,19598
svojoj,19570
kim,19555
devojka,19546
drugu,19545
pitao,19485
prijatelju,19461
moze,19424
djevojka,19422
piće,19404
Ah,19382
svijetu,19370
sami,19351
ostavio,19309
poslu,19273
morati,19270
takav,19183
eto,19153
isti,19119
druga,19118
deset,19031
osjećam,19012
videla,18999
čovjeka,18883
niti,18877
ostali,18852
kuća,18841
čuješ,18795
film,18774
onog,18701
nastavi,18663
tih,18653
vidjeli,18636
miru,18635
negdje,18602
poziv,18579
postoje,18532
nikoga,18515
pomognem,18476
kuci,18457
dobre,18446
njegovo,18439
lud,18397
svako,18383
barem,18381
poslao,18349
vjerojatno,18272
kakve,18267
sretan,18238
kraja,18137
ostalo,18119
našu,18073
napolje,18039
pokušao,17972
pričam,17919
odem,17918
spremna,17859
razloga,17840
traži,17827
grada,17800
izlazi,17716
pitanju,17688
budu,17632
muž,17600
zemlje,17517
pomozi,17516
idite,17489
doktor,17486
tvojim,17476
voleo,17470
