word,count
que,107843
no,100678
el,96862
de,96208
a,96115
la,94529
i,61281
és,54138
un,47488
per,46610
en,44382
d',38427
una,36912
l',36848
els,35698
ho,35170
què,30350
ha,28616
amb,26715
va,24839
d,22057
això,21613
si,21558
com,21453
les,20959
hi,20931
em,19382
però,18860
bé,18244
sí,18129
l,16162
he,15844
aquí,14598
m',14593
et,14389
més,14291
tu,14161
es,14094
jo,13734
fer,13189
tot,12162
vaig,12085
li,12062
ser,11527
està,11393
t',11338
molt,11307
meu,10919
has,10475
ja,10262
ara,10231
dir,9957
aquest,9903
aquesta,9600
me,9476
ens,8482
quan,8456
cap,8427
s',8268
res,8162
meva,8084
només,7981
on,7880
te,7837
sé,7505
cosa,7413
se,7372
era,7318
seu,7165
qui,7128
així,6924
sóc,6910
o,6724
us,6670
veure,6450
ets,6435
ell,6428
estic,6414
teu,6334
perquè,6229
mi,6219
puc,6204
seva,6037
són,5969
fet,5961
vull,5938
fa,5764
acord,5707
mai,5619
hem,5585
tots,5514
han,5495
vas,5476
té,5436
gràcies,5403
tinc,5392
teva,5360
estàs,5197
estat,5179
van,5121
senyor,5058
'm,4928
pot,4878
anar,4790
tan,4709
home,4669
casa,4664
saps,4631
n',4607
alguna,4588
vols,4574
pare,4419
temps,4371
ella,4369
tens,4336
fins,4311
potser,4300
encara,4226
crec,4146
dit,4117
'n,4061
també,4017
pots,3975
dia,3884
nit,3876
Hola,3787
p,3771
dos,3770
sobre,3765
ni,3713
't,3693
gent,3614
sempre,3606
haver,3602
vida,3590
després,3586
vol,3550
Déu,3523
algú,3511
havia,3432
sap,3425
ls,3412
anys,3352
abans,3343
coses,3292
passa,3283
mare,3262
mateix,3240
parlar,3218
millor,3215
nosaltres,3210
sense,3206
sembla,3156
altre,3154
tant,3078
estava,3053
llavors,3020
allà,2993
estar,2983
tenim,2945
mica,2938
bona,2936
dona,2929
gran,2928
mort,2902
sigui,2898
ningú,2898
lo,2897
veritat,2888
mira,2879
lloc,2877
hauria,2874
vostè,2837
anem,2776
fill,2720
sento,2688
doncs,2675
fora,2670
som,2640
Oh,2639
vist,2622
plau,2616
tenir,2589
podria,2576
oi,2555
vegada,2505
podem,2497
moment,2496
vinga,2491
seus,2474
diu,2441
matar,2434
deixa,2416
bon,2366
estem,2352
altra,2345
prou,2334
passat,2326
des,2298
segur,2292
ells,2291
saber,2271
trobar,2271
estan,2254
clar,2227
homes,2225
tota,2209
deixar,2203
donar,2203
merda,2203
tornar,2184
massa,2173
passar,2150
meus,2148
aquests,2140
serà,2134
nostre,2127
manera,2118
cop,2109
porta,2090
nos,2086
ei,2051
tenia,2020
món,2008
volia,1992
fas,1976
tres,1940
rei,1936
espera,1897
aquestes,1887
vam,1879
'l,1871
quin,1871
primer,1860
quina,1855
vos,1849
feina,1828
nou,1818
nom,1809
Sr.,1805
germà,1790
part,1777
agrada,1773
sentit,1771
cada,1768
nostra,1747
nostres,1740
fent,1732
diners,1715
amic,1705
raó,1705
altres,1694
totes,1687
uns,1686
escolta,1681
mal,1678
qualsevol,1662
creus,1656
heu,1637
ajudar,1631
família,1618
poder,1613
hora,1608
los,1593
necessito,1592
avui,1579
dins,1578
noi,1563
morir,1559
ben,1531
seves,1528
policia,1522
amor,1503
terra,1496
greu,1489
durant,1487
tothom,1473
noia,1472
debò,1463
sol,1440
teus,1434
sentir,1432
cotxe,1424
sortir,1419
punt,1417
entre,1410
idea,1404
problema,1399
posar,1398
aquell,1398
venir,1396
fes,1385
pensar,1374
deu,1371
bo,1357
portar,1355
algun,1349
guerra,1340
ciutat,1338
dic,1325
tenen,1323
dues,1320
trobat,1318
menjar,1310
collons,1305
vosaltres,1296
sang,1292
amics,1291
seria,1282
Al,1282
dius,1277
dies,1276
contra,1274
acabat,1252
vegades,1251
faré,1250
sabia,1247
nois,1235
cal,1231
pensava,1223
demà,1222
pas,1221
por,1220
arribar,1218
ajuda,1210
cas,1209
dóna,1201
eh,1200
nova,1198
quant,1195
mentre,1183
veig,1182
vingut,1179
aviat,1174
I',1173
vés,1167
filla,1166
tard,1162
anat,1148
senyora,1146
vostre,1130
importa,1125
puta,1125
entenc,1120
començar,1119
hauries,1116
vine,1115
mà,1107
sols,1101
agradaria,1099
suposo,1094
queda,1092
cara,1080
ulls,1079
realment,1067
Ah,1062
sort,1062
faig,1061
moltes,1059
digues,1052
compte,1046
camí,1046
favor,1043
tingut,1042
poden,1036
persona,1035
penso,1033
fos,1030
veus,1026
davant,1017
penses,1012
sota,1012
entrar,1010
història,1010
capità,1005
sou,1003
aigua,1000
petit,999
quedar,997
molts,990
cinc,984
cert,984
fills,980
unes,978
viu,978
costat,976
vostra,974
hagi,973
tal,973
fem,970
gaire,969
espero,967
menys,964
cor,962
val,960
adéu,959
important,957
creure,957
diuen,956
veu,954
prendre,949
primera,949
aquella,943
just,937
hagués,925
nens,925
dones,924
demanar,921
fan,919
mes,909
perdut,909
poc,906
endavant,905
buscar,905
mans,904
persones,901
John,899
servir,898
marxar,892
nen,888
junts,888
malament,885
eren,885
sabem,875
sent,874
única,869
podia,858
tornat,858
creu,854
conèixer,849
hores,848
perdre,846
únic,843
meves,841
hauríem,840
matí,838
mateixa,834
torna,834
minuts,833
força,829
farà,829
'ls,825
tipus,825
any,823
aleshores,819
paio,814
viure,814
faci,812
treure,811
quatre,810
marit,804
forma,801
reina,799
habitació,798
digui,797
parla,796
quants,794
salvar,790
nord,789
treball,789
deixat,787
problemes,786
aconseguir,780
ve,777
vós,776
final,771
germana,765
estimo,762
ràpid,761
eres,760
exactament,760
cos,759
pensa,754
agafar,753
acabar,751
setmana,749
parlant,745
podries,744
necessita,741
doctor,740
oportunitat,736
poble,735
pugui,735
facis,734
pregunta,734
necessitem,734
nena,733
vell,733
'ns,729
conec,726
jove,722
haurà,720
foc,713
fort,710
explicar,707
déus,706
Altesa,701
pla,699
alguns,699
molta,697
teniu,696
vostres,692
culpa,690
prop,685
arribat,683
set,681
possible,678
llum,678
realitat,677
seguretat,675
llit,674
anava,674
telèfon,673
igual,671
ahir,671
volen,671
estrany,669
genial,668
tampoc,666
dur,665
donat,662
esperar,660
fàcil,660
farem,660
resta,660
treballar,659
difícil,659
papa,656
darrere,655
teves,654
banda,654
morts,650
Oliver,650
gairebé,649
agafa,648
camp,648
posa,647
qual,643
sola,643
sis,643
perdona,640
mesos,639
allò,637
esteu,637
segons,636
deia,636
pogut,633
acaba,633
dormir,632
haig,630
seguir,627
quelcom,627
mena,626
s,624
tret,623
última,622
lluny,621
Stark,617
mama,615
agent,615
feia,615
ordre,614
pensat,614
sopar,612
feliç,611
negre,609
açò,607
petita,607
segura,606
dient,603
feu,602
algunes,602
assassinat,598
deixeu,597
ne,597
recordes,595
passant,594
canviar,593
diré,593
faria,592
arma,592
aquells,589
podríem,588
son,587
diferent,584
parell,584
últim,584
portes,584
nau,583
mirar,582
lluitar,581
enviar,580
voleu,577
pau,576
