word,count
to,21745283
se,14848056
je,14325521
a,11927908
že,9264818
na,9202361
jsem,8944664
co,7884984
v,6091861
si,5894543
tak,5013783
ale,4554725
ne,4534223
s,4144845
já,3691981
jsi,3690307
mi,3647140
mě,3518951
o,3314630
do,3159841
jak,2989621
ty,2883949
z,2704012
už,2473260
jste,2415602
jo,2307715
když,2277040
tu,2276387
za,2272652
jsme,2270314
ho,2239724
jen,2234696
jako,2197074
ti,2195079
tady,2072510
by,2023309
ano,1969412
pro,1885444
tě,1794827
dobře,1784775
není,1772006
něco,1723543
byl,1695427
proč,1646987
tam,1605616
teď,1604170
k,1596688
mám,1567084
jsou,1564789
ten,1536983
tohle,1519056
no,1492376
bude,1383566
toho,1373454
být,1359932
vás,1335847
nic,1294684
bych,1270252
vám,1246031
má,1217160
ve,1187937
pane,1178775
kdo,1170812
nebo,1133742
ji,1114796
aby,1111954
tom,1103571
kde,1101732
takže,1094078
ještě,1077258
byla,1039548
po,1039228
bylo,1037379
i,1020683
než,999027
můj,973569
nás,965454
máš,947717
jestli,945887
jeho,945493
od,936924
protože,918712
měl,915621
tím,911495
všechno,906667
prosím,892408
myslím,884963
vy,883114
nikdy,882157
vím,878388
mu,873255
moc,858026
ani,852199
možná,849374
chci,846292
víš,842589
taky,776560
až,745175
tebe,726173
nám,723047
nevím,715969
moje,706442
sem,698679
ta,691995
máme,678177
pak,673060
chceš,662367
pokud,657057
Ahoj,656803
díky,649367
jí,647625
u,637800
pořádku,630857
řekl,629751
říct,627257
on,621398
před,616172
musím,615657
budu,611990
asi,602590
někdo,595925
všichni,590689
tomu,585934
jít,584394
opravdu,571328
dobrý,540743
hej,540278
mít,534520
myslíš,533730
trochu,526717
máte,525919
my,515785
musíme,513347
rád,511836
ze,508726
mohl,505560
abych,502329
který,501114
bys,497432
vážně,492101
pořád,489948
všechny,489425
dělat,482787
víc,474008
chtěl,473282
den,469364
nemůžu,466904
dva,465086
které,464559
jenom,459395
měla,457760
stalo,453189
budeš,451205
můžu,450608
udělat,449850
mnou,449697
jde,444098
pojď,443712
vaše,441057
tvůj,438958
prostě,435299
kdy,431249
čas,431058
nikdo,424945
ať,421873
jeden,415504
může,412393
mně,411491
sakra,410965
další,410679
dost,410548
bez,409471
ní,408621
život,403780
měli,403561
můžeš,399655
lidi,397845
dnes,397187
tebou,395125
děkuji,394791
své,393845
jim,392330
kvůli,392222
bože,392209
musí,389583
děláš,388715
právě,386865
budeme,382592
hned,382517
pár,382500
víte,380851
jasně,379018
udělal,378322
říkal,374498
musíš,374360
dobrá,372495
ses,370966
děje,368697
takhle,367755
velmi,366784
tvoje,359099
věci,357176
hodně,356894
zpátky,356480
pravdu,355866
naše,351910
proto,351314
nejsem,351216
Oh,350890
vědět,349879
vůbec,347941
nechci,347906
té,347062
její,346835
nemám,343138
místo,340011
kam,339599
první,338950
ona,337567
bychom,334226
chce,332359
můžeme,327666
přesně,327514
tři,326717
byli,326612
práci,325256
let,323362
vypadá,322697
myslel,321788
viděl,321129
dlouho,320296
něj,320035
práce,319810
pryč,318401
sám,318023
byste,317603
jdeme,317485
jejich,317065
kdyby,316438
podívej,315946
chcete,313996
mé,309124
svou,306644
vždycky,305400
tobě,304938
zase,302139
domů,299647
ním,299464
věc,296612
mluvit,294677
jednou,292729
dej,291929
dál,291583
sebe,291431
počkej,289726
řekla,288478
ke,286311
někdy,286267
řekni,286221
dobré,285559
Cože,283292
abys,282585
můžete,281000
stejně,280411
promiň,279581
vidět,278873
dostat,278243
každý,275275
lidé,275037
noc,275000
určitě,274938
váš,273901
rychle,272975
peníze,271725
která,270923
nebude,269208
budou,269010
poslední,267774
nejlepší,267317
vlastně,266639
omlouvám,259352
říká,258787
ráda,257044
mají,257001
problém,256494
nějaké,256140
kurva,256139
hele,256051
večer,255596
ok,254701
žádné,254478
spolu,254218
ráno,253730
mohla,253397
nech,252591
jistě,250823
paní,250095
někoho,249955
kolik,249863
snad,248024
přišel,246539
děti,246331
fajn,246135
fakt,245564
mezi,245520
budete,245237
dítě,244497
nějaký,244250
Promiňte,244088
podle,241555
pod,238675
také,238210
chtěla,238107
žádný,236803
pravda,235915
dvě,234702
znamená,234558
vše,234154
otec,233893
těch,233712
lepší,233704
svůj,233126
chvíli,232792
sis,232324
jedna,231789
při,230972
lidí,229902
jméno,229666
nebyl,227934
ven,225785
třeba,225684
znovu,225128
náš,225039
úplně,224712
dokud,223722
čem,223030
jdu,222862
celý,222024
myslíte,221957
stále,221282
mami,220959
tenhle,220457
zlato,220202
samozřejmě,219392
člověk,218843
najít,218711
kterou,217939
tati,217458
potom,217133
dostal,214890
muž,214572
dát,211577
žena,210766
vidím,210104
dal,207932
mohli,207346
proti,207254
dělá,207195
přes,207194
pomoc,206011
potřebuju,203039
pohodě,202588
zítra,202225
líto,199670
nich,199278
zrovna,198542
jedno,196899
mého,196099
věděl,194066
nemůžeš,193516
jdi,193203
byly,192007
ví,191576
nemá,191167
oni,189262
jaký,188272
neměl,188166
musíte,187471
zabít,186015
svého,184943
běž,183701
pomoct,183239
říkám,182810
pan,182548
muset,182193
dneska,182176
auto,181886
štěstí,181045
jednu,180692
doufám,179998
tvé,179862
pozor,179287
děkuju,177238
teda,176773
abyste,176767
doma,176336
kdybych,175649
přece,175367
minut,173620
tolik,172779
vámi,172671
tedy,171811
příliš,170981
vlastní,170832
myslela,170809
námi,170158
sama,169840
celou,169710
nebudu,169432
řeknu,169186
nejsou,169076
sebou,169039
kteří,168998
toto,168597
nechat,167817
slyšel,166488
