word,count
jeg,6024485
er,6024443
det,6021072
du,4567277
ikke,3396199
at,2695751
i,2620575
en,2500431
og,2287111
har,2224911
vi,1948061
til,1758441
på,1684253
hvad,1556926
med,1514705
så,1489493
mig,1486587
for,1478691
der,1437351
dig,1421351
den,1401810
de,1385509
han,1383101
kan,1289116
af,1172031
vil,1118011
var,1112213
her,977743
et,934927
skal,926843
men,855253
ved,847150
om,807420
nu,762844
ja,717914
som,694458
nej,656122
min,653321
hun,633965
noget,620153
ham,615513
bare,549582
være,546788
din,546769
hvor,521601
kom,496996
os,496275
må,495231
hvis,494753
dem,482570
ud,479979
fra,442355
godt,434393
have,428646
se,423094
ville,413263
gør,388570
okay,364303
lige,339612
alle,337842
hvorfor,328687
op,326652
sig,304730
hvordan,300455
tror,300044
hende,298007
lad,292567
tak,291584
gøre,289052
kommer,281654
kunne,276236
eller,271944
få,271702
meget,268697
havde,264175
ingen,262446
nok,260112
hvem,254929
gå,254820
da,253937
bliver,249925
tilbage,249242
efter,248199
går,246041
man,244136
alt,237993
sagde,237503
når,236576
måske,221422
mit,217942
ind,215593
også,213960
vores,212425
hans,209229
jo,208435
nogen,207070
aldrig,206794
skulle,205009
mere,204972
far,202470
Hej,202038
lidt,201407
får,201302
over,200922
selv,200621
siger,200016
to,198822
blev,197214
dit,188850
jer,188590
kun,188378
ser,186283
sådan,185261
igen,179285
sammen,176082
mand,175752
tager,171854
mor,171737
deres,168095
hele,167217
mine,160291
hold,158638
dag,158284
dette,156743
komme,155530
væk,155329
tage,155158
end,153360
ned,153049
undskyld,152373
gjorde,152033
fordi,150917
sige,150586
før,150299
været,149981
denne,147678
blive,146933
år,143785
helt,143561
tid,140187
fik,139030
gang,137318
god,137152
sted,136008
laver,135659
nogle,131636
mange,128238
dine,127554
tag,126376
folk,121183
brug,120148
mener,119846
ting,119487
Åh,118959
siden,118460
finde,116223
altid,115826
tale,114391
stadig,113898
virkelig,111946
hjem,110962
lille,110149
anden,107654
kender,105762
liv,105062
vent,104222
andre,103013
elsker,102403
fint,101771
ret,99508
uden,99492
intet,99382
tog,99309
gerne,98495
mod,96632
klar,96506
vej,96305
set,96022
gud,95401
tre,93547
lide,93139
hjælpe,92921
vel,91583
hendes,90970
vide,90699
troede,90282
død,89406
sidste,89073
bedre,88477
gjort,88388
sker,87599
fanden,86435
gik,85966
hør,85580
giv,84864
samme,84047
nå,83001
hen,82620
første,81928
vidste,81755
jeres,81665
ven,81611
forstår,81425
hjælp,81323
sin,80700
blevet,79625
arbejde,79116
andet,78946
penge,77622
give,77389
giver,76790
aften,76337
høre,75362
burde,74215
eneste,73936
skat,72057
under,71924
endnu,71471
holde,71432
hr.,71359
bruge,70895
navn,70387
længe,70343
morgen,70212
taler,69937
vær,69653
står,68155
bedste,68104
sikker,67908
fortælle,67785
fandt,67052
venner,66608
synes,66239
døde,65303
finder,65176
tro,65138
måde,64892
nødt,64045
sir,63556
skete,63495
sikkert,63362
stop,62319
verden,60979
selvfølgelig,60904
hver,60369
hedder,60192
holder,60150
par,60075
engang,59654
fået,59621
hos,59450
flere,58807
ude,58442
først,58181
stor,58064
behøver,58047
betyder,57151
bange,56872
ellers,56659
snart,56484
søn,56316
fyr,56084
næste,55694
faktisk,55570
børn,54985
vist,54697
ked,53608
pige,53542
store,53257
gav,52883
prøver,52359
Hallo,52320
øjeblik,52233
ihjel,52222
mænd,51615
derfor,51611
tiden,51578
ligesom,51024
familie,51011
gode,50965
lade,50951
gange,50064
nye,50031
mennesker,49830
gamle,49718
dø,49143
lave,49086
alene,49084
dage,48824
disse,48307
møde,48302
stille,48265
fem,47633
allerede,47553
én,47522
kone,47471
galt,47424
slå,47314
skyld,47211
huske,47154
fundet,47067
mr,47040
altså,46827
ønsker,46589
dræbe,46512
sagt,46466
grund,46375
taget,46000
ses,45945
minutter,45792
slags,45777
rigtig,45686
arbejder,45672
hey,45630
orden,45628
rigtigt,45248
hvornår,45119
bil,44897
længere,44729
farvel,44401
helvede,44344
begge,43689
herfra,43513
glad,43377
hørte,43352
del,43021
bliv,42938
hørt,42938
lort,42663
rolig,42349
fejl,42334
hører,42316
dør,42299
bilen,42238
fortæl,42162
lyder,42153
kommet,42040
pas,41897
ok,41780
Mr.,41652
hurtigt,41553
hinanden,41439
langt,41321
håber,41267
senere,41255
fire,41122
barn,41038
klare,40928
politiet,40807
kører,40799
kvinde,40760
virker,40620
haft,40619
venter,40573
frem,40511
hvilken,40421
pis,40405
l,40345
rundt,40208
side,40142
heller,39954
bror,39939
sket,39784
