word,count
ich,8206679
sie,5337535
das,4351429
ist,4231175
du,4129116
nicht,3850503
die,3503121
und,3206490
es,3195746
der,2438967
wir,2408010
was,2386695
zu,1990971
er,1906502
ein,1853462
in,1740327
ja,1445900
mir,1429421
mit,1415765
den,1305395
wie,1304519
mich,1252988
auf,1241323
dass,1195296
aber,1172678
eine,1166150
so,1125397
hat,1094087
hier,1068148
haben,1030789
sind,1028518
für,1026483
von,995543
dich,968944
war,965085
wenn,962633
ihr,928838
nein,889731
an,882801
habe,871593
noch,803250
da,795964
bin,793502
nur,787153
dir,777988
einen,747883
sich,742568
uns,734214
hast,711262
dem,653712
kann,634980
gut,630855
auch,620923
ihn,620783
schon,618658
sein,612296
als,611096
jetzt,609169
mal,606937
aus,603689
dann,597149
meine,587182
um,583409
im,569102
wird,548732
mein,542316
bist,537329
doch,528122
alles,512920
weiß,493357
keine,490257
oder,476748
nach,462800
nichts,433518
man,421942
werden,415180
will,411604
wo,410706
ihnen,409868
muss,405566
etwas,395523
mehr,394357
Oh,390036
bei,383443
also,379040
bitte,369268
immer,362730
warum,354586
vor,347818
los,347763
wieder,335276
können,334216
hab,332937
sagen,329207
Mann,321436
alle,320612
geht,318032
machen,316561
sehr,316429
danke,314795
denn,310904
zum,308686
ihm,306597
tun,305789
euch,302103
sehen,301149
gehen,300897
wer,300490
einem,293662
diese,293279
vielleicht,290651
ihre,288288
komm,285012
einer,283317
über,275173
deine,268740
wissen,267921
müssen,265415
soll,263867
nie,262939
werde,261866
okay,255615
wirklich,253754
kein,251757
weg,249332
Hey,247284
viel,245682
gibt,243407
würde,242385
des,241709
tut,238862
leben,236733
einfach,231900
am,228526
hatte,224905
willst,223425
Zeit,222434
kommen,222173
dein,220079
weil,219055
kommt,216247
heute,214997
wollen,214125
ganz,209442
damit,209012
ok,208120
wäre,206289
weißt,204158
Frau,203385
wollte,201681
bis,201245
gesagt,200854
sicher,199927
nun,199602
wurde,195607
leid,194997
Na,193084
kannst,190918
zurück,190299
dieser,189631
macht,188769
lassen,183429
Gott,182517
meinen,180350
Hallo,178262
seine,177601
hätte,172459
zwei,171779
genau,164875
waren,163526
zur,162413
lass,161891
könnte,161602
klar,157727
morgen,156520
Mr.,155324
Leute,153519
Vater,153318
ab,150756
schön,146867
glaube,146744
Tag,144756
gesehen,144223
gerade,142360
wohl,140968
reden,140779
Sir,140036
Geld,139575
durch,139413
liebe,138201
sagte,138146
raus,137604
unsere,137556
sollte,136720
jemand,136276
keinen,136003
Mutter,132693
ob,132170
paar,130050
gemacht,129920
besser,128943
dieses,127805
passiert,127791
dachte,127640
gehört,126464
selbst,126254
musst,126138
wieso,125446
ohne,125070
her,124675
mach,124341
hör,123791
möchte,123643
anderen,121111
meiner,119765
Nacht,119549
diesen,119065
wirst,118733
helfen,117756
gute,116743
finden,116100
lange,115998
sag,114853
meinem,114812
natürlich,114784
sei,113992
gar,113689
weiter,113401
dort,113009
ins,112875
Ach,111848
geben,111207
sagt,111116
seit,109164
Ordnung,109080
gleich,108992
recht,108792
hören,108459
vom,108417
ihren,106715
richtig,106624
geh,106001
davon,105541
dafür,104733
diesem,104521
hin,102644
Mädchen,102114
sieht,101649
Hause,101606
wegen,101513
sollten,100768
viele,100563
sollen,100173
Freund,98846
deinen,98746
Haus,98699
drei,98526
Abend,98225
guten,96912
Welt,96875
denke,96635
unser,96080
Menschen,95960
tot,95838
bleiben,95596
Angst,95369
warte,95330
habt,94965
machst,94371
essen,94320
unter,94205
schnell,93449
zusammen,91712
rein,91605
andere,91313
nehmen,90442
Scheiße,90340
eines,90244
geht's,89723
getan,89501
erst,89006
darf,88738
bringen,88700
glauben,88610
genug,88557
Kinder,88162
junge,87896
brauchen,87562
ganze,87442
gegen,87171
Moment,86482
Herr,86124
seid,85594
sonst,85464
steht,83117
Musik,81841
heißt,81213
fragen,81098
Arbeit,81097
warten,80803
niemand,80747
dabei,80160
sofort,80073
ihrer,79967
Jahre,79258
Familie,79192
bevor,78379
einmal,77704
stimmt,77214
verdammt,76966
Sohn,76687
Problem,76125
brauche,76072
wann,75437
allein,75368
sprechen,75211
fertig,75015
jeder,74969
halten,74299
hatten,73993
beim,73959
halt,73810
Hilfe,73587
beide,73540
Sache,73389
warst,73073
Bruder,72998
gern,72881
siehst,72652
gefunden,72589
konnte,71700
Jahren,71655
seinen,71256
kam,71048
wahr,70952
Kind,70894
darüber,70520
dazu,70175
verstehe,70006
wusste,69662
denken,69566
daran,69541
lieber,69006
könnten,68867
würden,68865
Männer,68857
kennen,68613
Dank,68523
deiner,68250
egal,67991
ihrem,67987
sehe,67804
deinem,66846
sieh,66808
'ne,66720
Fall,66598
Stadt,66554
vergessen,66533
frage,66502
komme,66296
gib,66290
sage,66260
mag,65703
jeden,65617
mache,65206
Uhr,65096
Kopf,64409
Namen,64256
fahren,64057
eigentlich,63870
Baby,63502
töten,63444
kleine,62909
echt,62817
all,62469
gehe,62450
letzte,62163
Freunde,61968
Ende,61961
Glück,61883
später,61851
gab,61820
Minuten,61269
bekommen,60928
eure,60809
bald,60781
eins,60761
Dad,60637
darauf,60273
sterben,59998
Hi,59571
weit,59447
Tür,59358
Dr.,59282
Dinge,59075
meinst,59030
bereit,58987
vielen,58841
seiner,58576
Jungs,58544
runter,58507
Augen,58073
toll,57627
stehen,57351
bisschen,57191
Auto,57092
Ahnung,56948
draußen,56906
Polizei,56475
kenne,56401
hätten,55694
fast,55092
vorbei,54800
