word,count
la,20164
mi,17558
vi,15193
ne,12151
estas,12043
kaj,7611
ĉu,6499
de,6421
ni,5925
al,5882
en,4620
li,4222
ke,3902
ĉi,3594
por,3381
tio,2810
sed,2675
ili,2525
tie,2498
kiel,2398
vin,2260
min,2113
pri,2085
jes,2005
mia,1998
kun,1960
kio,1934
estis,1928
kion,1906
ĝi,1873
povas,1810
kiu,1770
tiu,1717
via,1695
ŝi,1589
ĝin,1572
volas,1547
se,1535
tion,1470
bone,1462
havas,1428
do,1408
pli,1341
nur,1330
nun,1317
oni,1299
scias,1223
kial,1159
lin,1086
devas,1075
el,1030
kie,989
kiam,984
unu,915
tiel,899
ja,860
sur,852
jen,846
jam,835
da,829
ankaŭ,825
nu,824
pro,789
tre,788
per,777
ĉiuj,769
vian,756
ilin,743
estos,737
diris,737
dio,736
je,731
aŭ,731
tiun,717
Ho,691
iru,685
nin,658
nia,645
sinjoro,645
ankoraŭ,640
ĉar,638
mian,619
dum,611
ĉio,604
esti,598
plu,594
dankon,579
eĉ,577
venu,572
vere,571
neniam,548
diras,547
ĝis,543
homoj,540
eble,534
ion,531
tiuj,527
iu,518
du,513
fari,499
s,496
tien,495
post,484
antaŭ,482
ol,481
faris,481
ĉiam,475
ĉe,473
bona,465
bezonas,458
plej,448
faras,446
ĉion,446
kia,445
rigardu,443
tiom,443
patro,433
bonvolu,430
certe,429
bonan,425
tuj,425
diru,422
kiuj,412
tro,404
vivo,398
lia,396
sen,389
vidis,389
paĉjo,386
poste,385
pardonu,385
saluton,380
panjo,377
mem,377
tempo,376
neniu,375
tute,363
atendu,362
ŝin,361
kiom,360
vidas,358
lasu,352
ci,346
pensas,342
estu,341
ro,341
kiun,339
ek,338
viaj,338
laŭ,335
okazas,324
okazis,323
for,323
diri,321
faru,321
iom,320
multe,319
venis,317
hodiaŭ,317
nenion,316
homo,315
tiam,311
petas,310
io,306
ha,305
mondo,302
estus,301
komprenas,300
alia,297
miaj,296
granda,292
tamen,289
nenio,288
ĉiu,279
iras,276
donu,275
kien,269
vidi,269
rapide,267
iri,264
sian,263
jaroj,259
kontraŭ,257
ŝatas,256
patrino,256
havis,251
venas,251
tri,251
viajn,248
aliaj,246
povus,245
parolas,242
tagon,241
denove,241
niaj,240
volis,239
bela,237
ajn,232
a,232
eblas,231
sankta,230
tia,228
kredas,228
sia,227
sinjorino,226
cxu,226
aŭskultu,225
ĝuste,224
rajtas,224
Cervo,224
unua,224
faros,223
kara,222
prenu,222
nek,220
arbaro,218
sin,216
restu,216
ekzistas,215
morgaŭ,215
filo,214
sola,214
konas,212
ĉiujn,212
kune,210
opinias,209
iros,208
tuta,206
He,204
vidu,201
ĉesu,198
gravas,197
timas,196
ŝajnas,195
l,195
helpu,194
alian,193
infanoj,191
nomo,189
trovis,188
sentas,187
afero,186
necesas,185
vivas,183
viro,182
knabo,182
inter,182
venos,180
ekde,180
iam,179
morto,176
simple,174
tra,174
preskaŭ,174
paroli,174
amas,173
povis,172
tago,172
longe,172
tiujn,172
povos,171
vivon,171
amiko,170
pensis,169
mortis,169
devos,168
baldaŭ,168
sub,168
Hej,167
kompreneble,167
bedaŭras,167
frato,166
foriru,165
tutan,165
fartas,165
tero,161
nian,161
edzino,161
helpi,159
revenos,159
domo,158
loko,158
bonege,157
haltu,156
antaŭe,155
atentu,155
vera,155
unue,155
iun,154
reĝo,153
sciis,151
aspektas,150
aŭdis,150
laboro,150
milito,149
kvazaŭ,149
devus,148
deziras,148
virino,147
