word,count
que,38337899
de,38314810
no,33470423
a,25694283
la,24330688
el,20239589
es,18753395
y,18665056
en,18052138
lo,16327720
un,15106945
por,11878663
qué,11381939
me,10553488
una,10231526
te,8436449
los,8374029
se,8154672
con,7995023
para,7483039
está,6665411
mi,6447637
si,6301377
sí,6204240
pero,6186917
bien,5595332
eso,5483411
su,5370079
las,5344244
yo,5098731
tu,4477945
del,4433960
aquí,4408277
como,4280528
al,4256912
más,4030466
le,3835790
esto,3570256
todo,3423035
ya,3010731
estoy,2920915
ahora,2919790
vamos,2899980
muy,2853442
esta,2846731
algo,2824251
hay,2787200
así,2721369
ha,2701957
tengo,2566223
bueno,2533171
tú,2514019
estás,2513820
sé,2479916
cuando,2455126
él,2429442
nos,2406427
cómo,2343640
nada,2328467
este,2293647
o,2190539
puedo,2188389
tiene,2167698
ser,2150483
quiero,2147072
hacer,2091908
fue,2077210
gracias,2075978
he,2057579
soy,2056056
vez,2036932
ella,2029665
sólo,2005304
era,1993233
todos,1887736
tienes,1838030
son,1825492
eres,1775034
porque,1772417
creo,1734369
sabes,1681798
ese,1679805
voy,1677514
puede,1666217
estaba,1612091
Hola,1596314
entonces,1573305
verdad,1556469
quién,1554202
solo,1551855
sus,1536197
casa,1526283
usted,1506625
tiempo,1504192
dónde,1499771
tan,1493966
esa,1493118
dos,1490490
nunca,1487509
favor,1464288
señor,1423890
quieres,1414168
va,1407681
mucho,1373648
mí,1365337
siento,1357054
Dios,1349444
están,1329466
mejor,1329130
hace,1325642
tenemos,1321722
ti,1293239
puedes,1276670
hombre,1275562
sin,1262193
sobre,1261042
decir,1249119
has,1248477
también,1241689
Oh,1231625
vida,1225448
ver,1224789
alguien,1214500
ahí,1207758
hasta,1139930
cosas,1124111
siempre,1119346
años,1096956
antes,1092060
ni,1080735
ir,1075603
uno,1074056
estar,1059866
día,1049222
estamos,1041854
mis,1039059
poco,1019288
noche,1011596
hecho,1010836
otra,983622
nosotros,979549
sea,970841
acuerdo,969912
gente,965160
parece,949962
trabajo,947944
Sr.,943969
nadie,940319
mismo,931792
padre,926952
mira,920251
dijo,915406
quiere,901468
vas,891056
ellos,881404
hablar,870379
tal,858419
podría,850309
les,833292
pasa,828117
fuera,816604
han,812199
mundo,807028
después,801466
desde,798242
claro,789841
otro,784660
dinero,782339
momento,773391
seguro,768822
estado,768209
donde,761886
lugar,759823
tus,755065
hijo,753004
podemos,750088
tener,742183
sabe,737992
haciendo,736922
espera,736483
amigo,734750
había,733242
mañana,727356
tenía,726312
cosa,718514
tipo,717334
madre,709884
nuevo,709813
mierda,696612
necesito,696347
menos,696165
sido,694398
nuestro,684306
allí,672936
gran,669394
papá,652939
dice,648852
dije,647918
tres,645959
luego,645908
mamá,644829
días,640442
oye,638193
buena,633597
crees,632969
mujer,632118
vale,627542
hoy,623159
nombre,620355
gusta,620306
será,618381
buen,603480
conmigo,602580
todas,601975
parte,601703
mío,599458
haber,599202
estas,596780
nuestra,592761
quería,590840
mal,586818
debe,586231
aún,578761
toda,572478
hacerlo,564947
tienen,558504
cada,557639
importa,555863
visto,549673
contigo,545105
ven,541857
saber,539226
razón,536148
realmente,535019
alguna,527168
serio,519768
hizo,519108
veces,518555
tanto,517519
problema,517016
hemos,516959
hora,516065
idea,513251
quien,508414
cierto,507574
tarde,497197
ve,494440
demasiado,484689
ustedes,481823
entre,475904
policía,473426
familia,471609
haces,469763
estos,468593
esos,468243
debería,460511
dicho,460361
amor,459452
pasado,456486
eh,454120
hombres,451654
veo,446883
salir,445832
unos,444792
chica,443863
cuenta,441094
algún,439668
amigos,438288
hermano,433060
van,431350
vaya,429875
cabeza,429084
todavía,427013
quizá,424512
chicos,418706
somos,415944
lado,415313
debo,412649
digo,411633
sabía,411434
pensé,410430
pueden,410258
pasó,405779
cariño,402097
muerto,400755
forma,398695
buenas,397856
mientras,397543
cualquier,396271
hice,389911
sería,388572
rápido,386488
camino,384957
chico,384647
caso,379884
puerta,379651
esas,379458
contra,378458
primera,377781
ayuda,375942
cuál,373696
volver,373668
muchas,373212
ves,373209
hablando,372273
dentro,368852
Ah,368152
personas,367838
supuesto,365863
entiendo,365218
adiós,365000
pues,364405
genial,364333
casi,364324
historia,364096
nueva,361818
minutos,359736
hacia,359130
supongo,357631
durante,356347
ciudad,355870
manera,355624
significa,354013
primero,352668
persona,349975
iba,349865
pasar,349350
suerte,348954
señora,348697
niños,346321
cuánto,344858
pronto,344142
quizás,342419
espero,341857
juntos,338339
dijiste,337593
año,337145
semana,336477
muerte,336050
vi,334959
siquiera,333656
debes,326764
deja,325220
cuidado,324351
venir,323763
esposa,323657
poder,322926
manos,322867
feliz,322330
horas,322104
dejar,321840
hija,320694
miedo,320604
problemas,319708
haré,318267
corazón,317287
importante,315465
adelante,315174
nuestros,314897
allá,314496
mano,314113
gustaría,313809
da,313802
ojos,313357
viejo,311204
agua,311048
bajo,309571
justo,309184
jefe,308688
tío,308330
hey,308122
niño,307423
cerca,305029
cara,304489
viene,303846
cinco,303704
único,303276
otros,302670
guerra,302455
sigue,302308
realidad,301729
mas,301576
buenos,301546
déjame,300565
encontrar,298076
hiciste,294899
fin,293878
ninguna,293077
ningún,291967
suficiente,290614
auto,290285
sangre,289980
necesita,289348
noches,289330
haya,289211
arriba,289024
escucha,287283
llegar,286943
cuándo,286918
grande,285235
llama,284949
tierra,284356
tomar,283996
toma,283631
equipo,283036
debemos,281487
listo,280401
loco,280104
bastante,279952
punto,279622
os,279018
necesitamos,278964
dices,278701
cuatro,278678
capitán,278631
hago,277398
pueda,276317
venga,275452
clase,274686
misma,274414
hubiera,274201
pequeño,273409
algunos,272685
difícil,272581
última,272218
aunque,272143
vete,270875
quieren,270333
doctor,269701
primer,269517
entrar,269103
deberías,268281
vuelta,267686
igual,266916
cree,266099
habla,265556
pensar,265342
atrás,264406
fui,262977
abajo,262969
morir,259443
cuerpo,257751
