word,count
on,4108394
ma,3490297
ei,2985977
sa,2319177
see,2288468
et,1995519
ja,1855608
ta,1713492
kui,1252371
seda,1029481
kas,982777
me,883310
mis,873181
mida,784317
pole,753725
jah,652137
aga,627962
oma,618452
siis,609750
nii,584131
olen,575212
ära,570146
oled,560795
oli,547530
siin,537783
mu,534262
nad,532415
kõik,527791
selle,491952
mind,484361
midagi,479814
te,436541
mul,423878
mulle,408394
kes,396760
minu,395471
nüüd,380203
su,380187
sind,376763
kuidas,359363
ole,349740
ka,336350
mitte,331863
välja,327507
tema,326015
mina,325350
nagu,322529
sinu,319908
sulle,302912
veel,302391
miks,301523
tagasi,290851
meie,290064
või,286856
sul,280185
küll,275806
hea,268430
sina,268417
väga,257297
teda,256834
saa,253867
seal,247515
teie,244673
olla,237518
üks,235673
lihtsalt,229170
kus,225380
need,224603
oleks,209869
siia,205801
kuid,204145
palju,202067
tead,198493
palun,197812
eest,197445
tea,196364
teha,195717
hästi,194720
tule,191679
pärast,191555
sellest,188882
tean,188751
meil,186741
oleme,183540
juba,182973
Tere,180153
olgu,178641
keegi,177615
isa,167495
ainult,166947
võib,164806
peale,163158
neid,161755
tahad,158062
pean,156480
ju,154922
tahan,154862
tänan,153575
kunagi,152410
talle,151256
just,149267
vaata,148393
mees,147098
sest,142678
tee,142378
maha,140473
minema,138829
teed,138323
saab,136482
meid,134425
tal,134379
läbi,133389
üle,132548
teid,131615
ema,131220
asi,130533
enam,130442
kohe,128053
vaja,126561
läheb,125925
Oh,124854
olete,124291
vaid,123645
olnud,123485
arvan,123396
pead,123284
koos,122222
vastu,121990
tõesti,121887
mine,120535
enne,120241
tuleb,119239
taha,118142
jumal,116369
Hei,115796
üles,114884
aru,114866
olema,114046
aega,113914
anna,113320
nende,113207
kaks,112874
peame,112248
täna,110844
korras,110795
saan,109896
minna,108791
sisse,107111
kinni,105251
sinuga,104326
ise,103947
elu,103741
isegi,103674
kogu,103185
öelda,102984
olid,102775
ikka,102268
