word,count
ez,156837
da,100518
eta,90949
bat,54519
dut,52850
egin,41053
zer,40980
duzu,37026
bai,36218
nahi,31274
behar,28432
du,28393
baina,28332
hori,27930
nire,25049
naiz,23614
izan,23243
zure,22602
esan,21641
dago,21406
zara,20681
hau,19731
ere,19260
dugu,17850
ari,17116
zen,16924
egiten,16083
dira,14943
hemen,14728
zuen,14192
egingo,12149
ezin,12113
nuen,12033
ondo,12014
bere,11484
oso,11475
zu,11446
nik,11333
uste,11287
orain,11155
al,10916
izango,10712
zergatik,10518
joan,10229
jauna,10010
ni,9866
ongi,9760
asko,9529
dute,9305
beste,8920
ikusi,8880
dizut,8810
hitz,8639
gara,8534
edo,8417
nola,8358
zaude,8183
gure,7878
zuk,7777
ezer,7768
nago,7396
dena,7258
eman,7194
utzi,7116
baino,6851
dela,6822
ezta,6781
zerbait,6580
Kaixo,6520
egon,6511
non,6473
etorri,6448
hil,6349
bezala,6341
den,6284
batean,6264
dakit,6020
mesedez,5959
gauza,5904
bakarrik,5889
gehiago,5848
bi,5764
ditut,5739
gero,5721
goazen,5676
hartu,5662
ba,5533
ona,5367
barkatu,5284
aita,5271
hor,5221
entzun,5212
gabe,5008
beharko,4998
ikusten,4951
tira,4894
inoiz,4827
benetan,4796
badakit,4784
horrela,4774
egun,4729
zaitut,4705
nintzen,4688
nor,4688
begira,4674
ama,4653
sentitzen,4648
eskerrik,4615
orduan,4603
beti,4588
bera,4552
esaten,4532
gizon,4512
gaur,4447
daude,4349
badakizu,4337
didazu,4323
zenuen,4304
duzue,4174
ematen,4163
arte,4146
sartu,4070
gertatzen,4048
ditu,4027
urte,4011
mila,3954
diot,3851
esker,3840
baten,3802
beraz,3798
oraindik,3781
lan,3771
egia,3757
lehen,3729
bada,3698
batek,3689
egongo,3617
neska,3599
horrek,3597
baduzu,3595
ados,3591
zait,3582
duen,3574
alde,3561
zuten,3552
kaka,3530
berriz,3509
ezazu,3505
zein,3488
jakin,3487
maite,3483
hain,3446
ulertzen,3440
duela,3435
dituzu,3412
atera,3405
dio,3404
nuke,3385
bizi,3362
itxaron,3349
ezagutzen,3310
zaitez,3304
esango,3293
guztiak,3283
zoaz,3232
aurkitu,3210
ziren,3209
batzuk,3194
ditugu,3190
diozu,3179
hemendik,3152
joango,3133
daukat,3114
hona,3105
guztia,3095
gertatu,3060
jarri,3059
horiek,3057
bila,3056
egiteko,3048
zenbat,2994
denbora,2966
zegoen,2952
lasai,2946
on,2938
dit,2934
besterik,2930
izena,2930
zaizu,2924
lagun,2918
berak,2906
ahal,2903
hala,2867
niri,2862
deitu,2831
hasi,2824
etxera,2807
horixe,2804
zurekin,2800
itzuli,2780
eraman,2766
agian,2763
handia,2755
noski,2754
han,2716
aurrera,2692
hiru,2679
ze,2678
gustatzen,2677
prest,2672
zela,2669
nirekin,2669
zatoz,2666
honetan,2653
bizitza,2633
genuen,2632
gaude,2627
berriro,2625
emango,2623
pentsatu,2565
burua,2562
inork,2499
agur,2486
duzun,2476
lagundu,2470
azken,2446
ea,2445
ziur,2411
ene,2410
moduz,2392
buruz,2390
batekin,2373
ekarri,2368
dudan,2348
galdu,2339
dizu,2336
zertan,2327
ibili,2323
azkar,2296
berri,2273
a,2259
bakarra,2252
zidan,2240
dirua,2239
zarete,2227
gauzak,2213
nora,2213
nau,2209
zuri,2199
andrea,2196
aizu,2193
hara,2169
bota,2163
bihar,2159
jo,2157
begiratu,2148
pixka,2104
nahikoa,2094
maitea,2090
nork,2087
horregatik,2075
batera,2072
gu,2068
zinen,2068
ikusiko,2062
artean,2056
dezagun,2054
eskatu,2053
izatea,2033
nauzu,2030
ederra,2025
ote,2013
zuek,1990
zain,1989
lana,1987
inor,1966
egitea,1965
dituzte,1952
aurretik,1942
geratu,1935
emakume,1924
sekula,1919
lortu,1915
ia,1913
zera,1912
axola,1894
utziko,1893
etxean,1890
ondoren,1887
nahiko,1883
honek,1873
lo,1867
hauek,1859
dakizu,1852
geldi,1846
zituen,1839
ederki,1839
nion,1836
bertan,1835
jakina,1832
kontuz,1828
ahaztu,1825
baita,1820
denak,1817
gelditu,1814
duzula,1807
iritsi,1786
noa,1786
denok,1776
behin,1752
horretan,1733
beharra,1731
aukera,1713
espero,1708
dudala,1701
ginen,1685
dezaket,1682
zuretzat,1676
beharbada,1666
zenuke,1665
elkarrekin,1660
hobe,1659
saiatu,1658
biok,1640
pentsatzen,1639
berarekin,1630
polita,1619
etorriko,1616
zarela,1611
zaitu,1610
kendu,1607
noiz,1601
berehala,1584
haren,1584
bost,1582
amaitu,1581
jendea,1578
norbait,1577
hura,1567
ezagutu,1563
osoa,1563
gaizki,1562
hartzen,1557
ala,1550
jarraitu,1542
dagoen,1541
onena,1537
zaio,1519
gogoratzen,1512
leku,1505
bizirik,1504
gauean,1489
hartuko,1482
doa,1482
oraintxe,1469
tiro,1466
mutil,1465
jende,1460
laztana,1457
entzuten,1447
batez,1440
jan,1431
bidali,1430
omen,1428
aurrean,1427
naizela,1417
hobeto,1402
nituen,1400
berria,1399
etxe,1396
guk,1394
galdetu,1392
dagoela,1392
irten,1392
nazazu,1392
gora,1389
gau,1387
pertsona,1385
minutu,1382
horren,1382
laster,1378
nizun,1378
daiteke,1373
aitak,1370
dirudi,1369
badu,1362
une,1362
ordu,1361
itzuliko,1361
dezakezu,1355
nengoen,1349
eramango,1345
niretzat,1339
gizona,1335
diru,1331
aldatu,1330
ihes,1329
iruditzen,1326
dauka,1325
seme,1312
bezain,1307
izateko,1303
oh,1298
hilko,1297
berdin,1297
joaten,1296
etxea,1292
neuk,1290
laguntza,1290
harrapatu,1284
kontu,1284
itxura,1281
ireki,1279
bati,1279
kontua,1276
Gabon,1272
gainean,1264
arrazoi,1262
zuela,1261
semea,1254
beldur,1254
litzateke,1251
en,1251
argi,1248
pozten,1248
luke,1248
zion,1248
diren,1246
horrekin,1245
lagunak,1244
duten,1237
hilda,1233
polizia,1229
duk,1228
jainkoa,1225
mundu,1224
zoragarria,1221
barruan,1217
Beno,1216
lau,1213
familia,1212
sartzen,1207
erakutsi,1205
bitartean,1204
anaia,1201
ideia,1197
ulertu,1196
kezkatu,1196
zaharra,1193
O,1192
batzuetan,1191
laguna,1184
hiltzen,1182
txarra,1180
atea,1171
zaren,1168
diote,1165
badut,1164
jartzen,1163
atzera,1162
baietz,1161
daukazu,1159
igo,1158
hainbeste,1154
direla,1150
behera,1146
erantzun,1146
dizuet,1142
eseri,1142
segi,1141
benetako,1135
idatzi,1132
banoa,1132
aldiz,1123
txiki,1121
duena,1120
amak,1118
jada,1118
emaztea,1116
didate,1115
heldu,1114
alaba,1113
kanpoan,1113
izaten,1110
erabaki,1104
irabazi,1104
aterako,1102
neure,1096
mugi,1095
eskatzen,1094
erabili,1094
diogu,1093
pasa,1093
deitzen,1091
handi,1085
gutxi,1085
balio,1084
galdera,1082
itxi,1078
horri,1072
mutilak,1071
dolar,1068
balitz,1067
haiek,1065
ezetz,1061
ume,1061
eutsi,1061
lagunduko,1061
pozik,1059
uzten,1058
dator,1056
elkar,1053
puta,1052
berandu,1050
geratzen,1047
jaso,1046
primeran,1043
jendeak,1041
duzuna,1040
dabil,1039
zeure,1037
baizik,1032
horrelako,1030
bukatu,1026
zaila,1021
gehiegi,1020
gainera,1018
seguru,1018
jakingo,1012
lehenago,1009
erosi,1007
jarriko,1007
gerra,1005
gela,1002
bikaina,1001
norbaitek,1000
aski,1000
lanean,996
zertarako,992
Tori,990
lehenengo,989
tipo,989
gizonak,988
jotzen,984
daukagu,984
geratuko,983
atzean,983
ostia,983
moduan,980
ateratzen,979
bestela,974
e,969
dugun,967
ninduen,963
ondoan,958
azkenean,957
bide,953
atzetik,952
zuzen,952
barru,950
zaituzte,948
osoan,947
nahiago,946
aurkituko,944
mugitu,943
naizen,942
egoera,938
badago,937
edan,937
horra,932
honen,931
inguruan,930
kanpora,929
hortik,928
arazo,927
jaunak,924
ikustera,917
deituko,916
hutsa,916
modu,916
gai,911
ikasi,909
falta,907
demontre,906
daki,905
egotea,903
nirea,902
John,901
atsegin,901
arraio,897
goaz,895
buruan,895
min,893
ordaindu,890
gurekin,889
Ai,888
hilabete,888
irakurri,887
sinetsi,887
haien,884
ixo,882
zabiltza,881
dezakegu,878
esku,876
milesker,875
honekin,875
bete,871
arren,870
zituzten,868
jaitsi,868
merezi,868
badugu,866
egindako,866
sei,862
neu,862
egitera,856
ikus,854
kontra,854
