word,count
که,1387244
رو,1340158
به,1299204
من,1189663
و,1037784
از,967653
تو,926872
اون,695765
اين,657427
يه,641639
مي,474388
با,464164
در,445159
نه,419809
ما,394430
ش,344291
هم,319741
بود,299840
تا,272428
کنم,264980
باشه,260511
بايد,250316
چي,249981
خيلي,239751
ت,238641
براي,227091
فکر,224971
شما,219045
کن,213657
آره,211991
فقط,206118
ها,202818
داره,197913
یه,195711
این,194839
اگه,191177
خب,188802
کار,188168
اينجا,184696
همه,182586
ديگه,181752
شده,178680
دارم,175523
نيست,164050
چه,154957
اما,147024
پس,146336
م,139569
چرا,138004
خوب,137531
چيزي,133789
توي,128602
حالا,128486
درست,128169
ولي,127073
کني,124914
کنه,124413
اونا,124045
الان,123950
کردم,123699
هر,122097
خود,121786
نمي,118223
يک,115595
شد,112969
داري,112675
ميشه,111046
دوست,109017
منو,108558
دست,107149
هست,103799
بعد,102336
كه,100552
بهم,99107
وقتي,98957
مثل,98594
اوه,97424
اي,95680
کجا,93230
ي,91870
بده,91664
می,90543
حرف,90409
ميکنم,89485
هاي,88098
يا,87507
کرد,87221
بچه,85160
کنيم,85074
بله,82245
کردن,81973
چيه,80727
برو,80206
ست,79768
باید,79235
خوبه,78846
کرده,78208
چی,78051
را,78028
واسه,77127
اونجا,76934
سلام,76846
اينکه,75337
هيچ,75241
بودم,74590
خونه,74512
خیلی,73661
پيدا,73063
چون,72939
هستم,72372
سر,71343
انجام,71135
برای,70398
همين,70321
دو,68397
ه,67288
داشته,67013
بيا,66576
ميکني,66186
وقت,66047
هي,65774
بشه,65675
مورد,65532
پدر,65402
يکي,65266
نداره,64880
ميخوام,64562
بيرون,63534
است,63458
هنوز,63407
روز,62880
کردي,62672
نظر,62197
تمام,62033
منم,60508
ميکنه,60415
کسي,60213
کي,59848
اینجا,59736
کمک,59616
راه,59560
باش,58795
داريم,58555
نیست,57173
پيش,56884
مرد,56782
دیگه,56467
تنها,55780
واقعا,55487
ميدوني,55445
ممنون,55178
چيز,55161
اسم,54837
روي,54724
سال,54576
شايد,54379
بريم,54107
چند,53749
خودم,53097
کاري,52977
مياد,52446
بوده,51493
هستي,51379
بدم,51161
دوباره,50701
پسر,50655
ميخواي,49996
نگاه,49988
زندگي,49986
اونو,49695
بگو,49127
چطور,48871
ولی,48803
گوش,48447
بگم,47515
اينه,47449
هستن,47421
گفتم,47357
کنيد,47352
صحبت,46964
بر,46881
دارن,46769
اينو,46055
قبل,45637
هميشه,45422
شروع,45357
چیزی,44583
گفت,44507
نفر,44226
آدم,44000
برم,43910
آقاي,43798
تموم,43627
بيشتر,42955
پول,42901
صبر,42873
بار,42786
دنبال,42772
مادر,42715
قرار,42652
قربان,42416
توی,42281
خدا,41908
ميدونم,41720
شدم,41628
حال,41585
داشتم,41413
ببين,41028
شدن,40981
کنی,40709
وجود,40641
باشم,40577
خانم,40545
خوش,40178
باشي,40138
چيکار,40031
همون,39879
اگر,39789
خاطر,39455
داشت,39449
امروز,39258
مردم,39113
شب,39110
دختر,38876
استفاده,38843
کنن,38535
باز,38147
بزرگ,38022
بدون,37936
بودن,37932
بي,37746
حتي,37444
ممکنه,37305
خواهش,37250
یک,37236
ساعت,37024
البته,36990
مگه,36951
میشه,36923
چقدر,36915
بالا,36786
خوبي,36505
سه,36495
بدي,36400
داری,36368
اول,36175
برات,36154
اونها,35926
لعنتي,35818
ندارم,35806
بابا,35280
بازي,35233
نکن,34808
شو,34715
باهاش,34643
بخاطر,34501
درباره,34422
مطمئن,34368
نبود,34328
زنده,33740
بذار,33631
ازت,33603
ام,33010
کم,32994
ميتونم,32795
عزيزم,32700
کنار,32478
متاسفم,32381
وقتی,32180
آماده,32167
زن,32130
داد,32064
دور,32020
