word,count
on,6252796
ei,3572038
ja,3079526
se,2829142
hän,2624437
en,2081030
mitä,1993556
että,1742558
ole,1564200
olen,1229632
niin,1176273
oli,1134497
mutta,1132114
sen,1044997
vain,1031415
minä,968653
jos,935107
tämä,893527
nyt,879144
voi,850603
sinä,849153
olet,824046
kun,770939
sitä,716613
et,703102
kuin,697760
he,646364
täällä,625127
hänen,616859
kaikki,596860
minun,584978
olla,580250
ovat,578630
hyvä,573178
minua,544989
onko,522241
sitten,518909
sinua,502854
miksi,494176
sinun,493302
älä,487567
miten,481529
hänet,477667
kyllä,471821
mitään,465736
siitä,462353
kiitos,449435
Hei,438096
mikä,437645
ne,425574
olisi,408833
kanssa,388688
joka,386951
pitää,379498
ollut,373553
tai,365255
tässä,363486
minulle,358016
tiedä,356818
häntä,355978
minulla,347706
jotain,346310
missä,339917
tuo,335324
minut,334366
me,320851
oletko,319568
ehkä,317932
kuka,317795
sinut,315913
sinulle,312458
tämän,311601
vielä,308158
hyvin,306738
anteeksi,305296
emme,299744
jo,298561
olemme,296612
koska,293614
tänne,291932
meidän,291315
haluan,289517
tiedän,286463
ett,284348
tehdä,283093
tule,268193
eivät,261081
anna,259144
siellä,254082
saa,253477
paljon,253213
pois,252535
täytyy,246822
tätä,246525
sinulla,242765
ennen,236791
herra,231732
tulee,231253
siinä,230617
takaisin,228883
aina,226188
selvä,223036
enää,220196
eikö,216343
yksi,214957
mistä,213211
juuri,210913
kuinka,210550
te,210041
näin,203195
pitäisi,203156
vai,198095
halua,197282
meillä,196965
kaksi,196268
koskaan,195767
koko,195657
mennä,195236
joku,193874
hänelle,188971
tästä,188001
olin,186721
tietää,185014
mies,180889
aivan,180306
joten,179145
mene,174485
No,174100
kai,172411
voin,172162
Entä,167563
oikein,167245
totta,167164
aika,165436
siihen,165268
isä,165245
ihan,163732
siis,163553
kuten,163510
olette,162523
vähän,159992
teet,157988
edes,155745
kunnossa,153508
todella,152890
hyvää,150485
kukaan,149996
voit,149373
äiti,148875
aikaa,148572
haluat,147760
eikä,147642
ulos,144347
vaan,143475
itse,142760
sillä,142192
minusta,142068
mukaan,141847
kaiken,141698
myös,141639
katso,140507
noin,138966
sanoi,137994
pidä,135741
tulla,134635
heidän,133909
hänellä,133888
päästä,133769
pahoillani,133321
auttaa,132067
taas,131076
kerro,130921
jälkeen,130177
ette,129315
kiinni,128982
sinusta,128448
tänään,128271
niitä,127575
tee,127116
meitä,127002
teidän,126216
puhua,125855
liian,125330
etkö,124902
vaikka,123702
kotiin,122597
tuli,122139
näyttää,122049
muuta,121161
mennään,119565
vuotta,118918
nämä,117493
nähdä,116217
sinne,115538
tapahtui,115456
Haluatko,115382
ilman,114871
heti,114181
jotka,113791
tiedät,112422
ota,112392
tähän,112200
kolme,112192
odota,112021
meidät,111208
saat,110899
antaa,110892
sanoa,110620
varmasti,109660
tarvitse,107851
menee,106919
teitä,106502
täältä,105907
haluaa,105547
kertoa,105178
luoja,104253
nähnyt,103653
saada,103557
pian,103180
heidät,101121
teen,100422
poika,99767
vastaan,98863
hänestä,98226
tekee,98209
olevan,97797
sanoin,97670
sisään,97614
enemmän,97599
tehnyt,97520
heitä,96984
usko,96195
tuolla,95180
voimme,93847
jonka,93758
meille,93609
tiedätkö,93349
tuon,93307
takia,92670
asia,92607
käy,92389
olit,92350
miks,91970
sain,90998
luulin,90921
teille,90920
ikinä,90818
kuollut,90543
sano,90372
varma,89592
varmaan,89384
hienoa,89323
rakastan,89026
olivat,88883
tarvitsen,88263
piti,87322
tappaa,87169
joo,86822
minne,86763
yhä,86593
mihin,86511
oikeassa,84964
ottaa,84942
yhdessä,84646
voisi,84608
tapahtuu,84437
kerran,84377
ajan,83523
juttu,83230
lähteä,82398
siksi,81839
teidät,81600
yhtä,81460
valmis,81367
ihmiset,80652
toinen,80585
pidän,80138
tulen,79672
tyttö,78802
kauan,78755
teki,78585
teillä,78376
silloin,77786
hauskaa,77742
tuota,77052
kulta,77012
pitänyt,76923
lopeta,76396
rouva,76116
voinut,76026
rahaa,75902
enkä,75446
yksin,75443
ensin,75363
joskus,75031
nainen,74918
tohtori,74875
apua,74601
lisää,74528
olisin,74481
tällä,74096
älkää,73696
kyse,72390
päivä,72384
päivää,71712
menen,71469
kertaa,71363
tosi,70939
pari,70802
myöhemmin,70539
huomenna,70526
tuntuu,70313
meni,70279
ainoa,70269
oliko,70054
sai,69861
sanoit,69831
alas,69564
jotta,69367
uusi,69242
tavata,69167
Niinkö,69043
ylös,68699
nähdään,68682
odottaa,68197
jonkun,67956
sir,67560
milloin,67366
yhden,67077
saan,66473
saanut,66256
vie,66238
minäkin,65719
paras,65392
parempi,64951
halusin,64818
paikka,64532
jota,64475
mikään,63632
ketään,63590
kuuntele,63442
hieman,63323
ihmisiä,63075
okei,63029
teit,62952
osaa,62788
kuuluu,62759
viime,62479
silti,62336
hetki,62129
tein,62080
asiaa,61949
ohi,61617
alkaa,61378
jotakin,61050
miehen,60934
ymmärrä,60584
ajattelin,60583
oletteko,60019
muista,60000
ymmärrän,59627
pieni,59510
yli,59411
oikea,58600
yritän,58502
sama,57980
tullut,57432
minkä,57431
riittää,57058
pyydän,56984
luulen,56934
teemme,56872
isäni,56816
tarkoittaa,56453
nopeasti,56402
läpi,56366
vanha,56062
irti,56028
asioita,55649
minuun,55263
neiti,55247
jokin,55186
tarpeeksi,55092
haluaisin,54901
paska,54808
puhu,54644
voinko,54631
poissa,54583
voisin,54560
viisi,54518
kanssasi,54488
otan,54445
tulin,54275
kuoli,54116
kunnes,53982
Toivottavasti,53805
tiennyt,53794
heille,53769
tulossa,53699
tulkaa,53614
jossa,53575
iso,53551
täysin,53531
kiltti,53515
tahansa,53460
nimi,53445
hiljaa,53354
muuten,53256
pysy,53240
löytää,53120
poliisi,53067
saanko,52966
hyvältä,52947
ell,52762
asti,52592
oikeasti,52583
olisit,52437
soittaa,52373
kohta,52340
käyttää,52231
senkin,52032
vasta,51769
isäsi,51765
halunnut,51124
vuoden,50594
töitä,50510
kuitenkin,50456
yrittää,50443
mukana,50375
neljä,50333
hitto,50309
miltä,50303
kuulostaa,50273
kaveri,50126
ensimmäinen,49330
ainakin,49291
samaa,49231
kaunis,49089
dollaria,48983
rahat,48738
kello,48715
sellaista,48489
tunnen,48383
eli,48308
sanoo,48123
näytä,48102
melkein,48074
pakko,47924
tarkoitat,47919
mukava,47868
kerron,47749
näen,47567
kiva,47519
liikaa,47499
kuulin,47444
luulet,47434
muut,47383
niistä,47232
John,47215
varten,47207
tunne,46813
kuullut,46699
meistä,46624
pysty,46617
siltä,46519
mieltä,46491
sait,46459
eilen,46183
Luuletko,46161
kapteeni,46109
auta,45950
asian,45941
kuulla,45698
jumala,45639
toisen,45408
kertoi,45233
kotona,45198
minuuttia,45162
sieltä,45057
kertonut,45038
uskoa,44963
tänä,44902
hieno,44787
suoraan,44782
jopa,44755
kanssani,44667
nuo,44619
tehdään,44495
puhut,44371
näytät,44369
voitte,43852
menossa,43796
paitsi,43641
hauska,43605
päivän,43584
helvetti,43569
ystäväni,43482
menkää,43351
tarvitsemme,43322
Haloo,43299
pikku,43266
maailman,43164
uuden,43121
vuoksi,43103
kaikkea,42990
kanssaan,42947
osa,42871
äitisi,42823
palaa,42805
eri,42735
Jack,42636
asiat,42601
olimme,42519
pojat,42443
tervetuloa,42382
hullu,42341
mä,42259
tapa,42170
uskon,42168
aikaan,42119
katsokaa,42075
hätää,41981
New,41918
tietenkin,41888
tarvitsee,41782
kuule,41763
jätä,41756
halusi,41492
löysin,41333
hetkinen,41325
vauhtia,41298
tietysti,41283
tuntia,41259
näe,41195
maksaa,41187
tarkoitan,41147
lähellä,41123
elää,41027
auto,40872
tapahtunut,40809
sanon,40742
sille,40660
soita,40614
jolla,40498
toki,40452
yötä,40417
sinuun,40393
voitko,40363
ongelma,40333
saamme,40313
kävi,40246
jää,40122
työtä,40010
kovin,39973
yritä,39889
yhtään,39775
sanonut,39750
huomenta,39693
tiesin,39676
niiden,39667
minulta,39585
valmiina,39462
jättää,39333
muistatko,39293
olkaa,39196
viimeinen,39137
muita,39069
parasta,38983
hyvät,38968
lapset,38940
tavalla,38912
päivänä,38875
onnea,38845
sellainen,38837
terve,38827
viedä,38598
suuri,38576
annan,38567
välitä,38501
miestä,38376
vittu,38190
ensi,37951
heillä,37826
Ai,37755
tiedämme,37661
sehän,37607
viitsi,37574
molemmat,37525
vaivaa,37458
tulevat,37450
ihminen,37348
heistä,37334
aiemmin,37206
äitini,37192
rauhoitu,37187
soitan,37143
sopii,37117
päälle,37115
lähdetään,36979
monta,36869
hoitaa,36833
teistä,36829
pääse,36794
miehet,36774
oma,36730
väliä,36377
jäädä,36363
vuonna,36354
huono,36322
samoin,36269
sanot,36247
aio,36235
takana,36066
kysyä,36038
unohda,36019
paremmin,35878
lähde,35865
luo,35772
aamulla,35760
väärin,35628
tulit,35568
haluavat,35543
muka,35530
poikani,35436
ovi,35422
vastaa,35390
kahden,35383
uudestaan,35342
uudelleen,35339
aion,35335
kaikkien,35313
tuossa,35289
sisällä,35251
joita,35243
menemme,35102
voivat,35003
antoi,34940
vaikea,34903
paha,34840
mahtavaa,34826
syytä,34737
asiassa,34686
lapsi,34646
naiset,34627
olleet,34587
toimi,34409
toimii,34372
ase,34284
saattaa,34193
avaa,34188
katsomaan,34161
ongelmia,34138
käydä,34131
tarvitset,34093
naisen,34066
lähden,34050
kuolla,33875
elossa,33818
pidät,33781
etkä,33700
tappoi,33627
tunnin,33552
näitä,33511
sinulta,33497
uutta,33440
onneksi,33284
menet,33272
haluatte,33215
helvettiä,33201
taitaa,33138
muistan,33105
aiot,33058
voisit,33050
tärkeää,33005
kysymys,32938
iltana,32924
yritin,32860
ulkona,32860
vitun,32843
töissä,32685
tekemään,32633
kaikille,32629
erittäin,32610
mutt,32521
tehty,32403
ruokaa,32234
kuusi,32210
hoidan,32077
oikeastaan,32057
tuskin,32021
laita,31915
tyyppi,31865
onkin,31826
etsin,31825
maan,31823
kestä,31810
kunhan,31732
lopettaa,31665
olemaan,31634
aikana,31593
voisitko,31587
tulet,31581
voisimme,31554
puhun,31446
sinäkin,31416
lähti,31385
sekä,31308
häneen,31283
hakemaan,31273
täynnä,31137
lapsia,31126
nimeni,31037
hätänä,30942
tytön,30931
katsoa,30908
hyviä,30844
elämä,30809
toivon,30747
hetken,30735
muuttaa,30733
verta,30677
puoli,30623
seuraa,30605
homma,30579
antakaa,30519
auton,30514
outoa,30493
palata,30358
joko,30315
istu,30283
naimisiin,30200
mahdollista,30062
alkoi,29932
muu,29894
tilanne,29889
Michael,29877
tekevät,29786
auki,29692
Näetkö,29660
sä,29636
vettä,29589
jokainen,29490
tehtävä,29463
jatkaa,29457
yleensä,29420
lupaan,29394
paikan,29376
ystäviä,29347
kaikkia,29327
kestää,29294
paskiainen,29220
vaimoni,29197
puolesta,29145
olekin,29087
turvassa,29025
saimme,28916
pitkä,28899
töihin,28878
elämäni,28876
ovatko,28849
kenen,28792
vaikeaa,28785
sanotaan,28778
alla,28740
ollaan,28738
nuori,28730
teette,28720
ikävä,28685
taida,28519
saatte,28517
mukavaa,28480
vaikuttaa,28323
paikalla,28305
saisi,28230
oman,28159
herrat,28132
kuulemma,28069
luona,28015
pyytää,27932
ala,27835
käynyt,27804
haluamme,27783
Frank,27726
uskomatonta,27670
luota,27651
voittaa,27613
Sam,27500
näet,27495
kymmenen,27427
ihmisten,27371
ystävä,27359
pelastaa,27288
nimesi,27260
väärässä,27241
helvetin,27228
luottaa,27202
josta,27161
yhteen,27160
eihän,27157
päällä,26938
odottakaa,26936
maahan,26915
tytöt,26866
edessä,26669
jutella,26617
kautta,26582
matkalla,26550
häneltä,26503
kaukana,26502
sentään,26442
nimensä,26428
päässä,26404
paljonko,26400
varo,26368
päin,26285
vihainen,26259
välillä,26245
kuolee,26124
velkaa,26110
yritti,26058
iloinen,26041
ymmärrätkö,26003
usein,25975
kultaseni,25947
agentti,25877
itsensä,25792
pelkää,25746
tapauksessa,25709
syy,25694
näytän,25571
olemassa,25559
mr,25489
sinähän,25465
kunnon,25459
alle,25429
Niinpä,25428
illalla,25356
ympäri,25317
jossain,25310
saavat,25284
veljeni,25266
kerroin,25266
mahtava,25260
yhteyttä,25232
toista,25219
