word,count
je,16655072
de,16613184
est,15295658
pas,11553269
le,10943345
vous,10203494
que,9864879
la,9748176
tu,9493324
un,8687094
il,8569226
c',8271767
à,8167953
et,8043102
a,7447776
l',7129367
ne,6524274
ce,6385173
les,6177964
en,5924332
j',5896230
on,5709916
ça,5452854
une,5348768
d',5122655
qu',4959717
pour,4832783
ai,4824891
n',4481957
des,3798789
qui,3298007
moi,3294323
nous,3183863
mais,3176935
dans,2978291
elle,2936837
me,2893145
y,2787581
bien,2777029
si,2775667
du,2670312
t',2626034
suis,2590747
non,2483529
tout,2465108
avec,2429176
plus,2411062
mon,2374739
m',2291041
te,2285224
au,2220096
fait,2101898
as,2098459
va,2060322
s',2055914
ils,2015999
était,1924597
oui,1906065
faire,1890279
sur,1844346
toi,1834252
quoi,1787728
se,1734372
sais,1697954
là,1696037
comme,1686922
être,1640613
veux,1529777
lui,1489493
ici,1457365
es,1433319
ma,1412399
dit,1390875
votre,1360688
où,1307839
rien,1289204
pourquoi,1288723
avez,1267577
sont,1242290
cette,1223299
peux,1198803
quand,1162260
son,1147493
dire,1137321
ton,1088127
vais,1059361
par,1058143
alors,1057962
comment,1043157
peut,1032007
ou,985082
ont,961328
bon,953444
chose,941293
merci,914344
très,902481
même,896795
jamais,869454
allez,861179
êtes,857974
juste,851493
été,841160
aussi,833233
fais,829914
voir,828654
avoir,821177
sa,805656
tous,802992
vraiment,802185
deux,783767
ces,771754
maintenant,770210
ta,750320
autre,732929
Oh,726152
temps,706842
peu,687721
faut,680045
encore,676828
quelque,673411
toujours,672881
notre,671369
mes,662334
dois,639963
besoin,637089
avait,629226
vie,619170
accord,609375
fois,586520
aller,586092
vas,583821
vu,583820
sans,573580
étais,559223
dis,555211
monde,553057
crois,550090
avant,542563
sûr,533550
trop,532658
parce,516701
parler,514795
donc,513375
personne,511737
leur,511695
père,510278
quelqu',508399
avais,508134
aux,495300
dieu,489952
après,486107
ses,476989
homme,473055
viens,470054
aime,469435
eu,463931
vrai,461835
doit,460009
veut,458797
femme,455687
M.,453633
ans,449936
ouais,444834
mal,444570
pense,443644
chez,439287
mort,433648
vos,432956
déjà,424602
depuis,421753
ca,420715
sera,416347
ok,411764
mieux,409442
bonne,408826
beaucoup,403190
tes,401984
t,401436
gens,396139
mère,394976
vois,393530
peut-être,390756
fille,389546
quel,385455
voilà,378627
désolé,377153
petit,371450
avons,365131
jour,352189
voulez,352001
autres,351260
maison,351197
soit,351092
faites,344936
passe,344291
soir,343981
toute,340017
passé,336252
nos,332909
cela,330955
nom,330188
prendre,327682
monsieur,326912
savoir,325869
regarde,323586
choses,317084
cet,316673
allons,314674
reste,311664
Salut,311399
nuit,308923
arrive,308770
argent,307268
seul,304914
puis,301877
moins,301685
raison,299513
laisse,298656
air,297279
savez,297051
bonjour,296774
moment,295545
entre,292738
voulais,291633
aurais,290626
aider,289427
maman,286415
appelle,284540
papa,282371
peur,281779
problème,280510
merde,273894
fils,273791
attends,271550
trois,271085
jusqu',265143
sait,265127
pouvez,264721
tête,264338
dû,264319
gars,264082
parle,263950
plaît,263733
arrête,263489
assez,261939
sommes,260739
tuer,259940
trouvé,259798
serait,258470
vite,258462
trouver,257639
pourrait,257617
bas,257606
famille,257340
quelle,257323
pris,254998
toutes,253907
pu,250548
Ah,246552
partir,246029
quelques,245804
travail,245555
elles,244962
aurait,244010
seule,242835
chance,240876
enfants,240507
voiture,240129
Eh,239886
part,238512
jours,237314
connais,236617
ami,236059
idée,235947
grand,235542
truc,232950
pendant,231567
combien,230197
Hé,229580
sens,228909
demain,228769
prends,228134
tant,228008
venir,227859
passer,227168
tard,226404
aujourd'hui,223929
hein,222607
petite,222277
porte,222030
mec,220448
donne,219678
aide,219234
heure,218897
sang,218817
coup,217385
comprends,216456
dites,215564
vient,215546
contre,215264
sortir,215105
super,210970
entendu,210446
hommes,210331
nouveau,209059
sous,203206
demande,202260
ensemble,201704
cas,201253
importe,200867
devrais,200451
amour,199873
question,199745
amis,198430
tué,198264
fini,197095
rester,196454
putain,196354
eux,193662
histoire,191666
désolée,191612
chercher,189929
frère,189007
mois,188704
partie,188609
écoute,187245
dernière,184525
aucun,184082
ville,183788
genre,183672
car,182952
police,182789
vont,182629
seulement,182324
ni,181628
laisser,181549
pensais,180526
chaque,178970
devrait,178789
mettre,178742
celui,178610
pourrais,176716
laissez,176435
parlé,176297
arrivé,175795
longtemps,175411
heures,175084
I',173697
trouve,172998
tiens,172031
place,171906
compris,170316
aucune,169927
leurs,169620
attention,168561
bébé,168450
type,167314
revoir,166420
savais,166343
yeux,165844
main,165315
pouvoir,164786
étaient,164489
perdu,163417
voici,162464
côté,161897
donné,161331
pardon,161258
vieux,160877
endroit,160747
donner,160629
attendez,160332
corps,160048
y.,159835
affaire,158835
train,158665
premier,158639
dont,158538
regardez,157976
venez,157298
vers,157219
minutes,156891
point,156798
sois,156782
première,156163
façon,155597
terre,154797
matin,153809
suite,153424
enfant,153216
devant,153020
dessus,152120
venu,150954
compte,150131
nouvelle,149875
droit,148877
aura,148613
boulot,148470
aimerais,148400
eau,148036
mourir,147695
loin,147509
mis,147451
cause,147419
gros,147276
fin,146792
tellement,146667
belle,145867
arrêter,145798
demandé,145758
chambre,145252
enfin,145095
espère,144679
prêt,144216
parti,143730
dirait,143685
penses,143364
croire,140821
mari,139289
plutôt,139231
chef,138302
possible,137391
Mme,136902
dehors,136514
chérie,136291
bureau,135923
feu,135836
confiance,135822
jouer,135481
voulait,134680
hier,134518
beau,133270
vérité,132508
demander,131734
jeune,131688
filles,131671
années,131430
guerre,131219
ceux,129995
docteur,129661
appeler,129309
prie,129242
près,127860
semaine,127621
excusez,127382
vivre,127332
femmes,127079
mains,126292
souviens,125387
marche,123679
journée,123642
meilleur,123605
fort,123487
devez,123374
sécurité,123157
Dr,122346
essaie,122145
derrière,121897
font,121545
II,121355
affaires,121229
école,121045
arriver,121034
garçon,120173
calme,119906
dur,119887
plein,119819
téléphone,119554
grande,119377
équipe,119237
pensez,119032
dernier,118645
manger,118345
propos,118034
ait,117779
presque,117541
madame,116880
fou,115722
capitaine,115532
euh,115511
vue,115376
important,115100
appelé,114845
parents,114607
voyez,114438
haut,114225
pays,114186
tomber,114024
cinq,113524
exactement,113301
attendre,112945
envie,112593
garde,112341
mariage,111766
celle,110970
bientôt,110614
jeu,109494
génial,109261
cours,109205
plan,109041
ferme,108974
numéro,108333
retour,108024
quatre,107929
instant,107717
pensé,107717
arme,107071
arrêtez,107069
fête,106920
hey,106867
serai,106819
parfait,106557
prend,106460
prenez,106323
ainsi,106323
étiez,105959
dedans,105536
autant,105171
mot,104907
choix,104878
peine,104386
laissé,104316
ben,104298
minute,104206
croyais,103460
prison,102261
fera,102195
voudrais,101761
semble,101662
mauvais,101648
essayé,101635
film,101239
personnes,101164
agent,101159
rentrer,100753
parfois,100367
abord,99995
service,99983
penser,99742
mets,99384
essayer,98879
tour,98755
entrer,98592
faute,98550
route,98500
regarder,98337
plaisir,98262
changer,97931
facile,97915
heureux,96939
parles,96801
travailler,96768
voit,96174
adore,96002
entendre,95890
Jack,95791
dollars,95690
lit,95339
travaille,94936
drôle,94907
attend,94812
propre,94696
ira,94467
fous,94344
lieu,94057
état,94019
impossible,93832
peuvent,93778
John,93558
allait,93549
ceci,93204
pire,93089
rendre,92869
garder,92842
commence,92659
ensuite,92352
croyez,92195
sors,92167
ferai,91727
cul,91644
serais,91531
reviens,91483
année,91143
dès,90775
seigneur,90541
sujet,90505
devoir,90502
perdre,90424
cherche,90340
suffit,90297
morte,90244
veulent,90129
amie,89709
faisait,89620
roi,89416
voulu,89245
chien,88997
difficile,88781
morts,88779
écoutez,88665
coeur,88519
oublié,88497
doute,88496
café,88496
aimes,88478
sûre,88323
sauver,88264
sauf,88086
payer,87763
cœur,87503
tôt,87434
avis,87368
verre,87099
devons,87096
inquiète,87055
six,87047
sorte,87027
bizarre,86993
courant,86890
