word,count
que,75789
a,62088
o,53538
de,50144
non,49979
e,40476
é,27884
un,23052
os,16296
unha,15542
se,14894
para,14485
por,14414
do,13648
en,13051
da,11335
as,9904
como,9216
está,8719
si,8406
máis,8345
no,8083
ao,7820
pero,7778
ben,7684
eu,7531
na,7256
con,7023
aquí,6614
son,6443
me,6189
todo,6090
á,6086
iso,5976
meu,5580
hai,5551
xa,5503
ti,5259
cando,5130
ou,4650
dos,4630
só,4594
súa,4579
seu,4349
agora,4337
miña,4319
moi,4063
así,4056
onde,4031
ten,3892
nada,3861
era,3833
ser,3799
facer,3776
foi,3774
el,3633
teño,3569
isto,3545
esta,3505
quen,3430
nos,3408
todos,3360
algo,3325
vai,3260
porque,3219
estou,3167
este,3091
lle,2931
pode,2903
te,2839
casa,2807
sei,2769
quero,2738
mais,2721
xente,2645
das,2600
tamén,2596
señor,2579
tempo,2555
min,2542
vez,2525
nunca,2512
sen,2453
teu,2449
podo,2428
vida,2411
estás,2396
día,2383
polo,2382
estaba,2375
aínda,2347
anos,2323
ver,2305
vostede,2301
tan,2297
túa,2285
dicir,2282
pola,2254
che,2244
ela,2240
home,2230
sobre,2225
moito,2208
mesmo,2203
aos,2177
vou,2160
coma,2138
nin,2131
tes,2121
nós,2112
están,2089
noite,2075
co,2053
sempre,2049
mellor,2016
es,1943
coa,1906
temos,1881
seus,1879
cousas,1869
traballo,1844
dous,1822
antes,1812
mundo,1796
queres,1790
ás,1790
aí,1786
sabes,1766
ir,1765
ter,1758
ese,1757
veña,1753
imos,1751
grazas,1736
esa,1723
verdade,1713
bo,1680
despois,1673
outra,1671
logo,1645
entón,1637
pai,1617
favor,1587
eles,1565
dun,1564
alí,1555
creo,1528
estar,1528
nun,1501
podes,1490
ninguén,1480
falar,1476
quere,1457
fai,1438
noso,1421
pouco,1416
tiña,1395
cada,1389
estamos,1385
alguén,1344
outro,1333
cara,1309
deus,1305
entre,1304
novo,1304
nosa,1299
mañá,1289
hoxe,1271
lugar,1264
nai,1260
ata,1251
cousa,1245
súas,1240
días,1237
dixo,1237
Ola,1225
homes,1220
nas,1216
muller,1208
meus,1199
tres,1197
guerra,1197
fillo,1195
todas,1184
menos,1183
dunha,1172
sexa,1161
sabe,1154
claro,1140
pasa,1134
parte,1125
contra,1123
di,1114
toda,1112
nunha,1108
boa,1108
vas,1102
dende,1100
Oh,1098
podemos,1095
podería,1095
primeiro,1084
fóra,1065
Sr,1062
canto,1061
teñen,1053
veces,1047
mira,1027
ó,1024
tanto,1016
tarde,1000
cos,999
cidade,979
durante,974
nova,965
mal,963
terra,957
momento,954
vale,949
pois,934
dúas,917
quería,912
tal,910
penso,906
nome,904
certo,901
calquera,899
será,897
daquela,895
amor,889
parece,871
outros,869
seguro,865
vamos,861
auga,861
había,860
grande,859
até,858
poder,856
gran,848
tipo,846
xeito,834
cartos,825
medo,822
saber,810
vin,806
dixen,802
merda,801
rei,797
señora,795
país,795
ollos,787
pobo,779
debe,775
moitos,774
nosos,774
ven,766
ano,764
morte,764
van,762
desde,760
historia,758
lles,757
comigo,755
feito,753
uns,751
problema,743
vós,735
mulleres,733
amigo,730
foron,726
estes,722
cabeza,720
primeira,717
somos,715
poden,714
fin,711
fixo,709
eh,707
ningún,707
traballar,705
dentro,699
facelo,693
familia,689
man,689
hora,689
persoas,687
acordo,681
dar,681
policía,679
mentres,677
cun,675
irmán,673
case,668
fillos,665
sería,659
amigos,654
razón,652
polos,652
nenos,644
ca,641
cal,639
moitas,638
estas,637
idea,637
pasar,634
camiño,634
vos,631
vén,624
volta,621
volver,615
teus,613
debería,612
algunha,612
eran,609
contigo,608
coas,608
eses,605
vivir,600
neste,599
demasiado,598
miñas,596
conta,594
filme,594
pasou,593
mans,593
ía,590
vaia,589
algún,589
cinco,585
baixo,582
mamá,581
importa,579
cunha,579
catro,578
exército,577
porta,576
papá,571
mesma,563
fun,562
adeus,560
realmente,559
algúns,557
sabía,554
pensar,554
vexo,554
horas,550
fas,549
síntoo,546
chegar,545
ningunha,540
igual,537
matar,536
problemas,535
saír,532
xefe,532
morrer,531
único,530
fixen,529
