word,count
לא,12016796
את,11684260
אני,10753120
זה,9348413
אתה,5380887
מה,5302733
הוא,3717145
על,3481336
לי,3405856
כן,2889279
של,2854411
לך,2685314
אבל,2260755
כל,2154545
יש,2139396
שלי,2001855
בסדר,1995531
עם,1918692
היא,1893315
אם,1893168
שלך,1875612
טוב,1813449
רוצה,1683843
היה,1667294
אנחנו,1652715
אז,1542465
יודע,1486569
הם,1430815
רק,1384150
אותך,1371588
אותו,1367877
יכול,1324965
יותר,1211776
אותי,1139432
הזה,1129589
כאן,1127047
שאני,1070291
למה,1063858
עכשיו,1027889
או,1017595
אחד,1013718
כך,1010776
להיות,1010147
משהו,977262
אל,959312
היי,935759
צריך,915531
כמו,886625
איך,880033
אין,872921
נכון,851956
תודה,838058
לעשות,837435
לו,802426
מי,793335
לנו,789513
זאת,786868
שאתה,775070
שם,774648
חושב,746136
כמה,717814
שהוא,716761
אותה,702457
כדי,698398
אולי,681956
הייתי,674461
יודעת,673216
זו,665358
באמת,664436
פשוט,663046
גם,662007
שזה,647494
כי,630711
עושה,612847
עוד,609259
דבר,599176
שלו,583537
שלא,578819
כבר,576371
ואני,571548
קדימה,570646
נראה,558769
האם,541631
שלנו,536760
בבקשה,526099
מאוד,516993
לפני,506467
פעם,502103
הרבה,496073
אומר,486827
אתם,486784
יהיה,484647
זמן,481457
אלוהים,475491
עד,474390
איפה,469677
הולך,466426
לעזאזל,465477
עדיין,462787
יכולה,460234
ממש,451840
אותם,449744
קצת,433414
מישהו,429631
הנה,420388
פה,418320
לה,417587
הכל,411099
ובכן,410369
לראות,403062
אף,402450
אבא,391520
בוא,386631
בכל,386092
הייתה,381551
מר,379682
חייב,379403
בדיוק,377947
אנשים,376384
ללכת,372287
שוב,363012
מצטער,362842
אדוני,362794
היית,362698
לדבר,360130
צריכה,358955
היום,356199
שהיא,355834
חשבתי,354876
שיש,347806
צריכים,342367
אה,336724
קרה,336201
אחת,335653
היו,333755
לזה,328424
אחר,326000
שאת,324649
אוהב,322947
חושבת,316254
שום,314722
בן,313442
יום,311823
תמיד,311507
להם,311429
אפילו,309321
אמא,308730
שלום,303350
יכולים,298108
שלה,298097
בטוח,296855
רואה,295038
בטח,292725
קורה,290501
כולם,289625
הזאת,285397
האלה,285331
בגלל,285051
אחרי,283403
הזמן,283094
שהם,283039
אדם,282708
מדי,282141
ואז,282075
רגע,278789
איתך,278559
אמר,270649
בו,268954
איזה,266781
אמרתי,266635
מבין,259320
תראה,253968
שאנחנו,251863
בשביל,250337
אותנו,249660
בזה,248780
תן,245504
דרך,244574
טובה,244306
תהיה,243721
דברים,243069
כלום,236458
מספיק,235823
בבית,235349
לעזור,233811
בואו,233789
לכם,230214
הדבר,228006
אוכל,227316
לדעת,227157
אפשר,226397
מקום,225910
הכי,225057
ביותר,222323
כזה,221429
מזה,220911
איתי,217057
ככה,216835
יודעים,213511
לקחת,212712
לכאן,212698
מתכוון,209067
הביתה,206353
לומר,205698
עליי,205657
מת,205366
חבר,201546
אנו,200826
שנים,200255
די,200038
אוקיי,199097
כאילו,198344
קשה,198337
וזה,198153
בלי,196042
הזו,196005
הו,194661
היתה,194530
מדבר,194362
אך,193937
למצוא,193705
להגיד,193033
גדול,192929
מותק,191973
יפה,190624
ראיתי,189367
בי,189217
ו,187965
עליו,186679
שני,186668
ואתה,185905
לעולם,185026
מצטערת,184025
כמובן,183254
שלהם,183017
סליחה,182592
אי,179933
אחי,179624
מנסה,179545
ממני,179401
נהדר,178554
בואי,178413
אלה,177332
רוצים,176442
מכאן,176365
לשם,174511
תגיד,174180
הבחור,173421
בית,173203
אוהבת,172442
לקבל,171692
עליך,171361
מוכן,170236
הלילה,170228
האמת,170120
אמרת,169864
ולא,169205
והוא,168806
ידי,168753
אומרת,167968
זהו,167897
בך,166510
ילד,165961
לתת,165733
לכל,165631
כסף,164653
מעולם,163781
נמצא,163618
לאן,161726
מהר,161147
חכה,160740
עבודה,158573
ואת,158508
כדאי,158112
עושים,157874
עבור,157338
דקות,155269
נחמד,155167
עובד,153100
בדרך,152232
רציתי,151727
לצאת,151655
אכפת,151634
מרגיש,151599
סוף,150519
מספר,149736
מכיר,149356
נוכל,149212
חייבים,148846
איתו,148529
אמור,147752
שלכם,147654
להרוג,146849
עשית,146127
עשה,145494
בעיה,144749
הולכים,143618
בזמן,143414
בשבילך,142549
בא,142487
מחר,142053
בכלל,141660
חייבת,141551
תעשה,141426
לגבי,140351
נשמע,139895
ממך,139648
לחזור,139597
עשיתי,139416
גברת,139291
משנה,138822
נלך,138427
מאמין,138342
רע,138174
מתי,138133
ידעתי,137461
ללא,137154
איש,136515
לספר,135886
בחייך,134108
לב,133993
זוכר,133693
החיים,133504
במקום,133315
בחור,133247
הגיע,133162
בחיים,132702
תוכל,132628
ה,132136
האנשים,131285
הן,131152
ב,129880
עלי,128860
המקום,128560
דולר,127937
חלק,127683
חיים,127132
מקווה,126771
הכסף,126728
הכול,126365
הבית,126323
גבר,125467
שנה,125004
נעשה,124160
כמעט,123814
שמעתי,123322
לילה,122397
הולכת,122314
לבד,120931
כעת,120628
חשוב,120412
היינו,120283
החוצה,120031
הבא,119895
בני,119842
קטן,119468
מניח,119456
בין,118905
ילדים,117458
הדרך,117173
"ע""י",116735
להגיע,116427
לגמרי,116351
בה,115919
ש,115638
בטוחה,115624
כנראה,115453
קודם,115394
העולם,114920
עצמך,114842
שמח,114792
אחרת,114522
לחשוב,114474
תראי,114311
מגיע,114309
הדברים,113831
למעשה,113717
הראשון,112688
יופי,112635
מאז,112556
בחזרה,112528
ברגע,112243
לאחר,112201
לבוא,111599
אליי,111211
מאוחר,111131
אליך,111051
העבודה,110810
כאשר,110797
ג'ק,110039
שלוש,109982
"ד""ר",109859
לשמוע,109485
היכן,109330
השני,109271
בהחלט,109113
אהיה,108999
ברור,108928
מבינה,108594
אמרה,108361
מהם,107700
במשך,107682
ל,107537
ספר,107471
בוקר,106991
לפחות,106964
אלו,106520
עלינו,105816
למטה,105772
לעבוד,105755
יחד,105692
למעלה,105537
אלא,105393
אוי,105009
מוזר,104982
לבית,104196
ג'ון,104100
מזל,104067
בחוץ,103841
אישה,103838
ראית,103515
ואם,103448
תקשיב,103378
חבר'ה,102813
כלומר,102739
הספר,102582
שעות,102497
הראשונה,102370
הערב,102279
כולנו,102234
אתן,102144
חדש,101452
קח,100825
מושג,100643
חברים,100636
בשבילי,99679
בקשר,99619
להביא,99315
בנאדם,99214
האיש,98729
ערב,98575
כרגע,98334
אתמול,98195
קשר,98095
האלו,97774
תפסיק,97461
להישאר,96626
מקרה,96580
אעשה,96381
ביום,96061
מדוע,95972
ומה,95928
האחרון,95654
שהיה,95652
ביחד,95647
חרא,95620
בתוך,95358
העיר,94768
השם,94632
ימים,94477
בת,94430
למען,94309
יקרה,94213
בעוד,94134
וואו,93423
בלתי,93194
הבעיה,92931
ממנו,92669
מיד,92452
בלילה,92056
באופן,91601
הילד,91318
עומד,90847
הפעם,90388
כפי,90258
איתה,90140
ועכשיו,90087
היחיד,90083
לשאול,90039
שיהיה,89882
עליה,89711
זונה,89611
אלי,89457
בפנים,88749
הלו,88609
בעולם,88587
העניין,88355
האחרונה,88317
אליו,88299
הדלת,88245
חזק,88103
הרגע,87678
להיכנס,87359
לפעמים,87306
צודק,87281
רב,87177
אתכם,87068
הבן,86961
רעיון,86825
איזו,86811
למות,86747
תראו,86458
תני,86388
יהיו,86369
והיא,86079
האדם,85800
חזרה,85777
לעצור,85747
טובים,85721
בפעם,85647
סתם,85633
משחק,85410
עצמי,84744
להשיג,84450
קטנה,84314
ראש,84115
לעזוב,83965
תורגם,83845
אימא,83475
גדולה,83443
היחידה,83252
מפה,83187
אדירים,83127
שלושה,83011
רבה,82911
מקבל,82837
לאכול,82585
להתראות,82271
נורא,82206
הי,82102
המפקד,81902
יכולתי,81756
שאתם,81618
קל,81409
הסיבה,81366
לשמור,81016
אמיתי,80972
הילדים,80854
אומרים,80743
מכל,80554
בחדר,80393
קוראים,80078
הראש,79976
מחוץ,79849
חוץ,79726
להבין,79121
וגם,79076
קרוב,79050
שבו,78885
סוג,78650
מתה,78609
חיי,78596
לכן,78526
אבי,78269
שתי,78126
פנים,78095
קיבלתי,77932
גרוע,77004
חמש,76946
נראית,76524
ליד,76346
לוקח,76080
נגד,76071
שאין,76014
לחיות,75764
נו,75722
מצחיק,75404
תחת,75335
בשם,75191
והם,75055
להשתמש,74738
ממה,74717
לעבור,74602
מתכוונת,74599
חושבים,74513
מצאתי,74373
שמעת,74299
נגמר,74121
יוצא,74037
חצי,74026
לקרוא,73780
חברה,73611
ילדה,73500
מרגישה,73225
עלייך,72979
מוכנה,72884
דם,72596
ביי,72378
פחות,72217
הטוב,71982
מדהים,71926
הבאה,71899
הבנתי,71834
החברה,71767
ארוחת,71609
המשפחה,71581
לפגוש,71386
שעה,71220
חודשים,70710
זקוק,70422
הבוקר,70318
לנצח,70095
אותן,70047
הגדול,69996
סיכוי,69950
לשחק,69859
נהיה,69846
לישון,69743
מדברים,69699
שהייתי,69661
שמישהו,69635
יורק,69611
להמשיך,69601
חתיכת,69543
לנסות,69481
בקרוב,69360
חי,69098
פעמים,69055
שכל,68955
באותו,68914
אחרים,68855
חכי,68198
מחדש,68111
תגידי,67768
מאד,67616
להתחיל,67606
לגרום,67329
הא,67306
להציל,67148
סיבה,67017
מאשר,66867
צוות,66862
תסתכל,66842
בבוקר,66703
אינך,66691
אהבה,66575
ואנחנו,66546
שאלה,66498
החבר,66137
מתחיל,65999
לכך,65998
המכונית,65624
שלומך,65504
חוזר,65483
בתור,65311
נותן,65224
איני,65219
אסור,65096
שומע,64959
מכירה,64846
נשים,64749
מאמינה,64740
לפי,64526
מתחת,64402
כשאני,64357
מעט,64278
מדברת,64144
וכל,64132
גמור,64116
לבדוק,64000
כמוך,63911
לחכות,63872
בערך,63819
עצור,63785
התכוונתי,63529
אלך,63528
כאלה,63342
מטורף,63299
אפשרי,63138
בנוגע,63084
הסיפור,62889
חדשות,62811
סיפור,62807
לקח,62779
תדאג,62634
דעתך,62631
חסר,62621
מחפש,62584
שכן,62573
שאם,62543
פנימה,62486
דין,62427
בהם,62407
הזדמנות,62393
מ,62270
משפחה,62178
מייקל,62143
רציני,62105
נכנס,62101
מגניב,61989
שונה,61969
שתיים,61866
ניסיתי,61807
צוחק,61769
מים,61237
עזרה,61080
בצורה,61004
מלא,60861
מעל,60853
שווה,60715
ויש,60420
מעולה,60397
חדר,60228
זוכרת,60143
הלך,59996
נתראה,59808
כלל,59799
במה,59764
לתוך,59720
כה,59581
להגן,59550
מסוגל,59452
לשים,59414
כוח,59408
המצב,59382
החדש,59377
ראשון,59328
מיליון,59304
מצב,59196
פרק,59166
איי,58962
נפלא,58867
כדור,58748
בעבר,58592
עניין,58555
שאולי,58534
להרגיש,58495
מאיתנו,58385
הקטן,58354
הכבוד,58173
משם,58156
להראות,57929
נעים,57850
הלא,57798
טעות,57760
