word,count
है,40946
के,20321
मैं,18036
नहीं,16918
हैं,13606
में,13188
एक,12888
आप,11379
लिए,10295
और,9563
यह,9449
से,9284
की,8683
क्या,8096
कि,7848
तुम,7848
हो,7421
कर,7346
मुझे,6715
को,6683
हम,6234
था,6015
वह,5742
पर,5358
हूँ,5057
रहे,4783
भी,4534
रहा,4444
का,4281
अपने,4121
कुछ,3768
तो,3615
गया,3548
इस,3436
मेरे,3382
ठीक,3345
करने,3261
किया,3110
साथ,2988
उसे,2969
वे,2759
हाँ,2638
यहाँ,2634
सकते,2623
लेकिन,2587
तुम्हें,2575
कोई,2419
तरह,2411
अब,2408
पता,2405
होगा,2357
सकता,2189
बहुत,2184
जाओ,2182
बात,2138
ही,2045
दिया,2029
करना,1998
जा,1895
सब,1804
मेरी,1798
लगता,1759
बारे,1741
कहा,1729
वहाँ,1687
जो,1656
बाहर,1605
जब,1605
इसे,1603
अच्छा,1578
करो,1552
चाहिए,1546
चलो,1477
ले,1476
दो,1474
क्यों,1463
अपनी,1461
थे,1448
किसी,1396
काम,1395
फिर,1391
अगर,1384
कभी,1375
वापस,1363
कैसे,1360
जाएगा,1357
करते,1354
ये,1346
चाहते,1340
आदमी,1337
बस,1331
हमें,1329
पहले,1324
समय,1318
आ,1300
रही,1291
तक,1235
हमारे,1211
मैंने,1179
मेरा,1172
रूप,1155
अभी,1134
करता,1123
मिल,1109
या,1108
चाहता,1092
उसके,1073
उस,1069
घर,1066
मत,1057
सभी,1022
अरे,1020
आपको,1012
जाना,1010
हूं,1000
सिर्फ,999
बंद,998
ने,994
देखो,993
उन्हें,986
ओह,969
थी,959
सही,955
तुम्हारे,901
जरूरत,885
लोगों,885
हुआ,882
करें,866
वो,864
न,863
प्यार,855
कौन,851
भगवान,846
उन्होंने,835
बाद,835
दे,834
नीचे,833
दिन,828
ऐसा,827
पास,824
हर,807
पिता,784
जाता,781
देखा,772
बार,769
धन्यवाद,765
कृपया,734
करेंगे,726
लोग,716
जाने,707
जानते,707
कहाँ,706
सर,706
वाला,705
क्योंकि,694
आओ,694
जीवन,688
छोड़,687
देख,686
यही,684
अधिक,680
मतलब,679
आज,673
मदद,672
होता,665
माँ,661
लिया,648
रात,641
मार,639
तुमने,624
आया,620
नाम,617
याद,612
केवल,612
सबसे,608
शायद,603
गए,598
कारण,597
जानता,596
साल,595
दूर,593
हमेशा,587
हे,575
हुए,571
होने,567
मिला,562
उसकी,559
वास्तव,557
जगह,556
कम,555
भाई,552
चला,550
कोशिश,550
शुरू,547
लग,546
सच,545
पसंद,543
मर,543
इन,538
तुम्हारी,529
अच्छी,527
यहां,526
फोन,523
कहते,518
दोस्त,517
शादी,512
दुनिया,505
रुको,501
होना,497
कह,487
इसके,483
तुम्हारा,481
उन,478
लो,469
तैयार,460
बच्चे,457
अंदर,449
उनके,449
जल्दी,444
यदि,443
जैसे,438
कल,431
इतना,426
अपना,424
श्री,424
देंगे,423
खैर,423
पिताजी,421
ऊपर,419
रहो,417
आपके,413
हमारी,412
उसने,410
खुद,410
गई,400
चलते,398
बताओ,398
दी,390
पीछे,390
वाले,386
हाथ,384
बेहतर,380
द्वारा,380
बकवास,377
मिलता,375
लड़की,373
विश्वास,370
देखने,366
लगा,360
कार,360
मुझसे,355
उसका,355
पूरी,354
ना,353
महिला,348
चल,346
आपका,344
समझ,343
तुमसे,341
मिनट,340
ओर,337
बिना,336
तीन,335
देना,331
होगी,331
सुनो,330
बता,329
जैक,326
पैसे,324
हां,316
कहना,316
जाते,315
बना,314
कहीं,313
सोचा,313
दोनों,311
आगे,311
खो,309
बेटा,305
परिवार,304
पुरुष,303
जहां,302
दिल,300
सुना,299
गलत,298
लेने,298
पागल,296
ज्यादा,295
पुलिस,295
चले,294
सकती,292
यकीन,292
बुरा,290
डर,286
चाहती,282
महसूस,280
दूसरे,280
आता,280
लड़का,280
आने,277
छोटे,277
