word,count
je,21027615
da,16594229
ne,10484069
se,10240342
u,9085358
i,9056354
to,8021784
sam,7372296
što,6390304
na,5253807
ti,4662739
mi,4271193
za,4263999
si,4203842
li,4014102
ja,3277708
su,3067851
ali,2896027
nije,2765707
s,2415635
ga,2398955
samo,2356279
me,2312147
ovo,2262089
te,2259581
a,2243016
od,2214791
kako,2186585
bi,2180291
će,2138638
o,1952595
dobro,1947191
ako,1899727
smo,1887723
sa,1818346
sve,1804712
ću,1726270
kao,1677569
biti,1547304
tako,1524216
znam,1516221
ovdje,1497581
ste,1465638
nisam,1452877
bio,1418908
mogu,1418225
zašto,1325527
još,1291767
on,1253287
pa,1239790
redu,1223395
nešto,1210638
bilo,1174185
koji,1165801
kad,1144729
vas,1141287
iz,1017138
hvala,1012040
mislim,1006060
ih,994421
gdje,966679
ili,965146
možda,960397
znaš,924981
ima,921107
više,914701
vam,910426
rekao,882673
moj,872336
ćemo,866209
sada,863975
bih,857356
onda,856156
tko,846231
nas,842217
mu,838674
do,822177
nema,810466
ništa,796463
zar,789609
želim,768599
bila,760548
mene,756591
malo,750613
ona,717327
molim,710660
može,709042
tebe,691650
ćeš,689933
sad,686669
kada,681645
možeš,677608
reći,676898
prije,669334
vi,667034
tu,654112
imam,653970
nam,653184
jer,653143
šta,645427
tamo,645384
jesi,643913
Hej,639069
ni,631136
zbog,628062
ljudi,614437
svi,596025
nisi,590393
hajde,584153
moram,572031
idemo,556817
po,551899
treba,549206
uvijek,543103
koliko,541427
jedan,536201
stvarno,522778
misliš,522721
već,520972
neće,509179
zato,502666
nego,497760
baš,496832
bez,496032
možemo,485659
vrijeme,482950
dok,479468
stvari,475405
koje,473533
moja,472598
želiš,467950
ono,462667
gospodine,452825
imaš,449065
toga,448013
oni,440338
ovaj,439317
g.,438248
taj,434759
moramo,431904
joj,431437
žao,429003
Oh,422590
imamo,416709
tome,411877
naravno,411840
mogao,408924
tvoj,408855
nikad,404942
znači,400397
posao,399868
dana,398438
moje,393933
koja,393422
dan,382410
daj,379461
nemoj,375979
moraš,374287
put,374185
radi,373719
bili,368058
godina,364799
bolje,363393
Bože,362742
neću,354294
rekla,353608
reci,349677
puno,348992
netko,347938
meni,346677
ok,346338
svoje,343245
im,338245
vidjeti,335549
mislio,334891
kod,333444
dobar,332907
dva,332567
njega,327213
život,327044
mora,324920
izgleda,324781
nisu,324551
možete,323027
radiš,321364
vidio,317639
vremena,316931
stvar,316457
imao,315756
mama,312250
tata,312119
znate,311946
jako,310531
jeste,309372
pomoći,304762
vidim,301240
volim,300338
hoćeš,294046
neka,292660
odmah,291103
trebao,291008
ići,288092
zna,287738
nikada,284977
kući,284846
ime,284180
dogodilo,282856
danas,281939
čovjek,281237
nitko,280608
opet,277883
evo,275704
tri,275499
bit,274549
sigurno,273232
jesam,270917
vrlo,270545
upravo,270510
želi,270155
učiniti,268237
svoj,267869
čemu,267644
idem,267117
svoju,262403
tvoja,261337
tim,259487
koju,258598
ćete,255617
nakon,255327
tobom,251921
mnogo,249716
nismo,249045
Zdravo,247945
no,247437
znao,246573
mnom,246351
kaže,244068
prema,243438
sranje,243292
čekaj,242617
toliko,241478
neki,241275
čak,240584
htio,240181
oko,240014
ide,238571
mjesto,238082
god,237814
tvoje,233926
Bok,232500
postoji,232298
žena,232244
bude,231984
kažem,229325
otac,228054
dovoljno,227766
nemam,224624
tebi,224506
jednom,224338
