word,count
a,27733084
nem,13205175
az,11058700
hogy,9204865
és,7080343
egy,6449069
van,4734982
ez,4290980
is,3737443
de,3607829
meg,3434342
csak,3171079
ha,3047304
mi,2957436
én,2827207
azt,2754548
volt,2397109
vagy,2395094
igen,2359758
kell,2211220
el,2111246
itt,2108842
már,2057996
még,1982958
ne,1947112
te,1897777
ki,1842449
mit,1792568
ezt,1723688
most,1667419
vagyok,1663866
jó,1640837
tudom,1365358
úgy,1311569
miért,1293323
akkor,1273389
mint,1205951
ő,1089619
jól,1056275
lesz,1017184
nincs,979999
nagyon,959092
mert,947165
minden,915933
sem,894042
amit,862916
rendben,840945
olyan,836674
be,831278
így,829495
volna,802478
le,787712
fel,765003
oké,762784
nekem,758964
ott,745991
tudod,732384
lehet,687444
valami,675281
majd,667930
maga,663771
mindig,652842
talán,642343
semmi,608709
köszönöm,606188
hol,604104
aki,591837
hát,589910
neki,569947
szóval,566594
amikor,562903
ami,532734
neked,532359
kis,525321
hé,517812
fog,501678
valamit,499153
tényleg,497213
hiszem,497096
elég,497021
igaz,490550
rá,488236
lenne,486968
őket,486285
uram,480764
ide,478134
vissza,476122
vele,470902
ilyen,470466
milyen,469498
tudja,466863
biztos,464462
nagy,457763
gyerünk,456808
Ó,449876
egész,445490
vagyunk,442583
sajnálom,441118
vannak,439335
mikor,431451
ma,420081
ember,419662
azért,417597
történt,410410
túl,404996
Nos,403657
sok,397912
persze,395751
gyere,387273
Mr.,385595
két,384626
mondta,383192
értem,378422
valaki,372502
ahogy,368023
aztán,363680
Szia,363177
pedig,356116
engem,353774
kicsit,349147
velem,346439
ezért,342172
arra,336493
mondtam,332686
mindent,331957
voltam,330335
Na,329076
ugye,328920
más,321024
kellett,319388
se,319355
új,319348
őt,318338
semmit,306337
kérem,304341
benne,303956
akarsz,303515
nézd,294389
veled,294325
jobb,294175
miatt,293695
szerintem,292995
erre,292357
akarok,289111
akarom,286752
több,284588
baj,282711
kérlek,282174
mindenki,279170
kéne,278819
legyen,276660
akar,275150
rám,274956
menj,274428
magát,272451
senki,271954
e,271416
nap,269601
soha,269052
át,266606
minket,265527
együtt,264930
szép,260862
pár,257657
ezek,255318
mintha,255180
első,253468
emberek,253297
rossz,252963
téged,251373
szerint,247486
után,246388
róla,244614
várj,244367
hogyan,243157
újra,242276
este,241749
sosem,240969
láttam,236821
tudok,235853
tudtam,231642
istenem,230893
ön,229695
mondja,226868
kellene,226843
oda,225056
egyszer,224920
dolog,224549
Ja,224080
mondd,224045
hittem,223642
amíg,223624
akartam,219170
másik,218471
igazán,217874
egyik,215908
innen,215710
tessék,215284
apa,214746
tűnik,214559
megyek,212032
lett,211319
annyira,211313
lenni,210487
érted,208940
gondoltam,208404
rajta,207605
inkább,205995
jobban,205513
saját,204614
ezzel,204591
magam,202234
épp,200493
alatt,200069
néhány,199498
anya,199218
tud,197605
elnézést,196551
egyetlen,194775
három,193765
ebben,193762
magad,191999
figyelj,191587
úr,190987
legjobb,190349
mind,188962
teljesen,188275
hozzá,187996
jön,187899
mielőtt,187713
megy,187075
szó,183442
egyedül,183391
menjünk,180604
akarod,178489
isten,176576
komolyan,176452
tovább,176238
mire,175175
vége,175028
akik,174246
voltál,172722
mondani,172708
micsoda,172206
honnan,171212
Oh,171007
ők,170805
hadd,168940
