word,count
է,913
ես,479
որ,363
և,298
եմ,288
մի,276
ու,244
իմ,227
ինձ,183
նա,181
դու,170
ոչ,168
այդ,165
են,158
էլ,141
թե,141
այս,138
քեզ,135
այն,116
եք,116
ի՞նչ,111
համար,98
սակայն,98
եթե,97
Եվ,97
պիտի,96
նրա,91
իր,89
մեր,88
կարող,87
էր,86
ինչ,86
ձեր,86
դեռ,84
չեմ,83
քո,82
հա,74
հիմա,73
իսկ,72
ուզում,72
ձեզ,71
նրան,70
դուք,70
բայց,69
օհ,67
է։,66
ուրեմն,64
ամեն,64
էի,63
լավ,63
չի,63
բան,62
միայն,62
հետ,61
չէ,60
բարի,59
պր.,58
շատ,56
նրանց,55
ենք,53
արդեն,52
մենք,52
թող,51
դա,50
այստեղ,46
պարոն,46
ավելի,46
Այո,46
երբ,45
Ռոմեո,44
մեկ,44
մեզ,43
մեծ,43
մեջ,42
մասին,41
այդպես,40
նոր,40
պետք,40
գիշեր,39
կամ,39
նրանք,38
դե,38
ո՞վ,37
անգամ,37
քանզի,36
վրա,35
գալիս,35
տեր,34
նման,33
այլ,33
մոտ,32
ոչինչ,32
խնդրում,32
հենց,30
ինչպես,29
ահա,29
եմ։,28
օրիորդ,28
հետո,28
որտե՞ղ,28
մինչև,27
քանի,27
Ջուլիետ,27
ասել,26
այլևս,26
չես,26
այնտեղ,26
ինչո՞ւ,26
չեն,25
օր,25
մարդ,25
ժամանակ,24
գուցե,24
է.,24
ի,24
Փեփփի,23
Ռոմեոն,23
լինել,23
Աստված,23
ասում,23
այնքան,23
սա,22
որպես,22
կա,22
հետ։,22
անում,22
բոլոր,21
իրենց,21
սիրո,20
ապա,20
համար։,20
եղել,20
Միլլեր,20
գնա,20
հայր,20
ազնիվ,20
ինչպե՞ս,20
կարծում,20
ասա,20
չէր,19
առաջ,19
Մերկուցիո,19
մի՞թե,19
տիկին,19
քան,19
նաև,19
էին,18
առավել,18
լինի,18
երկու,18
էիր,17
չկա,17
սուրբ,17
ով,17
քիչ,17
կրկին,17
եկել,17
Դրեյվերհավենը,17
դեպի,17
երբեք,17
դայակ,16
բարով,16
արի,16
խոսում,16
պես,16
դուրս,16
Կավդորի,16
այնպես,15
դեմ,15
Տիբալտ,15
սպանել,15
թեն,15
երեք,15
երեկո,15
այսպես,15
վաղը,15
եք։,15
Կատադրոյֆե,14
արդյոք,14
այդքան,14
նույն,14
ճիշտ,14
չէի,14
ունեմ,14
սերն,14
տվեք,14
տուր,14
տուն,14
օրը,14
մեկը,14
մնաս,14
էր։,14
երկար,14
տանի,13
նրանից,13
շուտով,13
ինձ։,13
կլինի,13
ամենից,13
գնանք,13
դրա,13
եղիր,13
ունի,13
լույս,12
որտեղ,12
շնորհակալ,12
արքա,12
այսօր,12
թանկագին,12
վեր,12
նույնպես,12
ունես,12
անել,12
բաներ,12
մնա,12
մեռած,12
թե՞,12
նորից,12
ողջ,12
որին,12
որն,11
խոսիր,11
որքան,11
տեսել,11
տալիս,11
մեկն,11
Մակբեթը,11
կան,11
պատրաստ,11
հեռու,11
Յակո՛բ։,11
իրեն,11
հանգիստ,11
ընկեր,11
սեր,11
թվում,11
Գրողը,11
անց,10
պակաս,10
ժամ,10
Ջորջ,10
խոսք,10
տանը,10
տարի,10
ոք,10
չեք,10
գիտեմ,10
վերջին,10
Մակբեթին,10
ուրիշ,10
ես։,10
Հեյ,10
չէ՞։,10
ուշ,10
հաստատ,10
փախիր,10
ժամը,10
նրան։,10
արա,10
փոքրիկ,10
քաղցր,10
սեփական,10
Ախ,10
մարդիկ,9
չէ։,9
չքնաղ,9
Մոնտեգյու,9
մորս,9
գա,9
պարտք,9
առանց,9
վկա,9
մինչ,9
Կեցցե,9
այդտեղ,9
լսել,9
սպասում,9
եղեք,9
լիներ,9
տեղ,9
Յակոբ,9
կլիներ,8
Ձերդ,8
դեպքում,8
ճշմարիտ,8
Ներեցեք,8
տեսնել,8
գնամ,8
վտանգավոր,8
տեսնում,8
Բանքոյի,8
բանի,8
արյուն,8
մայրս,8
ասեք,8
առաջին,8
ձեզ։,8
Եկ,8
չենք,8
ժամին,8
պետք։,8
միակ,8
խոսել,8
լոկ,8
լինում,8
սիրում,8
սիրուն,8
ինքս,8
սնանկ,8
վատ,8
ամիս,8
եղավ,8
մարդկանց,8
Նանուկը,7
մտածում,7
նորություն,7
Յան,7
որոնց,7
մեկին,7
նախագահ։,7
շուտ,7
ևս,7
երդվում,7
գիշերվա,7
վայել,7
ես.,7
են։,7
եկեք,7
Դրեյվերհավենի,7
տալ,7
դառնում,7
գուլդեն,7
գործը,7
տեսա,7
բութ,7
թեև,7
բլա,7
ցույց,7
արագ,7
ասելու,7
ասացի,7
քաջ,7
Այո։,7
ամենն,7
Ֆլինսը,7
ահեղ,7
վախենում,7
Ողջույն,7
կին,7
Կատադրոյֆե։,7
թույլ,7
կյանքը,7
լինեն,7
հարմար,7
պատճառով,7
պատիվ,7
լուր,7
պահիր,7
պարոն։,7
Ջուլիե~տ,7
ջահել,7
կարևոր,7
փոխարեն,6
որի,6
պահ,6
պահել,6
պատճառ,6
քնած,6
օգնել,6
չպիտի,6
Ոչ։,6
չունի,6
Չգիտեմ,6
փաստաբան,6
սրիկա,6
տղան,6
պատրաստվում,6
սև,6
տեղը,6
տարօրինակ,6
տակ,6
տա,6
Որտեղի՞ց,6
Ռոմեոյին,6
չափազանց,6
վարկ,6
որոնք,6
վայր,6
վաղ,6
ունեք,6
հասկանում,6
Դունկանի,6
մահվան,6
մահ,6
Մակդուֆ,6
Ե՞րբ,6
ձեռքով,6
դրանք,6
ձեռքը,6
գունատ,6
լինելու,6
ասեմ,6
հողը,6
կյանքի,6
ավելին,6
լինես,6
Բանքոն,6
արել,6
հանում,6
հանդեպ,6
Բանքո,6
արյան,6
հանդգնում,6
ծանր,6
էիք,6
արքային,6
արքան,6
անունը,6
մայր,6
կլինես,6
ընկած,6
Շշշ,6
Բիրնամի,6
աղջիկ,6
կենացը,6
գնում,6
նույնիսկ,6
ներս,6
մտքի,6
գործ,6
այ,6
միջև,6
միշտ,6
այնժամ,6
այստեղ։,6
անմիջապես,6
մեղքն,6
գումարը,6
կինը,6
մարդու,6
մասին։,6
Կրեդիտային,6
գործի,5
դավաճան,5
տասնչորս,5
Ո՛չ,5
տան,5
Դատական,5
դերասան,5
դժվար,5
դիմաց,5
գիտեք,5
եղել։,5
ետ,5
երկինք,5
երկրորդ,5
Վան,5
երջանիկ,5
զարմիկ,5
զբաղված,5
էինք,5
գնալ,5
ցանկանում,5
գալու,5
բժիշկ,5
ևեթ,5
ազնվական,5
ֆիլմը,5
օրվա,5
օրհնի,5
ամուր,5
քսան,5
անուն,5
անունդ,5
քեզնից,5
աշխատում,5
ապրում,5
առաքինի,5
ասաց,5
ասի,5
փորձել,5
փոկի,5
արժանի,5
արձակում,5
