word,count
aku,3785033
kau,2724543
yang,2350960
tidak,1901622
ini,1687114
itu,1623335
dan,1433616
di,1426081
dia,1407463
akan,1380210
apa,1343136
kita,1209622
untuk,922512
tak,858102
bisa,837122
ada,781651
mereka,746533
tahu,680222
dengan,663726
anda,609255
dari,606625
ya,571941
saya,571791
tapi,532752
kami,529498
ke,526947
harus,489365
sudah,481583
orang,437186
saja,425786
kamu,417487
adalah,411352
seperti,383261
ingin,382390
jika,380442
pergi,369361
semua,353209
sekarang,352777
sini,348691
hanya,346861
dalam,341951
jadi,335392
bukan,314129
jangan,313376
baik,312829
lagi,301756
bagaimana,295043
punya,288974
lebih,279232
kalian,275291
Oh,270469
pada,264045
lakukan,257053
sangat,248521
mungkin,248260
karena,245675
mau,230496
ayo,227476
satu,226062
juga,224338
siapa,220736
pernah,218998
telah,207750
apakah,207096
saat,202188
kembali,197429
kenapa,196708
hari,196301
datang,194658
hal,191764
atau,189163
banyak,185187
benar,185086
begitu,184853
sesuatu,182981
kasih,182650
lihat,180602
terima,177912
terjadi,176152
melihat,175244
menjadi,173198
melakukan,167300
bagus,166389
seorang,164638
Hei,163544
kalau,159805
masih,159281
tentang,159110
bilang,156570
bahwa,154813
sana,150145
baiklah,148119
mana,146564
tempat,146495
mati,146373
lain,142717
waktu,142619
oke,140300
keluar,138413
lalu,137812
maaf,136495
anak,135821
sekali,133628
sedang,131914
malam,131914
membuat,131792
ayah,131037
sampai,130904
tahun,130709
baru,128225
dapat,125410
hidup,121838
tunggu,121339
cepat,121245
perlu,120455
katakan,120211
sendiri,119949
memiliki,118215
mengapa,115409
semuanya,114483
kan,114238
beberapa,113930
sebuah,112952
sama,112918
masuk,110215
salah,108715
dengar,108034
ia,105846
disini,105595
besar,105205
padaku,104466
rumah,103313
pasti,103256
pak,102980
selamat,101211
mengatakan,100866
masalah,98770
belum,98435
dua,97017
ku,96878
ketika,96425
pikir,96420
bicara,93585
tentu,93282
ibu,93100
suka,92990
selalu,92339
yg,91687
Tuhan,91179
cukup,90174
benar-benar,89787
tolong,89339
dimana,87479
melakukannya,87224
pria,86553
mengerti,86543
seseorang,85750
setelah,85283
baik-baik,83607
dunia,83330
atas,83162
bertemu,82627
yeah,82480
berada,82386
lama,82119
sedikit,81248
jalan,81112
apa-apa,80850
percaya,80770
tetap,80473
padamu,80219
bahkan,80159
boleh,79677
terlalu,79465
menemukan,79417
makan,79066
sayang,78829
tinggal,78585
oleh,77661
kali,77418
berhenti,77176
bekerja,76960
sebagai,76590
wanita,75867
membunuh,75698
luar,75506
kecil,74775
cara,73898
bersama,73838
yakin,73717
mulai,73608
mendapatkan,73303
mari,73259
setiap,73117
pertama,72245
hey,72242
selama,71729
sebelum,71322
diri,70844
teman,70425
kurasa,69368
butuh,69106
ayolah,69099
senang,68648
berpikir,68383
takkan,67374
apapun,67114
mencari,66499
mengambil,66363
dulu,66358
merasa,64951
uang,64735
the,64409
tanpa,64184
para,63981
jam,63382
siap,62494
sebenarnya,62418
tuan,61764
denganmu,61413
gadis,61132
mu,61092
buruk,60363
mencoba,59969
membawa,59868
berapa,59284
ingat,59038
terus,58037
sial,58025
polisi,57637
biarkan,57582
gila,57102
dirimu,56240
segera,56208
pun,55866
orang-orang,55576
memang,55566
manusia,55537
takut,55496
pulang,55441
itulah,55288
nya,54215
mobil,54067
tidur,53960
nama,53951
yah,53940
Halo,53630
biasa,53310
seharusnya,53187
sakit,53096
terakhir,52437
kemudian,52414
kota,52251
maksudku,51653
berhasil,51361
terlihat,51234
kepada,51180
depan,51081
minta,49960
bodoh,49847
tiga,49685
bawa,49636
ambil,49088
sungguh,48899
berikan,48846
bagian,48807
rasa,48773
sebentar,48735
membantu,48488
cinta,48311
berbicara,48142
sepertinya,48121
padanya,46846
bawah,46466
air,46246
sialan,46239
hebat,46160
tepat,45790
hai,45544
ikut,45444
masa,45231
Tn,44675
tangan,44591
maafkan,44229
melihatnya,44196
kehilangan,44184
mendengar,43828
untukmu,43825
cuma,43653
pagi,43543
bagi,43219
nanti,43160
paling,43036
keluarga,42899
bergerak,42576
menunggu,42565
jauh,42444
si,42309
seluruh,41977
selesai,41977
senjata,41765
hentikan,41710
tadi,41579
menit,41352
suatu,40841
penting,40773
tenang,40708
terbaik,40609
coba,40384
pekerjaan,40271
