word,count
ég,373367
ađ,321507
er,297275
í,209177
ekki,208254
ūađ,191073
og,169167
á,148426
ūú,145231
viđ,130268
hann,114815
ūetta,106434
hvađ,75674
sem,70733
mér,70033
til,68173
en,65837
međ,64293
ūér,60237
fyrir,59872
af,56961
um,56051
var,54859
mig,49432
ūig,49299
Já,46613
að,46300
hún,41336
nei,40238
ūví,38155
allt,36725
bara,33074
eru,32578
svo,32353
ef,31581
ert,30448
ūá,29200
það,25690
ertu,25393
okkur,24991
eins,24896
vera,24155
eftir,24039
lagi,23888
gera,23648
veit,23123
hefur,22710
hér,22587
ūiđ,22463
ūeir,22448
nú,22059
frá,21413
fara,20649
hvernig,19979
þú,19449
út,19060
við,18976
ūegar,18769
hef,18234
upp,18190
aftur,17999
honum,17957
minn,17592
svona,17554
ekkert,17015
vel,16954
verđur,16392
hana,16382
sé,16246
hver,15990
ykkur,15401
ūessu,15198
þetta,14971
vil,14741
veriđ,14571
komdu,14365
eđa,14320
segja,14300
erum,14280
hérna,13949
úr,13864
get,13773
aldrei,13656
hverju,13653
gott,13524
hvar,13309
hafa,12971
hjá,12773
getur,12414
koma,12316
okkar,12228
viltu,12162
inn,12102
mín,12050
fá,12027
núna,11958
mađur,11834
takk,11712
eitthvađ,11492
kannski,11191
herra,11177
sagđi,10987
hans,10909
ūau,10809
hvað,10661
ūarna,10449
tala,10263
ūarf,10238
henni,10172
væri,9968
sjá,9837
ūar,9685
líka,9529
held,9456
fer,9365
ūín,9324
áfram,9317
ūeim,9138
ūess,8960
rétt,8908
sér,8896
farđu,8885
ūinn,8851
mjög,8804
vegna,8787
með,8784
kemur,8686
saman,8676
gert,8477
þér,8147
sá,8032
einn,8013
enn,7845
verđ,7765
alltaf,7674
gæti,7639
of,7599
allir,7578
ætla,7462
yfir,7454
hafi,7429
pabbi,7404
má,7342
ūessi,7319
enginn,7251
kom,7223
dag,7175
mamma,7161
skal,7125
sig,7012
heldur,6972
komiđ,6902
veistu,6897
bíddu,6873
vita,6808
mitt,6734
förum,6709
heim,6651
átt,6577
sama,6534
guđ,6528
tíma,6512
ūakka,6494
einhver,6426
höfum,6377
ūær,6360
mikiđ,6296
finnst,6270
þig,6253
fariđ,6246
láttu,6205
getum,6177
niđur,6143
Jæja,6095
hefđi,6091
gķđur,5924
hingađ,5901
meira,5872
Fyrirgefđu,5859
vildi,5783
segir,5782
taka,5740
ađeins,5683
mun,5675
áđur,5662
satt,5643
veist,5604
fjandinn,5547
segđu,5517
eitt,5482
vertu,5453
ūessa,5451
hvert,5442
voru,5415
elskan,5391
alla,5383
halda,5341
vill,5287
öll,5263
myndi,5228
gerđu,5199
einu,5192
gerir,5174
fram,5153
hvort,5153
láta,5133
kvöld,5129
ūitt,5123
ykkar,5099
sagt,5071
hættu,5066
hefurđu,5044
verđum,5024
hélt,4995
því,4984
vilt,4981
annađ,4977
fķr,4966
alveg,4958
hennar,4940
fķlk,4927
hr,4879
ár,4879
stađ,4832
sjáđu,4829
vinur,4782
leiđ,4781
Hæ,4776
verđa,4754
Ķ,4736
eina,4666
gerđi,4480
geri,4455
séđ,4445
menn,4430
sinni,4410
mína,4369
hvađa,4368
neitt,4305
ætti,4296
reyna,4279
Hallķ,4277
gaman,4270
hvers,4270
þá,4215
vissi,4207
skil,4161
langar,4154
finna,4128
elska,4113
auđvitađ,4056
vinna,4053
án,4010
drepa,3916
undir,3906
eruđ,3898
ūessum,3893
mínum,3868
áttu,3862
öllum,3856
síđan,3851
strax,3827
frábært,3825
ūeirra,3824
eigum,3812
hugsa,3794
engin,3794
einmitt,3743
morgun,3732
fimm,3717
viss,3713
taktu,3713
alvöru,3679
ūína,3674
kem,3594
fékk,3590
gengur,3588
varst,3583
Jú,3574
ūennan,3554
ná,3515
leitt,3515
átti,3491
ūannig,3473
lengi,3444
geturđu,3425
lengur,3412
þið,3402
sæll,3391
frú,3391
ūarft,3382
haltu,3362
heldurđu,3353
segi,3333
komast,3331
Heyrđu,3328
gķđa,3326
fyrsta,3310
betur,3297
hvenær,3292
vilja,3284
eiga,3282
hitta,3277
lífi,3251
öllu,3221
fyrst,3214
kominn,3209
ūykir,3192
inni,3185
ára,3179
einhvern,3177
burt,3164
áhyggjur,3155
víst,3119
mann,3107
hjálpa,3088
daginn,3061
geta,3045
varđ,3035
handa,3021
ūangađ,3019
sinn,3012
gķđ,3010
gerđist,3003
þeir,2994
a,2993
ūurfum,2976
virđist,2969
ūínum,2968
máliđ,2947
illa,2939
ein,2937
mál,2909
hægt,2905
nema,2896
ao,2882
ættir,2864
hafđi,2861
ætlarđu,2841
minni,2837
komum,2824
fyrr,2784
nķtt,2777
sjálfur,2753
tveir,2729
líf,2708
héđan,2703
leita,2693
heiti,2693
líđur,2672
búinn,2668
heima,2661
gegn,2658
gerum,2627
samt,2616
þegar,2609
Jack,2608
nķg,2603
langt,2582
tvö,2567
engar,2563
erfitt,2555
vorum,2552
ferđ,2527
bless,2520
annars,2520
mátt,2506
mínu,2502
hætta,2475
fengiđ,2457
enga,2444
gangi,2442
mömmu,2429
vantar,2423
hve,2421
skiptir,2412
tekur,2402
hafiđ,2401
gefa,2400
i,2396
hugmynd,2388
deyja,2386
gat,2365
hlũtur,2358
fann,2354
fjandans,2353
heitir,2345
mínútur,2340
heyra,2337
stundum,2333
fær,2323
klukkan,2320
fæ,2313
haldiđ,2301
flott,2299
spyrja,2289
máli,2285
gerast,2279
allan,2273
ætlar,2272
alls,2263
sex,2255
líklega,2255
mínir,2248
trúi,2246
nota,2245
sért,2244
verður,2240
hvern,2240
lítur,2235
fínt,2232
hjálp,2230
komst,2224
ganga,2217
fleiri,2195
allar,2193
orđiđ,2185
fađir,2182
tíu,2182
gerist,2176
nokkuđ,2175
besta,2164
úti,2141
þessu,2129
stendur,2126
sjáumst,2126
verið,2124
baka,2112
uppi,2110
tķk,2110
ha,2108
sæl,2106
tvær,2096
sagđir,2085
fannst,2083
međan,2081
líkar,2078
manni,2066
virkilega,2060
kann,2057
jafnvel,2043
smá,2031
værir,2022
pú,2019
eigin,2002
hey,1998
New,1991
man,1989
sũna,1983
milli,1982
daga,1981
byrja,1980
varstu,1979
tvo,1973
næstum,1972
Afsakiđ,1971
pabba,1970
segirđu,1966
Afsakađu,1965
frekar,1951
ūinni,1945
gegnum,1939
eða,1938
manstu,1936
hringja,1936
ættum,1931
árum,1927
hluti,1922
sonur,1919
heyrt,1919
látiđ,1918
betra,1916
mađurinn,1896
John,1891
ūķtt,1883
skiliđ,1878
kona,1873
gķđan,1870
þau,1870
komin,1869
skilurđu,1867
konan,1861
meina,1861
eitthvað,1857
strákar,1857
engan,1854
hátt,1852
sérđu,1849
vitum,1837
tími,1834
ķkei,1833
annan,1832
vinir,1831
litla,1831
undan,1825
kemst,1824
sú,1823
beint,1819
færđ,1818
hverjum,1812
ūekki,1808
borđa,1805
kalla,1803
horfa,1793
ūķ,1787
utan,1787
búiđ,1781
tekiđ,1775
verđi,1774
gætir,1773
leyfđu,1772
hversu,1769
konu,1763
bílinn,1761
miklu,1759
hefđir,1755
dálítiđ,1750
hví,1749
orđ,1746
helvítis,1744
tilbúinn,1744
ūessari,1743
bíđa,1737
skulum,1720
reyndar,1718
ú,1717
Jesús,1715
myndir,1711
ūũđir,1709
varlega,1709
engu,1706
annar,1704
tek,1703
viku,1702
átta,1702
hafđu,1701
félagi,1700
maður,1697
skjķta,1694
nķgu,1691
finn,1689
grínast,1689
börn,1684
hlustađu,1683
kyrr,1678
ad,1673
meiri,1670
fáum,1666
nafn,1664
peninga,1662
pao,1654
strákur,1641
seinna,1639
andskotinn,1637
lokiđ,1635
York,1634
borga,1619
ætlađi,1610
barn,1599
eiginlega,1596
sjáiđ,1595
ūínu,1588
hamingju,1583
brķđir,1580
sína,1577
skilja,1574
slepptu,1571
nær,1566
búin,1552
yrđi,1552
sagði,1548
mynd,1543
svolítiđ,1542
settu,1539
næsta,1537
petta,1535
betri,1534
viljum,1528
burtu,1527
fallegt,1524
miđur,1523
ūegiđu,1521
best,1514
dali,1512
hafir,1509
hlusta,1509
síđasta,1505
vona,1505
geti,1504
ūúsund,1503
margir,1502
frábær,1501
skrifa,1496
vonandi,1493
oft,1493
fröken,1492
gerđir,1491
hug,1489
dr,1488
bjarga,1483
ræđa,1480
kenna,1476
náđi,1474
Ū,1474
hinn,1472
lét,1472
nũja,1469
von,1469
reyndi,1464
sínum,1464
ūrír,1458
séu,1453
hræddur,1453
ūessar,1451
læt,1451
Ja,1440
bílnum,1437
gætum,1430
setja,1429
sofa,1429
lítiđ,1427
lifa,1425
reyndu,1419
ađra,1417
þeim,1417
þarna,1412
sendi,1410
konur,1409
gaf,1407
slæmt,1407
tilbúin,1402
öđrum,1400
tækifæri,1398
búa,1395
síđar,1394
þar,1391
líta,1389
mistök,1386
næst,1385
sækja,1382
örugglega,1380
fáđu,1377
sjö,1376
bjķđa,1374
rķlegur,1372
mínar,1372
gefđu,1371
vini,1366
nokkur,1362
skilur,1361
stađar,1361
tķkst,1358
talar,1356
peningana,1352
þarf,1350
fjárinn,1349
lætur,1347
sestu,1346
nálægt,1342
ætlum,1336
talađ,1331
skipti,1327
gekk,1324
sagđirđu,1324
margt,1318
vio,1316
gamla,1313
þess,1304
standa,1302
vinnur,1301
færđu,1299
falleg,1295
Vá,1295
húsiđ,1292
líttu,1292
sagđist,1291
ungfrú,1288
ūekkir,1288
varla,1274
farinn,1273
hringi,1270
sko,1269
samband,1268
föđur,1265
aõ,1264
minna,1263
augnablik,1262
Almáttugur,1259
sæti,1252
lífiđ,1252
heyrđi,1251
lofa,1247
David,1246
dķ,1246
vinstri,1244
börnin,1242
tökum,1241
kaupa,1240
berjast,1238
senda,1237
hægri,1236
Frank,1234
sjáum,1233
númer,1230
stķr,1229
mat,1228
ennūá,1225
fķlki,1224
vinnu,1215
vandamál,1212
einhvers,1211
herrar,1210
önnur,1204
fjandanum,1202
niđri,1200
bænum,1200
látum,1199
gær,1198
Charlie,1197
viljiđ,1196
sitt,1194
rangt,1193
ætli,1193
hringdi,1193
fyrstu,1193
mķđir,1189
framan,1188
Michael,1187
missa,1187
áhuga,1184
gķđu,1183
hitti,1181
lesa,1180
hjálpađ,1180
haft,1174
leika,1174
getađ,1173
þín,1172
bíl,1171
næstu,1170
fundiđ,1170
hringdu,1169
leiđinni,1169
mķti,1167
dagur,1164
dauđur,1163
datt,1162
hljķmar,1161
þessi,1160
hitt,1159
ūrjú,1158
litli,1157
ūann,1156
mörg,1150
einhverju,1148
takiđ,1148
þinn,1145
læknir,1145
hjarta,1139
manns,1139
nokkra,1139
pér,1138
konar,1134
ūessir,1133
hætti,1130
fréttir,1128
bestu,1127
bađ,1126
barniđ,1123
tímann,1120
drap,1119
fjölskyldu,1116
herbergi,1116
Sam,1115
munu,1114
spila,1113
beđiđ,1111
ķtrúlegt,1105
snũst,1103
heyri,1103
náđu,1102
hús,1099
trúa,1098
höldum,1098
ást,1094
biđ,1094
innan,1092
getiđ,1091
ūurfa,1090
stelpa,1088
þær,1088
hendur,1087
hinum,1086
starf,1085
George,1085
drekka,1085
húsinu,1084
heiminum,1083
čg,1082
finnur,1082
leggja,1077
dyrnar,1071
fangelsi,1070
mánuđi,1070
fari,1070
frændi,1068
ofan,1067
færi,1066
farðu,1064
borđ,1063
síđustu,1063
eini,1062
öđru,1061
unniđ,1057
fyndiđ,1056
vatn,1055
hrifinn,1055
allra,1053
rétta,1053
nũtt,1051
hata,1049
Tom,1048
finnum,1048
alvara,1044
drengur,1043
réttu,1040
enda,1036
besti,1034
ūurfti,1034
gefiđ,1034
stelpur,1032
Mike,1031
lifandi,1028
tveimur,1026
virđi,1025
reyni,1024
gleymdu,1023
kynnast,1022
bíđiđ,1022
krakkar,1019
sleppa,1018
komist,1018
verð,1018
bæđi,1017
systir,1017
velkomin,1015
nũ,1014
komið,1009
níu,1009
fljķtt,1009
sinnum,1006
nákvæmlega,1006
vildir,1006
stund,1005
læra,1004
líst,1004
opna,1003
