word,count
の,841611
は,723771
に,637430
た,570351
を,568311
て,559231
だ,487784
が,480012
で,305190
ない,290488
か,268235
し,262588
と,260953
も,221358
な,207451
よ,192000
ん,170805
私,138728
てる,122786
何,122507
から,109342
です,104075
ね,91714
それ,86819
わ,84668
する,84173
こと,83672
彼,83092
いる,78520
い,77117
あなた,76579
そう,73943
ます,72450
いい,66493
君,62907
どう,62526
俺,62444
さ,60546
ある,57977
じゃ,56790
お,55360
れ,54290
これ,49319
って,47298
この,46773
ここ,44921
くれ,43064
人,42914
その,41892
お前,41324
誰,41114
事,41101
ば,40321
見,40134
彼女,39677
ぞ,39280
ら,38951
なら,37908
だっ,36884
まし,35874
もう,34400
よう,33724
たら,32893
言っ,32750
たい,32094
なかっ,31679
だけ,31138
たち,30373
今,30245
僕,30035
ませ,29440
者,28991
来,28914
やっ,26500
まで,25146
どこ,25104
へ,25008
けど,24999
さん,24603
なる,24248
ああ,23124
時,22946
知っ,22400
せ,22241
なっ,22005
中,21816
達,21783
行く,21686
ため,21582
だろ,21483
前,21226
だろう,20620
もの,20598
必要,20546
あの,19555
奴,19281
なく,19269
あっ,19263
気,19134
あり,19001
でき,18916
我々,18759
大丈夫,18478
話,18176
自分,18043
思っ,17848
時間,17296
られ,17150
本当,16909
なぜ,16901
き,16873
まだ,16839
そんな,16833
出,16747
そして,16247
ありがとう,16220
的,16179
思う,16159
いう,16116
いや,15888
聞い,15842
家,15797
言う,15655
年,15376
つ,15140
や,14878
持っ,14862
なん,14817
分かっ,14748
男,14681
日,14593
ちょっと,14408
話し,14301
行っ,14169
手,13936
方,13902
わかっ,13899
そこ,13715
知ら,13630
一,13610
仕事,13555
一緒,13338
できる,13286
待っ,13180
後,13032
れる,12985
やる,12931
すぐ,12896
ええ,12828
考え,12787
他,12567
より,12454
はい,12259
違う,12175
でしょ,12145
目,12110
なさい,12040
つい,12018
おい,11794
みんな,11700
電話,11456
みたい,11451
しろ,11321
死ん,11219
無い,11189
また,11063
良い,11002
殺し,10885
あんた,10799
助け,10659
でしょう,10636
なんて,10524
所,10478
こんな,10449
見つけ,10330
場所,10231
同じ,10107
あれ,10100
車,10062
子供,10033
様,9893
よく,9878
べき,9850
問題,9737
子,9514
ください,9451
好き,9374
さあ,9278
み,9240
世界,9235
たく,9197
金,9163
全て,9114
１,9044
信じ,9002
名前,8945
通り,8882
ご,8880
思い,8871
ー,8855
連れ,8852
もし,8852
来る,8819
願い,8769
皆,8758
はず,8738
ダメ,8719
２,8700
少し,8601
ただ,8582
上,8580
出し,8543
生き,8419
分,8335
よし,8144
人間,8125
くれる,8121
しよう,8104
せる,8097
つもり,8075
しかし,8059
行け,8036
ねえ,8012
出来,7944
ぜ,7884
やめ,7853
いつ,7818
もっと,7743
悪い,7692
すべて,7680
どんな,7668
今日,7656
女,7652
パパ,7594
言わ,7580
戻っ,7577
欲しい,7554
入っ,7534
こっち,7473
為,7464
なけれ,7457
でし,7441
うん,7417
入れ,7399
早く,7382
物,7372
ところ,7288
ママ,7268
教え,7265
心配,7228
ごめん,7200
ましょう,7178
力,7121
なり,7116
ず,7020
じゃあ,6957
神,6955
居,6880
３,6796
最後,6761
取り,6740
家族,6733
られる,6710
いいえ,6699
いつも,6681
落ち,6660
くる,6660
意味,6656
官,6579
度,6567
行か,6544
関係,6542
受け,6507
息子,6477
次,6451
娘,6381
言い,6363
父,6306
でる,6273
行き,6267
警察,6267
分から,6209
間,6176
準備,6120
なきゃ,6079
頭,6078
かけ,6048
しか,5954
全部,5949
死ぬ,5928
しれ,5915
心,5909
感じ,5896
探し,5870
愛し,5869
もちろん,5867
銃,5847
殺す,5805
わから,5738
別,5724
理由,5715
情報,5702
とても,5698
つけ,5687
一人,5678
殺さ,5667
ずっと,5656
分かる,5626
外,5611
人生,5586
以上,5569
危険,5525
会っ,5462
数,5444
安全,5408
捜査,5403
行こう,5389
覚え,5372
すれ,5349
部屋,5337
船,5336
いく,5315
最初,5297
出来る,5295
起き,5274
忘れ,5269
ジョン,5206
止め,5202
まあ,5194
下さい,5188
こう,5167
二,5160
逃げ,5114
約束,5105
結婚,5082
連絡,5071
女性,5063
なに,5063
新しい,5019
出す,5019
方法,4992
顔,4992
やり,4946
わけ,4941
友達,4925
無理,4867
わかる,4846
父さん,4817
事件,4807
最高,4800
あいつ,4774
まま,4767
貴方,4765
下,4764
仲間,4751
引き,4749
先,4728
見え,4703
計画,4685
頼む,4682
可能,4678
バカ,4664
殺人,4652
待て,4646
どういう,4625
あと,4619
とき,4614
夜,4599
ドル,4577
せい,4575
いけ,4557
来い,4539
見せ,4526
確認,4518
こちら,4512
明日,4492
ほど,4484
機,4474
取っ,4445
友人,4431
性,4422
とも,4411
どうぞ,4408
回,4404
全員,4396
ほら,4387
不,4354
嘘,4352
こいつ,4336
死,4336
オレ,4332
くらい,4317
二人,4316
知り,4306
え,4287
王,4285
会い,4278
理解,4266
一度,4226
かしら,4224
確か,4220
言え,4194
よかっ,4185
やら,4181
命,4180
見る,4174
見える,4166
たり,4104
あぁ,4073
終わり,4051
夢,4047
たかっ,4015
聞き,3991
帰っ,3966
やつ,3954
攻撃,3952
質問,3921
ちゃん,3914
とっ,3894
話す,3893
先生,3882
大,3881
感謝,3879
食べ,3869
思わ,3866
クソ,3859
戻る,3854
道,3832
今夜,3824
言葉,3823
つまり,3820
名,3813
国,3808
やめろ,3778
本,3773
やれ,3772
妻,3768
どの,3745
ござい,3727
用,3726
第,3725
居る,3722
野郎,3720
多く,3716
ドア,3711
街,3708
歳,3704
素晴らしい,3682
おまえ,3681
失礼,3642
しまっ,3639
だめ,3628
博士,3624
うち,3617
良く,3610
犯人,3599
もん,3599
すごい,3554
いっ,3552
絶対,3551
了解,3548
調べ,3544
使っ,3542
得,3534
なし,3532
説明,3529
どれ,3507
母さん,3502
すま,3502
写真,3501
終わっ,3501
敵,3497
きっと,3486
始め,3473
５,3425
父親,3413
良かっ,3403
あ,3392
２人,3387
番,3386
作っ,3386
重要,3362
状況,3355
室,3346
ちゃ,3344
着い,3342
チーム,3328
水,3321
やあ,3319
出る,3296
員,3283
間違い,3282
元気,3278
母,3273
大統領,3266
たぶん,3263
続け,3233
丶,3226
十分,3225
一番,3217
命令,3180
血,3178
声,3169
追い,3167
呼ん,3166
証拠,3165
自由,3159
相手,3155
一体,3149
ほう,3134
人々,3133
答え,3130
戦争,3124
込ん,3114
す,3111
秘密,3109
報告,3107
簡単,3096
音,3085
週間,3073
体,3069
与え,3065
残念,3052
件,3046
軍,3035
なんか,3033
士,3031
自身,3029
逮捕,3021
寝,3019
いえ,3018
武器,3007
真実,2984
すみ,2981
ヤツ,2971
ねぇ,2963
昔,2951
口,2949
すぎ,2927
会社,2914
アメリカ,2911
