word,count
ეა,52006
ვ,38971
ნვ,34435
ჟვ,27760
თ,22378
ნა,22294
ჟთ,16172
ჱა,15909
ღვ,13630
რთ,13338
დჲ,12885
ლთ,12776
გ,11083
მთ,10762
ა,10705
რჲგა,10156
ფვ,9951
ჲრ,9099
ჟ,8235
კაკგჲ,7716
რვ,6530
ნჲ,6074
ოჲ,5661
მვ,5564
ჟყმ,5272
ეჲბპვ,4887
აჱ,4701
აკჲ,4363
გჲ,4163
რპწბგა,4027
ჟა,4023
ნწმა,3913
ქრჲ,3886
მჲზვ,3736
მს,3715
ჟამჲ,3609
რაკა,3594
ნთ,3591
გთ,3577
დთ,3552
წ,3481
რსკ,3407
თმა,3402
ბვქვ,3397
რჲა,3347
მნჲდჲ,3027
ჲე,2813
ჱნამ,2795
ეჲ,2738
ჟვდა,2724
კაკ,2715
ევკა,2678
კარჲ,2659
რჲი,2582
ჟჲ,2551
ნვღჲ,2474
ბთ,2449
ჱაღჲ,2287
მვნ,2143
რჲ,2129
ს,2092
რვბ,2083
გჟთფკჲ,2068
კაკჲ,2011
ჟმვ,1980
ჟრვ,1973
თლთ,1835
დ,1831
ჱნავქ,1823
ჲღვ,1780
ეჲბპჲ,1775
კყევ,1771
თჟკამ,1754
მჲდა,1622
ნალთ,1604
ბლადჲეაპწ,1571
გპვმვ,1564
ჲ,1563
გჟთფკთ,1552
თმამ,1547
კჲდარჲ,1541
ნვდჲ,1528
რამ,1525
აჟ,1524
რჲჱთ,1505
კჲ,1460
ჟსმ,1448
ოპჲჟრჲ,1447
ჲგა,1420
ჟამ,1406
კჲვრჲ,1401
რაჱთ,1390
ვეთნ,1364
რწ,1347
კჲი,1345
ნთღჲ,1331
ჳაიევ,1326
ოპთ,1323
ნაი,1312
მჲზვქ,1265
მალკჲ,1241
ნაჟ,1239
არა,1233
თჟკაქ,1224
ჱაღჲრჲ,1219
ჟლვე,1214
მჲ,1213
ნთვ,1209
პაბჲრა,1207
კჲდა,1207
მთჟლწ,1206
მჲლწ,1173
თმ,1171
თმაქ,1164
ეალთ,1147
ვენა,1141
ოპვეთ,1127
ფჲგვკ,1127
გთვ,1119
ბვჱ,1113
კაჱა,1111
გვფვ,1109
და,1105
ვრჲ,1098
რჲლკჲგა,1078
კჲირჲ,1075
ნ,1069
ევ,1064
გაჟ,1061
ნვმა,1054
არ,1049
ევნ,1032
ნწკჲი,1028
რვჱთ,1015
ჱნაფთ,998
გჟვ,992
ვენჲ,971
რჲფნჲ,964
ჟრაგა,963
რვბვ,954
მთჟლთქ,914
ჟყზალწგამ,877
ოპაგთქ,875
ოჲგვფვ,860
კაზა,859
თმამვ,854
ი,849
კჲთრჲ,849
კჲლკჲ,845
რარკჲ,840
ბაღა,837
დჲეთნთ,826
ნაოპაგთ,825
ნათჟრთნა,810
ბთევ,806
ჳჲპა,806
რჲდაგა,805
მვნვ,801
მნჲდს,785
კყმ,783
ზვნა,774
რპვბა,772
კაზთ,768
ბწჳ,753
ჟყჟ,744
ბთლ,743
პაჱბთპა,730
ფრჲ,726
ოპაგთ,725
ოა,724
ნთკჲდა,717
ნვკა,715
ოპვე,713
ბყევ,713
ჲგევ,712
კაკრჲ,710
გთზ,707
რომ,705
ოპვჱ,696
ნვქრჲ,689
ოყრ,682
კაჱაჳ,661
კაევ,654
გვ,640
რგჲ,631
ჟაკამ,628
ჟყპ,627
კაზვქ,622
ჱნავ,620
თჟკა,612
ნვწ,612
ბჲზვ,611
ოაკ,610
ჟყღჲ,610
ამთ,609
ჟთრვ,609
ეჲკარჲ,608
მა,608
ეჲპთ,601
ეგა,600
ამა,593
ოაპთ,592
ეპსდ,589
პვე,586
ეწგჲლთრვ,581
ჳჲპარა,581
რაა,581
გთეწ,580
გჟვკთ,580
ჲგჲ,575
გყგ,575
გთნადთ,573
ჲნ,571
ქრა,570
მწჟრჲ,567
რა,566
ჱეპაგვი,565
ნთკჲი,563
რპთ,562
ეგვ,560
ოჲჟლვ,558
ბთლჲ,557
რწჳ,551
კჲწრჲ,551
კა,541
ჱჲქრჲ,534
ნვღა,530
ჱავენჲ,530
ჱაპაეთ,526
ენვჟ,522
სრპვ,521
მაიკა,519
ოჲე,513
გვფვპ,499
ნაოპაგწ,499
ბთჳ,498
რშ,498
ზთგჲრა,496
ვლა,493
ოპჲბლვმ,493
ეჲბყპ,492
ამ,492
ჟთდსპნჲ,491
ნაპვე,491
მჲზვმ,490
რპწბგაქვ,487
ბყპჱჲ,486
პაბჲრთ,484
ჟლსფთ,483
რსკა,480
ჟრანა,480
ეჲჟრა,479
ჱარჲგა,475
მჲპა,473
ვევნ,468
ეჲბპა,466
ეაი,464
გთეთმ,459
ნვკჲ,458
მჲწ,457
ჲჳ,454
მთჟლამ,451
ზთგჲრ,451
¼ვ,448
მამჲ,446
ჟვბვ,441
რამს,441
კჲთ,439
მთჟლვჳ,439
ნსზეა,437
დჲგჲპთ,433
ეჲიევ,433
სბთ,431
ოპთწრვლ,427
ჲბთფამ,427
ჲჟრაგთ,425
ნაფთნ,424
ჟკჲპჲ,420
თჱგთნვრვ,419
პაჱბთპამ,419
ჟაკაქ,419
ნწკჲლკჲ,415
მე,414
მჲზამ,412
ბპარ,412
თმვ,411
ოაპთრვ,405
ჱნავრვ,404
მჲი,398
ჟთდსპვნ,398
ჲნა,395
ჲრნჲგჲ,394
მალკს,394
ევრვ,391
კაკგა,388
ჟსოვპ,387
დლაგარა,386
კაკგჲრჲ,384
მჲზვბთ,384
ჳვი,383
ცრჲ,381
კაჱგამ,381
თმაქვ,379
ჟრანვ,379
პაბჲრარა,379
ეჲჟრარყფნჲ,378
თმარვ,376
ეპსდჲ,374
ჲეთმვ,373
ეს,373
ოპაგწ,373
მჲთრვ,372
სქრვ,370
დჲგჲპთქ,370
თჱდლვზეა,368
რჲდაქ,366
ეჲმა,363
გვენადა,363
ბთლა,361
ჟრპანა,360
ბვ,358
ნჲღ,357
მჲმფვრა,357
ნაოპაგთქ,356
დჲეთნა,355
ჳსბაგჲ,355
გთეთ,353
დჲჟოჲეთ,351
ფაკაი,348
თმვრჲ,347
მჲმფვ,346
ოჲგვ,344
რთვ,343
მჲლამ,342
თჟკაჳ,341
ნაგთჟრთნა,341
ჱეპაჟრთ,340
ნწმამ,339
ენთ,339
ჟთნ,338
კჲვ,337
ნთქრჲ,337
ჱეპაგჲ,335
მჲმვნრ,330
ჟკყოა,328
ჟრთდა,328
ლს,327
ეამ,327
ლჲქჲ,324
მთნსრთ,322
გპვმვრჲ,322
ნვღარა,322
კყჟნჲ,321
ჳაპთ,320
დჲგჲპწ,320
კჲდჲ,320
კაჱგა,319
კვ,319
ოჲმჲდნა,319
ოარ,319
მყზ,317
ფაჟა,317
წჟნჲ,315
შენ,314
კაკყგ,311
გჟყღნჲჟრ,311
გყპნა,309
მჲწრა,309
ჟს,309
ჟვკჲ,308
ჲჟგვნ,308
ვი,307
გთზეამ,307
ფაჟრ,305
ეაგაი,305
ევუა,304
მჲმთფვ,304
ოპაგთმ,303
ალთ,303
მჲზვრვ,302
რგჲთრვ,300
ოპაგჲ,300
ეანთ,300
ჳაპვჟგა,299
აქ,297
ბწჳა,297
კჲლარა,296
უნდა,296
გყპგთ,295
კს,293
გთეწჳ,293
ეპსდთ,293
ნაოპაგთმ,292
ნაჱაე,292
ნვრ,292
მთჟლთ,291
ეგამარა,289
ოპვეგთე,287
კჲლკს,285
ოჲდლვენთ,285
ოპჲრთგ,283
გთეთქ,282
კაზვ,282
ნაოპაგთლ,282
გყპგთმ,281
მვზეს,279
კაკგთ,279
მჲვრჲ,279
რაკყგ,279
ნთკჲდაქ,278
ჱარჲა,275
ბთლთ,275
კყევრჲ,274
რჲლკს,273
ფსევჟნჲ,273
მაი,273
ჟაკა,273
თჟკარვ,272
ჱეპაგვირვ,271
ღჲ,271
გპართ,271
ღჲმ,270
რპყდგამვ,270
მამა,268
ევგჲ,267
ვქ,267
ჟვპთჲჱნჲ,267
ბყეა,266
გჱვმა,266
მყპრყგ,266
ე,264
ჲეთ,264
რგჲწ,262
გყრპვ,262
თჱგთნთ,262
ჟპვ,261
გჱვმთ,261
ჱაქრჲ,259
დჲრჲგ,259
გაქვ,258
ოვრ,257
დლვეამ,256
ჲრკყევ,256
ოჲნვ,256
ჱაე,255
პაეგამ,254
ეჲბპთ,254
ევუარა,252
მვჟრჲ,251
ლვჟნჲ,250
ტალა,250
მნვ,250
ჟპვღს,249
დჲლწმა,249
დჲჟოჲეთნვ,248
ჲფთრვ,248
პვეს,248
კ,248
