word,count
мен,364
ол,222
жоқ,165
сен,163
не,154
бұл,139
керек,110
оны,102
ба,99
ма,97
жақсы,97
менің,96
Иә,94
маған,91
бар,85
бе,84
деп,79
емес,75
оның,68
ал,67
сіз,67
біз,66
де,64
мені,64
ғой,63
жатыр,59
олар,58
енді,58
үшін,58
бір,56
сенің,52
да,51
бірақ,50
қайда,48
сені,46
саған,46
неге,45
адам,44
осында,43
келеді,42
болады,42
Николас,40
Хаку,40
оған,40
доктор,40
мына,39
тек,38
рахмет,38
бәрі,38
болды,37
дұрыс,36
мүмкін,35
сол,35
және,35
еді,34
жұмыс,34
тағы,34
басқа,33
ме,32
болып,31
егер,31
осы,31
біздің,30
солай,29
мында,29
едім,29
Малдер,28
екен,28
өтінемін,28
президент,28
сіздің,27
ФБР,26
кетті,26
кәзір,25
сияқты,25
кім,25
өте,25
тұр,25
Міне,24
қалай,24
Скалли,24
білмеймін,24
болса,24
болған,24
бізге,22
Джо,22
пе,21
Сэн,21
алып,21
кеттік,20
ғана,20
шығар,20
жерде,20
ше,20
сізге,20
бәрін,20
Сәлем,19
Уганда,19
Кешіріңіз,19
шын,19
бола,19
Жарайды,18
әлі,18
туралы,18
ештеңе,18
жерден,18
сонда,17
қалды,17
сізді,17
мырза,17
жерге,17
келді,17
онда,16
ақ,16
жаңа,16
жүр,16
деген,16
әкей,16
қой,16
болар,16
адамдар,15
қан,15
бірге,15
Қайырлы,15
Тихиро,15
екенін,14
себебі,14
тірі,14
қатты,14
МеніңШе,13
өз,13
таң,13
тауып,13
тіпті,13
осылай,13
оларды,13
келген,13
А,13
дейді,13
білесің,13
алмаймын,13
жатырмын,12
бер,12
Апа,12
білемін,12
Әй,12
қандай,12
Гариган,12
Амин,12
кел,11
қайта,11
келе,11
бізді,11
бірдеңе,11
нәрсе,11
тұрмын,11
па,11
олай,11
Әке,11
У,11
бүгін,11
көп,11
іздеп,11
қол,11
тым,10
соң,10
ойлап,10
қарсы,10
тез,10
үлкен,10
Юбаба,10
тиіс,10
одан,10
көріп,10
Құдай,10
дәл,10
ең,10
сондай,10
қарай,10
тұрсың,10
ана,10
қажет,10
әйел,9
айтты,9
болмаса,9
келдім,9
Комази,9
түс,9
келіп,9
көмек,9
болмайды,9
жағдай,9
Мынау,8
сэр,8
мұнда,8
Менде,8
бері,8
айтып,8
алмай,8
Тарт,8
Тоқта,8
деймін,8
ай,8
адамдары,8
Рин,8
уәде,8
өмір,8
Сендер,8
бойы,8
бол,8
өзім,8
өзі,8
аласың,8
қиын,8
Кей,8
барып,8
дене,8
арнайы,8
болу,8
оларға,8
боп,8
отыр,7
ала,7
қарап,7
барлық,7
қалдым,7
секілді,7
былай,7
алмайсың,7
біреу,7
іс,7
тұрсыз,7
екі,7
жоғалып,7
едік,7
Әрине,7
кезде,7
кейін,7
Джона,7
келдіңіз,7
келмейді,7
қонақ,7
кеткен,7
дейін,7
кетіп,7
Бо,7
ауырып,7
Аха,7
күтіп,7
бала,7
Кәне,7
бұны,7
табылған,7
қуаныШтымын,7
Маккензи,7
Шынымен,6
хабар,6
Фокс,6
береді,6
аласыз,6
алтын,6
жасап,6
барады,6
берген,6
алды,6
шығып,6
барлығын,6
тыныш,6
істеп,6
таба,6
Сондықтан,6
артқа,6
Тоқтай,6
О,6
Сау,6
дейсіз,6
едің,6
үйге,6
көрген,6
үШ,6
айтасың,6
күн,6
өзен,6
кісі,6
жұмысқа,6
зат,6
дем,6
керемет,6
айтарым,6
керегі,6
әкеліңдер,6
жөнінде,6
әкем,6
Джонас,6
өлтіреді,6
әрі,6
жеп,6
Ой,6
Сара,6
қалған,6
болатын,6
болдың,6
болсаң,6
бос,6
ойлайсың,6
Қорықпа,6
ойлаймын,6
жауап,6
ешкім,6
жақсымын,6
қашан,6
Бұның,6
өтінем,5
өмірін,5
ШТАТЫ,5
өліп,5
ші,5
Өзің,5
алмаймыз,5
істейді,5
айт,5
қазір,5
қара,5
қараШы,5
Қаша,5
Қайдан,5
Шотландияда,5
алатын,5
қорқып,5
Юбабаның,5
Қош,5
қызмет,5
істеуге,5
құпия,5
Алайда,5
ұшып,5
жалғыз,5
сезіп,5
шақырып,5
алған,5
кешірім,5
дейсің,5
Кристиан,5
көмегің,5
көмектесе,5
көрдім,5
көре,5
көреміз,5
лас,5
Дана,5
дайын,5
маңызды,5
ВИРДЖИНИЯ,5
Васва,5
Моника,5
Кешір,5
ден,5
келсе,5
ем,5
жатырсың,5
жатқан,5
жақын,5
етіп,5
жеке,5
есімім,5
жол,5
келмей,5
едіңіз,5
жүріңдер,5
жұмысы,5
иісі,5
дің,5
келдің,5
бірі,5
мынаны,5
міндетті,5
ата,5
Сізде,5
балақай,5
сұрап,5
сұрақ,5
сөз,5
ауру,5
Тезірек,5
барасың,5
тура,5
арада,5
түрде,5
тұнба,5
тұрыңдар,5
Амансыз,5
бара,5
Сонымен,5
біледі,5
отырмын,5
Обот,5
Оботтың,5
Британ,5
болсын,5
онымен,5
осыны,5
болдым,5
сонШалықты,5
оңай,5
рет,5
рұқсат,5
сатып,5
берШі,5
баратын,5
көр,5
