word,count
내가,45860
난,41100
그,40926
안,39682
내,39148
수,38636
이,35285
네,34174
거야,33538
좀,29497
그래,26777
있어,24873
왜,23685
더,21885
그리고,21399
우리,20781
다,19158
한,19024
하지만,18840
무슨,18761
할,18730
잘,18506
어떻게,18223
그냥,18018
게,17438
정말,17323
있어요,16814
그럼,16803
것,16657
있는,16462
해,16361
여기,15660
제가,15643
넌,15489
날,15254
건,15227
전,14979
이제,14804
우리가,14648
지금,14571
걸,14534
뭐,14324
그게,14277
거,14081
네가,13741
없어,13687
아니,13601
돼,13084
제,12988
저,12933
못,12858
우린,12764
좋아,12358
당신이,12123
다른,11672
나,11537
거예요,11372
그런,11357
너무,10987
다시,10953
그건,10936
그래서,10838
이런,10616
그렇게,10606
이건,10591
모든,10535
나도,10359
당신,10222
당신은,9961
좋은,9743
아,9339
때,9321
오,9154
하는,9087
아니야,8856
하고,8783
뭘,8705
너,8595
봐,8591
아냐,8585
알아,8561
같이,8499
없어요,8492
나는,8449
이게,8233
닥터,8138
응,8015
오늘,7961
괜찮아,7730
말이야,7685
줄,7651
널,7501
어떤,7372
아주,7365
또,7356
아직,7300
누가,7288
말,7253
해요,7167
마,7153
진짜,6901
같은,6900
모두,6870
여기서,6792
안돼,6791
하지,6783
어서,6760
일이,6712
위해,6710
가,6624
알고,6503
빨리,6485
바로,6458
될,6410
그는,6375
엄마,6340
근데,6319
전에,6272
이렇게,6245
있습니다,6232
겁니다,6125
계속,6124
아뇨,6079
않아,6063
얼마나,6057
제발,6005
알았어,5993
이거,5952
있지,5933
어,5876
좋아요,5858
안녕,5784
사람이,5782
어디,5737
그래요,5659
우리는,5628
같아,5627
아니에요,5570
있을,5549
당신을,5528
그가,5523
때문에,5450
두,5450
그걸,5443
자,5300
몇,5263
대해,5255
수도,5214
거지,5199
아빠,5144
사람,5142
했어,5136
일을,4993
그렇지,4981
뭐야,4939
거죠,4904
많이,4895
저는,4856
함께,4834
집에,4797
돼요,4797
고마워요,4730
항상,4708
음,4707
저기,4695
하나,4684
나한테,4617
만약,4605
보고,4503
가장,4485
괜찮아요,4485
가서,4478
맞아,4466
말을,4458
잠깐,4453
없는,4346
가자,4339
안녕하세요,4338
알아요,4311
와,4304
아무도,4301
그러니까,4266
그거,4244
아무것도,4240
몰라,4193
많은,4157
뭐가,4130
일,4115
그만,4111
큰,4108
했어요,4085
젠장,4040
고마워,4028
그럴,3994
당신의,3992
것도,3972
사람들이,3959
말이,3959
그의,3891
이걸,3878
뭔가,3867
온,3856
아니면,3849
같아요,3845
이미,3844
아니라,3827
그런데,3825
있고,3819
뭐라고,3780
절대,3755
말은,3752
거에요,3749
있다고,3740
이봐,3719
당장,3714
그를,3681
세상에,3609
그래도,3594
야,3589
대한,3554
않아요,3546
둘,3535
전부,3535
있죠,3533
자기,3521
갈,3486
하면,3480
말야,3479
거기,3469
예,3401
그녀는,3400
씨,3396
됐어,3361
니가,3360
그들이,3342
너도,3331
아무,3301
다들,3300
꼭,3289
여긴,3288
미안해,3282
가지고,3265
참,3257
곧,3255
사람은,3232
시간,3215
중,3213
우릴,3211
저도,3206
이젠,3199
있다,3171
어때,3167
있잖아,3167
것을,3165
지금은,3153
해야,3145
나를,3131
봐요,3121
않을,3114
말고,3112
감사합니다,3103
알았어요,3098
아마,3091
엄마가,3071
얘기,3065
그들은,3057
수가,3034
먼저,3025
그녀가,3007
사람을,3005
시간이,2982
있는데,2981
우리의,2947
동안,2945
방금,2932
있었어,2901
된,2881
일은,2871
자네,2840
안에,2840
본,2809
들어,2803
싶어,2800
친구,2776
번,2775
완전,2771
맞아요,2730
합니다,2722
자네가,2711
한번,2705
절,2704
사실,2702
볼,2697
생각해,2656
선생님,2649
되는,2636
대체,2611
그러니,2610
같은데,2606
순,2601
문제가,2598
혼자,2590
일이야,2536
거의,2514
그러면,2510
사람들은,2510
줘,2502
가는,2500
이상,2492
거라고,2489
아빠가,2488
물론,2488
말해,2482
다음,2480
말도,2477
있었어요,2450
없습니다,2434
싫어,2430
중요한,2418
이리,2418
있으면,2414
잠깐만,2411
적,2407
내게,2399
전혀,2398
여자,2398
새,2391
맙소사,2389
아는,2386
너는,2383
내일,2363
아니요,2336
너희,2331
필요,2323
알,2312
미안해요,2310
도움이,2296
새로운,2295
아직도,2275
가지,2272
싶지,2269
원하는,2265
몰라요,2261
죄송해요,2256
나쁜,2253
작은,2229
나와,2226
해도,2210
하죠,2209
왔어,2208
필요해,2197
혹시,2196
가요,2190
여기에,2185
있나,2168
모르겠어,2163
직접,2144
알지,2143
그녀를,2142
됐어요,2123
했는데,2118
적이,2108
주세요,2107
있나요,2106
그저,2104
거요,2099
밖에,2087
나랑,2079
갖고,2075
마세요,2069
것이,2068
돈,2067
위한,2064
없이,2058
나중에,2026
니,2022
어디서,2021
시간을,2015
언제,2009
마지막,1993
왜냐면,1988
봤어,1980
위해서,1971
해서,1967
기다려,1965
아버지,1963
생각,1963
오래,1962
것은,1958
그렇죠,1951
있다는,1943
차,1933
했지,1922
알겠습니다,1922
수술,1917
돈을,1909
알겠어요,1903
있는지,1902
제일,1893
아니지,1891
죽은,1886
보여,1882
알겠어,1882
제대로,1874
것이다,1873
지난,1870
아닙니다,1869
있다면,1868
짓을,1866
보면,1860
너의,1853
엄청,1850
완전히,1836
올,1826
우리를,1826
너한테,1818
죽을,1816
왜요,1814
남자,1809
왔어요,1796
누구,1788
정말로,1783
너가,1783
모르겠어요,1781
없지,1778
말이죠,1771
말이지,1766
소리,1763
벌써,1760
말이에요,1760
멋진,1754
아닌,1754
처음,1749
여러분,1748
밤,1738
그녀의,1735
사람들을,1735
않았어,1731
대해서,1730
사람들,1727
이름은,1721
와서,1721
서로,1712
첫,1708
이름이,1708
싶은,1707
꽤,1702
당연히,1702
조금,1702
싶어요,1693
없고,1689
어때요,1688
뿐이야,1683
미안,1680
오늘은,1680
없을,1677
때까지,1676
않는,1675
안돼요,1664
살,1658
후,1657
여보,1651
사랑해,1650
어디로,1649
나가,1648
필요한,1646
죄송합니다,1642
단지,1639
가고,1635
매우,1633
하는데,1632
여보세요,1626
없다,1618
했죠,1613
별로,1613
여자가,1610
확실히,1610
있어서,1609
이야기,1606
아니고,1605
않은,1597
부인,1595
건가요,1587
문,1577
나의,1575
않고,1575
준비,1569
알았지,1568
되지,1566
여전히,1562
딱,1558
라고,1556
글쎄,1555
엄마는,1550
훨씬,1545
되면,1545
있잖아요,1544
데리고,1542
그러지,1542
집,1534
듣고,1532
뒤에,1529
않으면,1529
세,1526
손,1521
거기서,1520
보세요,1520
최고의,1515
뭔지,1514
말하는,1511
어쩌면,1511
것처럼,1509
신경,1506
말하지,1506
당신도,1502
모르는,1501
아버지가,1500
어느,1499
너를,1498
아마도,1490
환자,1484
되고,1479
친구가,1478
