word,count
ir,143165
aš,133945
tai,121731
kad,108279
tu,101595
ne,91824
taip,85323
jis,75204
ką,73141
čia,68272
į,63940
kaip,62682
ar,61901
su,61409
o,57729
kas,57657
man,57586
gerai,55128
mano,49543
bet,48177
iš,47465
mes,46340
tik,40505
tau,39257
ji,35411
yra,34297
jie,32269
jei,31942
tavo,31336
buvo,30566
savo,29747
kur,29196
kai,28769
mane,28713
dar,28696
jūs,27746
dabar,26657
apie,25915
viskas,25622
jį,25616
tave,24640
jo,24449
jau,23110
to,22782
labai,22685
ten,21165
reikia,20742
už,19989
turi,19844
po,19470
kodėl,19430
nieko,19033
mūsų,18561
dėl,18262
per,18216
nors,17516
gali,17195
jūsų,16986
gal,16754
tikrai,16676
Na,16649
ačiū,16218
nuo,16156
nori,16121
ko,16050
turiu,14495
bus,14257
jos,14067
štai,13834
ją,13301
manęs,13228
mums,12974
būti,12846
jam,12758
jums,12687
visi,12457
nes,12402
noriu,12220
pone,12217
žinai,11946
juk,11734
Ei,11549
tavęs,11401
tiesiog,11379
tą,11262
žinau,11233
nagi,11058
nėra,10947
daug,10873
ant,10803
tas,10800
tada,10705
viską,10570
prie,10381
jų,10359
iki,10139
juos,10023
prašau,9999
Labas,9943
nežinau,9789
vienas,9774
prieš,9702
daugiau,9503
mus,9413
galiu,9130
manau,9098
jus,8770
vis,8738
negaliu,8448
pas,8393
tiek,8365
pat,8194
taigi,8017
toks,7990
kol,7913
net,7902
be,7878
Dieve,7857
kiek,7727
nei,7620
koks,7555
esu,7535
žinoma,7530
mama,7469
pats,7195
būtų,7135
esi,6947
niekada,6873
kartą,6657
tiesa,6651
pasakyti,6547
visą,6485
geriau,6470
niekas,6436
atsiprašau,6407
vieną,6390
jog,6371
turime,6367
kada,6350
eime,6347
negali,6339
kuris,6333
jai,6332
kuo,6231
atrodo,6220
greičiau,6135
šiandien,6124
žmonės,6067
todėl,6044
eik,5950
aišku,5877
metų,5860
palauk,5798
arba,5757
tuo,5741
laiko,5727
atleisk,5724
vėl,5467
manai,5457
patinka,5424
jeigu,5325
šį,5176
visai,5171
tėti,5155
kartu,5147
nereikia,5138
du,5138
sveiki,5083
buvau,5062
puiku,5033
visada,5023
kam,5016
tuoj,4890
ta,4866
žmogus,4863
namo,4855
tačiau,4774
kažkas,4756
klausyk,4752
jiems,4728
darai,4697
juo,4657
visus,4649
sakė,4637
padaryti,4601
irgi,4452
šūdas,4417
geras,4400
eiti,4398
nenoriu,4378
sveikas,4304
daryti,4268
kokia,4210
tokia,4207
nutiko,4158
gi,4119
galbūt,4096
viena,4093
visa,4093
kurie,4063
kitą,4040
padėti,3985
tam,3983
dieną,3933
šis,3919
žmogau,3908
nė,3902
reiškia,3785
sako,3777
maniau,3772
pasakyk,3761
myliu,3750
velnias,3742
sakiau,3730
žmonių,3723
sau,3691
galima,3667
pinigų,3654
tavimi,3608
manimi,3595
bent,3588
turbūt,3580
tikras,3558
supratau,3513
velnių,3502
nebuvo,3455
norėjau,3388
laikas,3335
buvai,3300
kurį,3298
norėčiau,3296
tėvas,3285
paskui,3251
vyras,3239
supranti,3238
matai,3238
toliau,3213
vyksta,3203
pirmyn,3187
turim,3176
suprantu,3176
vardas,3152
diena,3151
pažiūrėk,3086
tie,3081
atgal,3074
a,3034
metus,2985
neturi,2979
metu,2976
duok,2970
puikiai,2962
žiūrėk,2936
darbo,2934
ja,2908
lyg,2906
jokių,2896
malonu,2884
kažką,2877
liaukis,2872
sere,2862
šią,2848
Saša,2839
rimtai,2831
žino,2825
greitai,2804
darbą,2800
ponia,2799
tikiuosi,2792
manim,2767
kuri,2719
matau,2717
laiką,2715
ateik,2711
tuomet,2703
ši,2700
pati,2682
tavim,2676
gera,2670
galime,2668
mačiau,2658
gyvenimą,2654
i,2630
visas,2626
nuostabu,2624
visų,2621
galėčiau,2620
teisingai,2598
visiškai,2588
rytoj,2583
naktį,2558
pinigus,2535
turėjo,2530
tokio,2527
šito,2519
tėtis,2513
Tania,2505
viso,2504
beveik,2486
tarp,2484
pasakė,2472
tikriausiai,2464
sakau,2450
turite,2445
šiek,2436
leisk,2426
kartais,2423
atleiskit,2422
lr,2422
žinoti,2421
sunku,2411
nebus,2393
anksčiau,2392
save,2380
trys,2375
atsitiko,2373
draugas,2372
nesu,2371
tos,2365
ilgai,2358
vieta,2351
neturiu,2351
truputį,2339
gana,2328
labiau,2324
darbas,2309
duris,2306
turėjau,2276
vėliau,2270
tuos,2268
dvi,2241
vadinasi,2230
visiems,2228
turėtų,2215
sakei,2195
pamatyti,2195
kalba,2180
vaikai,2177
šitą,2159
žmona,2151
nesuprantu,2148
kitas,2147
tiesą,2145
tikra,2101
daro,2096
nesvarbu,2088
Kuzia,2084
vakar,2079
matyti,2076
mergina,2071
šio,2061
einam,2055
šios,2047
einu,2039
vietą,2035
būsiu,2025
pagalbos,2020
vaikas,2013
paklausyk,2011
nemanau,2006
pasakysiu,2002
sūnus,1998
pasakiau,1992
žmones,1985
kalbi,1981
sekasi,1980
jas,1979
abu,1977
nenori,1961
tokie,1956
niekad,1953
būtent,1952
moteris,1951
draugai,1949
padėk,1949
galite,1948
būčiau,1945
jumis,1944
ka,1936
būk,1934
būt,1926
liko,1921
tų,1920
girdėjau,1909
vos,1908
mašiną,1905
vyrai,1900
teisus,1900
sveika,1899
kokį,1895
laukia,1892
pro,1890
blogai,1889
pasikalbėti,1888
pirma,1881
vardu,1880
galvą,1879
grįžti,1875
gyvenimas,1874
rankas,1869
gaila,1861
padarė,1860
kelias,1855
kita,1845
padarei,1841
kurią,1841
mieloji,1838
gero,1837
minučių,1836
negalima,1834
dienos,1832
vienintelis,1831
žinote,1823
žinot,1821
tiesiai,1798
vieno,1784
ponas,1783
kapitone,1781
ramiai,1779
norite,1773
daktare,1769
reikėjo,1769
gyvenimo,1768
Atleiskite,1761
nesijaudink,1752
visos,1747
žemės,1745
kiekvieną,1730
mirė,1729
šalia,1726
rytas,1718
atrodai,1713
Aha,1712
galėtų,1709
eina,1704
akis,1704
kurios,1700
kito,1689
pagal,1683
girdi,1680
kuriuos,1679
panele,1679
pirmas,1677
turėčiau,1671
matei,1667
m,1661
pasaulio,1658
dalykas,1649
kitaip,1640
kiti,1637
vaikų,1633
namuose,1633
esame,1630
tris,1629
klausau,1626
dievo,1621
būsi,1620
reikės,1616
tad,1609
niekam,1607
galėtum,1601
mirties,1601
šiuo,1600
vaikinai,1598
seniai,1596
visko,1593
šeima,1591
turėtum,1590
gyvas,1587
metas,1581
pavyko,1580
Jėzau,1579
namų,1578
as,1578
kalbėti,1575
Džekai,1573
radau,1569
vandens,1563
mumis,1561
Maiklai,1560
jokio,1558
mintis,1554
supratai,1544
esate,1539
pasaulyje,1535
tokį,1535
Oho,1534
eikš,1533
šitas,1530
pagaliau,1530
nužudyti,1529
žmogaus,1526
namie,1525
myli,1524
savaitę,1521
geriausias,1519
atėjo,1519
vietos,1518
galėjo,1514
nepatinka,1513
a,1507
galim,1505
niekur,1504
kelio,1497
Alio,1490
norėjo,1488
dievas,1486
gyventi,1485
galais,1482
baik,1478
keista,1477
graži,1475
pasakyt,1475
greit,1474
vaikinas,1473
veikia,1470
palaukit,1470
įdomu,1465
namus,1463
sakyk,1462
mašina,1460
brolis,1453
ginklą,1452
patikėti,1450
prašom,1445
oro,1444
gyvenime,1443
teks,1442
dolerių,1441
pirmą,1434
padariau,1433
cia,1429
rasti,1423
ponai,1421
bėk,1421
kurio,1419
šeimos,1412
dalis,1409
gauti,1400
šitaip,1397
pasiruošęs,1394
vietoje,1390
šiaip,1385
tokių,1384
pasaulį,1383
užsičiaupk,1381
drauge,1373
imk,1370
toli,1369
Ak,1368
lauk,1367
negerai,1366
vien,1364
palikti,1363
beje,1357
svarbu,1356
tarsi,1350
tegu,1348
sakai,1341
negi,1341
negalime,1339
dėkoju,1331
jais,1329
dingo,1328
motina,1325
žmogų,1321
gyvena,1320
kitų,1315
pusę,1314
pinigai,1312
paskutinis,1312
puikus,1311
dėmesio,1309
atsargiai,1306
dirbti,1303
merginos,1303
komanda,1299
ranką,1298
kažkur,1297
būtum,1288
drauguži,1284
surasti,1283
didelis,1281
ateina,1278
suprasti,1278
būna,1275
kelią,1273
meilės,1271
problemų,1271
pakankamai,1271
baigta,1270
kokie,1265
tokios,1261
eisiu,1259
vyrukas,1258
naują,1257
mielasis,1257
brangioji,1246
pasaulis,1243
išeiti,1236
reikalas,1233
mažas,1229
miesto,1227
mašinos,1226
pasakei,1225
Ala,1223
sėkmės,1219
istorija,1216
dienas,1210
kokios,1210
šiame,1206
vakarą,1204
norit,1200
svarbiausia,1200
argi,1200
iškart,1199
grįšiu,1199
galvoje,1197
kalbu,1195
metai,1193
velniop,1192
visur,1192
dienų,1191
tiesų,1189
nebūtų,1186
karo,1184
Oi,1184
galvos,1178
gražu,1178
policija,1177
priklauso,1177
Džonai,1176
laikykis,1175
šįvakar,1174
sakyti,1171
bijau,1171
jaučiuosi,1169
paleisk,1169
stok,1169
neįmanoma,1169
žemyn,1166
patiko,1163
džiaugiuosi,1163
išėjo,1163
čionai,1161
tėvo,1160
važiuojam,1159
nelabai,1159
juokinga,1158
berniukas,1156
skamba,1155
naujo,1152
žinojau,1152
šie,1150
šaunu,1148
mudu,1148
kurių,1147
eini,1142
smagu,1139
vardą,1138
geriausia,1136
nužudė,1135
dalykų,1134
neblogai,1133
jokios,1133
vaikus,1131
parodyk,1130
galėtume,1129
galvojau,1128
paimk,1127
puiki,1126
tokiu,1116
dviejų,1114
turit,1113
padarysiu,1111
kambarį,1110
nenorėjau,1110
dirba,1104
klausimas,1103
nežinojau,1103
omeny,1103
gražus,1100
susipažinti,1098
dėkui,1096
šaunuolis,1093
maisto,1082
tikrųjų,1082
senas,1079
patys,1077
kiekvienas,1076
