word,count
ir,68639
es,65069
tu,44848
un,39675
tas,29980
ka,28990
man,27613
to,27159
vai,24765
ko,24670
ar,23277
par,21675
kas,21409
tā,20964
kā,20166
viņš,19549
tev,17792
jā,17483
uz,16584
mēs,16476
no,16376
nav,15846
labi,15701
nē,15438
jūs,13911
bet,13892
lai,13125
ja,12018
viņa,12003
mani,11813
bija,11628
viņu,10881
esmu,10737
esi,10537
tevi,10279
mums,10164
ne,8120
tikai,7914
tad,7786
kad,7544
viņi,7501
jums,7405
arī,7059
viss,6933
pie,6833
kur,6804
nu,6171
tik,5849
vēl,5847
jau,5812
tur,5766
te,5682
kaut,5658
būs,5547
paldies,5403
visu,5402
tagad,5333
viņam,5326
šeit,5225
pēc,5211
kāpēc,5013
būtu,4598
ļoti,4595
savu,4415
lūdzu,4212
mūsu,4183
taču,4167
šo,3921
Ak,3869
gan,3846
mans,3810
jūsu,3771
kāds,3751
zinu,3649
daudz,3617
esam,3559
jo,3554
kungs,3553
varbūt,3516
zini,3479
cik,3467
tās,3414
mana,3227
esat,3167
domāju,3167
tiešām,3110
pa,3062
varētu,3037
būt,3025
var,3025
visi,2981
tam,2977
nezinu,2931
tāpēc,2927
viens,2891
nekad,2843
šī,2842
līdz,2787
pat,2786
aiziet,2713
gribu,2634
kurš,2583
manu,2577
varu,2556
kopā,2538
gribi,2528
neesmu,2525
prom,2521
tie,2489
dievs,2483
pirms,2458
domā,2456
vairs,2445
neko,2425
viņiem,2390
protams,2325
šis,2323
kādu,2317
vajag,2312
mūs,2301
vien,2293
kārtībā,2278
tieši,2245
tava,2174
atpakaļ,2147
nāc,2132
viņai,2109
nekas,2049
vienu,2023
pats,2019
tavs,2003
vienmēr,1974
viņas,1974
nevaru,1973
patīk,1971
vairāk,1958
vienkārši,1953
notiek,1943
bez,1913
vari,1909
dari,1896
tavu,1893
iet,1871
ej,1841
labāk,1819
pret,1812
dēļ,1785
nebija,1775
kāda,1758
teica,1750
lieliski,1736
biju,1715
šķiet,1712
laiku,1693
nekā,1678
mājās,1657
Sveiks,1648
Tātad,1607
piedod,1596
neviens,1588
zināt,1576
iekšā,1550
ser,1530
atkal,1525
pagaidi,1517
trīs,1502
teicu,1500
ejam,1496
laiks,1492
nevar,1491
viņus,1489
tāds,1481
manis,1462
runā,1444
darīt,1424
tevis,1412
ei,1401
cilvēki,1396
neesi,1385
pārāk,1381
visiem,1368
labs,1363
varam,1362
draugs,1360
sauc,1359
velns,1343
šurp,1337
cilvēks,1319
ārā,1318
sevi,1314
laika,1312
tos,1301
taisnība,1300
tēvs,1296
viena,1287
naudu,1286
skaidrs,1276
šodien,1258
notika,1245
laikā,1243
kuru,1231
citu,1225
lietas,1225
Atvainojiet,1223
tajā,1210
teikt,1209
grib,1191
šīs,1183
šajā,1168
tādu,1159
nozīmē,1153
dienu,1139
kam,1132
laikam,1129
izskatās,1128
mīlu,1111
vajadzētu,1109
žēl,1108
bijis,1105
jābūt,1102
vecīt,1095
tāda,1090
tūlīt,1089
tāpat,1088
redzēt,1082
manas,1080
negribu,1071
noteikti,1070
iespējams,1067
kādēļ,1064
divi,1054
palīdzēt,1052
kamēr,1048
joprojām,1042
savas,1039
saki,1035
zina,1034
visus,1032
cilvēku,1029
nevajag,1027
gatavs,1022
tika,1022
līdzi,1019
ātrāk,1013
redzi,1000
pareizi,998
vietā,996
tikko,988
nebūtu,988
manā,984
ātri,983
ilgi,982
paskaties,970
Sveiki,957
darbu,955
jauki,947
gadu,939
vajadzīgs,939
lieta,938
Sveika,934
tiem,933
visas,928
noticis,919
saka,914
beidz,911
mamma,911
katru,908
velna,899
nebūs,898
galā,890
dēls,883
gribēju,880
starp,879
augšā,877
rokas,873
pateikt,870
gandrīz,869
gadus,868
lūk,864
droši,859
vārdu,857
nedaudz,856
it,854
dienas,844
aiz,844
biji,840
gribētu,837
ļauj,837
tiek,835
skaties,831
laba,830
rīt,822
Hei,821
teici,806
sev,806
liels,799
vārds,797
kundze,795
dod,794
klāt,793
būšu,792
dara,792
savā,786
gadiem,783
pāris,771
dzīvi,771
vietu,768
lietu,765
mazliet,765
diena,760
Harij,756
jāiet,750
vieta,749
mīļā,749
vaļā,744
reizi,738
nevis,734
pasaulē,733
tēt,733
redzu,729
vīrs,729
runāt,728
drīz,726
darba,723
draugi,723
tavas,722
priekšā,721
abi,718
darbs,718
varat,717
laukā,713
ceru,709
nemaz,707
priekšu,705
pasaki,704
atrast,703
visa,702
redzēju,702
cilvēkiem,700
lejā,698
puiši,697
labu,696
nāk,692
atceries,688
saproti,687
divas,687
tēti,686
saprotu,686
sapratu,678
grūti,671
pāri,669
vajadzēja,668
tomēr,668
bērni,667
pasaules,665
kopš,662
nopietni,661
nogalināt,660
nevari,660
atvaino,659
tālāk,658
doties,656
redzējis,656
patiesībā,654
saku,653
miris,652
jādara,652
durvis,652
diezgan,643
nedomāju,642
pati,641
tikt,639
vēlreiz,634
slikti,631
vienalga,627
pilnīgi,626
kura,623
cauri,620
nost,620
šovakar,617
naudas,617
ņem,609
nauda,605
vēlāk,604
vismaz,602
meitene,602
priekš,601
Pīter,600
mašīnu,599
roku,588
FIB,584
dzīve,583
nespēju,580
reiz,577
tavā,569
pirmais,569
sasodīts,569
patiešām,569
ceļu,568
nekādu,567
piedodiet,565
atā,564
nepatīk,561
būsi,560
prieks,558
pašu,558
zemes,556
vēlies,554
vietas,554
acis,551
izdarīt,550
ejiet,548
šie,548
mājas,547
zem,546
šejienes,544
gribat,543
nesaprotu,543
priecājos,541
nolādēts,538
gada,537
tai,537
paliec,537
Klau,535
iesim,535
Nīl,534
mīļais,531
kādreiz,527
kādas,527
strādā,526
notiks,526
kungi,525
cits,524
neesam,520
sieva,520
savus,520
dzīvo,519
bērns,517
vienīgais,517
otru,516
nāciet,516
klausies,515
iespēja,515
sava,515
kādam,510
bērnu,508
svarīgi,508
palikt,505
nevienam,502
liekas,501
vajadzīga,498
labā,496
minūtes,495
dabūt,492
runāju,492
izbeidz,489
garām,489
tētis,488
vēlos,485
beidzot,483
nakti,481
galvu,480
pagaidiet,480
nevaram,477
māte,476
labākais,476
laipni,474
viegli,474
tiks,473
vispār,472
ūdens,471
dzīvot,471
citādi,470
brauc,470
Džek,469
nedrīkst,469
ceļā,468
sieviete,468
pēdējā,466
pirmo,465
pirmā,465
puika,465
tālu,463
dienā,463
Oho,463
atrodas,462
Dieva,462
dolāru,462
puisis,461
tādēļ,461
tiksimies,460
tām,460
būsim,458
mierā,457
kuri,456
mazais,455
īsti,454
palīdzību,454
mammu,454
atradu,454
pusi,453
drošs,450
stundas,450
manuprāt,449
sen,448
daru,445
daži,445
problēma,445
doma,443
pasaule,443
sirds,442
parasti,442
pietiek,438
daļa,436
mašīna,435
izskaties,434
pietiekami,433
gadījumā,433
forši,433
šim,432
jautājums,429
gadā,428
tādas,428
uzmanību,428
aizveries,428
ziņu,427
dažas,427
nāves,426
gribēja,426
brālis,424
dzirdēju,422
ASV,422
liec,422
mājā,420
gaida,418
Labrīt,418
sievu,418
bijām,417
cilvēkus,417
nogalināja,414
vīru,413
kuras,411
palīdzi,410
zināju,410
dzīves,408
skaista,408
meklē,408
satikt,407
paliek,407
gadi,407
šobrīd,405
liela,404
gluži,402
nezināju,401
pasauli,401
Čau,400
jaunu,398
atgriezies,398
kādā,397
kādi,397
vēlu,397
ieroci,397
tuvu,395
zinām,395
Hallo,395
nekādas,394
dzīvs,394
ziņas,393
agrāk,393
draugu,392
turies,392
dzīvību,390
rīta,390
iešu,390
nomira,389
kurā,389
pavisam,388
mieru,388
nevienu,388
O,387
Jēziņ,386
apkārt,386
uzmanīgi,385
plāns,385
spēj,384
drīkstu,383
ģimenes,383
sievietes,383
māju,383
runa,382
vēlas,381
atceros,381
vārdā,380
vajadzēs,380
gatavi,379
esot,378
spēlē,377
citi,377
patiesību,377
domājat,377
blakus,376
Hārvij,375
smieklīgi,375
tādi,373
pieder,373
dzirdēt,373
vakar,372
vaina,372
nedēļas,370
minūtēm,370
nomierinies,370
strādāju,370
jauna,370
bijusi,368
jūtos,368
meitenes,368
caur,367
vispirms,366
klājas,366
izklausās,365
paņem,365
meiteni,364
īpaši,363
tavi,361
vienā,360
prātā,358
mašīnā,358
domāt,358
darāt,358
drošības,358
re,358
vecais,358
vienīgā,358
dāmas,357
palīgā,356
zemē,356
neuztraucies,355
pakaļ,355
atvainojos,354
nebiju,353
izdevās,352
tēvu,351
nakts,351
jauns,351
pār,351
pietiks,350
pēdējo,350
tepat,350
ģimene,349
saviem,348
bērniem,347
tuvojas,346
valsts,346
tiesa,346
neesat,346
šiem,345
neviena,345
liek,344
dzirdi,343
negribi,343
tikpat,343
divus,343
ideja,342
iespēju,342
vēlaties,342
mazā,341
jauks,340
īsts,340
tici,338
brīdi,338
apsolu,338
nezini,338
īstais,337
vērts,337
vecāki,337
lieliska,337
mašīnas,337
neticami,336
beigas,335
ellē,335
saprast,334
varēja,334
šoreiz,334
pusē,333
turpini,333
desmit,332
kļūst,331
atgriezties,331
iepriekš,330
godīgi,329
māja,328
pārliecināts,328
cita,327
skaisti,327
braukt,327
braucam,326
kurienes,326
kurp,325
Sāra,325
paklausies,324
aģents,324
asinis,323
parādi,322
dzīvē,320
skrien,320
cenšos,320
durvīm,320
noticēt,320
spēle,320
šos,320
tiesas,320
dīvaini,319
iepazīties,318
gatava,318
Pīters,318
maz,317
mierīgi,317
jātiek,317
zemi,316
jautri,316
lielisks,316
padomā,316
izdarīji,315
vainas,315
izdarīja,315
nekāda,314
tēva,314
lika,314
izmantot,314
redzēji,313
šai,312
darīsim,311
citiem,311
Nīls,310
ap,309
sakot,307
cietumā,307
diez,306
komanda,306
brāli,305
atdod,304
dzimšanas,304
pilsētā,303
visā,303
cilvēka,302
pēdējais,302
daudzi,302
nezina,301
katrs,301
jauka,301
aprunāties,301
reizes,301
kara,301
pieci,300
kreisi,300
a,300
vienam,299
gaisā,299
Leo,298
strādāt,298
beidzies,298
viņù,297
kurieni,297
darām,296
jautājumu,296
piemēram,296
manai,296
pazīstu,296
oh,295
stāsts,295
galvenais,295
likās,295
atrada,294
manam,294
rokās,293
otrā,293
gulēt,293
telefonu,292
tiesības,292
atver,292
savām,291
Jēzus,291
tādā,291
sākt,291
pateikšu,291
izņemot,290
spēli,290
dzirdējis,290
paga,290
jūties,289
drošībā,288
dodas,287
darbojas,287
nekur,286
eju,286
nedari,285
ved,285
džeks,284
paskat,283
kāp,282
bērnus,282
paši,281
patika,281
spēles,281
traks,280
bail,280
reizēm,280
darītu,279
jāzina,279
sūda,279
naktī,277
sievieti,277
kājas,277
ļaudis,276
ceļa,276
iemesls,276
policija,275
kuģi,275
kļūt,274
visām,274
meita,274
veicas,273
celies,273
zvēru,272
mirkli,272
suns,271
jauno,271
redz,271
visur,271
draudziņ,270
sāka,269
mīlestība,269
sajūta,269
mazāk,269
dievam,269
seju,269
izmanto,269
vīri,268
turp,268
skolā,268
dienām,268
lietā,268
iedod,268
sāk,268
malā,267
gāja,267
nesaki,267
atbildi,267
brīnišķīgi,267
zelta,266
lielu,266
darbā,266
uguni,265
nepieciešams,265
meklēju,265
ļaujiet,265
iespējas,265
dārgā,265
rokā,265
nevajadzētu,264
galda,264
kapteini,264
istabā,264
apsveicu,264
jausmas,264
draudzene,263
Džon,263
uzreiz,263
dažreiz,263
jūtu,262
daļu,262
pilsētas,261
ieradies,260
veids,260
stāstu,260
šādi,259
abiem,259
atstāt,259
seko,258
bojā,258
pagaidām,258
četri,258
jāatrod,258
doktor,257
bieži,257
gribēji,256
ceļš,256
negribēju,255
kuģis,255
ziņā,254
dodies,254
the,254
parunāt,254
nāvi,254
varēsi,254
palīdziet,253
manī,253
teikšu,253
redzat,253
diemžēl,252
ūdeni,251
nespēj,250
klausos,250
parādīt,250
karš,250
slikts,250
jaunkundz,250
mister,250
spēku,248
ielas,248
tiktu,248
atslēgas,248
palīdzība,248
galvas,248
meklēt,248
citas,248
ģimeni,247
sākas,247
zināms,246
bijāt,246
kājām,246
katram,246
nāve,246
mērķis,246
jādodas,245
pēkšņi,245
gana,245
zēns,244
arvien,244
Labdien,244
patiesi,244
pretī,243
paskatieties,243
paklau,243
došos,243
tuvāk,242
met,241
dēlu,241
vis,241
kurus,241
sāku,241
dr,240
domājis,240
zināji,240
dodamies,240
mājām,240
informāciju,239
patiesība,239
sākumā,239
kafiju,239
skatieties,238
ciet,238
acīs,238
saprati,238
parādā,238
vīrietis,238
problēmas,238
tikšanās,237
beigās,237
vecs,237
uzmanies,237
nedomā,236
jāsaka,236
maniem,236
dosimies,235
pašā,235
vina,235
bīstami,235
virs,234
dabū,233
vārdi,232
atradi,232
skat,232
jaunais,232
pastāsti,231
laid,231
mīl,231
Maik,231
Tom,231
pilnībā,230
esiet,230
pašam,230
zināja,230
nerunā,230
ik,229
divām,229
darīšu,229
vērā,229
sāp,228
turi,228
jebkad,228
grāmatu,228
kuram,228
malacis,228
vārdus,227
zāles,227
apmēram,227
atgriezīšos,227
lietām,226
pilsētu,226
šīm,225
izdarījis,225
teiktu,225
dot,224
nevarētu,223
muļķības,223
auto,222
sevis,221
darīsi,221
veidā,221
stāvi,220
vēlētos,220
pēdas,218
mākslas,218
draugiem,218
ēst,217
sirdi,217
interesanti,217
maksā,216
teiksi,216
likt,216
domāji,216
prieku,216
Moz,215
izdarīju,215
brīdis,215
rakstīts,215
paša,215
maza,215
spēlēt,214
e,214
virsū,213
māsa,213
sāksim,213
Hārvijs,212
labākā,212
īsta,212
karalis,212
paskatīsimies,212
gaismas,211
mūžu,211
devās,211
cenšas,211
kaptein,211
vienas,210
zaudēt,210
jūras,210
numuru,210
teicis,210
dzirdu,209
aizgāja,209
prātu,209
šejieni,209
ticu,208
gribam,208
nepareizi,208
pateica,208
nevajadzēja,207
tavai,207
sāpes,206
nākamais,206
ilgu,206
manus,206
dabūju,206
mazo,206
ārpus,205
zinātu,205
čārlij,205
patīkami,205
joko,205
atrodi,205
māti,205
puisi,204
stundām,204
kuģa,204
puses,204
proti,204
tevī,204
glābt,204
vainīgs,203
paņemt,203
vinu,203
klausieties,203
skolas,203
labas,202
aizmirsti,202
labais,202
veco,202
sejas,202
brīdī,202
mantas,202
centies,202
šorīt,202
Donna,201
kļuva,201
dzīvības,201
pārējie,201
gaisa,201
nākt,200
kapteinis,200
slikta,199
vakariņas,199
mirt,199
mirusi,199
atgriezīsies,199
tavam,199
iedomāties,199
mamm,198
klusu,198
stundu,198
vakarā,198
tuvumā,198
atstāj,198
sapnis,197
traki,197
neredzu,197
mirklīti,197
bumbu,197
spēju,196
Džeik,196
vienīgi,196
galu,195
tēvam,195
ierocis,195
pateicos,195
telefona,195
attiecības,195
jūtas,195
pirmajā,195
nedēļu,195
nogalinās,195
mis,195
centos,195
visai,195
zvana,194
mazs,194
nevarēju,194
Nik,194
skatīties,194
labāko,194
uzticēties,194
atradām,194
šķita,194
veiksmi,193
acīm,193
palika,193
vienošanās,193
bankas,193
sauca,193
Luis,193
mēnešiem,193
dosies,192
baidos,192
nekavējoties,192
dabūji,192
šonakt,192
apsēdies,192
diviem,192
balss,191
gudrs,191
joks,191
numurs,191
lielais,191
uzzināt,191
savam,190
muti,190
Harijs,190
kuriem,190
telpā,190
pārbaudi,190
j#s,190
dažus,189
vācies,189
visam,189
grāmatas,189
meitu,189
parāvis,189
vārda,188
negrib,188
dārgais,188
stāv,188
dzīvoju,188
brīvs,188
ieročus,188
miljonus,188
panāc,188
ziniet,187
Šrek,187
garšo,187
otra,186
turklāt,186
labāks,186
redzējusi,186
cilvēkam,186
kāju,186
skaidri,186
mīlestību,186
domas,185
dzirdēji,185
tikšu,185
gultā,185
noliec,185
acu,185
Arlabunakti,185
nevarat,184
turpināt,184
kungu,184
varēju,184
padara,184
nevēlos,184
zvanu,183
Kenai,183
sarunāts,183
pieņemt,183
sāc,183
tikšanos,183
nesaproti,183
īstā,183
burvju,183
cip,183
boss,182
policijas,182
pag,182
tiksim,182
mātes,182
atradīsim,182
lielā,182
iedeva,181
ta,181
palieciet,181
nāku,181
aizņemts,181
zeme,181
nepatikšanas,181
trim,181
skaists,181
nāks,181
viņā,181
tīrs,180
palicis,180
reizē,180
lido,180
atbilde,180
dodos,180
teikts,180
stāvoklī,179
paņēma,179
pazīsti,179
galvā,179
vidū,179
vienošanos,178
izdosies,178
mērķi,178
laimīgs,178
guļ,178
labo,178
dabūšu,178
pirkstu,178
gaidīt,178
gabalu,178
pilsēta,178
nudien,178
noslēpumu,178
gaismu,178
pakaļu,178
meli,178
vienreiz,177
mirst,177
birojā,177
katrā,177
m,177
galam,177
teicāt,177
brāl,177
paliks,176
būsiet,176
puse,176
piecas,176
nenozīmē,176
cīnīties,176
Džeims,175
izdari,175
i,175
Bobij,175
pilna,175
muguras,175
dažiem,174
apturēt,174
parādīšu,174
neatceros,174
jaunā,174
darīja,174
darījis,174
alu,174
neļauj,173
pateicu,173
Džesika,173
aģent,173
ha,173
taviem,173
sākam,172
pelnījis,172
apskatīt,172
kārta,172
Stjū,172
t,172
tiklīdz,172
turieni,171
nezinām,171
palīdz,171
brīnums,171
braucu,171
savai,171
smadzenes,171
sekundes,171
pašlaik,171
ēd,171
projām,171
sīkais,171
Hermione,171
otrs,171
Deivid,171
bailes,171
jābrauc,171
Ņujorkā,170
Alan,170
Džouns,170
iznīcināt,170
pārsteigums,170
uzdevums,170
varonis,170
manām,170
Džons,170
patiks,170
izvēles,170
slepkava,170
gads,169
sveicināti,169
trūkst,169
problēmu,169
katra,169
nākamo,169
abus,169
sākuma,169
uzvarēt,169
čalis,168
dziļi,168
pagājušajā,168
redzēja,168
smagi,167
ieradās,167
atradis,167
suni,167
nāksies,167
palīdzēšu,167
pasteidzies,166
bijuši,166
īpašs,166
nupat,166
lielo,166
mīli,166
mees,165
akmens,165
aizdomās,165
zēni,165
uh,165
vecākiem,164
galīgi,164
veida,164
iemesla,164
iedzert,164
vakaru,164
labāku,163
kļūda,163
parunāsim,163
brauksim,163
grāmata,162
tikties,162
