word,count
да,1665469
не,1097250
се,1032752
е,981755
на,737623
го,718092
и,670777
што,631437
ќе,604584
во,581689
за,503782
тоа,478026
ти,410240
дека,394945
од,368556
со,352034
ми,336154
си,311846
ја,299286
како,259529
ги,235778
јас,235764
ова,207765
сум,201288
ме,171350
добро,170119
те,167321
само,165521
ли,155399
нема,149603
но,146569
ако,144739
а,139126
тој,127734
беше,123192
треба,119605
кога,115811
сега,115176
кој,111230
многу,110003
знам,107824
му,107393
има,104388
нешто,104201
би,103098
каде,100260
мене,99419
може,98161
дали,95346
тебе,94250
сакам,93150
така,89295
тука,89029
зошто,87975
сите,87088
ајде,85817
ред,83351
ни,79690
овде,79561
знаеш,78172
па,78016
биде,74353
таа,72934
по,72911
можам,72370
до,69440
мислам,68457
сакаш,66689
еден,65392
ви,63556
уште,63194
или,61764
време,59198
некој,59100
ништо,57164
таму,56602
тие,56466
сме,56124
мора,55644
ама,55385
сте,54042
пред,53750
ве,52876
можеби,52866
имам,52747
малку,51723
ние,51503
одиме,50763
молам,50602
Еј,49184
повеќе,49172
можеш,47984
г,47697
мојот,47653
навистина,47303
него,47038
колку,46813
тогаш,44916
оди,44630
работа,44391
никогаш,43927
толку,42459
имаш,42057
луѓе,41364
Здраво,41140
вие,40649
им,40373
мислиш,39794
кои,39422
овој,38597
значи,38581
татко,38477
затоа,38350
мојата,37953
една,37881
која,37752
благодарам,37570
човек,35483
работи,34914
веќе,34846
имаме,34827
без,34629
нас,34195
години,34129
одам,33542
нели,33523
кажам,32921
оваа,32912
правиш,31561
кај,30857
твојот,30580
фала,30274
сака,30267
направи,29762
рече,29115
види,28660
додека,28570
изгледа,28559
бев,28216
пат,27995
твојата,27534
кажи,27409
случи,27190
О,27091
вас,27033
никој,26907
овие,26449
бидејќи,26358
место,26244
мислев,25565
морам,25224
секогаш,25047
дома,24702
добар,24624
жал,24591
нив,24348
бил,24282
неа,24254
чекај,24221
бидам,24105
дојде,23910
мајка,23749
подобро,23665
боже,23050
можеме,22941
бидеш,22822
ден,22814
било,22747
случува,22656
веднаш,22503
живот,22454
секој,22247
неколку,22236
луѓето,22050
моите,22040
она,21950
жена,21933
секако,21868
право,21452
господине,21419
знае,21403
добра,21289
гледам,21253
тато,20918
исто,20918
еве,20795
извини,20270
сеуште,20259
сигурно,20255
Ох,20233
дај,20199
поради,20195
немој,20106
одиш,20076
реков,19988
врати,19922
пари,19679
прави,19659
кажа,19184
кажеш,18994
повторно,18532
требаше,18168
видам,18060
надвор,17936
дури,17890
ок,17812
гледаш,17754
направам,17652
дојди,17542
моето,17453
три,17232
доволно,17190
сакав,17161
срање,17129
некои,17124
помош,17037
баш,16907
мој,16906
после,16846
едно,16812
друг,16808
знаете,16760
твоите,16738
кон,16725
син,16636
слушај,16516
животот,16502
убаво,16205
сакате,16180
под,16093
име,15955
проблем,15954
ѓаволите,15934
брат,15877
немам,15817
супер,15713
два,15669
извинете,15602
зарем,15468
пак,15463
имаше,15429
точно,15298
мораме,15187
начин,15128
премногу,15051
денес,15046
момци,14979
дел,14869
две,14869
мораш,14854
сигурен,14630
заедно,14624
назад,14508
низ,14505
имате,14418
минути,14381
нека,14341
пријател,14261
потоа,14206
зборуваш,14157
момче,14005
дете,13949
нашиот,13918
врска,13881
зашто,13781
нашите,13765
деца,13740
светот,13687
ноќ,13681
видов,13553
внатре,13495
правам,13493
околу,13439
видиме,13391
мртов,13365
утре,13285
кое,13266
допаѓа,13232
сакал,13189
страна,13170
неговата,13149
брзо,13102
вашиот,13089
нашата,12973
всушност,12957
верувам,12950
моја,12905
беа,12756
разбирам,12755
себе,12727
девојка,12723
требало,12638
некогаш,12576
лошо,12542
знаев,12538
душо,12480
направиш,12393
твоето,12282
освен,12217
мамо,12215
можете,12186
остави,12062
погледни,12033
имаат,12027
вашата,12006
работата,11951
еднаш,11945
сам,11917
вечерва,11820
дине,11809
Џек,11680
долго,11680
вратам,11530
некоја,11456
знаеме,11399
доаѓа,11384
друго,11375
голема,11363
бидат,11353
пријатели,11284
против,11237
Џон,11231
г.,11211
кого,11198
доста,11075
неговиот,11060
сакаше,10995
важно,10961
одлично,10935
година,10883
тешко,10870
зборувам,10841
мило,10809
помогнам,10800
земи,10762
можат,10680
сакаат,10601
преку,10531
голем,10519
цел,10461
правиме,10451
најдеме,10446
даде,10401
дена,10368
бидеме,10347
порано,10267
направиме,10208
ниту,10198
надевам,10143
туку,10108
јави,10103
прво,10081
заврши,10071
момент,10054
куќа,9968
каква,9909
грижи,9909
престани,9902
ден.,9822
разбира,9800
човеку,9796
најдам,9794
постои,9758
парите,9688
двајца,9621
ке,9546
случило,9530
земам,9467
тип,9445
среќа,9428
случај,9399
други,9379
човекот,9336
умре,9329
каков,9327
едноставно,9288
држи,9287
најде,9286
вели,9275
вака,9271
работите,9263
видел,9233
двајцата,9209
долу,9206
била,9177
вечер,9117
биди,9099
кажете,9074
барем,9068
гледај,9054
градот,9053
вика,9045
свет,9025
куќата,9009
видиш,8993
пушти,8983
мисли,8961
долари,8938
главата,8911
својот,8886
времето,8871
имав,8860
кажав,8840
пати,8838
секоја,8823
оние,8803
сепак,8801
вашите,8755
својата,8749
колата,8725
горе,8696
убијам,8679
гледаме,8670
ќерка,8658
вратата,8633
добри,8599
човече,8598
соба,8537
семејство,8534
господе,8493
каже,8477
вистина,8472
земја,8469
шанса,8465
бог,8448
подоцна,8438
среќен,8436
вода,8432
број,8414
откако,8410
дадам,8410
зборува,8390
прв,8370
крв,8356
тргни,8350
оној,8327
твоја,8277
крај,8268
убие,8219
земјата,8155
нов,8149
направив,8148
срце,8146
работам,8127
бидете,8115
слушнав,8103
другите,8094
игра,8090
крајот,8060
мислите,8058
неговите,8057
Ало,8000
немаше,7999
часа,7991
претпоставувам,7984
полека,7969
патот,7953
целиот,7948
можев,7933
направил,7923
немаш,7906
виде,7880
дин,7868
маж,7857
разбираш,7785
зар,7754
сето,7753
недела,7734
жив,7715
можел,7701
своите,7639
гајле,7614
сакаме,7602
проблеми,7578
жалам,7559
знаат,7545
вистината,7522
пет,7511
вистински,7507
сеќаваш,7497
немаме,7495
прашање,7490
уби,7482
рацете,7467
сестра,7464
чудно,7423
меѓу,7418
оружје,7415
лесно,7412
биле,7367
Сем,7299
можеше,7271
воопшто,7247
збор,7231
кола,7198
идеја,7197
утро,7110
изгледаш,7102
веројатно,7091
децата,7090
одовде,7079
наскоро,7072
покрај,7029
причина,7008
месеци,6977
затвор,6971
некое,6970
мал,6964
најдов,6955
отвори,6926
требаат,6912
остани,6900
чувствувам,6890
звучи,6872
чао,6859
отколку,6854
името,6842
стави,6832
барам,6811
заради,6798
слушаш,6791
мала,6790
љубов,6752
разговараме,6752
прават,6748
бевме,6741
прекрасно,6732
час,6729
другар,6708
мама,6697
некаде,6686
град,6671
помогне,6637
застани,6628
дојдов,6618
рака,6608
неговото,6604
готово,6573
зад,6554
дојдам,6553
убава,6552
избор,6540
војна,6535
полицијата,6522
јавам,6503
дојдеш,6440
почекај,6435
очи,6431
можно,6428
веруваш,6420
продолжи,6412
кралот,6397
некого,6373
живее,6355
знаеше,6348
приказна,6316
вратиме,6307
слушам,6280
смрт,6273
цела,6239
јасно,6226
бара,6214
над,6201
ѓо,6200
напред,6194
храна,6182
смешно,6164
глава,6148
таков,6130
следниот,6117
ебам,6112
целата,6091
забава,6078
зборуваме,6057
понекогаш,6028
одете,6027
грешка,6017
план,6012
сеќавам,6009
нова,6003
Исусе,6002
првиот,5999
работиш,5995
господа,5978
местото,5977
спаси,5973
Мајкл,5961
нивните,5958
брод,5940
Чарли,5925
милиони,5914
убиеш,5912
верува,5899
сигурна,5843
вратиш,5836
правите,5825
внимавај,5824
Превод,5818
друга,5803
отиде,5719
раце,5709
скоро,5697
смртта,5686
доаѓам,5686
смири,5682
гледа,5682
Хари,5680
лице,5667
далеку,5663
бродот,5651
тим,5636
побрзо,5630
типот,5553
Френк,5546
полиција,5527
мали,5525
луд,5505
проблемот,5479
сериозно,5475
очигледно,5473
очите,5471
