word,count
saya,583073
yang,391770
aku,327613
awak,275141
dia,269521
kau,250160
apa,247784
tak,233261
ini,231972
di,227659
dan,223942
akan,217542
kita,206990
tidak,202443
itu,194094
kamu,186377
untuk,165738
ada,139947
mereka,130061
boleh,129759
dengan,122892
anda,117743
ke,106361
tahu,106039
kami,96662
ya,93824
orang,82617
dari,82034
dalam,81289
sini,78607
semua,77170
pergi,73751
tapi,73376
adalah,69248
nak,69237
ia,65919
sekarang,61115
lagi,60967
jadi,59997
pada,57717
baik,56845
jangan,56728
dah,55341
buat,55210
mana,54880
bukan,54433
sudah,51827
satu,49098
seperti,48231
jika,48116
perlu,47312
telah,44022
lebih,42931
hanya,40782
datang,39790
ayah,38891
Oh,38839
mungkin,38771
siapa,38120
kenapa,37408
sangat,36938
saja,36880
mahu,36069
betul,35382
dapat,34832
hari,34716
bagaimana,34447
seorang,33660
terima,33497
tuan,33029
juga,32727
masa,32718
rasa,32514
kasih,32279
kalau,31297
anak,30997
pernah,29869
mari,29620
ni,29530
sana,29091
atau,29078
lakukan,29010
tu,28704
kepada,28475
sesuatu,28283
masih,27811
tiada,27802
mati,27222
Baiklah,26898
cakap,26442
lain,26372
banyak,26151
kerana,26032
adakah,25882
tempat,25593
keluar,25566
menjadi,25513
dengar,25166
begitu,24804
hidup,24760
selamat,24552
macam,24457
sama,24332
tentang,24162
beritahu,24078
kawan,23670
Hei,23652
benar,23468
bagus,23185
maaf,22875
diri,22782
cepat,22518
kata,22290
lihat,22288
baru,22136
tunggu,21913
kembali,21748
lelaki,21443
tolong,21173
harus,21075
nampak,20756
pun,20597
cuma,20584
masuk,20314
ingin,20173
okey,20100
melihat,20018
malam,19990
tahun,19986
sedang,19930
berlaku,19172
rumah,18824
kan,18722
berada,18715
suka,18431
tetapi,18246
dua,17979
cuba,17936
jumpa,17805
bersama,17777
takkan,17354
sendiri,17345
pasti,17092
fikir,16907
atas,16894
lama,16680
bila,16649
daripada,16600
mempunyai,16513
tuhan,16500
faham,16474
kena,16353
dunia,16299
hati,16215
masalah,16165
salah,16092
mak,15980
besar,15803
perkara,15680
memang,15631
bawa,15432
sebab,15365
mengapa,15275
sebelum,15234
okay,15113
ambil,15092
nama,15021
sekali,14961
beberapa,14783
bahawa,14585
berhenti,14583
kali,14542
jalan,14541
ingat,14517
bercakap,14439
tinggal,14428
ayuh,14036
sayang,13899
bunuh,13871
oleh,13858
kereta,13846
ibu,13686
membuat,13671
cara,13496
semuanya,13421
makan,13380
itulah,13309
bagi,13278
sampai,12788
perlukan,12772
setiap,12756
melakukan,12684
hey,12650
budak,12619
sebagai,12573
cari,12519
kerja,12375
tengok,12255
dulu,12253
seseorang,12174
belum,12055
manusia,12051
percaya,11933
hebat,11895
pertama,11819
kemudian,11773
minta,11750
terjadi,11694
membunuh,11544
benda,11473
sedikit,11388
mencari,11353
luar,11314
tangan,11187
ikut,11144
ketika,11135
terlalu,11059
maksud,11014
mesti,10972
cukup,10930
ianya,10741
sebenarnya,10718
polis,10705
tanpa,10701
kecil,10667
tentu,10620
katakan,10590
nanti,10530
lalu,10432
balik,10374
berapa,10254
bawah,10251
apakah,10243
mengambil,10218
mata,10119
yeah,10110
sebuah,10042
hal,10033
maafkan,9929
gila,9924
patut,9866
terus,9845
bodoh,9749
bergerak,9699
berikan,9541
selalu,9508
ok,9451
berjaya,9382
biar,9348
bisa,9317
takut,9316
selama,9307
keluarga,9230
guna,9196
senjata,9128
paling,9118
gadis,9086
perempuan,9069
selepas,8983
mendapat,8974
apabila,8962
tiga,8942
pintu,8881
the,8809
biarkan,8786
saat,8762
bekerja,8688
membawa,8580
wanita,8541
duduk,8508
kanak,8507
semula,8483
telefon,8437
tidur,8285
beri,8243
air,8223
jam,8110
pasukan,8072
tiba,7987
beliau,7986
sahaja,7920
pulang,7901
a,7863
hilang,7849
dapatkan,7834
punya,7795
berdua,7769
sesiapa,7756
bilik,7720
gembira,7704
bandar,7640
biasa,7628
terakhir,7611
lari,7578
disini,7578
tadi,7549
i,7532
ialah,7519
membantu,7412
belakang,7400
waktu,7397
penting,7361
abang,7353
cinta,7301
kuat,7291
depan,7289
