word,count
jeg,2584968
det,2484205
er,2322146
du,2029620
ikke,1469282
en,1009507
og,985097
i,922517
har,913441
vi,853460
på,822180
å,796600
til,719105
deg,669833
med,648251
meg,632266
han,630251
hva,622015
for,618785
som,564906
at,545882
så,531744
de,504900
kan,501258
den,486667
var,460604
vil,422941
av,419695
om,410650
men,374003
skal,362405
et,327852
ja,319709
her,297085
bare,280991
dere,279824
dette,279765
må,274062
hun,273922
noe,271696
nei,270152
vet,265507
nå,253630
ham,233797
min,225412
ut,224545
kom,217167
din,207525
da,207157
oss,201568
ha,190055
gjør,187669
hvor,184434
fra,183001
være,174643
noen,169536
der,166130
dem,165396
igjen,159884
se,158167
ta,153471
ville,148696
kommer,145091
alle,143484
går,140041
alt,138090
få,135893
tror,134678
hvorfor,134294
opp,134081
hvordan,133010
gjøre,131723
hvis,131481
ingen,130738
seg,130585
hadde,126802
sa,125833
bra,124624
når,123327
får,122980
blir,122358
takk,121269
henne,120744
gå,120176
eller,116660
bli,116491
si,112599
ser,112263
la,112253
hvem,111625
inn,106035
Hei,105505
litt,103981
etter,103508
denne,101671
ble,97834
tilbake,95547
aldri,92249
kanskje,92245
vel,91756
ok,89113
jo,89053
skulle,89002
to,86205
trenger,85799
sier,82474
kunne,82183
over,79868
mer,79076
før,78926
vært,78524
også,78437
man,76663
tar,76613
gi,75327
god,74929
selv,74923
mye,74517
nok,72327
mitt,71739
hans,71664
sammen,68953
gjorde,67927
dag,67260
gang,66769
enn,66337
ned,65186
andre,64588
sett,63786
vær,62860
mine,62332
fikk,61826
ditt,60450
siden,59832
greit,59583
mot,57755
helt,57676
år,57145
faen,56677
deres,56359
hele,55046
komme,54070
godt,53241
snakke,52674
ved,52041
mann,51872
dra,50215
fordi,50078
gjort,50071
rett,49724
folk,49145
liker,48669
mange,48046
dine,47963
mener,47776
alltid,47731
mr,47523
sånn,47213
sant,47186
ting,46690
tre,45999
vent,45972
tok,45508
vår,44863
hold,44826
hjem,44530
finne,43035
Unnskyld,42965
veldig,42432
beklager,42380
tid,42128
uten,40600
burde,40557
hit,40498
trodde,40322
ingenting,40269
bedre,39560
gikk,39168
sir,39015
hjelpe,38452
morgen,38399
livet,38054
vite,37620
akkurat,37596
virkelig,36735
kveld,36727
visste,36725
lenge,36359
slik,36252
skjer,36213
snakker,36209
kjenner,36172
far,36121
sin,35818
elsker,35766
står,34898
samme,34792
ute,34783
død,34134
første,33833
hjelp,33707
disse,33119
snill,32712
feil,32616
forstår,32238
Herregud,32188
gir,31666
pappa,31634
siste,31582
helvete,30660
én,30243
eneste,30205
fant,29985
hennes,29978
hør,29938
mamma,29797
vei,29626
under,29612
klar,29385
sted,29337
blitt,29218
drepe,28573
holder,28506
heter,28483
barn,28384
bør,27884
penger,27838
slutt,27767
fint,27381
visst,27366
prøver,27315
skjedde,27200
Hallo,27003
tro,26965
borte,26943
drar,26911
verden,26828
døde,26816
redd,26693
husker,26658
rundt,26606
mor,26601
snart,26516
bilen,26382
beste,26295
gud,26202
hver,26147
veien,26132
holde,26061
våre,26041
venn,25966
finner,25904
tatt,25750
like,25719
hører,25690
faren,25660
høre,25629
annet,25449
flere,25357
hos,24983
bort,24733
inne,24718
fortelle,24693
måtte,24618
først,24515
fått,24251
stor,24048
liv,23979
gjennom,23934
tiden,23617
heller,23613
ga,23453
betyr,23309
glad,23180
sikker,23169
neste,23099
mannen,23021
sikkert,22669
annen,22574
lei,22455
lenger,22378
vekk,22201
gjerne,22175
fortsatt,22079
hørte,21920
unna,21867
fem,21861
nye,21532
store,21318
menn,21016
alene,20823
hatt,20710
dø,20660
sagt,20588
derfor,20558
flott,20423
skjønner,20358
a,20305
ny,20203
snakket,20194
jævla,20157
klart,20116
liten,20097
ennå,19931
dager,19753
politiet,19600
pengene,19585
føler,19576
langt,19514
håper,19505
sitt,19463
klarer,19419
minutter,19363
jobber,19308
grunn,19159
byen,19137
gamle,19107
gutt,19098
venner,19074
ganger,19072
tenkte,19048
jobb,18963
nesten,18945
venter,18797
fire,18781
kjære,18712
navn,18706
drepte,18703
lkke,18669
huset,18546
ett,18494
jobben,18492
ellers,18433
dagen,18347
hjemme,18209
vårt,18187
faktisk,18185
bak,18158
dit,18118
fort,18054
natt,17902
be,17855
drept,17852
familien,17824
begge,17772
hørt,17690
lille,17674
hverandre,17615
stille,17609
ferdig,17578
herfra,17572
orden,17348
