word,count
nie,37988710
to,28193874
się,22931352
w,17410268
na,15012869
i,13859551
z,13572669
że,13371442
co,12631210
jest,11932733
do,10278591
tak,9542408
o,7766832
jak,7501940
ale,6492083
mnie,6263278
a,6167355
mi,5420906
za,4586730
ja,3859423
tym,3794341
go,3773911
ci,3769503
tego,3730489
tu,3668991
tylko,3530045
po,3523020
może,3475710
czy,3431606
ty,3410673
ma,3389103
cię,3379044
jestem,3374478
mam,3178049
już,3171000
jesteś,3083723
jeśli,2904065
coś,2873772
wiem,2856470
dla,2794713
dobrze,2581458
od,2565838
pan,2564293
teraz,2494092
więc,2441708
wszystko,2343505
być,2299733
tam,2237395
nic,2227098
masz,2217290
będzie,2204098
proszę,2158960
mogę,2075778
są,2069815
gdzie,2020980
jej,2002473
ten,1987395
on,1919589
ciebie,1903617
sobie,1880450
kiedy,1871683
ze,1831556
wiesz,1810221
był,1808689
by,1803404
bardzo,1737403
nas,1726424
było,1724631
jego,1716158
przez,1707726
ją,1704466
jeszcze,1697551
chcę,1681383
pani,1644468
mój,1639589
dlaczego,1633112
ich,1625049
no,1574207
żeby,1537862
chcesz,1523044
bo,1492276
też,1470911
mamy,1445876
tutaj,1437129
kto,1364129
nigdy,1359355
dobra,1346345
mu,1305703
naprawdę,1302859
możesz,1286065
przepraszam,1275325
chyba,1194694
muszę,1192834
porządku,1183137
dziękuję,1171735
gdy,1159968
nawet,1104454
zrobić,1093140
domu,1087422
prawda,1084110
właśnie,1079024
ona,1072474
nam,1036693
była,1021013
będę,1006329
panie,997396
nim,994089
te,986406
bez,978254
zawsze,977865
musisz,975620
je,967982
tej,956466
ktoś,949324
moja,943587
jesteśmy,943391
dzięki,935872
musimy,925816
Hej,906136
trochę,903060
czas,887179
moje,885689
twój,875515
lat,870075
więcej,868920
który,866973
powiedzieć,863802
możemy,856680
wszyscy,852159
chce,846862
albo,835540
ta,832751
tobą,828750
chodzi,818436
czego,806195
sam,802572
razem,798921
pana,794657
prostu,791755
Cześć,787577
stało,786893
mną,780197
dalej,768809
Boże,762404
przed,750467
was,748150
raz,739687
ludzi,738486
będziesz,737819
ludzie,735551
czym,735183
czemu,728766
niż,718750
przy,701942
życie,695721
niech,693084
myślę,690708
dobry,688073
czasu,672770
lepiej,671903
miał,666755
kim,663353
dzień,661738
robisz,657627
temu,655954
twoja,651944
myślisz,647127
rzeczy,644628
daj,644358
nikt,633740
chodź,632379
tych,629493
niego,629401
my,620241
musi,619653
pod,616740
siebie,613503
im,612047
twoje,608268
które,605035
oczywiście,604919
moim,604788
powiedział,604580
powiedz,599859
jeden,593598
u,591325
mówi,579888
pewnie,578189
dlatego,577856
stąd,574591
ok,570250
wygląda,563191
aby,562460
dwa,554452
mojego,554023
wie,551794
wtedy,549910
dziś,544270
taki,543835
cóż,542755
oni,534636
dzieje,533606
mieć,532053
będziemy,531804
wszystkie,531256
potem,527470
rozumiem,526690
takie,523007
ile,521242
znaczy,520568
skąd,519513
pomóc,513622
miejsce,513108
jako,510458
moją,509490
nią,508915
wiele,508626
jasne,505182
mojej,500319
kilka,495847
iść,494840
wiedzieć,493748
byłem,492869
nich,491685
dużo,490672
cały,488643
wam,488204
swoje,483386
przykro,479911
wszystkich,477895
kurwa,477575
tę,476831
trzeba,474434
jakieś,474274
nad,473200
można,470796
jakiś,470217
dzieci,469283
myśli,468485
mają,465987
tyle,447225
szybko,446335
cholera,443587
sposób,440951
kogoś,439018
która,438544
zanim,438223
mówisz,435634
robić,433563
niej,431397
tobie,430357
takiego,425578
bardziej,425402
zaraz,425378
zbyt,425292
pewno,424593
miałem,418070
mówię,415424
pracy,414405
trzy,411293
ani,410913
rację,409531
kocham,407547
świetnie,405627
myślałem,404940
ojciec,401385
jaki,401062
stanie,400800
stary,400661
zobaczyć,399021
kochanie,395994
robi,392858
dzisiaj,391708
nadal,389314
życia,389011
idź,388684
widzę,387421
będą,387185
kiedyś,386597
przestań,386036
aż,382601
wciąż,380258
długo,379473
twoim,378898
tą,378381
później,375783
chciałem,375280
każdy,375224
swoją,374872
widzisz,371516
dni,369493
nadzieję,368418
potrzebuję,367443
mógł,366700
sie,366377
problem,366110
żebyś,361863
jutro,358709
tato,357275
nami,354770
twojej,353015
ponieważ,351159
żyje,349003
znaleźć,347428
taka,346275
koniec,346236
dokładnie,345743
zabić,345653
widziałem,343864
gdyby,342147
mamo,342042
dnia,341681
pierwszy,341569
nasz,340683
powiem,340497
nasze,340483
nocy,340400
znam,339543
znowu,338906
samo,338281
sama,337388
zrobił,337231
twoją,335163
czuję,329740
razie,329337
wy,329280
dziecko,329194
minut,328736
jakie,327347
spokój,325888
chciał,325753
broń,324102
pieniądze,323055
miała,320767
imię,319260
wszystkim,318796
czegoś,318018
został,316821
dobre,316315
słuchaj,315603
chwilę,314331
były,314286
zostać,312933
drzwi,312917
sobą,311247
którzy,311007
spójrz,310542
chciałbym,309775
mogą,308541
bym,308264
wcześniej,307650
miło,307569
mówić,305240
sir,303856
posłuchaj,303519
poza,303371
kogo,303236
porozmawiać,301356
jesteście,300631
roku,298898
człowiek,297626
dom,297503
panu,296272
twojego,296014
wiemy,293987
prawie,293737
we,291912
powinniśmy,290524
mów,289505
macie,289499
powiedziałem,289195
gdzieś,287023
byłeś,286366
Oh,285912
pomocy,284656
mama,283612
lub,283274
którą,283267
powodu,283244
jakby,281566
jednak,281199
końcu,280458
sprawy,280418
żadnych,280244
mówiłem,280051
czekaj,279790
przecież,278252
innego,278242
moich,277556
zrobię,277477
wydaje,277358
razy,274234
dość,272563
lubię,272229
pomysł,271365
jeżeli,268545
idziemy,267489
miejscu,267231
którego,264863
facet,263667
powinieneś,262482
żebym,262279
ciągle,261541
podoba,260796
byłam,260025
ojca,259969
spokojnie,258486
noc,258366
lata,257661
skoro,256589
źle,255067
niczego,254947
pamiętasz,254295
jedno,253065
znasz,252911
dwie,251130
pewien,251072
sprawa,250112
takim,248236
zamknij,247019
rozumiesz,246073
pokoju,245326
świat,244956
nowy,244709
byś,242818
którym,242508
Och,242283
bądź,241218
oczy,240126
dr,239708
powiedziała,238585
nimi,237300
