word,count
que,45897992
não,37545695
o,37106847
de,30511546
a,27518574
é,26103292
você,22975645
e,21920249
eu,20625019
um,17346672
para,14421945
está,13173194
uma,11774396
se,11500739
com,11272787
por,10354263
ele,10266693
isso,10094346
em,9138798
do,8657284
me,8496081
mas,7535611
como,7094252
bem,6936388
da,6532763
os,6103109
no,5958158
ela,5634491
aqui,5583758
na,5566308
sim,5423859
mais,5402582
tem,5049824
meu,4975064
seu,4847712
foi,4710506
muito,4613540
as,4541086
vai,4534898
sua,4510902
vamos,4456797
estou,4448958
tudo,4195721
só,3793924
minha,3731907
pode,3641672
agora,3603678
então,3519130
vou,3381080
sei,3300286
ser,3240633
quando,3190466
fazer,3159005
eles,2981787
nós,2897099
te,2883966
certo,2848944
quer,2811752
tenho,2795595
já,2702444
estava,2681872
nos,2658541
sabe,2638558
quem,2611237
era,2581565
ao,2536935
ou,2518488
nada,2509388
onde,2490945
lá,2483818
há,2478077
disse,2429240
quero,2395573
sou,2380115
bom,2315217
são,2279628
ter,2277222
posso,2266344
mim,2238761
acho,2192635
dizer,2163916
sobre,2156802
mesmo,2138411
porque,2092790
todos,2046617
estão,2036978
coisa,2023514
algo,1973640
até,1936080
quê,1919454
tempo,1906625
nunca,1880701
assim,1880448
à,1865311
vocês,1847739
esse,1847732
essa,1816626
casa,1786968
ver,1747470
pra,1714870
cara,1711211
também,1703932
ainda,1695876
dos,1685331
favor,1653022
temos,1640350
tão,1591823
sem,1583810
ir,1575893
melhor,1568518
estamos,1542452
obrigado,1525586
noite,1516377
pai,1513904
talvez,1508179
dia,1495204
Deus,1495083
alguém,1454611
senhor,1444976
isto,1413692
esta,1397692
dele,1385151
vida,1384912
anos,1372718
mãe,1367124
sempre,1353776
este,1323918
verdade,1322337
seus,1320113
vez,1305532
preciso,1294756
sr.,1292747
parece,1284376
ficar,1282108
claro,1255699
antes,1241131
falar,1240231
depois,1230409
pelo,1220614
coisas,1214951
pessoas,1198728
tinha,1186481
nem,1180546
homem,1178219
aí,1171672
fazendo,1157522
dois,1157035
pouco,1155120
deve,1154018
boa,1142482
acha,1132007
faz,1124614
lugar,1122394
qual,1109204
apenas,1107967
fez,1100959
todo,1093825
precisa,1090347
disso,1089943
fora,1069692
Oh,1067563
estar,1063924
ninguém,1043614
trabalho,1036331
das,1013042
novo,1001697
comigo,998733
saber,982843
hoje,977288
mundo,971951
queria,959622
Ei,956989
podemos,945608
nossa,940934
dar,940845
seja,931899
alguma,931641
nome,927102
sinto,917798
será,896614
suas,890732
grande,880379
vá,879927
quanto,879011
pela,874809
dinheiro,869033
filho,862419
outro,854296
nosso,852213
dela,851901
desculpe,847687
poderia,846112
qualquer,839243
vão,837343
meus,835977
Oi,830323
lhe,828459
hora,793493
certeza,793038
outra,766402
sair,747565
volta,727187
problema,726340
toda,720808
espere,717782
sabia,716505
diga,714271
Olá,703608
algum,699513
obrigada,699349
menos,697638
aconteceu,697458
falando,696100
daqui,686721
mulher,682516
tipo,681441
ok,680557
amigo,678482
carro,678263
ótimo,663319
venha,652245
merda,646950
vi,646082
deveria,640890
vezes,640271
três,639087
entre,634319
seria,632654
primeiro,626861
sério,625277
voltar,618851
diz,614022
realmente,613438
olhe,608600
faça,606381
atrás,604489
parte,601504
às,598686
viu,596832
família,593751
embora,585418
ajudar,585138
tenha,577347
deixar,576770
precisamos,572094
feliz,568981
amor,566454
