word,count
que,22330713
a,21942504
o,21166489
não,17875604
de,15390089
é,12158417
e,10244749
um,7793722
para,7211513
eu,6267374
uma,5734457
está,5042669
se,4707141
com,4677391
do,4494780
por,4231446
os,3814966
ele,3716750
bem,3664814
em,3631723
mas,3602284
da,3451947
isso,3438505
como,3284805
sim,2838873
as,2728774
no,2667759
mais,2561015
na,2482191
meu,2477789
aqui,2355645
me,2284423
muito,2133797
foi,2117182
isto,2064518
ela,2043110
estou,1995767
fazer,1968618
vamos,1951395
já,1853389
vai,1783317
à,1741651
ser,1740147
minha,1712845
só,1697487
ao,1697451
te,1694888
tem,1652967
tudo,1643310
tu,1628237
tenho,1601475
há,1600965
estás,1592052
vou,1567034
sei,1561565
porque,1552435
agora,1523961
lá,1481552
quando,1480651
onde,1313712
quem,1305135
ter,1284334
então,1279911
nada,1264401
você,1239738
era,1231093
coisa,1217379
ou,1187909
dizer,1135844
sou,1124776
são,1116169
quero,1105794
mesmo,1044260
seu,1029524
pode,1021176
estava,1015314
esta,1013382
todos,1008965
eles,999530
nós,993858
dos,988622
temos,983778
tens,975980
mim,972951
tua,964405
sua,961844
nos,959264
este,954096
posso,946839
ver,941021
bom,940429
estão,938321
teu,935822
nunca,924643
casa,922297
até,905488
assim,877392
falar,875534
ainda,865812
tempo,854350
acho,845732
disse,841160
pai,822110
ir,820795
és,818934
quê,801195
vez,797625
também,796865
favor,786002
sobre,770410
quer,757795
melhor,742029
ti,734260
obrigado,731256
tão,730488
depois,725694
sabes,718984
Deus,712529
mãe,711968
talvez,708017
estamos,707234
Olá,703014
noite,692220
sempre,691221
nem,677732
alguém,675035
dia,673565
vais,669303
certo,664427
alguma,662248
vida,660258
dele,659469
sem,648681
anos,641679
queres,625980
das,622234
homem,617498
estar,610774
tinha,593580
coisas,593357
pelo,578080
boa,575505
ficar,569341
algo,564969
preciso,563019
pessoas,562065
sabe,559911
senhor,557051
dois,554171
parece,552859
claro,544806
podes,528540
Sr.,527541
verdade,526410
tipo,525402
antes,525303
lhe,513559
faz,511853
ninguém,502726
apenas,495691
espera,491275
vocês,488328
aí,485456
trabalho,485207
vão,481893
outra,474979
comigo,472907
saber,472495
pois,460795
essa,449957
podemos,449477
grande,443625
esse,443539
dinheiro,438329
pela,436911
qualquer,429271
pouco,426992
cá,419532
desculpa,417970
num,416966
qual,416792
disso,416500
vá,412527
filho,410664
daqui,410098
toda,400394
fora,395717
mulher,394737
meus,393513
olha,393131
merda,392052
hoje,391313
deve,389764
nosso,388886
dela,388215
seja,387468
nome,379603
nossa,378133
sério,377851
diz,373824
queria,370710
certeza,364864
às,363964
outro,361897
sair,361668
têm,359981
dar,359440
todo,357302
tentar,356324
mal,355331
volta,354367
quanto,350871
consigo,350510
amigo,347417
mundo,345120
Oh,344400
contigo,344115
pensar,343115
aconteceu,341646
três,341233
passa,339988
embora,338787
porquê,332211
lado,331753
numa,331130
menos,330730
carro,328718
problema,323545
nas,319201
aos,312835
dentro,311253
vezes,309861
novo,308329
todas,307236
seus,306622
será,304961
parte,304665
vem,304236
fez,303531
voltar,303210
anda,301545
achas,299775
primeiro,298672
obrigada,293938
lugar,292098
algum,290496
ali,289694
pensei,284928
razão,283985
família,282239
aquele,281191
querida,275458
homens,275449
ideia,273572
dias,272144
fui,271897
duas,266603
hora,265976
vi,265276
si,264181
sabia,263786
polícia,263445
aquilo,262440
atrás,257177
podem,256497
uns,253198
gosto,251533
pronto,250571
devia,250471
somos,249642
fica,249035
cabeça,248206
tal,247079
deles,245855
entre,244320
forma,241340
cidade,240899
caso,238400
horas,237758
amor,237731
frente,237223
pessoa,236588
podia,236182
momento,235664
desde,235508
ok,233909
gente,233815
ajudar,232378
encontrar,232286
fiz,230610
amigos,230037
passar,229886
tenha,228886
nenhum,228631
foram,227283
tarde,226784
chegar,225929
deixar,224927
entrar,224827
morrer,224700
desculpe,224101
ia,223509
cima,218844
sido,218387
outros,218067
irmão,218021
nova,216470
morto,215769
durante,215322
quase,214520
tanto,214359
matar,214180
seria,213982
porta,213921
história,212775
fosse,212159
minutos,211762
amanhã,211500
trabalhar,211477
óptimo,210212
contra,209676
ajuda,208415
morte,206913
medo,206223
caminho,205886
maneira,205494
aquela,205114
enquanto,202673
minhas,201802
precisa,200433
rapaz,200303
ouvir,200149
desta,198374
vir,198311
arma,197694
neste,196553
suas,196419
acontecer,195878
primeira,195622
teus,195296
estes,195268
lamento,194916
precisamos,194515
