word,count
nu,30134230
de,29998119
să,28569290
o,19053788
a,16951736
ce,14733497
am,14545726
e,13981258
în,13818251
şi,13648290
că,13133358
la,12266596
pe,10484648
cu,10269651
un,10028611
te,9947257
ai,9188666
mai,8846284
asta,8422495
pentru,7047861
sunt,6563393
da,6283867
este,6172921
bine,6117406
mă,6034978
ca,5832385
i,5725532
dar,5516025
se,5407113
care,5224236
mi,5222060
din,5155757
fost,4778662
fi,4652463
aici,4601557
l,4442950
eu,4394100
sa,4325089
dacă,3983217
ar,3922254
ne,3708427
trebuie,3704440
si,3565592
s,3503815
va,3417275
cum,3310081
au,3251335
tu,3223503
acum,3214667
aşa,3063670
ţi,3010812
eşti,2876934
n,2857709
ceva,2834845
lui,2700027
când,2684153
el,2630243
doar,2568894
tine,2521561
mine,2497927
vă,2476873
ei,2372289
îmi,2344062
pot,2336255
poate,2332925
face,2299340
voi,2272970
unde,2269076
cred,2260872
mea,2122037
ştiu,2090717
le,2078091
spus,2057994
m,1963877
meu,1938551
vreau,1875576
vrei,1839869
mult,1815954
făcut,1811093
acolo,1773381
tot,1739178
despre,1722658
pare,1708194
ea,1694997
foarte,1683177
sau,1678741
spune,1678175
noi,1657317
bună,1643334
chiar,1634586
are,1622202
cine,1614438
faci,1614374
ta,1610908
in,1577561
era,1576981
nimic,1557102
nici,1475849
ştii,1460865
fac,1398342
putea,1395441
fie,1351833
rău,1347810
nevoie,1347552
trebui,1295114
tău,1266890
avem,1260157
rog,1250110
îţi,1246902
atunci,1202093
timp,1191625
al,1189344
poţi,1188064
spun,1158059
îl,1142791
aş,1128044
după,1120884
prea,1108532
mulţumesc,1096393
vom,1086785
cineva,1064554
suntem,1046993
ăsta,1036924
haide,1035400
într,1028171
vor,1027400
vei,1026526
îi,1018708
toate,1016273
ani,1014629
bun,1008655
cel,1002118
până,989172
sigur,985958
deci,976535
cât,967897
vrea,962957
acest,960269
văzut,958689
iar,957404
crezi,955322
stai,949535
mare,934976
Hei,916574
încă,914722
ma,901798
totul,888661
venit,883890
avea,873784
spui,872534
atât,854353
ia,840544
putem,836768
avut,830609
aţi,827950
Oh,822484
asa,816158
domnule,810388
regulă,809842
fără,809572
fel,794979
ti,780905
decât,774871
esti,769746
hai,763112
naiba,760677
uite,759420
place,756181
niciodată,753802
mergem,748093
ceea,745182
lucru,738109
și,732878
văd,731189
dă,723899
mama,722304
prin,701700
nimeni,697199
dat,692992
puţin,692890
vezi,691469
unul,687669
înainte,685018
fii,683802
loc,681294
toată,667795
oameni,662922
facem,656478
dle,643114
toţi,641451
întâmplat,640747
aia,635939
jos,631584
lumea,624266
luat,623298
apoi,622884
zi,620540
acasă,608832
nou,606903
astea,606413
două,596683
multe,592695
auzit,583085
oamenii,582737
timpul,575909
orice,572313
d,572166
du,570965
doi,570043
înapoi,561961
daca,557665
nişte,550743
fiecare,544568
fiu,544076
găsit,542091
peste,541345
om,540278
trei,534398
numele,532456
cei,528977
lor,523470
lasă,522019
stiu,516031
cea,512165
vrut,507796
dintre,505319
această,503547
Doamne,498297
gata,492555
merge,487866
viaţa,481529
duc,476350
vino,472902
mele,470902
serios,464074
parte,464006
deja,457133
dată,457115
aproape,445806
ziua,442932
una,442681
vedem,441811
numai,441143
câteva,441048
dau,439736
grijă,438612
bani,436347
afară,435721
tatăl,434600
repede,432496
vorbesc,432281
înseamnă,432202
vin,431853
noastră,429611
zis,426687
adevărat,424864
întâmplă,424274
există,424070
locul,422154
destul,421807
eram,420817
nostru,419729
ok,417765
scuze,414413
vine,413438
v,411162
tale,406688
singur,406389
cam,406272
spre,402713
omule,402079
sunteţi,400040
ajuns,399507
ori,397351
ştie,397084
exact,396492
prima,384027
casa,382023
dreptate,381992
aceasta,381209
terminat,380178
ăla,379210
lucruri,378693
probabil,378385
putut,378183
partea,378013
tocmai,376769
fapt,375515
dracu,374671
imediat,374129
acesta,372589
facă,372195
iau,371098
pune,369975
adică,368810
trecut,368647
stii,368235
zile,366758
ascultă,365891
simt,365890
noapte,365529
pierdut,364132
trebuia,362835
târziu,360280
unui,360251
uită,359604
mereu,357199
lucrurile,356530
fata,356522
tată,352183
împreună,351781
cele,350581
iubesc,349696
seara,349690
fă,349574
măcar,349188
azi,348013
sub,346215
treaba,343988
drumul,343884
viaţă,342152
banii,342059
departe,340441
început,339667
plecat,339055
mei,338917
minute,337081
crezut,336971
mie,333996
tata,330083
aşteaptă,329515
copii,329240
sus,328570
aveţi,326854
frumos,326798
