word,count
я,6941051
не,6008945
что,5262321
в,4052147
и,4021737
ты,3798873
это,3614452
на,2271487
с,2070230
он,1769991
мы,1662094
как,1658326
вы,1594828
да,1568298
мне,1479495
нет,1462085
у,1447635
меня,1400415
так,1381704
а,1371213
но,1357408
то,1242393
его,1051039
все,1002297
тебя,981982
она,957640
за,955917
о,947413
если,874859
тебе,817749
бы,813423
они,740175
из,738925
же,662221
чтобы,651693
по,643421
когда,628080
есть,616272
просто,606982
к,603556
ну,592511
для,580995
кто,570243
здесь,566313
хорошо,564850
был,537028
только,530585
всё,529141
знаю,524107
было,502660
вас,495162
нас,489128
может,487877
вот,484198
от,468968
быть,427598
почему,416417
будет,414868
их,405816
вам,400195
где,389753
очень,388461
уже,388056
могу,382161
нам,373694
чем,372434
или,370803
еще,370325
там,366208
спасибо,365472
сейчас,353234
нужно,349001
этого,344428
хочу,342701
ничего,341279
мой,325163
была,316541
ее,314660
знаешь,307878
до,307147
ладно,305462
этом,303785
теперь,302648
потому,292964
больше,281304
её,278510
со,273259
раз,272099
думаю,271798
надо,264831
п,263961
ему,261539
этот,259867
время,259192
ли,255251
ещё,254897
даже,251917
нибудь,248747
пока,248687
сказал,240590
давай,239134
себя,236727
должен,236052
эй,234663
тоже,233450
привет,231177
хочешь,229887
тогда,226658
никогда,221311
того,219702
ни,218976
тут,216425
него,214865
правда,213602
об,209085
конечно,208449
были,207767
моя,200680
тобой,195280
пожалуйста,193893
один,191506
сказать,187670
сегодня,186843
сюда,185179
лучше,183268
мной,181863
можешь,180766
значит,178322
чего,177050
всегда,173311
сделать,172559
дело,171218
можно,170334
ей,167017
без,166582
должны,166072
порядке,164609
день,161545
во,160341
буду,160113
том,158705
делать,157120
хотел,152259
эти,151576
всего,151111
много,150460
после,148227
твой,147814
этим,147400
ним,146997
ведь,146354
сэр,141401
такой,140979
них,140808
лет,140133
жизнь,138863
мистер,138458
всех,136673
боже,135568
ней,135327
такое,135097
потом,133985
зачем,132970
через,132283
который,132227
слишком,131597
себе,129859
куда,129237
возможно,128614
немного,128529
кого,127005
человек,126439
люди,126168
какой,125046
под,124378
им,124318
этой,123957
моей,123508
думаешь,122254
должна,121989
точно,121514
свою,121467
знаете,120742
твоя,119336
назад,118149
эту,117413
отец,116649
случилось,115199
вместе,115033
мама,114038
можем,113972
сделал,113744
мои,113680
сказала,113476
мог,112972
друг,111675
никто,111323
поэтому,110856
кажется,109556
эта,108833
два,108407
вообще,108332
сколько,107946
тот,107073
людей,106449
снова,105999
жизни,104892
кое,103937
которые,103848
понимаю,102873
видел,102568
нравится,101818
место,99780
помочь,99625
похоже,99058
прости,98839
знать,98092
хочет,97913
иди,97892
всем,97788
лишь,97487
домой,96923
люблю,96879
парень,96740
отлично,96692
деньги,96344
разве,95530
времени,95394
именно,94400
сам,94050
говорил,93043
делаешь,92990
дома,92883
думал,92852
стоит,92489
будем,92412
простите,92058
доктор,91774
найти,91719
прямо,91634
своей,90327
прошу,90304
Ага,89027
будешь,88834
можете,88741
слушай,88485
три,87669
поговорить,87352
тем,87299
совсем,85909
хотела,85402
давайте,85231
хотите,84855
скажи,84738
моего,84191
знал,84102
знает,84005
говорить,83587
деле,83581
вами,82972
туда,82012
свои,81888
дом,81869
дела,81615
про,81108
ваш,80166
черт,79601
говорит,79401
должно,79290
ж,79184
происходит,78887
оно,78781
действительно,77896
несколько,77524
жаль,76969
папа,76947
наш,76363
перед,76209
завтра,75757
отсюда,75626
одна,75430
верно,74958
чём,74937
понял,74723
нужен,74385
уверен,74344
нужна,74076
свой,73729
тех,73699
мою,73465
самом,73438
хватит,73171
будут,72898
имя,72588
уж,71639
твоей,71206
против,70848
каждый,70807
работу,70498
какая,70274
дай,69864
нельзя,69071
пошли,68944
нее,68704
ваша,68602
мать,68515
нами,68479
раньше,68193
при,67828
твои,67539
пор,67281
более,67169
говорю,66594
ради,66490
наверное,66132
надеюсь,65952
ко,65776
кем,65533
откуда,65431
Итак,65320
всю,64999
хотя,64145
могли,63654
идти,63273
другой,62847
ребята,62803
этих,62532
ясно,62375
такая,62256
вижу,62062
понимаешь,61875
равно,61788
скоро,61675
какие,61220
извините,60945
видеть,60384
ваше,60347
зовут,60308
будто,60276
над,60040
наши,60006
могут,59987
человека,59899
своего,58719
подожди,58673
вопрос,58651
убить,58478
руки,58002
между,57908
сын,57849
такие,57824
послушай,57553
виду,57528
смотри,57500
этому,57465
мисс,57464
хоть,57446
года,57093
почти,57022
возьми,56934
пора,56649
быстро,56611
жить,56587
минут,56248
твою,56086
думала,56049
нормально,55937
видишь,55230
вещи,55208
дня,55207
которая,55172
господи,54980
неё,54878
извини,54770
говоришь,54703
работа,54483
весь,54349
слышал,54264
пусть,54089
пару,54033
достаточно,54022
готов,53925
мир,53866
ночь,53701
могла,53469
либо,53369
собой,53319
отца,53101
посмотри,52686
скажу,52679
смогу,52419
брат,52311
первый,52088
месте,52040
самое,51699
прав,51568
плохо,51380
смерти,51367
ваши,51008
кому,50893
своих,50795
сказали,50765
нашли,50694
рад,50567
сама,50511
пойду,50226
видела,50003
рядом,49942
знаем,49428
детей,49389
одного,49247
никаких,49239
такого,49145
вроде,49089
убил,49010
давно,49007
ка,48927
таким,48811
мое,48792
произошло,48326
помощь,48247
иногда,47947
которую,47939
миссис,47933
увидеть,47735
случае,47577
говорят,47457
нашей,47455
одно,47343
имею,47298
будь,47274
долго,47229
сделала,47015
чёрт,46809
насчет,46729
дверь,46658
говорила,46609
вчера,46521
женщина,46511
правильно,46440
знала,46383
друга,46176
кроме,45912
нужны,45841
делает,45680
важно,45675
работать,45530
дальше,45527
пять,45483
денег,45417
твоего,45340
проблема,45144
номер,45118
какое,45079
вашей,45066
здорово,45020
собираюсь,45017
пойти,44869
вернуться,44864
хороший,44842
проблемы,44749
моих,44689
последний,44479
одну,44447
опять,44294
сердце,44224
глаза,44073
узнать,43705
машину,43539
ночи,43482
тому,43480
те,43464
своим,43294
какого,43249
права,42905
также,42755
стать,42747
одной,42712
ними,42698
моим,42645
сначала,42569
две,42508
дети,42458
работает,42275
сразу,41993
слова,41982
серьезно,41591
уверена,41538
жена,41503
взять,41451
помнишь,41447
придется,41287
стал,41232
думаете,41217
ночью,40900
стой,40820
чувствую,40720
вечером,40651
часть,40610
наша,40505
скорее,40344
наконец,40323
прекрасно,40195
сделали,40143
утром,39951
видели,39937
помню,39934
моему,39570
говори,39522
чувак,39345
капитан,39184
момент,39165
друзья,39120
любовь,39119
большой,39063
идея,39035
Ох,38997
быстрее,38961
сильно,38787
уйти,38697
утро,38669
голову,38634
Здравствуйте,38616
парня,38445
год,38348
дорогая,38346
часов,38330
которого,38226
Ах,38180
столько,37976
вон,37873
боюсь,37732
которой,37721
дней,37571
новый,37499
ой,37463
понятно,37356
дочь,37325
той,37129
девушка,36973
сделаю,36964
смысле,36964
э,36933
чуть,36884
довольно,36809
имеет,36798
работы,36757
шанс,36756
оба,36688
господин,36610
чтоб,36496
дать,36488
бог,36282
пойдем,36216
интересно,36111
понять,36084
самый,36033
умер,36007
вашего,36006
сможешь,35968
пришел,35869
твое,35868
слово,35831
та,35820
прежде,35815
никого,35678
моё,35436
доме,35406
Джон,35405
обо,35373
хорошая,35303
будете,35111
парни,35106
затем,35049
рассказать,35011
увидимся,34957
иначе,34898
нашел,34814
странно,34740
вечер,34636
мире,34557
однажды,34313
ума,34279
наших,34275
лицо,34096
получить,33977
тело,33975
поверить,33910
план,33776
пришли,33737
честь,33702
свое,33588
обычно,33565
Алло,33529
пути,33304
полагаю,33290
посмотреть,33205
другие,33187
хотели,33125
решил,33112
м,33031
обратно,33000
милая,32970
город,32928
нашего,32763
говорите,32699
другом,32383
подумал,32366
час,32242
правду,32236
выглядит,32209
кровь,32185
приятно,32162
поздно,32157
конец,32148
делал,32048
места,31963
телефон,31923
следующий,31908
доброе,31801
пытался,31785
оружие,31625
скажешь,31622
Нью,31581
насколько,31575
безопасности,31560
посмотрим,31551
типа,31480
вперед,31385
дал,31345
нем,31344
хотят,31321
пришла,31306
других,31266
сестра,31196
кстати,31168
внимание,31136
любит,31071
вернулся,31068
четыре,30941
мам,30898
получил,30791
ждать,30659
говорили,30616
которое,30608
вся,30605
работе,30579
сможем,30429
хуже,30403
семья,30351
остаться,30311
единственный,30259
думать,30182
спать,30131
кофе,30079
пришлось,29954
способ,29932
сан,29931
смотреть,29858
смог,29849
таких,29844
вернусь,29720
станет,29711
верю,29621
которых,29589
руку,29566
позже,29546
сами,29538
рада,29532
готовы,29421
идет,29404
некоторые,29297
мальчик,29265
совершенно,29241
осталось,29221
сына,29183
понимаете,29174
дорогой,29151
путь,29072
угодно,29039
неужели,28970
перевод,28970
делаю,28884
полиция,28883
ужасно,28870
часа,28794
большое,28787
машина,28766
подождите,28754
начала,28727
далеко,28706
смерть,28450
честно,28416
внутри,28384
взял,28376
стороны,28298
муж,28217
делаете,28186
скажите,28153
играть,28085
вашу,28060
дайте,27880
вернуть,27765
шоу,27624
сможет,27561
ха,27521
звучит,27508
никому,27468
нашла,27410
спасти,27342
пытаюсь,27341
заткнись,27308
ту,27304
двух,27281
крови,27266
вокруг,27249
смотрите,27240
знали,27221
вдруг,27208
поняла,27202
погоди,27199
идем,27128
сих,27040
ребенка,27031
следует,27016
новости,26920
больно,26907
твоих,26886
добрый,26881
двое,26850
решение,26696
прощения,26659
отношения,26657
мужчина,26652
Джек,26607
ребенок,26606
мере,26552
семьи,26549
слышала,26537
видите,26499
чему,26479
хотим,26437
долларов,26432
дерьмо,26409
второй,26406
собираешься,26356
году,26331
твоим,26224
леди,26156
Сэм,26106
добро,26081
приятель,26017
неделю,25970
женщины,25940
нашу,25902
история,25881
спросить,25809
конце,25806
трудно,25751
машины,25702
вина,25674
забыл,25656
поможет,25653
невозможно,25589
около,25509
использовать,25478
минуту,25427
знают,25426
готова,25406
лучший,25275
матери,25259
свет,25243
нему,25151
постоянно,25151
любишь,25141
пошел,25137
начать,25135
оставить,25095
посмотрите,25070
проблем,25069
рождения,24999
круто,24948
держи,24938
неплохо,24890
б,24762
прекрати,24702
мало,24676
придётся,24659
полностью,24609
каким,24583
полиции,24576
убили,24538
иду,24527
узнал,24524
часто,24486
комнате,24444
имени,24441
серьёзно,24429
шесть,24318
наше,24289
пап,24257
самого,24252
другого,24192
например,24145
никакого,24132
Чарли,24087
Джо,24060
милый,24015
месяцев,24003
легко,23950
президент,23948
случай,23910
помогите,23898
убийство,23888
людям,23868
говоря,23862
господа,23852
девочка,23819
сделаем,23811
другое,23777
школе,23764
послушайте,23748
меньше,23704
ответ,23626
мило,23616
твоё,23540
остановить,23426
друзей,23403
детектив,23382
слушайте,23345
прошлой,23307
образом,23275
поехали,23202
пол,23194
иметь,23191
машине,23165
пожаловать,23157
своими,23110
немедленно,23103
стало,23021
крайней,23002
вместо,22990
насчёт,22955
настолько,22855
недели,22852
агент,22846
маленький,22837
ненавижу,22826
показать,22797
сообщение,22780
обязательно,22771
всей,22755
обещаю,22754
последнее,22751
последние,22701
убийца,22675
детка,22671
своё,22660
любви,22624
думает,22598
человеком,22588
прошло,22555
делай,22449
вопросы,22393
забрать,22388
выглядишь,22359
имеешь,22327
городе,22321
сон,22321
сделай,22311
минутку,22278
идите,22257
большая,22237
истории,22209
понятия,22197
ваших,22188
бывает,22003
умереть,21961
боль,21891
родители,21879
любой,21827
очевидно,21819
тихо,21815
твоему,21771
таком,21760
особенно,21745
выйти,21741
тысяч,21736
мэм,21679
школу,21655
возможность,21634
настоящий,21602
выбор,21588
эм,21565
какую,21545
таки,21523
потерял,21428
забудь,21405
клянусь,21349
стала,21348
купить,21298
дам,21275
всему,21254
моем,21229
делают,21211
спокойной,21209
ноги,21207
волнуйся,21203
встретиться,21102
малыш,20947
секунду,20945
свидания,20893
известно,20842
пришёл,20827
смешно,20802
слышишь,20799
ужин,20792
