word,count
මම,96496
ඔයා,77550
මට,61611
නෑ,49792
ඒක,46946
මේ,41992
අපි,38193
කරන්න,37147
ඔයාට,34733
කියලා,33751
ඒ,31615
මගේ,28468
හරි,27209
එක,27186
එයා,25547
යන්න,21232
මං,19946
නැහැ,19819
ගැන,18765
දැන්,18034
මේක,17699
ඉන්න,17562
ඔව්,17119
වෙන්න,16535
වගේ,15605
එපා,15595
අපිට,14816
එන්න,13609
ඔයාගේ,13602
එක්ක,13263
ඒත්,13207
මොකද,13197
තමයි,13053
ගන්න,12706
නම්,12570
කියන්න,12038
ඇයි,11889
ඕන,11780
දෙයක්,11278
මාව,11039
පුළුවන්,10622
බලන්න,10495
තියෙනවා,10080
ඕනේ,10080
වෙලා,10035
කොහොමද,9988
දෙන්න,9908
කරනවා,9711
කතා,9674
කියල,9652
එහෙම,9533
එකක්,9524
කරන්නේ,9427
වෙනවා,9247
මොකක්ද,9148
ඔහු,9141
අපේ,9065
එයාට,8640
ඔයාගෙ,8589
ඔබ,8470
ඇති,8463
ඔයාව,8334
සර්,8274
බෑ,7915
දන්නවා,7744
ඉන්නේ,7606
මොනවද,7199
කියන්නේ,7159
ගොඩක්,7121
කරලා,6918
කවුද,6854
හොඳයි,6772
හැම,6746
දේ,6727
නේද,6557
තියෙන්නේ,6547
යනවා,6432
ඉන්නවා,6414
ඉතින්,6347
නිසා,6343
ඇය,6327
මෙතන,6260
වෙන,6250
කෙනෙක්,6130
එයාව,6091
පුලුවන්,6078
වැඩ,5865
සහ,5831
ඇත්තටම,5757
තව,5693
කරන,5591
කලින්,5587
අර,5558
සමාවෙන්න,5473
වෙන්නේ,5342
මොකක්,5280
යන්නේ,5271
ගිහින්,5264
නැති,5261
නෙවෙයි,5201
කියන,5168
වලට,5097
යමු,5073
එකට,5071
වල,4990
ආපහු,4908
ඒකට,4904
මගෙ,4902
එහෙනම්,4895
විතරයි,4865
වගේම,4851
හිතන්නේ,4804
දන්නේ,4785
දේවල්,4773
ඔවුන්,4735
ඔය,4725
ටිකක්,4719
මොන,4655
අද,4632
වඩා,4628
වෙනුවෙන්,4561
නැද්ද,4521
තමා,4459
කරන්නෙ,4377
එයාගේ,4354
උඹ,4346
කොහෙද,4310
හොඳ,4306
තියෙන,4296
කිසිම,4290
උදව්,4249
ඕනෙ,4205
ගෙදර,4196
කිව්වා,4187
එනවා,4177
එකේ,4152
විශ්වාස,4149
එයාලා,4132
පස්සේ,4007
නමුත්,3975
ඔබට,3932
මිනිස්සු,3898
පොඩි,3881
කියන්නෙ,3855
කලා,3852
ලොකු,3850
මෙහෙ,3839
වුනා,3839
මොකද්ද,3799
තාත්තා,3753
අහන්න,3745
ඒවා,3736
වෙයි,3696
සල්ලි,3668
ඕනා,3658
එතකොට,3657
කැමති,3644
අය,3633
නැ,3614
