word,count
to,2500940
sa,1828186
je,1791219
si,1465712
som,1423826
a,1393918
na,1122580
že,1102518
čo,955613
nie,840389
v,833352
ako,638479
tak,529372
ale,518945
by,513148
s,486981
mi,432097
tu,421411
o,412078
do,397809
ja,385199
sme,378806
ste,349252
áno,343861
z,324417
len,317959
ma,310431
už,288974
aby,277006
ho,269140
dobre,264411
keď,259801
ty,246759
ak,244637
ti,243186
za,238657
ťa,218481
bol,209454
sú,207878
tam,207471
pre,206235
prečo,202852
niečo,199583
toto,196588
teraz,187813
aj,186549
no,185683
hej,182099
mám,176154
byť,171228
ich,168330
bude,154687
ju,152072
ten,148972
všetko,145169
takže,143952
vás,143744
nič,140930
kde,139972
tom,139898
kto,136891
ešte,133164
po,132869
vám,132264
k,132007
toho,128020
bolo,127670
bola,125630
alebo,122372
má,122289
môj,122021
jeho,120649
jej,119753
máš,119446
myslím,117892
viem,115107
mňa,113741
vieš,113310
poriadku,112322
veľmi,111407
tým,111138
prosím,110981
nikdy,108712
nás,108377
mal,108268
od,106415
ani,106362
potom,105462
možno,104329
so,100807
povedal,99106
mu,96686
chcem,96465
neviem,95195
ďakujem,92108
vy,90404
ísť,89703
naozaj,87773
teba,86876
stále,86770
pretože,84078
viac,83706
chceš,83176
nám,80442
Oh,79853
povedať,78998
on,78919
máme,78844
pred,78138
Ahoj,76838
boli,76735
pane,73645
tie,73155
sem,73011
moja,72828
musím,71969
vo,71849
pán,71228
môžem,69863
dnes,69825
budem,69113
ktorý,68958
niekto,68195
poďme,67403
práve,66738
mali,66150
všetci,65145
pozri,64451
myslíš,63802
či,63206
čas,61973
nemôžem,61851
poď,61684
keby,61495
mať,61110
asi,60919
tiež,59633
ktoré,59613
vždy,59492
moje,59328
veľa,59089
my,58783
ľudia,58207
stalo,57984
tomu,57597
deň,57408
tú,57257
musíme,57194
pri,57096
trochu,57089
máte,57007
mala,56590
iba,56497
rád,55881
tvoj,55700
jeden,55326
tá,54808
bez,54513
otec,54427
tento,54387
bože,54224
chcel,53707
zo,52892
dobrý,52685
mohol,52614
budeš,52292
jasné,52158
robiť,51938
veci,51840
ide,51643
ok,51587
mnou,51509
môže,51020
až,50652
mne,49783
ľudí,49646
presne,49606
život,49540
kým,49475
viete,48944
môžeš,48906
dosť,47872
preto,47834
dobré,47499
späť,47474
však,47327
vážne,47269
tebou,46931
všetky,46644
robíš,45944
musíš,45578
deje,45398
nikto,45091
vedieť,44935
budeme,44711
urobiť,44692
prepáč,44675
teda,44537
vďaka,44176
kvôli,43966
nech,43520
domov,43316
povedala,43152
ona,43076
pravdu,42791
im,42618
lebo,42406
hneď,41868
vec,41456
než,41068
prepáčte,41047
každý,40908
svoje,40687
choď,40686
kedy,40337
myslel,40097
daj,39865
tvoja,39811
rokov,39767
povedz,39722
pár,39453
nechcem,39136
raz,38775
samozrejme,38628
videl,38456
miesto,38407
svoju,38187
nemám,38175
potrebujem,38061
takto,37801
také,37613
chce,37467
preč,36914
noc,36659
musí,36601
ním,36563
mohli,36514
žiadne,36245
počkaj,36119
nejaké,36101
spolu,35899
idem,35861
problém,35835
chcete,35716
kurva,35676
vôbec,35592
vlastne,35332
lepšie,35130
vidieť,35108
tvoje,34940
tebe,34721
kam,34696
môžeme,34570
prišiel,34069
dostať,33865
urobil,33496
peniaze,33192
dlho,33166
vyzerá,33135
ktorá,33009
mama,32942
príliš,32724
sám,32689
hovoriť,32410
nich,32404
niekedy,32191
tej,32121
von,32062
rýchlo,31907
určite,31741
celý,31736
úplne,31684
seba,31121
pod,30844
váš,30813
aký,30765
rada,30745
fajn,30708
ráno,30664
všetkých,30626
taký,30542
môžete,30452
tých,30427
nebude,30377
pomôcť,30367
pravda,30047
večer,30030
majú,30025
cez,30004
aké,29960
deti,29877
koľko,29745
dieťa,29682
niekoho,29606
mojej,29554
Nuž,29374
tejto,29180
môjho,29110
u,29107
čom,29080
znamená,29033
meno,29007
ideme,28969
istý,28846
budú,28800
medzi,28697
neho,28685
tieto,28562
tri,28406
dva,28401
predtým,28391
dať,28293
muž,28182
dievča,28136
pani,27897
svoj,27874
podľa,27830
nejaký,27698
chcela,27493
vaše,27479
nebol,27430
nájsť,27024
veď,27012
žena,26889
budete,26823
mohla,26429
pozrite,26398
ľúto,26157
hore,26029
vidím,25832
zajtra,25779
túto,25755
náš,25732
moju,25637
správne,25615
hovorí,25598
dole,25577
ďalej,25538
super,25521
chvíľu,25509
ktorú,25455
prestaň,25349
dostal,25256
naše,25171
tomto,25141
jedno,25104
dal,24941
vedel,24882
aspoň,24690
táto,24554
vie,24513
oni,24485
prácu,24485
ku,24424
myslíte,24292
nemôžeš,24241
vaša,24221
proste,24140
poviem,24032
človek,23986
nej,23948
pozor,23938
jedna,23925
pohode,23913
robí,23861
pomoc,23804
skôr,23645
dve,23608
mami,23468
ktorí,23276
doktor,23032
radšej,23016
Čože,22710
nechaj,22692
páči,22504
okej,22504
nami,22373
zlé,22324
proti,22269
skoro,22202
jednu,21973
nemá,21971
zabiť,21915
odtiaľto,21897
dúfam,21873
auto,21867
neskôr,21786
nad,21748
nemal,21625
ňou,21570
iné,21479
prvý,21409
počul,21401
hovorím,21330
myslela,21250
vami,21165
hovoril,21116
musíte,21016
svojho,20824
zdá,20681
koho,20493
fakt,20399
milujem,20396
dobrá,20318
hovoríš,20205
dvere,20164
doma,20116
i,20003
znova,20003
minút,19968
zlatko,19929
riti,19923
skvelé,19665
počúvaj,19350
našiel,19271
vidíš,19257
mŕtvy,19255
sebe,19195
pekla,19131
zabil,19111
nemôže,19091
času,19091
veľký,19084
nebolo,19008
musieť,18933
ideš,18713
nebudem,18682
prišli,18625
dvaja,18620
okolo,18597
chlap,18567
príde,18428
svet,18377
tohto,18365
matka,18343
buď,18292
nemáš,18285
sama,18262
videla,18223
uvidíme,18182
vrátiť,18170
Och,18166
Haló,18134
tvoju,18116
dom,18055
číslo,17980
uh,17952
jedného,17945
taká,17922
práca,17916
slečna,17816
našli,17807
spraviť,17738
celé,17733
potrebujeme,17694
čokoľvek,17595
otca,17580
cítim,17515
musel,17498
koniec,17488
pokiaľ,17474
zbraň,17443
noci,17412
celkom,17351
moc,17349
svete,17289
života,17262
skutočne,17231
nápad,17218
nemyslím,17104
dám,17054
tí,16996
pekne,16992
svojej,16960
odísť,16955
dnu,16933
malý,16924
vonku,16921
zlato,16771
predsa,16763
stane,16752
ruky,16730
volá,16718
nebola,16703
prišla,16592
žiadny,16568
počkať,16523
nechať,16460
poďte,16440
páni,16412
včera,16401
dajte,16384
ňu,16379
rok,16376
sebou,16268
práce,16233
vtedy,16223
inak,16174
možné,16163
co,16160
najlepšie,16153
chlapec,16132
problémy,16128
dôvod,16021
prísť,16000
ceste,15979
ťažké,15970
zatiaľ,15897
dobrú,15874
celú,15707
žiť,15694
nemáme,15688
čím,15665
prípade,15647
znovu,15627
roky,15621
nemôžeme,15614
