word,count
je,10547027
ne,6175996
da,5370619
se,5166767
v,4098460
sem,3823123
to,3696499
in,3589450
si,3126484
kaj,2984020
na,2610384
bi,2522853
za,2176462
ti,1944326
pa,1817708
mi,1711957
ni,1673619
bo,1571652
z,1545772
lahko,1517669
so,1491319
ga,1487897
če,1350062
me,1324621
bom,1322569
te,1222728
še,1208920
kot,1100353
ja,1089939
s,1052046
jaz,1051521
tako,1044244
kako,1012405
ki,935627
vse,893831
samo,847920
ko,843400
ali,841679
o,823271
že,775999
bil,773671
od,739939
vem,726364
jo,718437
kar,715248
boš,712633
zakaj,707926
ste,693081
dobro,683080
nisem,663097
nekaj,643323
redu,636323
tukaj,635867
jih,627249
tudi,621671
smo,612949
prav,597407
res,578907
po,558243
hvala,549918
zdaj,544049
tega,539204
bilo,536808
iz,529831
naj,524392
kdo,523717
ampak,521872
ker,509220
bila,501775
ta,494959
več,494179
tem,446919
kje,443777
imam,442810
tu,442560
veš,436433
moj,423797
do,421465
bomo,420941
mislim,410305
vedno,407292
nič,404063
mu,403434
vas,403405
saj,395436
prosim,392680
a,391855
zelo,387148
potem,371754
sva,368715
vam,367184
pri,360229
rekel,358412
daj,351270
tam,339829
no,338928
imaš,336913
ima,325158
sta,318492
bodo,318155
gospod,315252
zato,310141
nikoli,309825
moram,305745
vsi,296901
nas,293472
malo,290376
le,289454
toda,289259
mogoče,283703
rad,281442
biti,280067
pred,278996
nisi,278497
veliko,277779
torej,273500
moja,271021
Hej,267671
zaradi,262517
morem,261313
seveda,257294
nazaj,254022
misliš,253698
on,248894
brez,248707
gre,248638
pridi,242933
gremo,242317
dan,230226
g.,223998
imel,221687
videl,220233
oče,216355
čas,216117
nam,215194
bova,213125
moje,212113
tvoj,210941
boste,210136
žal,208164
ji,205898
k,205672
lepo,202927
poglej,202053
takoj,198491
moral,198127
všeč,197908
morda,197544
kdaj,196977
moraš,196550
vendar,194944
bog,194860
pojdi,194035
prišel,193347
zgodilo,190076
mene,189274
vi,187655
sedaj,186641
grem,185534
ob,185266
Oh,185044
dovolj,183322
ven,179761
sam,179213
stvari,177625
pravi,175504
ime,175326
svoje,173883
imamo,171291
mama,171249
tebe,170670
meni,170130
oprosti,170098
življenje,163941
časa,163563
povedal,163260
hotel,162896
kajne,162509
sploh,161775
let,161698
tvoja,160930
jim,160287
moramo,159362
danes,158151
človek,157774
bolj,157357
dober,156524
hočem,155796
povej,155189
mislil,154846
videti,153719
med,153374
bili,149655
ljudi,149151
naredil,147967
ljudje,147152
nihče,146903
