word,count
të,1048994
e,706151
në,350913
do,312573
nuk,310599
është,296330
më,282153
i,281915
po,258057
që,257090
një,245552
dhe,242773
për,238088
me,219725
se,172586
ta,142130
unë,136468
ti,132127
jo,129159
ka,117267
te,116658
mirë,114666
çfarë,110046
mund,104581
nga,104495
si,100700
duhet,100199
ne,94262
kjo,92840
këtë,88521
ju,87523
por,85943
kam,85110
shumë,84838
ai,84604
këtu,76716
di,75516
je,74856
jam,74381
ke,66770
atë,66074
mos,62830
tani,62703
ishte,59176
ajo,58171
u,57456
a,53811
vetëm,51617
nëse,51348
ku,50756
kur,45288
janë,44336
edhe,42462
dua,42198
mua,41907
ata,40846
rregull,39443
na,38927
gjithë,38358
sa,38014
ty,37524
pse,35855
kemi,35021
duke,34967
apo,30787
gjë,30332
tij,30312
eshte,30157
ky,29943
jemi,28984
diçka,28694
Oh,28647
parë,28088
kush,27840
pak,27725
im,27724
bëj,27491
qe,27021
keq,26618
faleminderit,25931
jetë,25887
lutem,25537
t'i,25201
nje,25116
tjetër,24890
para,24462
bërë,24356
per,24012
dy,23847
vjen,23690
kështu,23167
së,22993
mendoj,22842
atje,22808
pra,22538
tek,22505
Hej,22301
kanë,22101
jeni,21979
sepse,21874
them,21491
keni,21279
time,20860
pa,20783
bën,20721
ime,20031
ja,19800
vërtetë,19379
duket,19023
asgjë,18620
eja,18452
ndonjë,18361
shkojmë,18306
zotëri,18139
gjitha,18134
pas,17744
shiko,17619
bukur,17286
kohë,17233
ndoshta,17141
çdo,17038
disa,17007
tim,16886
këto,16831
ashtu,16126
tënde,16065
kurrë,15947
njeri,15858
qenë,15581
ma,15173
atëherë,15152
dreqin,15096
prit,14859
ose,14674
ato,14556
mendon,14475
kishte,14448
zot,14353
tyre,14120
marrë,13925
aty,13917
tuaj,13817
kaq,13403
jashtë,13367
thotë,13366
deri,13207
shkoj,12955
hajde,12947
prej,12897
saj,12818
shtëpi,12613
gati,12602
isha,12495
gjithçka,12465
vdekur,12434
une,12384
bëjmë,12321
yt,12319
ditë,12268
aq,12209
sikur,12068
jote,12067
as,11975
punë,11943
brenda,11869
shoh,11787
fundit,11785
tha,11723
akoma,11660
vend,11659
çka,11565
tënd,11541
shko,11456
le,11439
thjesht,11374
pastaj,11182
vërtet,11139
herë,11107
bësh,11043
kisha,10845
dikush,10778
fal,10687
njerëz,10599
zoti,10585
asnjë,10535
s'ka,10527
mire,10508
shpejt,10474
dreq,10365
t'ju,10347
sigurisht,10285
poshtë,10250
njerëzit,10220
sot,10134
juaj,10090
nevojë,10059
Epo,9974
ndodh,9906
drejtë,9874
dashur,9855
jep,9759
pëlqen,9617
cfare,9585
besoj,9534
madh,9504
z.,9500
kete,9479
tonë,9354
marr,9303
gjithmonë,9285
mjaft,9267
përse,9256
fund,9120
the,9033
madhe,9003
sigurt,8931
thënë,8928
doja,8900
mi,8876
thuaj,8865
jesh,8830
vogël,8783
gjëra,8749
tre,8730
gjatë,8635
babi,8633
veten,8604
thashë,8602
o,8563
shkon,8499
përsëri,8380
ketu,8180
babai,8098
merr,8076
shume,8059
mbi,8023
thua,7962
djema,7953
tu,7880
s'do,7792
ende,7782
shoku,7704
askush,7657
sapo,7590
ketë,7585
vonë,7567
falni,7556
dëgjo,7543
bëjë,7524
jetën,7506
bëhet,7491
ndodhi,7485
ardhur,7458
ishe,7413
s'mund,7366
kujdes,7365
ia,7284
ishin,7214
zemër,7173
mia,7117
dëshiron,7043
thuash,7009
jem,7006
jepi,6975
kuptoj,6932
problem,6892
dini,6861
re,6856
koha,6837
pasur,6722
bëni,6661
ate,6600
fëmijë,6599
cili,6572
ok,6553
s'është,6522
mënyrë,6458
ri,6401
vetë,6239
tua,6238
kësaj,6217
ndonjëherë,6215
flas,6193
vajza,6177
gjërat,6127
s'e,6115
larg,6104
minuta,5957
rreth,5917
sonte,5908
Përshëndetje,5882
fare,5878
mundem,5836
ikim,5822
këta,5819
mami,5796
doni,5787
vjet,5763
gjej,5683
fat,5682
kaluar,5630
ca,5611
mend,5526
vetem,5516
flet,5516
paratë,5511
kupton,5509
siç,5398
gjallë,5391
duhej,5352
djalë,5342
ndodhur,5298
puna,5277
jap,5264
mendova,5262
djali,5249
gjetur,5215
kishe,5210
nesër,5198
orë,5197
dot,5179
lart,5141
humbur,5140
rri,5138
dija,5121
duart,5108
bëjnë,5002
shikon,4982
vështirë,4952
vajzë,4920
shikoni,4880
merre,4878
dakord,4871
emrin,4850
atij,4850
vrarë,4845
pjesë,4842
flasim,4839
ndihmë,4831
kesh,4803
nese,4803
përpara,4792
shkuar,4760
lidhje,4756
frikë,4753
natën,4750
baba,4741
t'ia,4715
tillë,4707
gjithashtu,4700
sigurtë,4698
jane,4697
mori,4696
mes,4688
bëje,4682
menjëherë,4681
dëgjuar,4667
tona,4645
ik,4642
njeriu,4635
bashkë,4632
dikë,4622
shkosh,4615
tregoj,4606
keqe,4588
Eshtë,4579
lëviz,4569
bëra,4556
bëre,4555
mbrapa,4549
erdhi,4532
shkoni,4514
bëri,4484
menduar,4456
mundësi,4405
tërë,4405
fjalë,4393
shohim,4383
ndihmoj,4382
t'u,4371
pashë,4346
asaj,4345
makinë,4342
cila,4342
pyetje,4341
çmendur,4308
afër,4296
punën,4279
kthehem,4264
vij,4252
lumtur,4243
fakt,4243
vete,4235
drejt,4231
kujtohet,4224
fëmijët,4223
ide,4214
fortë,4214
nën,4209
vendin,4198
tjera,4194
kërkon,4194
vjetër,4185
kërkoj,4178
ç'kemi,4155
burrë,4154
mbaj,4149
rrugë,4147
lë,4145
sytë,4140
ndalo,4123
mira,4112
shihemi,4105
derisa,4104
dreqi,4092
njëri,4088
marrim,4079
gjithe,4072
vras,4056
shpresoj,4056
njoh,4021
meje,4001
lehtë,3982
prandaj,3976
mundur,3972
mendoja,3962
armë,3961
shikoj,3958
jonë,3937
vesh,3927
tuaja,3917
mbase,3908
qetësohu,3906
pesë,3898
sheh,3896
mban,3867
kthehu,3846
zonja,3845
bir,3843
grua,3831
gruaja,3830
duan,3830
sy,3793
hë,3787
prapa,3786
emri,3782
thonë,3777
tepër,3771
pasi,3765
vdes,3757
këtej,3754
gabim,3748
ndodhë,3737
ejani,3727
shtëpinë,3720
dukesh,3709
shpejtë,3685
cfarë,3683
mik,3674
vëlla,3667
mëngjes,3665
ben,3639
plako,3637
dollarë,3635
vijë,3625
din,3621
vite,3615
prisni,3612
vijnë,3610
lartë,3610
kundër,3603
qetë,3586
merrni,3579
dorë,3577
dicka,3575
jenë,3572
mundesh,3568
marrësh,3536
lirë,3504
bëja,3503
jeta,3495
gje,3482
botë,3477
dimë,3453
atyre,3449
njeh,3441
thjeshtë,3437
ulu,3424
vazhdo,3423
Ej,3420
ynë,3417
zotit,3415
pari,3410
lënë,3405
thoni,3405
teje,3403
tung,3397
kapiten,3390
gjejmë,3387
punon,3382
shkojë,3372
ha,3353
katër,3353
ishim,3349
vendi,3345
shikoje,3343
muaj,3341
rëndësi,3335
shpirt,3330
mendoni,3322
lloj,3320
rrugën,3295
qytet,3295
djalosh,3290
vish,3285
kuptova,3282
dhënë,3276
lër,3268
qoftë,3265
duhen,3247
arsye,3224
s'kam,3221
trego,3218
mallkuar,3217
javë,3201
pres,3193
folur,3189
ujë,3179
dashuri,3164
shtëpia,3161
donte,3161
qënë,3158
kokën,3155
tjerët,3154
tashmë,3143
mbaje,3134
bë,3124
makina,3119
kem,3112
lëre,3094
l,3091
dr,3088
ana,3086
ç'do,3075
largohu,3072
Ah,3063
dalë,3027
zgjuar,3023
kohe,3012
diku,3010
duam,3000
ndryshe,2981
saktë,2968
cilën,2959
vdiq,2956
intereson,2950
dëgjoj,2949
kërkuar,2947
seriozisht,2946
ditën,2944
nëna,2943
it,2931
gjeta,2927
idiot,2926
ec,2923
mbylle,2921
dakort,2916
problemi,2908
kthehet,2907
dëgjoni,2907
dëgjon,2900
nëpër,2899
bënë,2898
bej,2890
bashku,2870
moment,2870
dil,2868
doktor,2860
nesh,2856
gjëja,2848
kë,2845
mora,2828
zonjë,2825
qëndro,2822
jete,2816
tanë,2809
njohur,2808
dal,2807
kthyer,2783
fjalën,2781
Alo,2774
kishin,2754
pare,2753
miku,2753
natë,2750
qartë,2736
vë,2726
derën,2724
dytë,2721
hapur,2717
minutë,2695
mirupafshim,2694
kohën,2688
çuditshme,2681
gabuar,2681
jetës,2673
dish,2671
burg,2665
shohësh,2663
pyes,2662
njerëzve,2660
kishim,2659
budalla,2657
vajzën,2653
tjerë,2651
makinën,2651
rëndësishme,2650
sime,2643
hape,2639
djalin,2635
bere,2634
tjeter,2631
iki,2626
pret,2624
policia,2612
erdha,2604
uh,2594
shkoi,2593
vetmja,2592
dalim,2580
botën,2580
ë,2580
vënë,2580
sjell,2579
mamaja,2575
shaka,2560
hap,2560
more,2559
emër,2557
dinë,2555
tokë,2552
mu,2546
la,2538
ndaj,2535
beson,2532
juve,2530
shkak,2526
rruga,2523
bënte,2517
këtij,2502
forca,2501
siguri,2495
sërish,2484
in,2480
s'më,2474
quhet,2473
mrekullueshme,2473
dhomën,2471
luftë,2468
cilin,2465
telefon,2462
patjetër,2460
ç'është,2456
erdhe,2450
fillim,2449
kthehemi,2444
duhur,2444
ora,2442
gjashtë,2435
fol,2423
gruan,2421
ndal,2419
Xhek,2417
histori,2416
prapë,2413
familjen,2412
Xhon,2406
dorën,2406
shef,2405
shkojnë,2402
neve,2397
ra,2393
zotërinj,2391
gjak,2389
del,2389
pikërisht,2388
lëvizni,2387
tamam,2384
t,2383
ditur,2375
kalon,2371
dita,2363
doje,2358
mësuar,2354
punuar,2349
keshtu,2349
bota,2349
mbetur,2339
paktën,2333
përveç,2327
njëherë,2319
lojë,2311
mbaruar,2310
to,2305
zënë,2303
treguar,2301
ndërsa,2301
gëzuar,2296
burri,2292
shpejti,2287
gjithëve,2287
sipas,2287
dije,2284
filluar,2278
babait,2277
kane,2275
gjesh,2274
mbyllur,2269
familja,2268
probleme,2264
cdo,2256
pastër,2255
rrugës,2254
dha,2254
armën,2251
vetme,2244
kokë,2243
bëhesh,2237
dhomë,2237
natyrisht,2235
pije,2235
bie,2232
gjeni,2231
zjarr,2230
tipi,2229
nder,2228
shum,2217
vit,2211
vëllai,2209
dëgjova,2198
familje,2197
këmbë,2184
vërtetën,2184
betohem,2180
pjesën,2175
vendosur,2174
pune,2165
mbreti,2159
punoj,2155
jeton,2147
ndihmo,2142
tjetrin,2140
duash,2139
ndonje,2138
çfarëdo,2126
gëzohem,2126
rast,2125
milion,2120
ikur,2113
vdekje,2113
marrin,2109
mendjen,2107
gojën,2099
shkollë,2098
polic,2081
anije,2079
kujt,2074
ç'po,2071
sjellë,2066
asgje,2063
vendos,2062
nënë,2057
presim,2053
erë,2052
gjithnjë,2050
vetmi,2037
premtoj,2034
vet,2028
falemnderit,2022
tash,2020
armët,2019
vrasin,2018
njëjtën,2018
ngadalë,2013
ore,2010
keto,2009
rrezik,2009
mundet,2006
mbaroi,2004
mëdha,2002
vrau,2001
here,2000
znj,1995
bardhë,1995
ndihem,1995
rritur,1994
herën,1993
don,1992
shkojme,1991
botës,1977
pranë,1974
pe,1971
idenë,1968
pi,1966
ndihmojë,1961
vjeç,1959
pjesa,1954
sekonda,1949
cilat,1947
s'ke,1946
fantastike,1940
anën,1940
kohës,1935
frymë,1934
mrekulli,1931
qenka,1927
babain,1924
shqetëso,1923
pothuajse,1920
mama,1918
bast,1918
jepni,1911
pritur,1896
urrej,1892
prindërit,1891
herët,1889
mendja,1888
kthehesh,1887
vajzat,1887
qesharake,1881
zoteri,1879
lini,1875
asnjëherë,1874
vini,1866
faji,1865
pëlqejnë,1860
mënyra,1851
Jack,1845
besim,1844
thoja,1842
prek,1839
lejo,1839
dhoma,1837
plan,1836
përdor,1830
takuar,1829
kudo,1829
fillojmë,1828
imja,1825
thash,1824
mundemi,1823
doli,1822
tregon,1822
ndihesh,1821
fillon,1816
ç'farë,1815
you,1814
n,1811
luaj,1809
takim,1808
fundi,1808
lidhur,1805
ki,1801
ushqim,1793
djemtë,1793
thuaji,1793
vërteta,1788
tmerrshme,1785
themi,1783
qyteti,1780
person,1779
dje,1776
reja,1774
madje,1770
sesa,1769
Përktheu,1767
ç'të,1765
qepe,1753
quajnë,1750
cilët,1747
dite,1745
iu,1742
tallesh,1738
lodhur,1737
mendo,1733
orën,1732
tende,1731
numër,1728
zemra,1724
mut,1723
plot,1721
qen,1721
beso,1716
veçantë,1715
fshehur,1711
kape,1711
ftohtë,1708
shihni,1707
jush,1704
ulur,1702
veshur,1702
t'ja,1700
mbani,1695
plotë,1690
dalësh,1688
's,1686
qejf,1685
thoshte,1683
gjithsesi,1682
vrapo,1682
shok,1681
dëshironi,1681
s'jam,1678
fjala,1676
vrasësh,1676
vertete,1674
mbajtur,1671
kafe,1663
ndryshuar,1661
vitin,1660
ndodhet,1659
meqë,1659
telashe,1657
mijë,1655
mbrëmë,1654
jetoj,1649
miq,1639
dhjetë,1637
kuptim,1637
biri,1635
kuptove,1634
hera,1634
shokë,1634
dikur,1634
ndihmosh,1633
pikë,1632
spital,1631
këmbët,1626
bëhem,1625
shikosh,1624
dinte,1623
dilni,1623
dërguar,1622
t'a,1622
urime,1621
martuar,1617
Nju,1614
kap,1613
djall,1613
vetes,1610
japësh,1609
mesazh,1607
motra,1607
zgjidhje,1606
burra,1606
takohemi,1604
parasysh,1601
shpëtuar,1600
ndihmoni,1599
urdhëro,1599
shtatë,1595
un,1594
seksi,1594
fort,1594
lejoni,1591
heq,1590
ndjek,1588
përmes,1586
trap,1586
lindur,1583
miqtë,1576
pirë,1575
qytetit,1574
vazhdon,1573
flasësh,1571
shkruar,1570
gjendje,1568
ndaloni,1566
nxjerr,1563
kaloj,1563
zë,1562
kapur,1561
mbash,1561
përgjithmonë,1559
qëndroni,1559
ngrënë,1558
sëmurë,1556
këtyre,1553
vrasë,1553
vjedhur,1551
numri,1547
rënë,1540
futur,1539
vdekjes,1537
tregosh,1537
bukura,1537
arritur,1535
vrasës,1535
fituar,1535
fytyrë,1533
gjaku,1531
darkë,1531
seks,1531
pamundur,1530
familjes,1526
thellë,1521
pranoj,1519
marrëveshje,1519
qytetin,1517
vdesin,1516
shokët,1514
kuptoni,1514
brënda,1513
Krisht,1508
paguaj,1508
arsyeja,1506
thanë,1503
fytyrën,1503
pirdhu,1502
ndihmuar,1500
harruar,1500
kënaqësi,1495
filloi,1492
vazhdoni,1491
plani,1484
sipër,1481
asnje,1480
trupin,1477
zemrën,1477
goxha,1476
gjete,1472
thyer,1469
diqka,1469
tutje,1468
John,1462
mjafton,1462
Tom,1460
ekziston,1458
pëlqente,1457
zotin,1457
vije,1457
takoj,1453
shenjë,1453
shefi,1451
çkemi,1445
kuptuar,1444
nxito,1443
shkëlqyeshëm,1442
kot,1441
vazhdojmë,1439
dëgjove,1438
andej,1438
telefonin,1437
çështje,1431
rrezikshme,1428
at,1428
japim,1427
vrasje,1424
dera,1423
mendje,1423
s'po,1420
iku,1419
ndryshme,1419
beje,1418
thërras,1418
jot,1417
kuqe,1416
çmenduri,1416
vdesësh,1415
kenë,1415
ndjej,1414
pushim,1412
mbrojtur,1408
funksionon,1407
qene,1404
gjithcka,1404
sidoqoftë,1403
shohin,1402
s'të,1402
sekondë,1400
anë,1399
falje,1399
shkëlqyer,1398
djem,1396
vlen,1391
qëndron,1388
jashte,1386
lëvizje,1384
kan,1384
vertet,1380
merrem,1379
duken,1378
Jezus,1378
bejme,1377
kujdesem,1377
mbushur,1376
ëmbël,1375
aspak,1374
njeriun,1374
vret,1374
shqetësuar,1372
krejt,1371
lëmë,1370
gjeje,1369
nevojitet,1369
FBI,1369
kapa,1369
pyet,1367
pabesueshme,1364
tip,1361
ishit,1361
filloj,1361
përdorur,1361
dërgoj,1356
atehere,1354
përpiqem,1351
tilla,1351
punës,1348
huh,1347
mungon,1346
momentin,1345
ndaluar,1344
lësh,1343
mendojnë,1342
gjumë,1341
disi,1339
shtepi,1339
