word,count
da,34361507
je,29941051
ne,15011016
se,14867230
i,13286920
u,12995051
to,11032096
sam,10469001
na,7352450
ti,7142299
mi,6291959
si,6238959
za,6080414
li,5630367
šta,5294991
što,5074694
ja,4880042
sa,4320889
su,4278264
ali,4226531
nije,3868331
ovo,3466553
me,3379184
te,3369609
samo,3348611
ga,3260488
od,3248056
a,3228385
bi,3101136
kako,2977464
dobro,2741367
o,2734252
ako,2669006
sve,2606275
smo,2581298
kao,2521685
æe,2425505
tako,2295685
znam,2181981
nisam,2047576
mogu,2022641
ovde,1989109
ste,1951693
bio,1897092
pa,1891615
zašto,1810155
još,1805781
on,1786017
nešto,1780020
redu,1737812
s,1720110
bilo,1688134
biti,1624428
koji,1610693
vas,1550956
æu,1523464
kad,1471159
hvala,1458712
mislim,1440815
iz,1437273
да,1430061
ima,1402113
znaš,1400403
ih,1368489
ili,1352792
sada,1321187
možda,1302352
više,1299938
gde,1270387
vam,1265246
do,1255998
onda,1254780
moj,1241926
zar,1237542
treba,1231954
bih,1221113
mu,1186652
rekao,1184558
kada,1181605
nas,1174795
је,1157038
nema,1150968
ništa,1139041
malo,1137525
ko,1120917
mene,1116526
bila,1103233
hajde,1077838
ona,1051911
tebe,1047041
molim,1033499
tamo,1015249
sad,1014723
ni,1009669
možeš,987210
imam,970470
može,965379
nam,957584
vi,924573
zbog,923683
želim,923207
tu,907187
Hej,897136
nisi,867799
jesi,861060
svi,847753
stvarno,839369
po,831972
ljudi,824645
zato,810154
baš,806587
jer,800264
moram,797299
koliko,793557
idemo,783727
misliš,773661
æemo,772552
jedan,761503
veæ,743325
æeš,732357
stvari,730655
pre,728719
moja,717856
nego,707121
neæe,705376
dok,690648
koje,689102
uvek,688849
bez,684687
Oh,673104
gospodine,665710
imaš,657072
ono,648335
naravno,642376
toga,640949
možemo,634795
ovaj,632073
neko,620795
taj,614257
oni,613638
tvoj,612806
vreme,604952
mnogo,603625
dana,598052
joj,597590
moje,590234
Zdravo,586310
koja,584190
не,580156
hoæeš,579119
reæi,578984
kod,577028
žao,572924
imamo,571935
znaèi,570929
tome,569159
posao,568378
nikad,564530
се,559835
vidim,556913
moramo,554267
bolje,551872
godina,550868
nemoj,550757
put,550303
mogao,543255
mora,543036
neæu,539119
radi,538426
bože,535688
želiš,535324
dan,531521
jeste,531113
izgleda,530661
radiš,530146
bude,523023
ovdje,522893
rekla,521925
ok,520292
и,518783
у,517498
daj,516257
kažem,514258
moraš,508930
meni,502470
idem,499158
bili,497914
mama,483532
dobar,482351
reci,474488
im,472901
vidi,470141
tata,465040
volim,464495
život,462837
dva,462509
kuæi,458252
g.,456960
svoje,453864
mislio,451055
trebalo,450801
njega,450366
stvar,449830
evo,442787
vremena,442420
nisu,440631
nikada,439955
imao,430159
то,423686
odmah,420122
danas,419608
znate,415345
neka,411697
zna,411119
tvoja,410641
video,402624
ime,397217
tri,395671
сам,395398
možete,393761
hoæu,391628
toliko,391161
kaže,388414
tobom,386156
neki,383918
tim,383323
èemu,377787
èak,371909
koju,371625
niko,365863
tvoje,365570
veoma,365552
upravo,358912
idi,356905
oko,355474
svoju,354563
vidiš,351039
mnom,350775
svoj,348648
ide,348038
jesam,347588
èovek,346974
god,345404
žena,344428
gdje,341587
opet,340259
nismo,339313
jednom,338831
ove,338272
sranje,337861
postoji,337416
radim,336987
vidimo,334498
èekaj,333668
sigurno,332490
tebi,330905
otac,329453
kažeš,329288
znao,327041
nemam,326963
ta,326261
puno,323244
puta,319552
pravu,316636
želi,315611
dovoljno,314389
odavde,314121
lepo,312587
dušo,310326
prvi,308686
jako,306818
godine,305630
izvini,303606
ovamo,302500
novac,302235
sutra,302209
njih,300927
koga,299913
sebe,299459
dalje,299156
drugi,298365
slušaj,298294
mesto,295790
došao,295608
dosta,295068
zajedno,294585
imate,291529
ova,290071
prema,289339
problem,287876
vrlo,286468
vrata,284516
drago,284115
uradio,283383
pogledaj,281873
на,280311
ponovo,279720
jedna,279551
neæeš,276722
naèin,275659
kroz,275314
tko,274381
brzo,273627
pomoæi,272748
desilo,272395
budem,271655
ma,270895
siguran,269957
doði,268896
dobra,267571
ти,266059
moju,265627
шта,262765
hteo,262480
njim,262273
verujem,260775
pod,259561
zaista,259193
ovog,258306
gore,257848
posle,255183
neke,254923
par,254844
mogla,253496
trebao,253356
dugo,252728
naš,252687
noæ,252268
previše,250309
nekoliko,250161
mog,249940
veèeras,248947
jednu,248225
vaš,247871
mali,247225
loše,246269
minuta,245353
ovu,245340
momci,244849
èuo,244493
ми,244138
izvinite,242918
ovako,242768
svaki,242353
nama,242158
unutra,241920
æete,241652
protiv,241405
pravo,239752
isto,238954
biæe,238515
jedno,235332
mogli,233786
prvo,233524
за,233517
vama,233253
mislila,233252
nadam,233130
teško,232124
super,231370
си,230326
èoveèe,229952
ubio,228778
ли,227542
kasnije,227016
ovom,226652
dešava,226606
pravi,226283
prije,226136
nakon,225863
jednog,225672
pomoæ,225048
znamo,222794
niste,221619
jel,221370
vaše,221032
l,220732
ideš,220714
osim,220644
pusti,218474
sta,215917
ljude,215275
sto,214853
tom,214398
preko,214200
dr,213609
veliki,212388
majka,212131
sviða,211856
naše,211812
imaju,211414
dole,210927
dve,210425
hoæe,209863
budi,209680
dogodilo,209436
budeš,209111
æao,207802
želite,207484
mislite,207155
kuæe,206877
taèno,206637
naæi,206330
doæi,206056
one,205773
istina,204983
imala,204960
mrtav,204016
verovatno,202935
kakav,202289
njegov,201929
misli,201439
ја,201046
dolazi,200972
Dakle,200796
razumem,199124
ruke,198635
zove,198189
èini,197765
broj,197304
onaj,197112
radio,197021
auto,196362
deo,194657
uvijek,193160
uz,191242
iæi,191055
dete,190820
imali,190804
pet,190679
tog,190370
rekli,189908
vrati,189538
stani,188569
života,188386
nju,187528
sebi,186037
vezi,185906
imati,184991
prièa,183428
otišao,182206
dao,181324
nekog,180653
ovim,180439
svog,180232
nazad,180057
prijatelj,179643
са,179032
tip,178700
iza,178526
veze,176860
vaša,176506
bismo,176335
ipak,175161
drugo,174660
bar,174241
zapravo,174185
vidite,174075
novi,173812
prestani,173197
су,172954
sin,172699
tvoju,171657
vrijeme,171123
svojim,170926
posla,170652
videla,170629
dolara,169911
uzmi,169478
drži,169260
govori,168682
vratiti,166892
odlièno,166860
njima,166252
skoro,165614
dobio,165544
pitanje,165246
ce,165018
srce,164833
došli,163605
radimo,162861
mom,162089
žene,161991
morate,161269
znala,160292
pitam,160169
али,159872
ovoga,159816
njemu,159791
voli,159270
važno,159043
voleo,158975
sama,158814
spreman,158152
èega,157278
jutro,157142
oca,157029
jednostavno,156740
gotovo,156686
uskoro,156331
moæi,156133
nekoga,155690
bog,155407
takoðe,154923
trenutak,154826
problema,154600
najbolje,154414
briga,154292
strane,154270
ubiti,154096
njom,153195
brini,153147
nemaš,153005
e,151781
otiæi,151474
želeo,151160
prièaš,150907
sati,150639
njegova,150489
potpuno,150458
sjajno,150457
našao,150275
tada,149675
pazi,149173
што,149049
jedini,148910
uopšte,148735
èoveka,148115
naša,147934
ranije,147067
sigurna,146931
glavu,146451
kuæu,146138
tek,146076
uh,145925
oseæam,145862
Halo,145558
није,145183
životu,144882
svet,144844
kakva,144575
uradim,144382
lako,144228
znati,144101
oèi,143948
grad,143882
ženu,143868
stalno,143817
dobiti,143780
trebali,143609
ju,143372
ponekad,143293
neæemo,143017
morao,142861
valjda,142744
noæi,142519
poput,142377
pola,141496
dogaða,141319
videti,140928
polako,140748
devojka,140473
ljubav,140422
došla,140376
sat,140121
mala,139543
tvog,139257
ideja,139136
kola,138835
gledaj,138631
živi,138453
pred,138378
prijatelji,138132
kraj,138087
ikada,137933
èudno,137902
htela,137667
ozbiljno,137667
izmeðu,137463
oprosti,137322
brod,137258
hoæete,137133
svih,136860
kažu,136396
brat,135966
pretpostavljam,135938
radite,135707
najbolji,135692
druge,135418
pored,135371
rade,135100
nemamo,135086
trebala,134991
ruku,134871
stari,134716
van,134709
prava,134683
velika,134609
jasno,134401
ovoj,134211
èujem,134165
svetu,134144
ово,134141
zvuèi,134140
voliš,134130
blizu,132461
га,131550
mojoj,131486
odakle,131120
draga,131112
ljudima,130638
uradi,129579
sata,129567
gospodo,129402
biste,129127
negde,129047
vratio,128846
само,128759
oružje,128687
а,128293
smrt,128174
èetiri,128090
од,127954
moji,127740
sluèaj,127524
sluèaju,127443
plan,127428
znaju,127363
ме,127254
izgledaš,126724
g,126163
oprostite,125924
kraju,125640
osoba,125413
те,125338
uèiniti,124913
lice,124895
vodi,124609
no,124560
dvoje,124470
svega,123827
nedelje,123825
ceo,123340
laku,123164
dati,122482
sina,122030
moguæe,121684
svom,121260
prilièno,120137
pištolj,120068
pojma,119862
smrti,119691
šanse,119521
manje,119506
gospoðo,119358
videli,118546
raditi,118474
deèko,118134
žele,117910
ha,117422
neku,117050
reè,116927
policija,116790
momak,116719
daleko,116550
ostati,116530
vidjeti,115715
vidio,115498
sobu,115290
netko,114953
би,114703
napolje,114407
nje,114225
važi,114086
doðavola,113723
napravio,113342
svima,113057
novca,112904
izgubio,112814
mojim,112764
našli,112471
pitanja,112365
како,112322
potrebno,111967
drugog,111823
šest,111605
sinoæ,111140
Isuse,111064
razlog,111035
seæaš,110986
pomognem,110828
ostani,110785
kapetane,110661
ispod,110377
èula,110227
rat,110053
nemojte,109761
о,109725
doðe,109288
mesta,109279
dajte,109131
istinu,109030
добро,108611
divno,108173
spremni,108161
kome,108148
zovem,108034
vode,108014
sobi,107810
èim,107365
san,107113
Aha,107083
prijatelja,107005
dragi,106965
prièam,106817
tražim,106684
govoriš,106622
bile,106531
jedino,106073
nekako,105946
njen,105908
jesu,105772
uraditi,105400
krv,105233
pošto,104968
umro,104597
uradila,104411
govorim,104231
njegove,104010
sine,103767
trebam,103634
zaboravi,103279
ovi,103262
ikad,103247
смо,103197
ако,103116
uradiš,102998
piæe,102878
ovome,102417
ispred,102175
uèinio,102138
mrzim,101896
gradu,101875
otišla,101749
odem,101597
sedi,101514
igra,101507
èuješ,101497
njoj,101428
све,101379
poruku,101212
ostavi,101031
devojke,100838
tvom,100807
sastanak,100788
moglo,100760
deca,100713
uzeo,100647
sreæan,100493
veèe,100303
pokušavam,100178
bit,100074
decu,100047
ће,99909
telo,99885
telefon,99534
recite,99464
mestu,99326
razumeš,99146
као,98912
ovih,98409
овде,98358
kuæa,97766
bojim,97591
napred,97183
seæam,96858
onog,96524
reèi,96518
dame,96358
sva,96345
poslednji,96238
zvao,96223
pogledajte,96161
svako,95905
otvori,95848
putu,95773
nekim,95727
takav,95689
kažete,95672
zemlju,95370
vratim,95266
njegovo,95257
želimo,95024
deset,95013
oboje,95011
jedina,94997
zemlji,94849
brate,94623
svakog,94598
traži,94592
budu,94349
iako,94341
sami,93962
svim,93835
smiri,93776
jebeni,93754
sestra,93735
budemo,93463
pitao,93444
ljubavi,93423
ostali,93306
jebi,92944
hajdemo,92794
razgovarati,92477
eto,92419
cu,92298
ostavio,92236
odeš,92133
pokušao,91675
doktor,91386
porodica,91122
morati,91049
isti,91028
pitanju,90951
nastavi,90422
našu,90341
postoje,90261
nitko,90246
razloga,90158
miru,90135
volela,90110
živ,90102
svojoj,90091
тако,90073
tražio,90060
muž,89842
vašu,89836
lud,89792
kakve,89781
prva,89461
Ah,89211
brže,88768
èovjek,88648
film,88443
napraviti,88352
druga,88283
drugu,88258
boli,88192
ostalo,87903
èeka,87787
doktore,87132
drugom,87060
jebeno,87054
сте,87033
našeg,86977
bok,86470
poslu,86453
kraja,86387
boga,86247
htio,86217
sveta,85517
njegovu,85373
nikoga,85303
smešno,85012
tvojim,84689
pomozi,84675
dobre,84512
krevet,84327
poslao,83979
krvi,83896
dali,83878
brata,83707
знам,83702
prijatelju,83195
uzeti,83029
ka,83027
idite,82854
trebaš,82683
niti,82650
koristi,82299
kralj,82094
mjesto,81932
lepa,81847
kim,81797
spremna,81667
odgovor,81645
konaèno,81629
zanima,81214
zemlje,81164
poziv,81112
grada,81086
svakom,81045
jedva,80988
prièu,80447
svakako,80401
oèigledno,80382
kuda,80254
tih,80174
veèeru,80034
piše,79967
mrtva,79961
sledeæi,79762
obièno,79725
ðavola,79714
dobri,79678
dolazim,79605
biæu,79511
kojoj,79497
znali,79269
могу,79130
zaboravio,79065
hoæemo,78978
jutros,78909
uradimo,78675
lijepo,78522
shvatio,78342
gdine,78207
red,77973
slušajte,77933
gospodin,77906
pronaæi,77819
noge,77798
meseci,77688
èuli,77218
meðu,77158
vašeg,77032
posebno,77025
oèe,77002
neæete,76919
nova,76765
poèeo,76752
školu,76692
gðo,76672
nosi,76582
vesti,76579
izlazi,76576
ode,76549
time,76510
zbogom,76404
devojku,76370
он,76334
požuri,76276
savršeno,76100
bolji,76043
prošlo,75972
napolju,75899
ubije,75838
dolaze,75706
stavi,75563
druže,75555
нисам,75167
ajde,75082
tvojoj,75025
strašno,74975
želela,74900
sreæe,74826
kojeg,74803
pravila,74797
naðem,74691
zoveš,74539
био,74513
