word,count
jag,7555910
det,6970757
är,6141787
du,5451773
att,3914984
inte,3867550
en,2897218
och,2747306
har,2498454
vi,2489201
på,2366031
i,2133887
för,1890970
han,1765136
med,1716671
som,1706372
vad,1680951
om,1673419
var,1647843
mig,1642847
här,1630753
dig,1580805
den,1456889
så,1447191
kan,1370382
till,1361740
de,1235352
men,1047967
ni,1033446
ska,999556
ett,991884
av,941892
vill,864902
hon,820930
nu,815817
vet,796710
ja,786118
nej,739302
bara,735678
hur,706907
kommer,691713
min,689176
där,660320
honom,644949
måste,635769
gör,601590
din,590573
skulle,559641
kom,544101
när,538908
då,530637
ha,506071
bra,501683
får,479862
vara,476433
oss,476313
er,471001
man,469842
ta,465876
ut,465848
göra,436143
dem,406404
från,400755
okej,400530
eller,398963
alla,396094
varför,392875
hade,381426
tror,370652
upp,364741
sig,363548
allt,363183
ingen,354588
henne,346421
igen,346204
tack,344886
sa,344862
gå,343128
in,342766
få,327438
se,318817
går,295164
nåt,295017
vem,289046
mycket,286613
lite,283152
ser,280359
mitt,278601
behöver,277632
kanske,272886
aldrig,271371
Hej,267887
finns,265306
än,256584
inget,251438
efter,250073
blir,244641
hans,233412
bli,232446
ju,230837
tillbaka,225107
två,224911
sen,223349
tar,222596
något,221555
gjorde,219448
över,216006
mer,212131
nån,209942
säger,206575
ditt,204154
ge,199492
mina,192214
fick,189846
åt,188400
väl,188183
också,184620
fan,181095
någon,180068
ner,177614
år,171868
kunde,171468
nog,171384
säga,169133
vänta,168946
mot,166459
varit,165445
mamma,163610
andra,159596
pappa,157499
känner,157425
borde,155820
vid,155763
rätt,152852
ville,152490
hela,151893
hit,150861
några,150363
låt,149193
detta,148921
mr,144857
komma,143509
såg,142325
gjort,141273
själv,138500
prata,137781
alltid,136026
vår,135933
dina,134652
utan,134579
blev,133280
hem,133223
tog,132904
fel,132378
liv,131855
dag,130986
menar,129449
verkligen,128610
döda,127570
va,125020
förstår,123783
visst,123623
tid,122937
sätt,122501
tre,119901
trodde,119386
sin,118608
älskar,118233
veta,117097
berätta,116621
tänker,116287
titta,115551
sluta,114629
precis,114507
många,113960
gick,113565
inga,113296
folk,111121
bort,110387
innan,109595
håll,108982
bättre,108277
gång,108034
gillar,107887
under,107529
hjälp,107486
hjälpa,107337
barn,107203
visste,106632
säg,105925
händer,105815
hennes,105500
just,104301
förlåt,103687
tycker,102383
död,101005
hör,100857
helt,100550
sir,100096
första,98457
sett,98096
länge,97453
snälla,97418
dom,96616
ledsen,95418
hitta,92584
saker,92354
fortfarande,91499
god,90374
Ursäkta,90295
gud,89582
står,89568
heter,88362
pengar,87894
håller,87769
ens,86483
stanna,86470
borta,86224
vilken,86185
våra,85889
enda,85851
samma,85361
hand,85110
ur,84806
far,84470
Hallå,83368
väg,82919
problem,82683
helvete,82550
jävla,82461
mår,82403
ger,82326
vän,82227
sak,81967
kvar,81860
vart,80725
hände,80085
försöker,79455
längre,77407
låter,76929
redan,76683
annan,76216
kör,75848
dit,75338
Herregud,75265
Åh,75124
pratar,74463
väldigt,74366
namn,74294
morgon,74160
ute,73857
snart,73677
sitt,73548
fått,73396
deras,73052
kväll,71796
tiden,71792
fråga,71422
vägen,70352
fram,70233
tro,70169
varje,69788
sedan,69721
ingenting,69220
härifrån,68834
slut,68656
bästa,68531
fru,68317
säkert,67996
tänkte,67684
visa,67676
verkar,67487
först,67440
träffa,67400
därför,67257
säker,66804
lämna,66769
Jo,66759
åka,66475
genom,66175
son,65921
börjar,65833
era,65612
stor,65056
hos,64543
hålla,64418
jobb,64348
kolla,63911
gav,63754
vänner,63088
rädd,62717
annat,62706
hoppas,62193
sista,62105
hörde,61666
dö,61659
sina,61137
vilket,61131
kunna,61092
fem,60577
hittade,60040
minns,59779
nästa,59272
vårt,59214
sex,59120
ihop,59027
lyssna,58759
klarar,58734
bilen,58663
livet,58475
världen,57807
även,57795
nya,57789
del,57750
ses,57741
tag,57442
människor,57307
skit,57282
minuter,56969
riktigt,56752
liten,56727
tills,56608
höra,56113
betyder,55616
sant,55500
ligger,55190
tänk,54698
blivit,54503
idag,54426
fast,54412
män,53982
tala,53873
dra,53510
sagt,53416
klart,53415
hemma,53356
väntar,53140
runt,52986
ändå,52973
fyra,52783
dollar,52691
polisen,52510
åker,52164
faktiskt,51851
familj,51235
annars,50949
helst,50938
lägg,50906
inne,50754
denna,50625
illa,50444
fall,50235
hämta,50161
dog,50087
dödade,50062
nästan,49539
haft,49449
ensam,49444
redo,49236
lugnt,49030
rör,48735
stora,48709
sånt,48645
släpp,48640
öppna,48595
lika,48384
försökte,48355
älskling,48254
gången,48159
kul,47872
hittar,47714
långt,47692
tur,47632
plats,47607
båda,47088
ny,46962
spelar,46450
jobbar,46270
börja,46171
lilla,46150
hört,46057
bil,46031
rädda,45903
emot,45835
tillsammans,45584
fort,45367
kvinna,45191
hänt,45113
ifrån,44781
svårt,44746
låta,44623
senare,44585
känns,44416
heller,44302
bror,44235
huset,44235
be,44074
nära,43677
vilka,43382
ringer,43361
slå,43000
ihåg,42702
ibland,42652
gått,42507
dagar,42485
vore,42452
hus,42394
killen,42349
fler,42269
igenom,42121
glad,42111
mellan,42015
bryr,41835
lever,41750
ber,41678
dotter,41480
klara,41359
bäst,41335
Jack,41334
vilja,41280
tio,41200
kille,41097
trevligt,40906
sitter,40746
fattar,40648
chans,40642
gott,40629
tänka,40539
ert,40416
kände,40372
natt,40311
timmar,40309
ännu,40250
pengarna,40145
dörren,40103
bor,39803
mannen,39632
ord,39564
dags,39461
gamla,39403
gånger,39350
John,39332
dör,39278
mor,39247
äta,39217
spela,39210
dessa,39190
bakom,39168
gärna,39149
rum,39120
all,39110
fanns,38934
dr,38781
gammal,38675
började,38402
reda,38301
varandra,38252
ringa,38003
vapen,37830
tyst,37726
kommit,37650
fara,37621
handlar,37071
känna,37060
par,36688
sån,36587
jobbet,36587
klar,36478
egen,36353
alls,36261
galen,36074
oroa,35850
eftersom,35824
leva,35822
dagen,35738
hjälper,35499
stå,35286
ring,35179
stan,35126
bad,34942
klockan,34918
mat,34660
iväg,34642
tagit,34596
skull,34541
följer,34451
räcker,34237
fint,34011
följa,33961
sätta,33948
ringde,33931
stället,33926
antar,33717
syster,33654
idé,33539
ganska,33394
kapten,33203
mrs,33201
försök,33184
lång,33172
vadå,33151
lätt,32961
dödar,32934
försöka,32913
hittat,32762
lovar,32760
skynda,32744
berättade,32703
stoppa,32614
ben,32391
stannar,32387
herr,32347
förut,32297
Jaså,32121
ok,32111
ikväll,32079
letar,31804
undan,31732
utanför,31588
talar,31548
tidigare,31515
killar,31419
plan,31351
New,31099
flytta,31002
nytt,30972
självklart,30942
skicka,30914
skolan,30889
mest,30868
stämmer,30749
direkt,30732
stort,30605
blod,30560
kvinnor,30520
flicka,30506
kallar,30485
jobba,30413
nere,30342
vatten,30290
lär,30271
roligt,30127
lära,30118
uppe,30083
lämnade,30051
fortsätt,30049
sanningen,29978
månader,29877
val,29857
flera,29841
glöm,29761
lita,29751
perfekt,29747
hatar,29465
köra,28860
önskar,28767
huvudet,28684
kalla,28438
fin,28429
ont,28392
sidan,28322
före,28321
betala,28264
gäller,28262
pratade,28242
använda,28167
vacker,28161
vidare,28131
lugn,27987
miss,27881
kompis,27858
idiot,27831
the,27814
föräldrar,27812
sent,27714
lämnar,27697
följ,27562
imorgon,27510
kärlek,27499
inom,27497
drar,27484
natten,27334
medan,27198
sätter,27194
full,27189
ursäkt,27107
hända,27073
nummer,26990
roll,26955
snabbt,26862
alltså,26781
snäll,26587
igår,26571
viktigt,26342
ställe,26298
köpa,26118
saken,26104
sida,26065
förstå,26033
tjej,26029
behövde,25999
skall,25992
satt,25954
välkommen,25952
sova,25757
resten,25643
pojke,25602
tyvärr,25597
hjärta,25545
veckor,25531
tittar,25491
arg,25470
