word,count
நான்,5774
நீங்கள்,3941
ஒரு,2961
இல்லை,2027
என்ன,1812
வேண்டும்,1680
என்று,1671
இந்த,1327
என்,1226
சரி,1187
அது,1171
நீ,1166
நாம்,1153
அவர்,1064
உங்கள்,999
இது,940
எனக்கு,908
மற்றும்,857
என்னை,841
தான்,825
அதை,809
உள்ளது,796
அவர்கள்,716
ஆனால்,714
அந்த,637
செய்ய,635
இங்கே,588
ஆமாம்,584
முடியும்,545
ஓ,481
பற்றி,475
தெரியும்,470
நாங்கள்,465
இப்போது,457
முடியாது,438
இருந்தது,404
எப்படி,390
ஏன்,388
சில,386
செய்து,376
அவரை,373
வா,371
இருக்க,363
இருக்கும்,353
நல்ல,343
அனைத்து,338
அவள்,335
பார்க்க,333
இருக்கிறது,332
வெளியே,319
மீண்டும்,311
நன்றி,309
இருந்து,304
அங்கு,299
உங்களுக்கு,296
என்றால்,296
மிகவும்,287
இன்னும்,286
வேண்டாம்,286
வேலை,273
அல்லது,272
யார்,268
எனவே,267
கிடைத்தது,263
உனக்கு,260
நேரம்,259
போது,258
போகிறேன்,258
எந்த,252
விட்டு,243
ஏய்,242
எங்கே,242
நன்றாக,240
சொல்ல,237
வரை,235
அவரது,232
இருக்கிறேன்,230
பெற,226
எடுத்து,222
தயவு,219
மீது,218
கிடைக்கும்,215
ஆம்,213
உன்னை,212
போ,211
இரண்டு,208
உள்ளன,206
கீழே,204
தெரியாது,203
மனிதன்,198
ஏதாவது,196
போன்ற,196
இங்கு,195
கூட,195
எங்கள்,183
இல்ல,182
உன்,181
நினைக்கிறேன்,178
மக்கள்,175
அல்ல,175
ஐயா,174
உண்மையில்,174
திரு,172
தெரியுமா,171
என,169
செல்ல,166
எப்போதும்,159
நாள்,157
போக,155
குழந்தை,155
கொண்டு,154
பணம்,150
வழி,150
பையன்,147
பெரிய,147
வந்து,147
பிறகு,146
அவன்,145
திரும்ப,143
உள்ள,143
நல்லது,139
அவளை,138
முதல்,137
பெண்,137
எங்களுக்கு,136
பாருங்கள்,135
போகலாம்,135
மூலம்,134
வருந்துகிறேன்,132
விட,131
வணக்கம்,130
உங்களை,130
இனி,128
கேட்க,128
கண்டுபிடிக்க,127
நிறைய,127
மேலும்,125
விஷயம்,124
இதை,124
சிறிய,124
முன்,124
இல்லையா,123
உள்ளே,122
ஒவ்வொரு,122
சார்,122
வாருங்கள்,121
அம்மா,121
இன்று,120
கதை,120
எதுவும்,120
மன்னிக்கவும்,120
வைத்து,119
மட்டும்,118
கொடுக்க,118
ஒருவேளை,117
சிறந்த,117
விரும்புகிறேன்,117
எல்லாம்,117
பின்னர்,114
கூடாது,113
வின்சென்ட்,113
முயற்சி,113
கூறினார்,111
செய்கிறேன்,111
இரவு,110
பேச,110
பெயர்,109
வேறு,109
திரும்பி,108
திருமணம்,107
அப்பா,105
ஒன்று,104
ஏனெனில்,102
கடவுள்,102
மிக,102
துடைக்க,101
போல,101
எடுக்க,100
முறை,100
இருக்கு,100
பார்,100
வீட்டில்,99
பார்த்து,99
நடக்கிறது,98
ஏ,98
முடியவில்லை,96
பழைய,96
சரியா,95
அப்படி,95
வந்தது,94
வருகிறது,94
மூன்று,94
புணர்கிறேன்,93
அதனால்,93
தேவை,93
உதவி,93
கார்,92
நீங்க,92
நம்,92
நிச்சயமாக,91
ஜாக்,91
தவறு,91
வலது,89
நினைத்தேன்,88
அவர்களை,88
எவ்வளவு,88
என்ற,87
ஜிம்,87
நேரத்தில்,87
வாழ்க்கை,86
யாரும்,86
சுற்றி,85
வர,85
மாட்டேன்,84
சத்தியம்,84
நிறுத்து,84
தனது,84
மணி,84
சரியான,84
அவனை,84
அதே,82
நீண்ட,82
ஆகும்,81
அங்கே,81
சென்று,81
அழைப்பு,81
அன்பே,80
நம்மை,79
நாம,78
ஆ,78
அழைக்க,78
விரும்பவில்லை,77
என்னிடம்,77
தெரிகிறது,77
இந்தர்,76
மட்டுமே,76
இசை,76
ஐந்து,76
போல்,75
கொலை,74
அழைத்து,74
முடியுமா,74
அதன்,74
கொல்ல,73
குழந்தைகள்,73
மாதிரி,73
கொள்ள,73
மகன்,72
அடுத்த,72
புதிய,72
அமையும்,72
என்னுடைய,72
விழுங்க,72
முழு,71
போய்,71
சாம்,71
பாதுகாப்பு,70
ஒரே,70
நம்பிக்கை,70
ஆனா,70
துப்பாக்கி,69
இடத்தில்,69
வருகிறேன்,68
சைமன்,68
ஜனாதிபதி,68
உண்மையான,68
அவங்க,68
வழியில்,67
நடந்தது,67
ரொம்ப,67
வாய்ப்பு,66
வரும்,66
உதவ,65
கிளிக்,65
தாமஸ்,65
இரு,65
அர்த்தம்,65
இருக்கிறோம்,64
நமக்கு,64
எதையும்,64
இம்,63
முன்பு,63
மேல்,62
பரவாயில்லை,62
பார்த்தேன்,62
ஆமா,62
எலிசபெத்,61
செல்லலாம்,61
முட்டாள்,61
செல்கிறேன்,61
கடந்த,61
ஏற்கனவே,61
ஐ,61
நண்பர்,61
பல,60
வாழ,60
மனைவி,60
நாளை,60
அதாவது,59
பணத்தை,59
கடவுளே,59
ல்,58
சிறுவன்,58
நம்புகிறேன்,58
