word,count
ฉัน,1354898
ไม่,1351728
จะ,966926
คุณ,947554
ที่,893821
ได้,749303
ไป,741989
เธอ,669918
มัน,665218
ผม,640686
ของ,640608
ว่า,635887
แล้ว,612721
เป็น,575894
นะ,559674
อะไร,524899
ก็,503254
เรา,490193
มี,485687
เขา,483401
มา,482705
ให้,444628
อยู่,385516
กับ,360097
นี่,347488
เลย,345866
ใน,343802
ทำ,341582
ใช่,331390
และ,328683
ต้อง,317694
คน,302056
นาย,296662
แต่,276642
นี้,266623
รู้,265514
ครับ,255915
เหรอ,240254
ถ้า,219490
กัน,206166
ด้วย,204088
ๆ,190175
พวก,183607
คิด,181463
นั้น,180059
ข้า,177319
คือ,172617
ดี,171943
เรื่อง,170587
ล่ะ,168760
ทำไม,166337
ค่ะ,163205
อยาก,162648
บอก,158307
นั่น,156361
การ,154657
มาก,153694
สิ,153484
ยัง,152042
มั้ย,148609
แค่,143169
ใคร,142243
น่ะ,136985
พูด,132843
เจ้า,128420
อีก,127993
อย่าง,126636
แม่,126460
จาก,125994
ดู,124826
พ่อ,122957
ท่าน,119928
ถึง,118956
หรือ,117375
เอา,117028
งั้น,115952
กำลัง,113098
พวกเขา,112259
ที่นี่,109824
ยังไง,106501
ไหม,105641
ถูก,104442
เห็น,103846
กว่า,103390
เคย,102813
ทำให้,102035
อย่า,101541
ที่จะ,99965
ไว้,99041
ตอนนี้,98323
เพราะ,97520
หรอก,97198
สิ่ง,95803
ไง,94891
ช่วย,93740
จริงๆ,93204
ต้องการ,91996
เค้า,91390
ออก,90524
ไหน,86706
แก,86555
ก่อน,85960
ชั้น,85801
คะ,85559
เพื่อ,84251
ขึ้น,83590
พวกเรา,82897
เอง,82544
ลูก,80945
พี่,78483
เถอะ,76434
ตาย,76239
แบบ,75013
คง,74979
หน่อย,73716
ขอโทษ,72791
สามารถ,71553
ขอบคุณ,69301
หนู,68826
โอเค,68379
ชอบ,65940
เหมือน,65832
หรอ,64290
หา,64225
บอ,64198
สำหรับ,63274
ซะ,62168
แบบนี้,61141
น,60522
ใช้,60308
เกิด,60169
เจอ,60081
รู้สึก,58677
ตัว,58320
เข้าใจ,58238
โอ้,57622
เมื่อ,57498
กลับ,57005
เด็ก,56891
ขอ,56559
จริง,55203
บ้าง,55088
เร็ว,53246
เวลา,53027
บ้าน,52936
ฟัง,52149
น่า,51969
ฆ่า,51894
ใช่ไหม,51420
หยุด,49405
มิ,49385
พบ,49243
เข้า,48003
กลับมา,47551
ลง,46650
อาจจะ,46600
ส,46535
ปี,45586
ทั้งหมด,45474
รอ,44799
กิน,44584
ริ,44438
ที่สุด,44392
วัน,44387
อย่างนั้น,43661
ทุกคน,43633
ไม่ต้อง,43531
ทำงาน,43213
อร,42980
ได้ยิน,42936
เกี่ยวกับ,42915
ล,42847
รัก,42703
เนี่ย,42627
สอง,42090
จัง,41985
ก็ได้,41552
โอ,41421
ส่ง,41275
โดย,41149
ผู้หญิง,40810
วันนี้,40696
ละ,40509
แน่,40464
พยายาม,40157
เริ่ม,39578
ควร,39528
หนึ่ง,39328
งาน,39048
เหมือนกัน,39022
ทาง,38868
ตัวเอง,38669
ทุกอย่าง,38602
เชื่อ,38441
ไม่เป็นไร,38373
คุย,38362
รึ,37932
เดี๋ยว,37910
ตอน,36969
ใหม่,36797
นา,36680
เพื่อน,36664
อา,36557
ไอ้,36515
ซิ,36380
ปล่อย,36064
บ้า,35792
ชื่อ,35261
บน,35249
ต่อ,34925
เฮ้,34773
เล่น,34756
นะคะ,34709
พอ,34641
ที่ไหน,34305
พา,34145
โทร,34107
เอ,33661
ออกมา,33321
เรียก,33200
โปรด,33064
ที,32915
น่าจะ,32900
หมด,32879
ได้รับ,32841
ค,32688
ชีวิต,32678
แล้วก็,32603
อาจ,32490
รู้จัก,32371
แน่นอน,31691
เข้าไป,31366
กำลังจะ,31303
ใส่,31156
เกิดขึ้น,30982
