word,count
ang,4481
sa,4437
na,3773
ng,3151
mo,2181
ko,1898
hindi,1606
ay,1466
mga,1438
at,1396
ako,1371
ka,1276
lang,909
ba,864
ito,863
para,708
kung,702
siya,690
isang,665
si,585
ano,574
may,487
dito,466
alam,451
kayo,447
lahat,445
pero,439
tayo,426
pa,384
nga,342
gusto,338
wala,332
natin,330
ni,330
Oo,328
niya,314
o,312
ngayon,311
di,307
kami,307
naman,305
sila,296
sige,292
tao,291
kailangan,291
namin,284
akong,278
bakit,277
kaya,273
yan,268
nyo,261
anong,261
ikaw,261
walang,260
akin,255
isa,250
iyon,240
talaga,238
kang,229
sabihin,225
mong,222
kong,216
nang,216
sya,211
dahil,206
yun,200
niyo,197
nya,194
aking,193
nasa,192
huwag,191
nila,191
buhay,188
iyo,187
yung,187
mundo,187
pag,185
araw,184
sino,174
mag,174
kita,168
saan,163
Diyos,155
rin,152
meron,151
sir,148
kahit,146
okay,146
salamat,141
sabi,140
tubig,139
dapat,138
wag,138
taon,137
to,133
siyang,133
bang,133
din,132
umalis,132
ating,130
po,129
iyong,127
doon,127
siguro,127
eh,124
iyan,124
Wood,122
paano,121
mula,121
Nelson,121
tulad,119
gawin,119
noong,115
nating,114
ibig,113
kay,113
Oh,112
itong,112
kayong,110
tama,109
kaibigan,109
nakita,108
iba,107
Mr,106
Hoy,106
pumunta,105
nag,105
maging,104
teka,102
ginagawa,101
tapos,101
mas,98
bago,98
kasi,97
kapag,97
nasaan,96
pang,96
pala,96
tingnan,95
puwede,94
Max,93
nandito,90
nito,90
sinabi,90
gabi,89
lamang,89
buong,88
parang,87
magandang,87
muna,86
Reggie,85
tungkol,85
kaniya,84
bahay,84
kasama,83
totoo,82
sana,82
oras,81
ibang,78
ayaw,77
sinasabi,77
inyo,77
anak,77
kanya,76
ha,76
bagong,76
pangalan,75
maraming,75
bilis,75
ninyo,75
ginawa,75
inyong,74
baka,74
galing,74
maganda,72
tayong,72
gagawin,72
bagay,71
panahon,71
Igik,70
kanyang,70
Rancho,69
marami,69
bata,69
ayos,68
makita,68
Todd,67
lugar,67
season,64
loob,64
mukhang,64
halika,63
J,63
palabas,63
nangyayari,63
Cub,62
ah,62
nangyari,61
ngunit,61
taong,60
rito,60
kaming,59
pare,59
sayo,59
Elliot,59
talagang,58
dalawa,57
lupa,57
sandali,57
i,56
magiging,56
man,56
niyang,56
pwede,56
tingin,55
silang,54
upang,54
hanggang,54
patay,54
trabaho,53
kunin,52
nakuha,52
mahal,52
naming,51
papa,51
aming,51
lalaki,51
malaman,51
habang,50
kamay,50
problema,50
mabuti,50
nakikita,50
pupunta,49
kilala,49
