word,count
я,185253
не,160574
в,77314
що,73007
на,62608
что,60222
це,59296
ти,57008
так,52107
у,50900
і,50475
ты,47825
и,42974
это,39713
а,39222
з,37565
за,26714
ми,26260
все,25699
тебе,25690
як,24888
він,24762
ви,24448
с,23672
то,22657
до,21923
мене,21738
он,20030
ні,19799
але,19309
мені,19268
как,17928
мы,17786
да,17537
мне,17521
меня,16228
нет,16056
для,15816
просто,15748
тут,15672
його,15358
но,15349
о,14947
вы,14813
ну,14010
знаю,13917
про,13503
нас,13495
вас,12813
вони,12635
тебя,12239
вона,11935
она,11762
по,11584
тобі,11566
его,11442
ж,11424
п,11177
там,10828
якщо,10599
ще,10270
добре,10235
та,10160
щоб,10114
вам,9958
коли,9646
є,9580
нам,9451
хочу,9307
если,9178
бы,9140
же,8650
б,8155
вже,8098
було,7928
из,7838
її,7801
був,7702
они,7560
може,7344
чи,7269
чтобы,7253
дуже,7140
хто,7030
всё,6957
від,6952
чому,6891
хорошо,6812
когда,6788
буде,6695
есть,6685
давай,6584
де,6544
тому,6520
от,6516
здесь,6356
кто,6332
к,6261
треба,6204
думаю,6031
того,5908
їх,5907
только,5896
гаразд,5889
был,5871
цього,5783
щось,5731
было,5604
тільки,5589
зараз,5580
может,5458
моя,5385
нічого,5353
один,5279
те,5262
бути,5249
будь,5193
уже,5188
можу,5123
почему,5109
ось,5051
вот,5015
быть,5015
й,5002
тепер,5002
раз,4968
мій,4943
дякую,4931
могу,4758
знаєш,4742
нужно,4646
через,4619
будет,4590
правда,4515
всі,4493
без,4423
себе,4379
где,4348
бо,4293
більше,4292
их,4217
тоді,4191
час,4166
день,4165
сейчас,4165
еще,4157
ладно,4132
чем,4098
можна,4023
була,3990
или,3990
боже,3964
спасибо,3949
очень,3943
йому,3928
лише,3802
ним,3800
привіт,3768
была,3763
них,3750
этого,3743
ніколи,3740
буду,3739
ничего,3693
навіть,3685
её,3669
би,3667
мой,3645
знаешь,3627
зі,3588
цей,3531
немає,3516
ее,3505
нього,3502
життя,3458
хочеш,3455
этом,3437
чого,3430
твоя,3394
теж,3319
люди,3314
теперь,3307
со,3284
больше,3259
потому,3238
ещё,3233
людей,3155
який,3144
сказав,3127
свою,3115
або,3066
даже,3024
із,3006
пока,2988
сюди,2983
два,2981
тобою,2938
привет,2937
таке,2928
ему,2926
хочешь,2924
точно,2893
ей,2886
ласка,2883
багато,2872
эй,2862
були,2857
краще,2846
нибудь,2840
завжди,2831
время,2831
сьогодні,2827
должен,2824
тоже,2819
надо,2818
себя,2785
сам,2771
этот,2731
ли,2706
кого,2679
той,2672
мною,2652
має,2650
мама,2645
прошу,2644
маю,2641
сказал,2612
ці,2581
тогда,2578
які,2571
сказати,2551
зробити,2546
об,2546
тобой,2538
можеш,2527
назад,2519
трохи,2515
потрібно,2508
сказала,2507
Ага,2452
можешь,2421
порядке,2403
під,2389
саме,2388
него,2386
три,2373
никогда,2371
хотів,2365
років,2354
собі,2343
чего,2339
можете,2313
скажи,2308
ни,2285
робити,2274
твій,2245
люблю,2244
знову,2242
мной,2236
сегодня,2225
наш,2215
дай,2211
ніж,2205
перед,2189
пане,2187
пожалуйста,2182
ваша,2179
яка,2171
вами,2163
потім,2161
конечно,2153
лучше,2142
были,2140
одного,2140
гей,2121
сделать,2106
завтра,2104
цю,2079
цьому,2073
сюда,2070
ваш,2060
можливо,2052
значит,2026
сказать,2026
прямо,2006
після,1992
знаєте,1992
нами,1983
ніхто,1974
одна,1972
бачив,1923
неї,1922
їй,1918
мою,1916
делать,1915
чудово,1915
давайте,1914
всегда,1906
ця,1902
разом,1899
такий,1896
скільки,1887
куди,1884
мої,1881
дело,1877
сер,1872
звичайно,1871
справді,1842
поки,1840
їм,1839
хтось,1832
должны,1832
усе,1802
твой,1777
цим,1773
ведь,1767
міг,1765
маєш,1758
ней,1757
друг,1753
можно,1753
хіба,1745
повинен,1737
гроші,1735
том,1733
много,1730
этим,1724
можемо,1694
зробив,1689
дня,1687
досить,1682
над,1679
хотел,1674
должна,1660
после,1660
всего,1659
місце,1648
хоче,1636
якби,1612
могли,1611
воно,1603
такой,1596
робиш,1595
вибачте,1584
нб,1581
часу,1579
повинні,1569
сама,1559
руки,1555
вибач,1553
весь,1548
слишком,1546
додому,1545
хлопці,1542
такое,1538
йди,1521
нема,1519
возможно,1517
случилось,1515
во,1515
моей,1513
жизнь,1512
думаешь,1508
мого,1506
говорить,1504
ясно,1496
зачем,1496
эти,1495
немного,1486
небудь,1480
прости,1475
Чарлі,1471
твою,1468
куда,1465
скоро,1458
навіщо,1457
вместе,1452
брат,1448
чоловік,1442
мати,1439
Господи,1437
також,1436
лет,1435
доктор,1434
мабуть,1430
моє,1416
скажу,1413
звідси,1410
сталося,1405
здається,1402
всіх,1400
нормально,1397
поэтому,1385
ходімо,1379
отже,1375
яку,1364
давно,1363
мог,1362
казав,1361
таким,1359
батько,1359
швидше,1357
думаєш,1357
такого,1356
кілька,1355
всех,1354
туди,1344
какой,1343
розумію,1342
потом,1342
им,1338
подобається,1337
сделал,1337
пані,1336
под,1333
могла,1331
свої,1327
знати,1326
речі,1322
вообще,1315
который,1314
думав,1309
чорт,1309
одну,1308
взагалі,1304
жаль,1297
тим,1294
правильно,1294
людина,1286
помочь,1282
кое,1274
при,1271
хочете,1271
допомогти,1266
можем,1265
знав,1263
всю,1262
мои,1257
этой,1256
оу,1246
дійсно,1243
думала,1241
така,1241
домой,1240
зовсім,1240
отец,1239
знайти,1238
бачу,1234
снова,1232
йти,1228
разве,1225
человек,1221
ними,1221
парень,1220
знає,1218
эту,1213
дещо,1212
видел,1208
делаешь,1207
вперед,1206
наша,1204
нравится,1204
далі,1202
сколько,1200
нею,1196
никто,1187
разу,1179
справа,1172
машину,1170
слухай,1167
ім'я,1166
тот,1165
звісно,1165
мав,1164
усі,1162
дома,1161
свого,1160
хотела,1156
слова,1155
похоже,1155
иди,1155
отлично,1152
пару,1150
будешь,1143
ті,1142
одно,1141
чим,1141
піти,1141
шкода,1137
справи,1136
звідки,1136
увазі,1133
голову,1132
фп,1131
такі,1131
место,1126
тож,1124
ой,1124
проти,1124
гадаю,1123
син,1119
знала,1117
кбй,1114
понимаю,1112
знать,1110
свій,1109
якого,1108
найти,1108
эта,1100
мамо,1098
номер,1094
кажется,1088
жизни,1085
поговорить,1081
хочет,1075
сказали,1074
бачиш,1073
знаете,1071
будеш,1068
пішли,1067
відбувається,1061
нехай,1060
можуть,1052
деньги,1047
порядку,1047
тобто,1045
совсем,1045
ваше,1042
наші,1037
ради,1037
цих,1036
поговорити,1033
ме,1033
думал,1033
пішов,1031
слушай,1028
лишь,1027
проблема,1024
хоч,1023
тих,1021
розумієш,1018
мистер,1018
потрібна,1018
пора,1016
світ,1015
будем,1010
будемо,1009
двері,1008
знает,1007
стоит,1007
зрозумів,1006
майже,1006
своей,1005
еЯнбй,1005
чув,1003
именно,1001
времени,1000
ох,999
которые,998
роботу,997
всем,990
хотіла,988
хлопець,982
простите,981
схоже,979
насправді,978
сильно,976
тато,975
швидко,975
твої,974
бачити,967
чувак,967
говорю,964
своє,963
моего,963
ту,962
говорил,960
тату,954
бог,951
наших,949
кажу,949
кому,948
раніше,947
доброго,947
чём,942
