word,count
ہے,11396
میں,9991
کے,9513
آپ,5246
نہیں,5156
کی,4754
سے,4587
ایک,4512
ہیں,4326
کو,4101
اس,3872
نے,3645
یہ,3549
کیا,3510
تم,3237
اور,3052
وہ,2617
ہو,2567
ہم,2552
کر,2533
کہ,2467
لئے,2377
پر,2073
ہوں,2006
تھا,1982
کا,1925
مجھے,1854
بھی,1360
کرنے,1324
تو,1318
ٹھیک,1270
رہے,1245
گا,1183
کچھ,1174
کوئی,1157
رہا,1150
سب,1104
یہاں,1073
ساتھ,1044
ہاں,1023
اسے,986
گیا,983
ان,977
اب,945
لیکن,926
طرح,916
سکتے,907
صرف,874
میرے,767
اپنے,738
گے,737
بہت,734
سکتا,723
جی,704
زیادہ,704
بات,701
کسی,651
جاؤ,637
چلو,618
دیا,618
جا,587
بارے,581
کرنا,571
دو,568
باہر,559
تھے,554
کریں,539
ضرورت,538
میری,537
حاصل,536
تمہیں,532
طور,520
جانتے,519
کہا,517
وہاں,511
جو,510
ہی,506
چاہتے,500
جائے,488
ن,482
وقت,482
پھر,468
کرتے,464
اچھا,462
کام,457
اگر,449
یا,440
کرو,440
کیوں,436
تک,428
کبھی,426
چاہتا,421
کس,415
لے,412
انہوں,402
پہلے,389
لگتا,384
ہمارے,382
جب,382
مل,377
واپس,371
کرتا,366
کہاں,365
مجھ,358
ہر,351
ہمیں,340
نہ,337
لوگوں,334
طرف,331
تمام,328
اپنی,320
پاس,319
مدد,313
ایسا,305
آدمی,304
میرا,298
پتہ,296
کون,289
دیکھ,287
تھی,287
بعد,287
ارے,284
لوگ,276
دے,274
شکریہ,274
یقین,274
گھر,271
ي,268
بند,267
نام,263
لیا,262
والا,253
ماں,250
لیے,247
ش,245
کوشش,245
چھوڑ,244
آ,242
جانا,241
اوہ,241
ہوگا,239
تلاش,238
گی,235
جاتا,231
نیچے,230
ہوا,227
خیال,227
وجہ,226
رات,214
بس,214
جانے,211
دن,210
دیکھو,210
بار,209
صاحب,209
خدا,208
چاہئے,200
دور,200
رہی,199
جگہ,199
بالکل,197
مطلب,196
دیکھا,195
تمہارے,193
انتظار,192
تیار,192
ابھی,191
کیلئے,191
کرے,189
جانتا,189
جنگ,187
ہونا,184
دنیا,182
معلوم,181
استعمال,180
شاید,178
پاگل,177
والد,177
سر,176
گئے,176
ہمیشہ,176
رکو,174
واقعی,173
سال,171
کم,169
کیونکہ,169
آج,169
زندگی,168
ہونے,166
بغیر,166
دیں,164
ضروری,161
ہماری,160
یاد,159
پسند,159
رہو,157
خود,156
سمجھ,156
کہہ,155
پیچھے,152
کیسے,152
ختم,151
نہيں,148
مر,148
فون,148
چیز,147
ء,147
قسم,146
آئے,146
شروع,145
مت,144
اندر,143
اچھی,142
والے,142
کروں,141
منٹ,141
انہیں,141
یہی,141
ویسے,140
معاف,140
نمبر,139
سی,138
نظر,138
بہتر,138
تمہاری,137
منتقل,136
¹,136
خوش,136
براہ,135
مہربانی,134
مار,132
دوست,131
محبت,131
جس,131
دوسرے,131
مسئلہ,130
محفوظ,130
صحیح,130
تین,130
شہر,129
اہ,129
ہوئے,129
گئی,129
جیسے,126
کافی,124
آخر,124
بن,123
موجود,123
³,122
ملا,122
ہوتا,121
ڈاکٹر,121
کہیں,121
سوچا,121
قتل,120
پوشیدہ,119
آیا,118
وکٹر,118
بڑا,118
إ,117
لو,115
سچ,115
دی,114
جہاں,114
آئی,113
چلا,113
چاہیے,112
بچے,111
کہنا,111
ہاتھ,110
چلتے,110
تمہارا,108
چلے,107
شخص,107
حملہ,107
قابل,107
رہنے,106
ڈال,105
وعدہ,105
مختلف,105
اہم,105
نظام,104
ہيں,104
سا,104
دوبارہ,104
اپنا,103
جان,103
تھوڑا,102
بھائی,102
ذریعے,102
امریکہ,101
گولی,101
جائیں,100
کل,100
نا,100
¼­,99
انسان,99
پانچ,99
زمین,98
پروگرام,97
ہج,97
تبدیل,97
بتا,96
ملک,96
بتایا,96
محسوس,95
لڑکی,94
اعتماد,94
خوبصورت,93
جناب,93
راستہ,93
کہانی,93
دروازے,92
جلدی,92
بنجمن,91
پکڑ,91
جنگل,91
ہیرو,91
درمیان,91
ملے,91
ہیلو,91
پال,91
زندہ,90
آگے,90
کھانا,90
مکمل,90
آسان,90
غلط,90
برینڈن,90
آخری,90
گرد,90
لڑکے,89
رسائی,89
ہیک,89
آنے,88
چار,88
لینے,88
رکھنے,88
بنا,87
اتنا,87
غلطی,87
ٹومی,87
پہ,86
غیر,85
ہوئی,84
و,84
واضح,84
حقیقی,84
اے,83
امید,83
بے,83
بڑے,82
خاندان,82
دیکھنے,82
آرام,81
ہا,81
مزید,80
حق,80
پتا,80
ناورسکی,80
آو,80
آتا,80
پولیس,80
گاڑی,80
راستے,80
لیں,79
اپ,79
مسٹر,79
مقصد,79
بلیک,78
سانس,78
عورت,78
سرور,78
خون,77
پڑے,77
اوپر,77
جواب,77
افسوس,76
حفاظت,76
اجازت,76
لگا,76
سپر,75
دونوں,75
بیٹھ,75
پیدا,75
دیر,75
بیٹا,75
بڑی,75
قریب,74
چیزیں,74
کھو,74
چل,74
خلاف,74
ہ,73
خفیہ,73
رہنا,72
معلومات,72
جھوٹ,72
رہ,72
معذرت,72
لگ,72
طریقہ,71
سکتی,71
سن,71
اتارنا,70
دینے,70
رکھا,70
گر,70
پیسے,70
گندگی,70
یار,69
موت,69
سامنے,69
¾ب,69
باقی,68
ہیکنگ,68
سوال,68
دوسری,68
ارد,68
دادی,68
چاہتی,68
معافی,68
صاف,67
سوچ,67
پرواہ,67
تباہ,67
امریکی,67
جادو,67
کال,66
اصل,66
پڑا,66
داستان,66
از,66
رہتے,66
عظیم,66
سپرمین,66
کار,65
ابو,65
اچھے,65
ثابت,65
برا,65
سنا,64
مگر,64
چیزوں,64
گزشتہ,64
لہذا,64
خاص,64
اسی,64
فکر,63
توڑ,63
چاہیئے,63
امتحان,63
دل,63
دوسروں,62
ادا,62
درست,62
دیتا,62
تحفظ,62
منصوبہ,61
توجہ,61
فوری,61
کہتے,61
جیک,60
سیکورٹی,60
آتے,60
تعلق,60
ا,60
فوج,60
کھانے,60
حملے,59
مذاق,59
جلد,59
ہہ,59
چھوٹے,59
ہلاک,59
حکومت,59
بچوں,58
ڈیسمنڈ,58
ہوائی,58
شادی,58
چوری,58
لائن,58
نکل,58
گائے,58
پوری,57
بننا,57
مشکل,57
خوشی,57
کمرے,57
یہیں,57
ہمارا,56
چکا,56
والدین,56
سارجنٹ,56
بھیجا,56
سٹیفین,56
ہوشیار,56
دیکھیں,56
لات,56
پہلی,55
کمپیوٹر,55
لادن,55
حل,55
سو,55
لمحے,55
گھنٹے,55
إ¾ك,55
معمولی,54
پیغام,54
³­,54
رکھتے,54
بنانے,54
بادشاہ,54
ناممکن,54
سوالات,54
ى¸,54
تاکہ,53
ہتھیار,53
چھوٹا,53
رکھ,53
سمجھتے,53
روکنے,53
نیٹ,53
رکھیں,53
ورک,53
حصہ,53
سائبر,53
عجیب,52
دینا,52
مردوں,52
ح,52
گروپ,52
الوداع,52
بینک,52
بہترین,52
اقدام,52
زبان,52
چکے,52
دیوار,52
ہیکروں,52
اتنی,52
کھیل,51
دھوکہ,51
صبح,51
بندی,51
عمل,51
ہفتے,51
چھوٹی,51
بنایا,51
رکھو,51
لانے,51
کمپنی,51
چال,51
بھول,50
آمدید,50
روسی,50
وہی,50
تاریخ,50
ریکارڈ,50
شامل,50
ظاہر,50
مقابلے,50
پیش,49
دیکھنا,49
عام,49
طاقت,49
داخل,49
جہنم,49
اکیلے,49
انکار,49
ڈر,49
رکھتا,49
جہاز,49
فیصلہ,49
ذاتی,48
نئے,48
بچہ,48
حکم,48
کھڑے,48
سیکنڈ,48
پرواز,48
بیوی,48
فوجی,48
بیٹے,48
باپ,48
مردہ,48
ماہ,48
احمد,47
مین,47
ذرا,47
دوران,47
تعمیر,47
ٹیم,47
اگلے,47
چند,47
روک,47
