word,count
tôi,826513
không,788313
là,589202
anh,574482
có,427612
của,336509
đi,326249
đã,317448
sẽ,309283
đó,306094
gì,298463
được,296689
ta,281186
và,280983
một,263450
cô,262573
phải,260467
rồi,255042
này,247308
cho,231703
người,226395
đây,215064
làm,204156
em,203539
ở,199722
nó,196819
biết,191092
ông,185340
cậu,181768
với,176270
con,173850
nói,164006
chúng ta,162156
lại,156819
ra,152540
để,150541
ấy,149811
cái,147186
sao,146765
đang,146151
trong,136986
muốn,134348
nhưng,132387
mà,127559
có thể,124050
những,123442
đến,123384
nào,119656
vậy,118937
khi,116253
đâu,112647
về,108580
họ,107975
thế,106508
như,105698
thôi,105579
chỉ,104586
còn,104381
thì,103944
cũng,99969
các,99576
vào,99533
đấy,95443
thấy,94361
ai,92025
hắn,91541
i,89017
chuyện,88313
nghĩ,86620
nếu,85783
rất,83212
mình,81710
nữa,81059
bị,80027
cần,79843
chứ,78914
chúng tôi,78623
à,78599
tới,70482
cả,69407
thật,68722
chưa,68698
lên,68433
thứ,65878
mọi,64330
hơn,64328
nghe,63740
chúng,62889
điều,62169
bạn,61527
vì,60989
đừng,60344
mày,60320
từ,59860
n,59766
ng,57397
đúng,56325
nên,54865
hãy,54808
tớ,53762
tìm,53280
tốt,53272
nhiều,52972
mẹ,52911
t,52545
việc,52024
nhà,51278
tao,50821
không thể,50662
chết,49983
trên,48829
giờ,48608
trước,48100
quá,47947
tên,47240
hay,46468
cháu,45174
bà,44999
c,44336
sau,43586
vẫn,43027
nhìn,42923
ngay,42408
bọn,42096
bố,41997
xem,41773
khác,41762
gặp,41573
lắm,40427
tất cả,40327
đưa,40301
giết,40230
tin,39726
ngài,38829
hai,38163
ngươi,38088
rằng,37832
lấy,37724
mới,37503
xin lỗi,36924
y,36871
theo,36640
qua,36587
lần,36537
sự,36062
gọi,36029
lúc,35119
hiểu,34268
ngày,33713
cách,33529
chào,33213
hả,33106
hết,33047
thích,32584
năm,32378
nhất,32318
khỏi,32116
giúp,31605
a,31467
xin,31081
nhé,30937
chắc,30553
sống,30398
cha,30226
mất,30173
cứ,28958
Vâng,28949
nơi,28755
thưa,28733
nhau,28660
tại sao,28138
la,28050
mấy,27930
cùng,27884
bao giờ,27740
từng,27683
m,27052
thằng,26895
xuống,26864
bé,26538
yêu,26379
thế nào,26171
nhanh,26134
bây giờ,25950
chỗ,25859
chúa,25623
bên,25618
xe,25586
quay,25339
tay,25320
ngoài,25047
kẻ,25007
tiền,24956
bỏ,24852
chị,24811
nhớ,24585
luôn,24426
cảm ơn,24241
ý,24033
ăn,24017
đều,23825
chẳng,23805
ơi,23193
ổn,23072
xảy,23026
Ừ,22498
ba,22343
hỏi,22275
kia,22117
giống,22010
đường,21573
ko,20917
chính,20849
chú,20552
u,20367
đồ,20215
thời gian,20145
bắt,20101
vài,20008
bằng,19976
giữ,19956
nói chuyện,19940
đầu,19876
vụ,19221
phòng,18805
lời,18579
Oh,18235
chờ,18191
cám ơn,18083
nhận,18053
có lẽ,18017
đủ,17852
làm việc,17766
dùng,17600
bắn,17498
bảo,17339
nh,17334
vừa,17285
tối,17274
chạy,17258
Ôi,17210
thêm,17129
chơi,16847
mang,16843
số,16832
co,16778
đứa,16699
tự,16633
chiếc,16510
tiếng,16159
bắt đầu,16139
cố,16041
nước,15830
vui,15827
ca,15775
lớn,15642
nhỉ,15593
vấn đề,15536
gái,15513
câu,15507
gần,15485
ạ,15456
cuộc,15388
nay,15327
ngủ,15297
như vậy,15157
cứu,14945
chút,14905
cảnh sát,14639
lo,14591
o,14569
sợ,14532
ngồi,14448
dừng,14349
thế giới,14162
tuyệt,14120
đứng,14110
đánh,14060
dưới,13734
xong,13654
hôm nay,13622
đêm,13614
hoặc,13576
đẹp,13565
làm ơn,13538
rõ,13340
cu,13216
lâu,13211
tại,13188
nhỏ,13151
phía,13112
uống,13053
no,13045
trông,12960
hàng,12681
súng,12469
đợi,12455
sẵn sàng,12361
xa,12300
trả,12227
sáng,12218
gia đình,12166
làm sao,12140
đáng,12051
cuối cùng,12036
do,12031
gã,12001
đa,11930
yeah,11901
bảo vệ,11740
Ồ,11731
kìa,11719
thành,11702
sắp,11499
quên,11498
trẻ,11409
phút,11407
bất cứ,11401
coi,11310
tàu,11305
thử,11275
mỗi,11168
học,11122
bộ,11080
đầu tiên,11079
kể,11066
ư,11019
đội,10999
thực sự,10990
mau,10921
cổ,10912
bởi vì,10895
vợ,10884
con trai,10874
định,10839
chắc chắn,10788
buổi,10726
cơ,10711
na,10695
máy,10674
va,10632
khiến,10549
an toàn,10443
mặt,10353
chu,10313
quan tâm,10301
duy nhất,10248
cảm thấy,10195
một chút,10180
tuần,10178
to,10132
biến,10074
tháng,10066
quan trọng,10040
bay,9963
hơi,9931
mua,9866
trở lại,9859
you,9846
thật sự,9836
phần,9810
thay đổi,9673
bác sĩ,9614
điên,9603
bởi,9493
chết tiệt,9466
s,9462
đô,9421
p,9396
thuốc,9391
thê,9377
bao nhiêu,9358
ma,9337
chịu,9298
phụ nữ,9271
sếp,9271
gi,9236
tránh,9208
kiểm tra,9133
đặt,9091
đàn ông,9087
khá,9036
con gái,8980
công việc,8979
ch,8978
rời,8951
tuổi,8933
trời,8902
kết thúc,8888
đo,8863
kiếm,8841
cao,8840
loại,8823
trở thành,8797
cây,8738
mở,8735
vị,8712
mời,8712
pha,8700
bài,8677
quân,8655
kế hoạch,8629
giữa,8597
chó,8578
ổng,8532
lý do,8489
tưởng,8466
mắt,8432
tiếp tục,8388
chân,8384
con người,8356
tuyệt vời,8345
vẻ,8324
đê,8320
sớm,8309
tất nhiên,8301
hứa,8298
chuẩn bị,8223
đời,8194
thành phố,8193
dậy,8168
nhóc,8165
cơ hội,8132
hey,8117
thư,8109
máu,8102
giỏi,8075
okay,8002
gây,8002
đọc,7978
khó,7963
tệ,7958
ha,7944
trả lời,7938
ngon,7920
lũ,7904
phép,7898
quái,7871
kiểu,7845
the,7841
chọn,7837
se,7821
người ta,7814
viết,7801
đươ,7789
tấn công,7779
ảnh,7774
điện thoại,7738
thoát,7699
dù,7630
da,7630
trốn,7615
đau,7597
l,7574
tạo,7516
cửa,7499
sai,7447
quyết định,7444
cuộc sống,7420
hề,7394
đôi,7358
tụi,7338
bác,7324
hoàn toàn,7314
báo,7306
gửi,7269
mô,7267
sự thật,7260
câ,7196
hy vọng,7195
yên,7188
mặc,7142
món,7135
bình tĩnh,7037
bước,7013
nè,7006
Mỹ,6983
bán,6981
đoán,6973
khốn,6960
phim,6959
chi,6952
đá,6949
rượu,6915
lỗi,6904
tạm biệt,6890
rô,6872
khoan,6835
chính xác,6804
cẩn thận,6770
chuyển,6706
vô,6702
khu,6697
càng,6630
nàng,6624
nguy hiểm,6606
vua,6588
vâ,6586
uh,6583
cuối,6540
mơ,6537
nằm,6521
thâ,6499
đem,6445
nổi,6440
chả,6430
thắng,6429
may mắn,6403
thần,6398
lòng,6383
