word,count
我,2399709
的,1981845
你,1711158
是,1298224
了,1140564
不,1048972
一,730226
他,701688
在,642532
有,614081
么,573338
们,570592
这,537809
好,468118
人,462883
要,429089
那,396967
什,370398
就,367619
到,346625
个,344273
来,323248
去,287173
想,284118
能,277202
会,274979
上,271450
吗,263434
們,252630
她,251765
道,251449
看,246184
可,245968
得,245274
没,243447
里,239433
吧,230374
很,230358
知,229483
這,225333
说,221556
以,215440
事,215031
都,214769
子,211988
为,202836
生,197898
下,193781
也,184815
大,176698
真,166828
和,163714
过,159986
还,156649
怎,154430
天,154135
出,151027
做,148320
斯,147905
把,144607
起,142966
只,142618
但,142507
個,142496
对,142355
來,140151
家,137866
啊,136157
小,134862
多,134628
时,131362
样,131102
些,126934
意,123552
后,121627
會,120815
嗎,120223
如,119613
自,118319
回,117853
所,114996
克,114118
地,113704
开,109691
然,109653
走,109393
đ,107617
点,107119
心,106514
沒,104913
体,104779
现,103188
快,102975
给,102887
着,99932
太,98820
定,98151
让,97744
跟,97622
用,96218
說,96158
再,95471
行,95217
特,94891
死,94380
呢,94032
打,93792
谢,92101
前,90456
最,90453
别,89569
它,89393
找,89105
女,87874
手,87830
方,87528
果,86407
因,86018
正,85480
先,84857
之,84743
中,84072
等,84030
告,83687
西,83072
像,83005
為,82920
明,82405
被,81753
面,80773
而,80422
法,79608
儿,79026
哪,78226
已,78156
成,76822
作,74518
见,74133
发,74043
话,73601
情,73089
и,73048
尔,71357
年,71340
信,69112
安,69101
德,68603
過,68172
孩,68029
当,67867
该,67640
干,67624
老,67175
還,66346
己,66292
黑,66259
拉,64864
感,64660
比,64533
利,63608
听,63546
妈,63381
次,62116
经,61964
爱,61690
對,61685
全,61052
觉,60520
才,59711
晚,59493
喜,58466
放,58048
爸,57739
分,57571
从,57337
美,57239
直,56794
相,56483
候,56114
需,55740
樣,55648
時,55397
叫,55017
常,54935
理,54369
何,54170
力,54023
于,52498
本,51968
名,51960
无,51932
问,51769
保,51313
今,51237
间,50112
重,50049
工,50032
高,50005
同,49432
住,49386
诉,49144
白,48913
公,48912
车,48672
错,48512
身,48490
进,48361
加,47555
活,47520
開,47345
友,46549
谁,46458
其,45677
點,45626
动,45455
受,45431
新,45195
ư,45167
著,44940
望,44902
或,44730
拿,44344
解,44155
者,44099
电,44086
机,44077
欢,44075
給,44045
马,44027
非,43699
物,43512
接,43502
关,43100
士,43097
尼,43064
又,43041
現,42987
思,42959
应,42937
完,42837
帮,42722
更,42602
吃,42577
麼,42566
国,42491
实,42277
夫,42054
认,41921
杀,41655
讓,41512
任,41511
希,41399
部,41305
警,40950
长,40727
带,40654
位,40592
謝,40517
第,40438
头,40153
別,39774
种,39726
此,39358
外,39178
亲,39052
格,38876
布,38600
主,38410
件,38206
卡,37863
朋,37784
三,37657
哦,37432
文,37361
切,37216
查,37030
必,36941
µ,36914
玩,36753
学,36502
始,36457
命,36439
琌,36430
东,36342
少,36115
世,35664
许,35525
请,34869
早,34786
管,34554
ế,34252
路,34088
抱,34050
两,33908
字,33890
失,33872
算,33857
伙,33689
男,33491
离,33303
見,33209
每,33171
向,33096
水,33084
兒,32739
十,32290
話,32262
记,32240
神,31937
日,31887
合,31836
系,31694
准,31364
通,31122
提,31089
歉,31085
爾,30904
您,30868
房,30727
入,30717
钱,30471
罗,30335
該,30223
害,30215
场,30162
奇,30027
边,29807
掉,29728
ぃ,29724
發,29667
米,29597
海,29418
巴,29346
阿,29342
题,29270
求,29244
父,29182
表,28980
简,28881
将,28743
救,28521
留,28509
媽,28484
聽,28468
金,28407
性,28359
并,28249
球,28236
當,28172
星,28171
肯,28103
教,28102
清,28023
服,27976
酒,27822
变,27688
确,27583
口,27351
原,27116
