word,count
我,9433564
的,7934880
你,6871174
是,5400013
了,4435793
不,4378171
一,2972376
们,2889621
这,2804343
他,2634196
在,2580076
有,2537407
么,2269660
好,1928072
人,1902879
要,1796717
个,1778278
来,1720696
那,1567002
什,1500562
就,1442659
会,1412884
到,1403523
吗,1282172
没,1274509
去,1175427
说,1157140
想,1090835
上,1065592
为,1025428
能,1020724
看,1004818
吧,1000180
道,999899
可,991178
里,943595
很,924348
她,918286
知,914127
得,909463
以,890661
子,867511
事,853003
都,832501
生,802629
下,798283
过,795307
对,782575
还,775284
大,768294
也,767946
样,702496
啊,680250
真,664459
时,654602
天,652358
和,630194
怎,625748
做,612110
出,609035
起,588490
开,585363
家,569789
小,568372
点,558012
只,555474
但,554594
多,551431
把,543031
给,535769
现,534099
如,515469
回,490838
着,485803
让,479256
谢,479231
走,478893
后,470893
些,468482
意,467080
别,464290
自,461289
斯,460721
所,460320
快,456928
然,445806
心,442751
地,435946
死,404599
话,401642
用,399267
再,391904
跟,390543
行,388193
果,387799
太,386711
它,385813
定,385515
打,383664
儿,383000
呢,380107
见,376859
克,371382
发,370087
先,365973
女,363473
等,358501
手,357444
当,357240
妈,353348
前,352326
中,346473
最,344614
找,342418
听,340927
该,338639
因,330596
被,329901
经,329406
像,327001
明,326495
面,326403
之,325415
告,324858
已,324112
西,322627
法,319668
哪,313924
爱,313664
老,306089
作,304312
成,302696
而,302198
情,302053
特,300100
年,298064
方,297762
這,295880
从,288765
們,287350
正,286972
觉,278414
尔,276376
问,272054
干,269990
孩,269876
信,269217
次,263703
间,259981
安,259188
己,258177
爸,255023
无,252486
进,250797
长,248386
国,247895
谁,247550
全,247042
感,246551
放,242432
才,241866
车,241326
诉,240650
比,240266
错,239400
动,237703
喜,233876
叫,230377
电,230127
美,230055
分,229102
机,227355
何,226738
欢,226526
相,226189
关,225107
候,224298
拉,223669
利,222405
应,222366
晚,221483
力,219339
麼,218079
帮,217830
认,216255
请,216116
德,215755
头,213670
实,213406
杀,211521
直,209759
需,209402
今,208932
理,208320
住,207569
本,206915
东,205810
常,205701
马,205631
带,205453
工,204833
同,203547
名,202331
白,200952
亲,199993
于,198124
种,197869
高,197215
公,196575
重,195863
学,195801
吃,195639
保,193816
身,193684
哦,191610
两,188415
活,187887
拿,187449
個,186047
來,185864
友,184333
加,183923
其,181918
又,179959
体,177455
完,175599
任,174373
受,174260
接,174104
新,173962
离,173629
钱,171991
部,171542
第,170395
者,169966
记,169789
解,169600
许,169559
位,167957
望,167880
将,167688
更,165542
思,164862
士,164782
三,164634
非,163185
主,163182
物,162077
警,159229
外,159044
命,158348
边,157327
此,156833
或,154351
必,153767
少,152735
始,151567
希,151094
题,150185
夫,149817
件,149651
朋,149438
會,149204
尼,147924
您,147866
男,146882
伙,146156
阿,144907
场,144609
切,143677
世,143654
日,143271
气,143054
算,143049
玩,142776
早,140958
变,140642
结,140002
路,137910
沒,137212
准,136836
失,136580
嗎,136286
查,136277
黑,135676
字,135674
呀,135537
卡,135271
神,135260
每,134786
罗,134200
难,133739
管,133344
刚,132852
办,131896
几,131563
水,130967
总,130580
门,130332
十,129852
哥,129147
嘿,128881
确,128579
通,127860
计,126867
向,126354
說,125997
处,125942
害,125914
系,125167
房,124663
战,124116
格,124061
入,123724
谈,123537
掉,123138
合,122892
布,122806
嗯,122436
教,122365
嘛,122264
抱,121767
官,121543
父,120204
备,119435
求,118968
救,118740
服,118521
金,118187
员,118031
星,117445
啦,117346
