word,count
我,3042395
的,2518298
你,2152535
是,1739428
了,1459375
不,1419752
們,1012180
這,969500
一,931409
他,836188
在,819572
有,805034
好,642597
人,613706
來,606934
個,597341
要,589261
麼,527706
那,516551
會,511037
就,489398
嗎,479774
什,470977
沒,455334
到,451842
說,418490
去,383015
為,354621
想,354090
上,341577
能,341435
吧,337853
и,332902
看,321846
可,319058
道,317173
很,300661
她,299855
得,298281
知,289175
以,287358
過,286900
還,283578
事,283366
都,280410
對,279697
子,279545
下,268003
么,264900
生,256712
也,256604
大,249234
樣,248975
啊,243774
時,231784
真,221588
天,216178
開,207603
怎,205515
點,199413
出,198256
和,196273
做,193085
起,189800
現,187441
給,187313
小,186504
但,183242
把,178987
著,177151
多,176901
琌,176870
家,172887
只,171955
別,170925
謝,170217
讓,169512
如,163699
回,159830
快,158921
走,155340
斯,155034
裡,150739
自,150678
意,150671
所,149879
ぃ,149672
心,147439
些,147137
然,145841
話,144177
地,142876
跟,135253
克,134425
兒,133298
見,132332
死,131084
再,130025
里,129688
用,128773
太,128462
行,127877
定,127677
媽,127574
呢,125775
打,124308
發,123333
果,122473
當,121649
該,121254
聽,119672
等,117855
前,117504
手,117114
女,116900
先,116402
或,114026
找,112864
愛,112157
最,111648
像,111120
經,110273
後,110235
之,108987
中,107832
因,107673
法,106945
明,106320
被,105688
面,103443
它,102968
硂,102286
已,102206
方,101974
西,101942
哪,101716
而,100794
告,100562
特,100474
覺,100467
成,99984
爾,99847
正,98676
老,98577
從,97758
作,96367
問,95854
情,95633
τ,94481
長,94369
年,94221
無,91956
常,91127
安,90742
間,90395
進,88987
次,88686
孩,86887
錯,86111
國,86090
信,86008
爸,85971
車,85612
種,85074
己,84568
誰,84464
動,83123
才,82758
全,81818
比,80684
放,80643
叫,80383
訴,79883
感,79191
歡,78777
關,78257
機,78144
應,77869
請,77820
拉,77722
幫,77621
電,76947
利,76552
實,76036
候,75246
分,74705
德,74423
喜,73923
何,73911
認,73727
頭,73701
力,73622
馬,73054
美,72763
親,72266
相,72044
殺,71547
帶,71446
學,71143
晚,70578
直,69403
今,69156
東,68931
需,68895
本,68655
理,68588
住,66906
重,65689
ㄓ,65542
名,65458
同,65384
公,65268
璶,64713
工,64667
高,64600
妳,64257
兩,64160
身,63496
白,63359
保,63188
吃,63166
加,62666
活,61368
后,60657
拿,60628
離,60207
記,60086
友,59585
又,59474
您,58847
錢,58837
受,58604
其,58425
